Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
16:39,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:36,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
16:29,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",2
16:28,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
16:28,"MISS FT by ROBERSON,JAMES",,,,,,,"MISS FT by ROBERSON,JAMES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:28,"GOOD FT by ROBERSON,JAMES",37 (+1),,36,,RUST 37-36 (-1),,"GOOD FT by ROBERSON,JAMES",2
15:57,,,,,"MISS LAYUP by MERKEL,BRIAN",,,"MISS LAYUP by MERKEL,BRIAN",2
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",2
15:47,"TURNOVER  by MONTGOMERY,WILLIAM",,,,,,,"TURNOVER  by MONTGOMERY,WILLIAM",2
15:45,,,,,"STEAL  by SUMLER,LV",,,"STEAL  by SUMLER,LV",2
15:43,,37,,38 (+1),"GOOD LAYUP by MEADES,TAYLOR(in the paint)",MC-M 37-38 (+1),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2
15:32,"MISS LAYUP by CUMBERBATCH,OMAR",,,,,,,"MISS LAYUP by CUMBERBATCH,OMAR",2
15:32,,,,,"BLOCK  by KINNEAR,KYLE",,,"BLOCK  by KINNEAR,KYLE",2
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",2
15:23,"FOUL  by ROBERSON,JAMES",,,,,,,"FOUL  by ROBERSON,JAMES",2
15:23,,37,,39 (+2),"GOOD FT by MERKEL,BRIAN",MC-M 37-39 (+2),,"GOOD FT by MERKEL,BRIAN",2
15:23,,37,,40 (+3),"GOOD FT by MERKEL,BRIAN",MC-M 37-40 (+3),,"GOOD FT by MERKEL,BRIAN",2
15:23,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
15:23,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
15:08,"MISS 3PTR by HOLMES,JAHRELL",,,,,,,"MISS 3PTR by HOLMES,JAHRELL",2
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",2
14:58,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
14:46,"GOOD LAYUP by CUMBERBATCH,OMAR(in the paint)",39,,40 (+1),,RUST 39-40 (+1),,"GOOD LAYUP by CUMBERBATCH,OMAR(in the paint)",2
--,"ASSIST  by WILSON,MARKEITH",,,,,,,"ASSIST  by WILSON,MARKEITH",2
14:28,,39,,42 (+3),"GOOD JUMPER by GILLIGAN,TULLY",MC-M 39-42 (+3),,"GOOD JUMPER by GILLIGAN,TULLY",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
14:11,"TURNOVER  by WILSON,MARKEITH",,,,,,,"TURNOVER  by WILSON,MARKEITH",2
14:10,,,,,"STEAL  by SUMLER,LV",,,"STEAL  by SUMLER,LV",2
14:05,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by ROBERSON,JAMES",,,,,,,"REBOUND DEF by ROBERSON,JAMES",2
13:48,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",2
13:48,"GOOD FT by MONTGOMERY,WILLIAM",40,,42 (+2),,RUST 40-42 (+2),,"GOOD FT by MONTGOMERY,WILLIAM",2
13:48,"GOOD FT by MONTGOMERY,WILLIAM",41,,42 (+1),,RUST 41-42 (+1),,"GOOD FT by MONTGOMERY,WILLIAM",2
13:48,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",2
13:48,"SUB IN by HOLMES,JAHRELL",,,,,,,"SUB IN by HOLMES,JAHRELL",2
13:48,"SUB OUT by ROBERSON,JAMES",,,,,,,"SUB OUT by ROBERSON,JAMES",2
13:48,"SUB OUT by MCPHERSON,FABIAN",,,,,,,"SUB OUT by MCPHERSON,FABIAN",2
13:48,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
13:48,,,,,"SUB IN by LEMIEUX,QUINN",,,"SUB IN by LEMIEUX,QUINN",2
13:48,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
13:48,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",2
13:41,,,,,"TURNOVER  by LEMIEUX,QUINN",,,"TURNOVER  by LEMIEUX,QUINN",2
13:40,"STEAL  by SEALS,JORDAN",,,,,,,"STEAL  by SEALS,JORDAN",2
13:37,"MISS LAYUP by WILSON,MARKEITH",,,,,,,"MISS LAYUP by WILSON,MARKEITH",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
13:27,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",2
13:09,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",2
--,"REBOUND OFF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND OFF by MONTGOMERY,WILLIAM",2
13:01,"GOOD LAYUP by WILSON,MARKEITH(in the paint)",43 (+1),,42,,RUST 43-42 (-1),,"GOOD LAYUP by WILSON,MARKEITH(in the paint)",2
--,"ASSIST  by MONTGOMERY,WILLIAM",,,,,,,"ASSIST  by MONTGOMERY,WILLIAM",2
12:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
12:48,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
12:48,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
12:48,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",2
12:48,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",2
12:48,,,,,"SUB OUT by LEMIEUX,QUINN",,,"SUB OUT by LEMIEUX,QUINN",2
12:48,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
12:48,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
12:48,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
12:39,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",2
--,"REBOUND DEF by CUMBERBATCH,OMAR",,,,,,,"REBOUND DEF by CUMBERBATCH,OMAR",2
12:21,"FOUL  by CUMBERBATCH,OMAR",,,,,,,"FOUL  by CUMBERBATCH,OMAR",2
12:18,"TURNOVER  by CUMBERBATCH,OMAR",,,,,,,"TURNOVER  by CUMBERBATCH,OMAR",2
12:07,,43,,45 (+2),"GOOD 3PTR by CORTESE,NICK",MC-M 43-45 (+2),,"GOOD 3PTR by CORTESE,NICK",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
11:52,"TURNOVER  by CUMBERBATCH,OMAR",,,,,,,"TURNOVER  by CUMBERBATCH,OMAR",2
11:32,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",2
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",2
11:22,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
11:17,,43,,47 (+4),"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 43-47 (+4),,"GOOD LAYUP by SUMLER,LV(in the paint)",2
11:05,"TURNOVER  by MCPHERSON,FABIAN",,,,,,,"TURNOVER  by MCPHERSON,FABIAN",2
11:05,,,,,"STEAL  by WHITE,TIM",,,"STEAL  by WHITE,TIM",2
11:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:05,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
11:05,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
10:43,,43,,49 (+6),"GOOD JUMPER by MERKEL,BRIAN",MC-M 43-49 (+6),,"GOOD JUMPER by MERKEL,BRIAN",2
10:18,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",45,,49 (+4),,RUST 45-49 (+4),,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",2
10:18,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
10:18,"MISS FT by MCPHERSON,FABIAN",,,,,,,"MISS FT by MCPHERSON,FABIAN",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
09:58,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",2
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",2
09:54,"TURNOVER  by MCPHERSON,FABIAN",,,,,,,"TURNOVER  by MCPHERSON,FABIAN",2
09:54,"SUB IN by THOMAS,CONTREAS",,,,,,,"SUB IN by THOMAS,CONTREAS",2
09:54,"SUB OUT by WILSON,MARKEITH",,,,,,,"SUB OUT by WILSON,MARKEITH",2
09:41,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",2
09:30,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
09:30,"MISS FT by MCPHERSON,FABIAN",,,,,,,"MISS FT by MCPHERSON,FABIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:30,"GOOD FT by MCPHERSON,FABIAN",46,,49 (+3),,RUST 46-49 (+3),,"GOOD FT by MCPHERSON,FABIAN",2
09:30,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",2
09:30,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",2
09:30,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
09:30,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
09:30,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
09:30,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
09:30,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
09:30,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
09:19,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
09:07,,,,,"MISS 3PTR by BROWN,JEFF",,,"MISS 3PTR by BROWN,JEFF",2
--,"REBOUND DEF by CUMBERBATCH,OMAR",,,,,,,"REBOUND DEF by CUMBERBATCH,OMAR",2
08:59,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",2
08:57,"MISS FT by CUMBERBATCH,OMAR",,,,,,,"MISS FT by CUMBERBATCH,OMAR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:57,"GOOD FT by CUMBERBATCH,OMAR",47,,49 (+2),,RUST 47-49 (+2),,"GOOD FT by CUMBERBATCH,OMAR",2
08:21,,,,,"MISS LAYUP by BROWN,JEFF",,,"MISS LAYUP by BROWN,JEFF",2
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",2
08:12,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",49,,49,,RUST 49-49 (0),,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",2
08:08,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
08:08,"MISS FT by MONTGOMERY,WILLIAM",,,,,,,"MISS FT by MONTGOMERY,WILLIAM",2
--,,,,,"REBOUND DEF by COOPER,BEN",,,"REBOUND DEF by COOPER,BEN",2
08:08,"SUB IN by ROBERSON,JAMES",,,,,,,"SUB IN by ROBERSON,JAMES",2
08:08,"SUB OUT by CUMBERBATCH,OMAR",,,,,,,"SUB OUT by CUMBERBATCH,OMAR",2
08:08,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
08:08,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
07:55,,49,,52 (+3),"GOOD 3PTR by CORTESE,NICK",MC-M 49-52 (+3),,"GOOD 3PTR by CORTESE,NICK",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
07:38,,,,,"FOUL  by COOPER,BEN",,,"FOUL  by COOPER,BEN",2
07:38,"MISS FT by MONTGOMERY,WILLIAM",,,,,,,"MISS FT by MONTGOMERY,WILLIAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:38,"GOOD FT by MONTGOMERY,WILLIAM",50,,52 (+2),,RUST 50-52 (+2),,"GOOD FT by MONTGOMERY,WILLIAM",2
07:38,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
07:38,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",2
07:02,,,,,"MISS JUMPER by BROWN,JEFF",,,"MISS JUMPER by BROWN,JEFF",2
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",2
06:55,"GOOD LAYUP by THOMAS,CONTREAS(in the paint)",52,,52,,RUST 52-52 (0),,"GOOD LAYUP by THOMAS,CONTREAS(in the paint)",2
--,"ASSIST  by MONTGOMERY,WILLIAM",,,,,,,"ASSIST  by MONTGOMERY,WILLIAM",2
06:33,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",2
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",2
06:20,"TURNOVER  by MONTGOMERY,WILLIAM",,,,,,,"TURNOVER  by MONTGOMERY,WILLIAM",2
06:20,"SUB IN by MONTGOMERY,WILLIAM",,,,,,,"SUB IN by MONTGOMERY,WILLIAM",2
06:20,"SUB IN by WILSON,MARKEITH",,,,,,,"SUB IN by WILSON,MARKEITH",2
06:20,"SUB IN by CUMBERBATCH,OMAR",,,,,,,"SUB IN by CUMBERBATCH,OMAR",2
06:20,"SUB OUT by CATRON,SERGIO",,,,,,,"SUB OUT by CATRON,SERGIO",2
06:20,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",2
06:20,"SUB OUT by HOLMES,JAHRELL",,,,,,,"SUB OUT by HOLMES,JAHRELL",2
06:20,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
06:20,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
06:20,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",2
06:20,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
06:20,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",2
06:20,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
06:08,,52,,55 (+3),"GOOD 3PTR by SUMLER,LV",MC-M 52-55 (+3),,"GOOD 3PTR by SUMLER,LV",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
05:56,"TURNOVER  by MONTGOMERY,WILLIAM",,,,,,,"TURNOVER  by MONTGOMERY,WILLIAM",2
05:28,,52,,57 (+5),"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 52-57 (+5),,"GOOD LAYUP by SUMLER,LV(in the paint)",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
05:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:02,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
04:56,"FOUL  by CATRON,SERGIO",,,,,,,"FOUL  by CATRON,SERGIO",2
04:51,"FOUL  by ROBERSON,JAMES",,,,,,,"FOUL  by ROBERSON,JAMES",2
04:29,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",2
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",2
04:24,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",2
04:24,"BLOCK  by CUMBERBATCH,OMAR",,,,,,,"BLOCK  by CUMBERBATCH,OMAR",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
04:03,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",2
--,"REBOUND DEF by CUMBERBATCH,OMAR",,,,,,,"REBOUND DEF by CUMBERBATCH,OMAR",2
03:55,"MISS JUMPER by WILSON,MARKEITH",,,,,,,"MISS JUMPER by WILSON,MARKEITH",2
--,"REBOUND OFF by HOLMES,JAHRELL",,,,,,,"REBOUND OFF by HOLMES,JAHRELL",2
03:49,"TURNOVER  by HOLMES,JAHRELL",,,,,,,"TURNOVER  by HOLMES,JAHRELL",2
03:49,"SUB IN by CATRON,SERGIO",,,,,,,"SUB IN by CATRON,SERGIO",2
03:49,"SUB IN by HOLMES,JAHRELL",,,,,,,"SUB IN by HOLMES,JAHRELL",2
03:49,"SUB OUT by MONTGOMERY,WILLIAM",,,,,,,"SUB OUT by MONTGOMERY,WILLIAM",2
03:49,"SUB OUT by THOMAS,CONTREAS",,,,,,,"SUB OUT by THOMAS,CONTREAS",2
03:31,,,,,"MISS 3PTR by MERKEL,BRIAN",,,"MISS 3PTR by MERKEL,BRIAN",2
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",2
03:27,"FOUL  by ROBERSON,JAMES",,,,,,,"FOUL  by ROBERSON,JAMES",2
03:27,,,,,"MISS FT by KINNEAR,KYLE",,,"MISS FT by KINNEAR,KYLE",2
--,,,,,"REBOUND OFF by MEADES,TAYLOR",,,"REBOUND OFF by MEADES,TAYLOR",2
02:58,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",2
--,"REBOUND DEF by CUMBERBATCH,OMAR",,,,,,,"REBOUND DEF by CUMBERBATCH,OMAR",2
02:52,"GOOD LAYUP by ROBERSON,JAMES(in the paint)",54,,57 (+3),,RUST 54-57 (+3),,"GOOD LAYUP by ROBERSON,JAMES(in the paint)",2
02:28,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",2
02:27,"STEAL  by WILSON,MARKEITH",,,,,,,"STEAL  by WILSON,MARKEITH",2
02:19,"GOOD JUMPER by ROBERSON,JAMES(in the paint)",56,,57 (+1),,RUST 56-57 (+1),,"GOOD JUMPER by ROBERSON,JAMES(in the paint)",2
--,"ASSIST  by WILSON,MARKEITH",,,,,,,"ASSIST  by WILSON,MARKEITH",2
02:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:42,"FOUL  by CATRON,SERGIO",,,,,,,"FOUL  by CATRON,SERGIO",2
01:42,,56,,58 (+2),"GOOD FT by MEADES,TAYLOR",MC-M 56-58 (+2),,"GOOD FT by MEADES,TAYLOR",2
01:42,,56,,59 (+3),"GOOD FT by MEADES,TAYLOR",MC-M 56-59 (+3),,"GOOD FT by MEADES,TAYLOR",2
01:42,"SUB IN by MONTGOMERY,WILLIAM",,,,,,,"SUB IN by MONTGOMERY,WILLIAM",2
01:42,"SUB OUT by CATRON,SERGIO",,,,,,,"SUB OUT by CATRON,SERGIO",2
01:30,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:11,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",2
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",2
00:46,"TURNOVER  by MONTGOMERY,WILLIAM",,,,,,,"TURNOVER  by MONTGOMERY,WILLIAM",2
00:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:39,"SUB IN by THOMAS,CONTREAS",,,,,,,"SUB IN by THOMAS,CONTREAS",2
00:39,"SUB OUT by WILSON,MARKEITH",,,,,,,"SUB OUT by WILSON,MARKEITH",2
00:15,,,,,"MISS LAYUP by MERKEL,BRIAN",,,"MISS LAYUP by MERKEL,BRIAN",2
--,"REBOUND DEF by ROBERSON,JAMES",,,,,,,"REBOUND DEF by ROBERSON,JAMES",2
00:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:00,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
