Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
18:56,"TURNOVER  by PRICE,PATRICK",,,,,,,"TURNOVER  by PRICE,PATRICK",2
18:55,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
18:55,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
18:55,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
18:37,,37 (+8),,29,"GOOD JUMPER by SUMLER,LV",MC-M 37-29 (-8),,"GOOD JUMPER by SUMLER,LV",2
18:20,"GOOD LAYUP by WHITE,BLAISE(in the paint)",39 (+10),,29,,BSC-M 39-29 (-10),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",2
18:06,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",2
18:05,"STEAL  by PRICE,PATRICK",,,,,,,"STEAL  by PRICE,PATRICK",2
17:36,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:34,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
17:34,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
17:33,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
17:21,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
16:49,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
16:48,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",41 (+12),,29,,BSC-M 41-29 (-12),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
16:20,"FOUL  by PRICE,PATRICK",,,,,,,"FOUL  by PRICE,PATRICK",2
16:20,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
16:20,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",2
16:20,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
16:20,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
16:20,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",2
16:20,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
16:20,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
16:20,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",2
16:20,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",2
16:20,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
16:20,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",2
16:20,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
16:01,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
15:59,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
15:50,,,,,"MISS LAYUP by MONTGOMERY,JAYSON",,,"MISS LAYUP by MONTGOMERY,JAYSON",2
15:50,"BLOCK  by SHEMANSKI,RICKY",,,,,,,"BLOCK  by SHEMANSKI,RICKY",2
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",2
15:43,,41 (+10),,31,"GOOD TIPIN by WHITE,TIM(in the paint)",MC-M 41-31 (-10),,"GOOD TIPIN by WHITE,TIM(in the paint)",2
15:32,"MISS JUMPER by DOATY,ISIAH",,,,,,,"MISS JUMPER by DOATY,ISIAH",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
15:24,,41 (+8),,33,"GOOD JUMPER by MERKEL,BRIAN",MC-M 41-33 (-8),,"GOOD JUMPER by MERKEL,BRIAN",2
14:51,"MISS JUMPER by SHEMANSKI,RICKY",,,,,,,"MISS JUMPER by SHEMANSKI,RICKY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
14:46,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",2
--,"REBOUND OFF by SHEMANSKI,RICKY",,,,,,,"REBOUND OFF by SHEMANSKI,RICKY",2
14:42,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",2
14:42,"GOOD FT by SHEMANSKI,RICKY",42 (+9),,33,,BSC-M 42-33 (-9),,"GOOD FT by SHEMANSKI,RICKY",2
14:42,"GOOD FT by SHEMANSKI,RICKY",43 (+10),,33,,BSC-M 43-33 (-10),,"GOOD FT by SHEMANSKI,RICKY",2
14:42,,,,,"SUB IN by MCLEMORE,JEREMY",,,"SUB IN by MCLEMORE,JEREMY",2
14:42,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
14:34,,43 (+8),,35,"GOOD JUMPER by MCLEMORE,JEREMY",MC-M 43-35 (-8),,"GOOD JUMPER by MCLEMORE,JEREMY",2
--,,,,,"ASSIST  by SUMLER,LV",,,"ASSIST  by SUMLER,LV",2
14:13,"GOOD JUMPER by KEGARISE,KEVIN",45 (+10),,35,,BSC-M 45-35 (-10),,"GOOD JUMPER by KEGARISE,KEVIN",2
13:47,,45 (+7),,38,"GOOD 3PTR by SUMLER,LV",MC-M 45-38 (-7),,"GOOD 3PTR by SUMLER,LV",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
13:24,"MISS 3PTR by DOATY,ISIAH",,,,,,,"MISS 3PTR by DOATY,ISIAH",2
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",2
13:19,"GOOD 3PTR by KEGARISE,KEVIN",48 (+10),,38,,BSC-M 48-38 (-10),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",2
12:55,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
12:33,"GOOD LAYUP by LEE,CALEB(in the paint)",50 (+12),,38,,BSC-M 50-38 (-12),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
12:23,,,,,"TURNOVER  by SUMLER,LV",,,"TURNOVER  by SUMLER,LV",2
12:23,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",2
12:23,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
12:23,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",2
12:23,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
12:23,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
12:23,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
12:23,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",2
12:23,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
12:23,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
12:23,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",2
12:23,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
12:23,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
12:23,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
12:23,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
11:53,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
11:53,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:53,"GOOD FT by RICHARDS,ZAC",51 (+13),,38,,BSC-M 51-38 (-13),,"GOOD FT by RICHARDS,ZAC",2
11:53,,,,,"SUB IN by LEMIEUX,QUINN",,,"SUB IN by LEMIEUX,QUINN",2
11:53,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
11:51,"FOUL  by MESSENGER,MARK",,,,,,,"FOUL  by MESSENGER,MARK",2
11:46,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
11:46,,51 (+12),,39,"GOOD FT by MCLEMORE,JEREMY",MC-M 51-39 (-12),,"GOOD FT by MCLEMORE,JEREMY",2
11:46,,51 (+11),,40,"GOOD FT by MCLEMORE,JEREMY",MC-M 51-40 (-11),,"GOOD FT by MCLEMORE,JEREMY",2
11:46,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",2
11:46,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
11:36,"GOOD 3PTR by JONUS,JASEN",54 (+14),,40,,BSC-M 54-40 (-14),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
11:14,,,,,"MISS LAYUP by LEMIEUX,QUINN",,,"MISS LAYUP by LEMIEUX,QUINN",2
--,,,,,"REBOUND OFF by LEMIEUX,QUINN",,,"REBOUND OFF by LEMIEUX,QUINN",2
11:11,,,,,"TURNOVER  by LEMIEUX,QUINN",,,"TURNOVER  by LEMIEUX,QUINN",2
11:08,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
11:08,,,,,"FOUL  by LEMIEUX,QUINN",,,"FOUL  by LEMIEUX,QUINN",2
10:59,"GOOD DUNK by MESSENGER,MARK(in the paint)",56 (+16),,40,,BSC-M 56-40 (-16),,"GOOD DUNK by MESSENGER,MARK(in the paint)",2
--,"ASSIST  by SHEMANSKI,RICKY",,,,,,,"ASSIST  by SHEMANSKI,RICKY",2
10:47,,,,,"TURNOVER  by SUMLER,LV",,,"TURNOVER  by SUMLER,LV",2
10:45,"STEAL  by SHEMANSKI,RICKY",,,,,,,"STEAL  by SHEMANSKI,RICKY",2
10:42,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND DEF by LEMIEUX,QUINN",,,"REBOUND DEF by LEMIEUX,QUINN",2
10:24,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
10:24,,,,,"SUB OUT by LEMIEUX,QUINN",,,"SUB OUT by LEMIEUX,QUINN",2
10:14,,,,,"MISS 3PTR by MCLEMORE,JEREMY",,,"MISS 3PTR by MCLEMORE,JEREMY",2
--,"REBOUND DEF by MESSENGER,MARK",,,,,,,"REBOUND DEF by MESSENGER,MARK",2
09:41,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
09:22,"FOUL  by SHEMANSKI,RICKY",,,,,,,"FOUL  by SHEMANSKI,RICKY",2
09:22,,56 (+15),,41,"GOOD FT by MCLEMORE,JEREMY",MC-M 56-41 (-15),,"GOOD FT by MCLEMORE,JEREMY",2
09:22,,56 (+14),,42,"GOOD FT by MCLEMORE,JEREMY",MC-M 56-42 (-14),,"GOOD FT by MCLEMORE,JEREMY",2
09:22,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
09:22,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",2
09:22,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
09:22,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
09:22,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",2
09:22,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
09:22,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
09:22,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
09:16,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
09:16,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",2
09:11,"TURNOVER  by SHEMANSKI,RICKY",,,,,,,"TURNOVER  by SHEMANSKI,RICKY",2
09:11,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
09:11,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
08:54,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
08:54,,56 (+13),,43,"GOOD FT by MEADES,TAYLOR",MC-M 56-43 (-13),,"GOOD FT by MEADES,TAYLOR",2
08:54,,,,,"MISS FT by MEADES,TAYLOR",,,"MISS FT by MEADES,TAYLOR",2
--,"REBOUND DEF by SHEMANSKI,RICKY",,,,,,,"REBOUND DEF by SHEMANSKI,RICKY",2
08:29,"GOOD 3PTR by DOATY,ISIAH",59 (+16),,43,,BSC-M 59-43 (-16),,"GOOD 3PTR by DOATY,ISIAH",2
--,"ASSIST  by LEE,CALEB",,,,,,,"ASSIST  by LEE,CALEB",2
07:54,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",2
07:54,,59 (+15),,44,"GOOD FT by MEADES,TAYLOR",MC-M 59-44 (-15),,"GOOD FT by MEADES,TAYLOR",2
07:54,,59 (+14),,45,"GOOD FT by MEADES,TAYLOR",MC-M 59-45 (-14),,"GOOD FT by MEADES,TAYLOR",2
07:54,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
07:54,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
07:54,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
07:54,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
07:41,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by MCLEMORE,JEREMY",,,"REBOUND DEF by MCLEMORE,JEREMY",2
07:31,,59 (+12),,47,"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 59-47 (-12),,"GOOD LAYUP by SUMLER,LV(in the paint)",2
07:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:29,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
07:29,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",2
07:29,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",2
07:29,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
07:29,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
07:29,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
07:29,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",2
07:29,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",2
06:56,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
06:52,"GOOD TIPIN by RICHARDS,ZAC(in the paint)",61 (+14),,47,,BSC-M 61-47 (-14),,"GOOD TIPIN by RICHARDS,ZAC(in the paint)",2
06:40,,61 (+11),,50,"GOOD 3PTR by MEADES,TAYLOR",MC-M 61-50 (-11),,"GOOD 3PTR by MEADES,TAYLOR",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
06:21,"TURNOVER  by PRICE,PATRICK",,,,,,,"TURNOVER  by PRICE,PATRICK",2
05:48,"FOUL  by MESSENGER,MARK",,,,,,,"FOUL  by MESSENGER,MARK",2
05:48,,61 (+10),,51,"GOOD FT by MERKEL,BRIAN",MC-M 61-51 (-10),,"GOOD FT by MERKEL,BRIAN",2
05:48,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
05:46,"TURNOVER  by PRICE,PATRICK",,,,,,,"TURNOVER  by PRICE,PATRICK",2
05:46,,,,,"STEAL  by MERKEL,BRIAN",,,"STEAL  by MERKEL,BRIAN",2
05:46,,61 (+7),,54,"GOOD 3PTR by MEADES,TAYLOR",MC-M 61-54 (-7),,"GOOD 3PTR by MEADES,TAYLOR",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
05:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:26,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
05:26,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",2
05:16,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
05:05,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",2
05:05,,,,,"BLOCK  by MCLEMORE,JEREMY",,,"BLOCK  by MCLEMORE,JEREMY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:05,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
05:05,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
04:58,,,,,"FOUL  by MCLEMORE,JEREMY",,,"FOUL  by MCLEMORE,JEREMY",2
04:58,"GOOD FT by RICHARDS,ZAC",62 (+8),,54,,BSC-M 62-54 (-8),,"GOOD FT by RICHARDS,ZAC",2
04:58,"GOOD FT by RICHARDS,ZAC",63 (+9),,54,,BSC-M 63-54 (-9),,"GOOD FT by RICHARDS,ZAC",2
04:57,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
04:56,,63 (+8),,55,"GOOD FT by CORTESE,NICK",MC-M 63-55 (-8),,"GOOD FT by CORTESE,NICK",2
04:56,,63 (+7),,56,"GOOD FT by CORTESE,NICK",MC-M 63-56 (-7),,"GOOD FT by CORTESE,NICK",2
04:56,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
04:56,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
04:31,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
04:01,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
04:01,,,,,"MISS FT by MEADES,TAYLOR",,,"MISS FT by MEADES,TAYLOR",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:01,,,,,"MISS FT by MEADES,TAYLOR",,,"MISS FT by MEADES,TAYLOR",2
--,"REBOUND DEF by MESSENGER,MARK",,,,,,,"REBOUND DEF by MESSENGER,MARK",2
03:42,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
03:42,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
03:42,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
03:40,"MISS FT by JONUS,JASEN",,,,,,,"MISS FT by JONUS,JASEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:40,"GOOD FT by JONUS,JASEN",64 (+8),,56,,BSC-M 64-56 (-8),,"GOOD FT by JONUS,JASEN",2
03:40,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",2
03:40,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
03:23,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",2
03:01,"MISS LAYUP by PRICE,PATRICK",,,,,,,"MISS LAYUP by PRICE,PATRICK",2
03:01,,,,,"BLOCK  by SUMLER,LV",,,"BLOCK  by SUMLER,LV",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
02:33,,64 (+6),,58,"GOOD JUMPER by MCLEMORE,JEREMY(in the paint)",MC-M 64-58 (-6),,"GOOD JUMPER by MCLEMORE,JEREMY(in the paint)",2
02:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:01,"GOOD JUMPER by WHITE,BLAISE",66 (+8),,58,,BSC-M 66-58 (-8),,"GOOD JUMPER by WHITE,BLAISE",2
01:29,,,,,"MISS LAYUP by MEADES,TAYLOR",,,"MISS LAYUP by MEADES,TAYLOR",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
01:18,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
01:10,,,,,"TURNOVER  by SUMLER,LV",,,"TURNOVER  by SUMLER,LV",2
01:10,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
01:10,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",2
01:10,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",2
01:00,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",2
01:00,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
00:56,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",2
00:52,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
00:47,,,,,"TURNOVER  by WHITE,TIM",,,"TURNOVER  by WHITE,TIM",2
00:42,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",2
00:42,"MISS FT by PRICE,PATRICK",,,,,,,"MISS FT by PRICE,PATRICK",2
--,,,,,"REBOUND DEF by MCLEMORE,JEREMY",,,"REBOUND DEF by MCLEMORE,JEREMY",2
00:32,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
00:29,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
00:28,,,,,"STEAL  by SUMLER,LV",,,"STEAL  by SUMLER,LV",2
00:26,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",2
00:21,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",2
00:13,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
