Time Remaining,Welch,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
19:34,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",2
--,"REBOUND DEF by SMITH,SPENCER",,,,,,,"REBOUND DEF by SMITH,SPENCER",2
19:23,"TURNOVER  by HALL,ZAIMES",,,,,,,"TURNOVER  by HALL,ZAIMES",2
19:23,,,,,"STEAL  by BOULDIN,BLAKE",,,"STEAL  by BOULDIN,BLAKE",2
19:15,,,,,"TURNOVER  by BOULDIN,BLAKE",,,"TURNOVER  by BOULDIN,BLAKE",2
19:15,"STEAL  by BYRD,EJ",,,,,,,"STEAL  by BYRD,EJ",2
19:07,"MISS LAYUP by BYRD,EJ(in the paint)",,,,,,,"MISS LAYUP by BYRD,EJ(in the paint)",2
--,"REBOUND OFF by BYRD,EJ",,,,,,,"REBOUND OFF by BYRD,EJ",2
18:54,"MISS LAYUP by CHAPMAN,JC(in the paint)",,,,,,,"MISS LAYUP by CHAPMAN,JC(in the paint)",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
18:48,"FOUL  by HALL,ZAIMES",,,,,,,"FOUL  by HALL,ZAIMES",2
18:48,,27,,49 (+22),"GOOD LAYUP by BOULDIN,BLAKE(in the paint)",Sewan 27-49 (+22),,"GOOD LAYUP by BOULDIN,BLAKE(in the paint)",2
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",2
18:48,"MISS JUMPER by CHAPMAN,JC(in the paint)",,,,,,,"MISS JUMPER by CHAPMAN,JC(in the paint)",2
--,"REBOUND OFF by CHAPMAN,JC",,,,,,,"REBOUND OFF by CHAPMAN,JC",2
18:48,"MISS JUMPER by CHAPMAN,JC(in the paint)",,,,,,,"MISS JUMPER by CHAPMAN,JC(in the paint)",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
18:48,,27,,51 (+24),"GOOD JUMPER by AVALIANI,LUKA(fastbreak)",Sewan 27-51 (+24),,"GOOD JUMPER by AVALIANI,LUKA(fastbreak)",2
18:36,"MISS 3PTR by HALL,ZAIMES",,,,,,,"MISS 3PTR by HALL,ZAIMES",2
--,"REBOUND OFF by BYRD,EJ",,,,,,,"REBOUND OFF by BYRD,EJ",2
18:30,"GOOD LAYUP by HALL,ZAIMES(in the paint)",29,,51 (+22),,Welch 29-51 (+22),,"GOOD LAYUP by HALL,ZAIMES(in the paint)",2
--,"ASSIST  by BYRD,EJ",,,,,,,"ASSIST  by BYRD,EJ",2
18:21,,29,,53 (+24),"GOOD LAYUP by CRUMP,JOHN(in the paint)",Sewan 29-53 (+24),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2
18:11,"MISS JUMPER by SMITH,SPENCER(in the paint)",,,,,,,"MISS JUMPER by SMITH,SPENCER(in the paint)",2
--,,,,,"REBOUND DEF by BOULDIN,BLAKE",,,"REBOUND DEF by BOULDIN,BLAKE",2
18:02,,,,,"MISS 3PTR by BOULDIN,BLAKE",,,"MISS 3PTR by BOULDIN,BLAKE",2
--,"REBOUND DEF by CHAPMAN,JC",,,,,,,"REBOUND DEF by CHAPMAN,JC",2
17:12,,,,,"FOUL  by BOULDIN,BLAKE",,,"FOUL  by BOULDIN,BLAKE",2
17:12,"GOOD FT by SMITH,SPENCER",30,,53 (+23),,Welch 30-53 (+23),,"GOOD FT by SMITH,SPENCER",2
17:12,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",2
17:12,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",2
17:12,"SUB OUT by PRIDE,CHANCE",,,,,,,"SUB OUT by PRIDE,CHANCE",2
17:12,"SUB IN by HAYWOOD,CHAD",,,,,,,"SUB IN by HAYWOOD,CHAD",2
17:12,"GOOD FT by SMITH,SPENCER",31,,53 (+22),,Welch 31-53 (+22),,"GOOD FT by SMITH,SPENCER",2
16:54,,31,,55 (+24),"GOOD DUNK by KAHL,COLIN(in the paint)",Sewan 31-55 (+24),,"GOOD DUNK by KAHL,COLIN(in the paint)",2
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",2
16:42,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",2
16:27,"MISS 3PTR by HAYWOOD,CHAD",,,,,,,"MISS 3PTR by HAYWOOD,CHAD",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
16:03,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
16:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
16:00,"SUB OUT by BYRD,EJ",,,,,,,"SUB OUT by BYRD,EJ",2
16:00,"SUB OUT by HALL,ZAIMES",,,,,,,"SUB OUT by HALL,ZAIMES",2
16:00,"SUB IN by SCARLETT,ELI",,,,,,,"SUB IN by SCARLETT,ELI",2
16:00,"SUB IN by BOYD,HARRISON",,,,,,,"SUB IN by BOYD,HARRISON",2
16:00,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",2
16:00,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:36,"TURNOVER  by CHAPMAN,JC",,,,,,,"TURNOVER  by CHAPMAN,JC",2
15:31,"FOUL  by BOYD,HARRISON",,,,,,,"FOUL  by BOYD,HARRISON",2
15:31,,31,,56 (+25),"GOOD FT by AVALIANI,LUKA(fastbreak)",Sewan 31-56 (+25),,"GOOD FT by AVALIANI,LUKA(fastbreak)",2
15:31,,31,,57 (+26),"GOOD FT by AVALIANI,LUKA(fastbreak)",Sewan 31-57 (+26),,"GOOD FT by AVALIANI,LUKA(fastbreak)",2
15:11,,,,,"FOUL  by PERUSEK,COLE",,,"FOUL  by PERUSEK,COLE",2
15:01,"GOOD JUMPER by SMITH,SPENCER(in the paint)",33,,57 (+24),,Welch 33-57 (+24),,"GOOD JUMPER by SMITH,SPENCER(in the paint)",2
15:01,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",2
15:01,"GOOD FT by SMITH,SPENCER",34,,57 (+23),,Welch 34-57 (+23),,"GOOD FT by SMITH,SPENCER",2
14:43,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND OFF by CRUMP,JOHN",,,"REBOUND OFF by CRUMP,JOHN",2
14:37,,34,,60 (+26),"GOOD 3PTR by PERUSEK,COLE",Sewan 34-60 (+26),,"GOOD 3PTR by PERUSEK,COLE",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
14:24,"GOOD JUMPER by SMITH,SPENCER",36,,60 (+24),,Welch 36-60 (+24),,"GOOD JUMPER by SMITH,SPENCER",2
14:10,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",2
14:10,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
14:10,,,,,"SUB IN by MITCHELL,JIMMY",,,"SUB IN by MITCHELL,JIMMY",2
14:10,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",2
14:10,"SUB OUT by CHAPMAN,JC",,,,,,,"SUB OUT by CHAPMAN,JC",2
14:10,"SUB OUT by HAYWOOD,CHAD",,,,,,,"SUB OUT by HAYWOOD,CHAD",2
14:10,"SUB IN by BASS,OWEN",,,,,,,"SUB IN by BASS,OWEN",2
14:10,"SUB IN by BYRD,EJ",,,,,,,"SUB IN by BYRD,EJ",2
13:55,,,,,"MISS JUMPER by PERUSEK,COLE(in the paint)",,,"MISS JUMPER by PERUSEK,COLE(in the paint)",2
--,"REBOUND DEF by SCARLETT,ELI",,,,,,,"REBOUND DEF by SCARLETT,ELI",2
13:48,"MISS 3PTR by SMITH,SPENCER",,,,,,,"MISS 3PTR by SMITH,SPENCER",2
--,,,,,"REBOUND DEF by BOULDIN,BLAKE",,,"REBOUND DEF by BOULDIN,BLAKE",2
13:40,,,,,"TURNOVER  by BOULDIN,BLAKE",,,"TURNOVER  by BOULDIN,BLAKE",2
13:40,"STEAL  by BASS,OWEN",,,,,,,"STEAL  by BASS,OWEN",2
13:33,"GOOD JUMPER by BOYD,HARRISON(fastbreak)(in the paint)",38,,60 (+22),,Welch 38-60 (+22),,"GOOD JUMPER by BOYD,HARRISON(fastbreak)(in the paint)",2
13:19,,38,,63 (+25),"GOOD 3PTR by PERUSEK,COLE",Sewan 38-63 (+25),,"GOOD 3PTR by PERUSEK,COLE",2
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",2
12:59,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",2
12:59,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",2
12:59,"SUB OUT by SCARLETT,ELI",,,,,,,"SUB OUT by SCARLETT,ELI",2
12:59,"SUB IN by BASS,ELLIS",,,,,,,"SUB IN by BASS,ELLIS",2
12:52,"MISS JUMPER by SMITH,SPENCER(in the paint)",,,,,,,"MISS JUMPER by SMITH,SPENCER(in the paint)",2
--,"REBOUND OFF by BOYD,HARRISON",,,,,,,"REBOUND OFF by BOYD,HARRISON",2
12:48,"MISS LAYUP by BOYD,HARRISON(in the paint)",,,,,,,"MISS LAYUP by BOYD,HARRISON(in the paint)",2
--,"REBOUND OFF by BYRD,EJ",,,,,,,"REBOUND OFF by BYRD,EJ",2
12:44,"MISS LAYUP by BYRD,EJ(in the paint)",,,,,,,"MISS LAYUP by BYRD,EJ(in the paint)",2
12:44,"FOUL  by BYRD,EJ",,,,,,,"FOUL  by BYRD,EJ",2
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",2
12:18,"MISS JUMPER by SMITH,SPENCER(in the paint)",,,,,,,"MISS JUMPER by SMITH,SPENCER(in the paint)",2
12:18,,,,,"TURNOVER  by BOULDIN,BLAKE",,,"TURNOVER  by BOULDIN,BLAKE",2
--,,,,,"REBOUND DEF by PERUSEK,COLE",,,"REBOUND DEF by PERUSEK,COLE",2
12:11,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",2
12:11,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",2
12:11,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",2
12:11,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
12:11,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",2
11:57,"GOOD LAYUP by SMITH,SPENCER(in the paint)",40,,63 (+23),,Welch 40-63 (+23),,"GOOD LAYUP by SMITH,SPENCER(in the paint)",2
11:37,"FOUL  by BASS,OWEN",,,,,,,"FOUL  by BASS,OWEN",2
11:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:37,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",2
11:37,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
11:30,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by BASS,OWEN",,,,,,,"REBOUND DEF by BASS,OWEN",2
11:06,"GOOD JUMPER by SMITH,SPENCER(in the paint)",42,,63 (+21),,Welch 42-63 (+21),,"GOOD JUMPER by SMITH,SPENCER(in the paint)",2
10:49,,42,,65 (+23),"GOOD JUMPER by KAHL,COLIN(in the paint)",Sewan 42-65 (+23),,"GOOD JUMPER by KAHL,COLIN(in the paint)",2
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",2
10:31,"GOOD LAYUP by BOYD,HARRISON(in the paint)",44,,65 (+21),,Welch 44-65 (+21),,"GOOD LAYUP by BOYD,HARRISON(in the paint)",2
--,"ASSIST  by BASS,ELLIS",,,,,,,"ASSIST  by BASS,ELLIS",2
10:20,,44,,67 (+23),"GOOD JUMPER by MARR,RUSS(in the paint)",Sewan 44-67 (+23),,"GOOD JUMPER by MARR,RUSS(in the paint)",2
10:02,"TURNOVER  by BYRD,EJ",,,,,,,"TURNOVER  by BYRD,EJ",2
10:02,,,,,"STEAL  by BOULDIN,BLAKE",,,"STEAL  by BOULDIN,BLAKE",2
09:57,,,,,"MISS DUNK by KAHL,COLIN(in the paint)",,,"MISS DUNK by KAHL,COLIN(in the paint)",2
--,"REBOUND DEF by BASS,OWEN",,,,,,,"REBOUND DEF by BASS,OWEN",2
09:54,"GOOD LAYUP by SMITH,SPENCER(fastbreak)(in the paint)",46,,67 (+21),,Welch 46-67 (+21),,"GOOD LAYUP by SMITH,SPENCER(fastbreak)(in the paint)",2
--,"ASSIST  by BASS,OWEN",,,,,,,"ASSIST  by BASS,OWEN",2
09:33,,,,,"MISS 3PTR by MITCHELL,JIMMY",,,"MISS 3PTR by MITCHELL,JIMMY",2
--,"REBOUND DEF by BASS,OWEN",,,,,,,"REBOUND DEF by BASS,OWEN",2
09:15,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",2
09:15,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",2
09:15,"SUB OUT by BASS,ELLIS",,,,,,,"SUB OUT by BASS,ELLIS",2
09:15,"SUB IN by CHAPMAN,JC",,,,,,,"SUB IN by CHAPMAN,JC",2
09:15,"SUB OUT by SMITH,SPENCER",,,,,,,"SUB OUT by SMITH,SPENCER",2
09:15,"SUB IN by JIMENEZ,DREW",,,,,,,"SUB IN by JIMENEZ,DREW",2
09:13,"MISS JUMPER by BOYD,HARRISON",,,,,,,"MISS JUMPER by BOYD,HARRISON",2
--,"REBOUND OFF by BYRD,EJ",,,,,,,"REBOUND OFF by BYRD,EJ",2
09:07,,,,,"FOUL  by MITCHELL,JIMMY",,,"FOUL  by MITCHELL,JIMMY",2
09:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:07,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
09:07,"MISS FT by BYRD,EJ",,,,,,,"MISS FT by BYRD,EJ",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:07,"MISS FT by BYRD,EJ",,,,,,,"MISS FT by BYRD,EJ",2
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",2
09:00,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",2
--,,,,,"REBOUND OFF by MARR,RUSS",,,"REBOUND OFF by MARR,RUSS",2
08:38,,,,,"MISS JUMPER by MARR,RUSS",,,"MISS JUMPER by MARR,RUSS",2
--,"REBOUND DEF by JIMENEZ,DREW",,,,,,,"REBOUND DEF by JIMENEZ,DREW",2
08:22,,,,,"FOUL  by MARR,RUSS",,,"FOUL  by MARR,RUSS",2
08:21,"GOOD FT by BYRD,EJ",47,,67 (+20),,Welch 47-67 (+20),,"GOOD FT by BYRD,EJ",2
08:21,,,,,"SUB OUT by MITCHELL,JIMMY",,,"SUB OUT by MITCHELL,JIMMY",2
08:21,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",2
08:21,"GOOD FT by BYRD,EJ",48,,67 (+19),,Welch 48-67 (+19),,"GOOD FT by BYRD,EJ",2
08:21,"SUB OUT by BYRD,EJ",,,,,,,"SUB OUT by BYRD,EJ",2
08:21,"SUB IN by KENDRICK,YOSHI",,,,,,,"SUB IN by KENDRICK,YOSHI",2
08:02,,48,,69 (+21),"GOOD JUMPER by KAHL,COLIN(in the paint)",Sewan 48-69 (+21),,"GOOD JUMPER by KAHL,COLIN(in the paint)",2
07:42,"MISS LAYUP by BOYD,HARRISON(in the paint)",,,,,,,"MISS LAYUP by BOYD,HARRISON(in the paint)",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
07:37,,48,,71 (+23),"GOOD JUMPER by PERUSEK,COLE(fastbreak)(in the paint)",Sewan 48-71 (+23),,"GOOD JUMPER by PERUSEK,COLE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",2
07:27,"MISS JUMPER by BASS,OWEN(in the paint)",,,,,,,"MISS JUMPER by BASS,OWEN(in the paint)",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
07:17,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",2
--,"REBOUND DEF by BASS,OWEN",,,,,,,"REBOUND DEF by BASS,OWEN",2
07:01,"GOOD LAYUP by JIMENEZ,DREW(in the paint)",50,,71 (+21),,Welch 50-71 (+21),,"GOOD LAYUP by JIMENEZ,DREW(in the paint)",2
07:01,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",2
07:01,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:01,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
07:01,,,,,"SUB IN by MITCHELL,JIMMY",,,"SUB IN by MITCHELL,JIMMY",2
07:01,"GOOD FT by JIMENEZ,DREW",51,,71 (+20),,Welch 51-71 (+20),,"GOOD FT by JIMENEZ,DREW",2
06:42,,51,,73 (+22),"GOOD JUMPER by CRUMP,JOHN(in the paint)",Sewan 51-73 (+22),,"GOOD JUMPER by CRUMP,JOHN(in the paint)",2
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",2
06:25,"GOOD JUMPER by KENDRICK,YOSHI",53,,73 (+20),,Welch 53-73 (+20),,"GOOD JUMPER by KENDRICK,YOSHI",2
06:12,,53,,75 (+22),"GOOD JUMPER by KAHL,COLIN(in the paint)",Sewan 53-75 (+22),,"GOOD JUMPER by KAHL,COLIN(in the paint)",2
05:47,"MISS JUMPER by BOYD,HARRISON(in the paint)",,,,,,,"MISS JUMPER by BOYD,HARRISON(in the paint)",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
05:30,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
05:30,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",2
05:30,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",2
05:30,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",2
05:30,"SUB OUT by BASS,OWEN",,,,,,,"SUB OUT by BASS,OWEN",2
05:30,"SUB OUT by BOYD,HARRISON",,,,,,,"SUB OUT by BOYD,HARRISON",2
05:30,"SUB OUT by JIMENEZ,DREW",,,,,,,"SUB OUT by JIMENEZ,DREW",2
05:30,"SUB IN by SMITH,SPENCER",,,,,,,"SUB IN by SMITH,SPENCER",2
05:30,"SUB IN by BYRD,EJ",,,,,,,"SUB IN by BYRD,EJ",2
05:30,"SUB IN by HALL,ZAIMES",,,,,,,"SUB IN by HALL,ZAIMES",2
05:25,,,,,"TURNOVER  by MITCHELL,JIMMY",,,"TURNOVER  by MITCHELL,JIMMY",2
05:23,"TURNOVER  by SMITH,SPENCER",,,,,,,"TURNOVER  by SMITH,SPENCER",2
05:23,,,,,"MISS JUMPER by MITCHELL,JIMMY(in the paint)",,,"MISS JUMPER by MITCHELL,JIMMY(in the paint)",2
--,"REBOUND DEF by KENDRICK,YOSHI",,,,,,,"REBOUND DEF by KENDRICK,YOSHI",2
05:23,"MISS JUMPER by SMITH,SPENCER(in the paint)",,,,,,,"MISS JUMPER by SMITH,SPENCER(in the paint)",2
--,,,,,"REBOUND DEF by MITCHELL,JIMMY",,,"REBOUND DEF by MITCHELL,JIMMY",2
04:45,,53,,77 (+24),"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 53-77 (+24),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
--,,,,,"ASSIST  by PERUSEK,COLE",,,"ASSIST  by PERUSEK,COLE",2
04:31,"GOOD JUMPER by CHAPMAN,JC(fastbreak)(in the paint)",55,,77 (+22),,Welch 55-77 (+22),,"GOOD JUMPER by CHAPMAN,JC(fastbreak)(in the paint)",2
04:29,,55,,80 (+25),"GOOD 3PTR by MARR,RUSS(fastbreak)",Sewan 55-80 (+25),,"GOOD 3PTR by MARR,RUSS(fastbreak)",2
--,,,,,"ASSIST  by BOULDIN,BLAKE",,,"ASSIST  by BOULDIN,BLAKE",2
04:11,"GOOD JUMPER by SMITH,SPENCER(fastbreak)",57,,80 (+23),,Welch 57-80 (+23),,"GOOD JUMPER by SMITH,SPENCER(fastbreak)",2
03:35,"GOOD JUMPER by BYRD,EJ(in the paint)",59,,80 (+21),,Welch 59-80 (+21),,"GOOD JUMPER by BYRD,EJ(in the paint)",2
03:35,,,,,"FOUL  by MITCHELL,JIMMY",,,"FOUL  by MITCHELL,JIMMY",2
03:35,,,,,"TURNOVER  by MITCHELL,JIMMY",,,"TURNOVER  by MITCHELL,JIMMY",2
03:35,"GOOD FT by BYRD,EJ",60,,80 (+20),,Welch 60-80 (+20),,"GOOD FT by BYRD,EJ",2
03:35,"SUB OUT by BYRD,EJ",,,,,,,"SUB OUT by BYRD,EJ",2
03:35,"SUB IN by BASS,ELLIS",,,,,,,"SUB IN by BASS,ELLIS",2
03:11,,,,,"MISS JUMPER by MARR,RUSS(in the paint)",,,"MISS JUMPER by MARR,RUSS(in the paint)",2
--,"REBOUND DEF by BASS,ELLIS",,,,,,,"REBOUND DEF by BASS,ELLIS",2
02:53,"MISS JUMPER by SMITH,SPENCER",,,,,,,"MISS JUMPER by SMITH,SPENCER",2
--,,,,,"REBOUND DEF by MITCHELL,JIMMY",,,"REBOUND DEF by MITCHELL,JIMMY",2
02:44,,60,,82 (+22),"GOOD JUMPER by MITCHELL,JIMMY(in the paint)",Sewan 60-82 (+22),,"GOOD JUMPER by MITCHELL,JIMMY(in the paint)",2
02:27,"GOOD JUMPER by KENDRICK,YOSHI(in the paint)",62,,82 (+20),,Welch 62-82 (+20),,"GOOD JUMPER by KENDRICK,YOSHI(in the paint)",2
02:12,"GOOD JUMPER by BASS,ELLIS(in the paint)",64,,82 (+18),,Welch 64-82 (+18),,"GOOD JUMPER by BASS,ELLIS(in the paint)",2
02:12,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",2
02:12,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",2
02:12,,,,,"SUB IN by FOLK,BEN",,,"SUB IN by FOLK,BEN",2
02:12,,,,,"SUB IN by PRICE,CAL",,,"SUB IN by PRICE,CAL",2
02:12,,,,,"TURNOVER  by MITCHELL,JIMMY",,,"TURNOVER  by MITCHELL,JIMMY",2
01:40,"FOUL  by HALL,ZAIMES",,,,,,,"FOUL  by HALL,ZAIMES",2
01:40,,,,,"MISS FT by BOULDIN,BLAKE",,,"MISS FT by BOULDIN,BLAKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:40,"SUB OUT by SMITH,SPENCER",,,,,,,"SUB OUT by SMITH,SPENCER",2
01:40,"SUB IN by PRIDE,CHANCE",,,,,,,"SUB IN by PRIDE,CHANCE",2
01:40,,64,,83 (+19),"GOOD FT by BOULDIN,BLAKE",Sewan 64-83 (+19),,"GOOD FT by BOULDIN,BLAKE",2
01:40,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",2
01:40,,,,,"SUB IN by RODRIGUEZ,ALEXANDER",,,"SUB IN by RODRIGUEZ,ALEXANDER",2
01:30,"TURNOVER  by HALL,ZAIMES",,,,,,,"TURNOVER  by HALL,ZAIMES",2
01:30,"SUB OUT by CHAPMAN,JC",,,,,,,"SUB OUT by CHAPMAN,JC",2
01:30,"SUB IN by BASS,OWEN",,,,,,,"SUB IN by BASS,OWEN",2
01:08,,,,,"TURNOVER  by FOLK,BEN",,,"TURNOVER  by FOLK,BEN",2
01:08,"STEAL  by KENDRICK,YOSHI",,,,,,,"STEAL  by KENDRICK,YOSHI",2
00:59,"TURNOVER  by PRIDE,CHANCE",,,,,,,"TURNOVER  by PRIDE,CHANCE",2
00:59,,,,,"STEAL  by PRICE,CAL",,,"STEAL  by PRICE,CAL",2
00:51,,,,,"TURNOVER  by RODRIGUEZ,ALEXANDER",,,"TURNOVER  by RODRIGUEZ,ALEXANDER",2
00:47,"GOOD 3PTR by BASS,ELLIS",67,,83 (+16),,Welch 67-83 (+16),,"GOOD 3PTR by BASS,ELLIS",2
--,"ASSIST  by KENDRICK,YOSHI",,,,,,,"ASSIST  by KENDRICK,YOSHI",2
00:25,,67,,85 (+18),"GOOD JUMPER by PRICE,CAL(in the paint)",Sewan 67-85 (+18),,"GOOD JUMPER by PRICE,CAL(in the paint)",2
--,,,,,"ASSIST  by RODRIGUEZ,ALEXANDER",,,"ASSIST  by RODRIGUEZ,ALEXANDER",2
00:25,"FOUL  by BASS,OWEN",,,,,,,"FOUL  by BASS,OWEN",2
00:25,,,,,"MISS FT by PRICE,CAL",,,"MISS FT by PRICE,CAL",2
--,"REBOUND DEF by BASS,ELLIS",,,,,,,"REBOUND DEF by BASS,ELLIS",2
00:13,"MISS LAYUP by KENDRICK,YOSHI(in the paint)",,,,,,,"MISS LAYUP by KENDRICK,YOSHI(in the paint)",2
--,,,,,"REBOUND DEF by PERUSEK,COLE",,,"REBOUND DEF by PERUSEK,COLE",2
