Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
12:04,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
12:04,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
12:04,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
12:04,"SUB OUT by PALMER,BRADY",,,,,,,"SUB OUT by PALMER,BRADY",1
12:04,"SUB OUT by PEARLMAN,LOGAN",,,,,,,"SUB OUT by PEARLMAN,LOGAN",1
12:04,"SUB OUT by KINARD,JESSE",,,,,,,"SUB OUT by KINARD,JESSE",1
12:04,"SUB IN by HESTER,CHARLIE",,,,,,,"SUB IN by HESTER,CHARLIE",1
12:04,"SUB IN by GERNATT,JONATHAN",,,,,,,"SUB IN by GERNATT,JONATHAN",1
12:04,"SUB IN by JONES,MYLES",,,,,,,"SUB IN by JONES,MYLES",1
12:02,"GOOD FT by FITZGERALD,JACKSON",16 (+6),,10,,COV 16-10 (-6),,"GOOD FT by FITZGERALD,JACKSON",1
11:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:49,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
11:49,"SUB OUT by FITZGERALD,JACKSON",,,,,,,"SUB OUT by FITZGERALD,JACKSON",1
11:49,"SUB IN by BARNETTE,CHRIS",,,,,,,"SUB IN by BARNETTE,CHRIS",1
11:49,"SUB IN by CRUMLY,WILL",,,,,,,"SUB IN by CRUMLY,WILL",1
11:26,,,,,"MISS JUMPER by CORRIGAN,TRE",,,"MISS JUMPER by CORRIGAN,TRE",1
--,"REBOUND DEF by HESTER,CHARLIE",,,,,,,"REBOUND DEF by HESTER,CHARLIE",1
11:20,"GOOD 3PTR by JONES,MYLES(fastbreak)",19 (+9),,10,,COV 19-10 (-9),,"GOOD 3PTR by JONES,MYLES(fastbreak)",1
--,"ASSIST  by BARNETTE,CHRIS",,,,,,,"ASSIST  by BARNETTE,CHRIS",1
11:01,"FOUL  by BARNETTE,CHRIS",,,,,,,"FOUL  by BARNETTE,CHRIS",1
11:01,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",1
11:01,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
11:01,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
11:01,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",1
