Time Remaining,BREV,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
16:36,,,,,"MISS 3PTR by SMITH,GRAHAM",,,"MISS 3PTR by SMITH,GRAHAM",2
--,"REBOUND DEF by CARTER,QUINCY",,,,,,,"REBOUND DEF by CARTER,QUINCY",2
16:17,"MISS LAYUP by REED,CHARLES(in the paint)",,,,,,,"MISS LAYUP by REED,CHARLES(in the paint)",2
--,"REBOUND OFF by REED,CHARLES",,,,,,,"REBOUND OFF by REED,CHARLES",2
16:11,"GOOD 3PTR by CARTER,QUINCY",44 (+7),,37,,BREV 44-37 (-7),,"GOOD 3PTR by CARTER,QUINCY",2
--,"ASSIST  by REED,CHARLES",,,,,,,"ASSIST  by REED,CHARLES",2
16:07,"SUB OUT by CARTER,QUINCY",,,,,,,"SUB OUT by CARTER,QUINCY",2
16:07,"SUB IN by CRAWFORD,PARIS",,,,,,,"SUB IN by CRAWFORD,PARIS",2
15:59,"FOUL  by BOYETTE,LB",,,,,,,"FOUL  by BOYETTE,LB",2
15:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:59,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",2
15:59,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",2
15:40,,,,,"TURNOVER  by SMITH,GRAHAM",,,"TURNOVER  by SMITH,GRAHAM",2
15:40,"STEAL  by REED,CHARLES",,,,,,,"STEAL  by REED,CHARLES",2
15:26,"TURNOVER  by SEALY,DAVID",,,,,,,"TURNOVER  by SEALY,DAVID",2
15:26,,,,,"STEAL  by CORRIGAN,TRE",,,"STEAL  by CORRIGAN,TRE",2
15:18,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",2
15:02,"MISS JUMPER by BOYETTE,LB(in the paint)",,,,,,,"MISS JUMPER by BOYETTE,LB(in the paint)",2
--,,,,,"REBOUND DEF by PERUSEK,COLE",,,"REBOUND DEF by PERUSEK,COLE",2
14:39,,,,,"TURNOVER  by SMITH,GRAHAM",,,"TURNOVER  by SMITH,GRAHAM",2
14:39,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",2
14:39,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",2
14:39,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",2
14:39,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
14:39,"SUB OUT by BLEYNAT,LUKE",,,,,,,"SUB OUT by BLEYNAT,LUKE",2
14:39,"SUB IN by PETERS,MICHAEL",,,,,,,"SUB IN by PETERS,MICHAEL",2
14:27,"MISS 3PTR by CRAWFORD,PARIS",,,,,,,"MISS 3PTR by CRAWFORD,PARIS",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
14:04,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
13:59,,44 (+5),,39,"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 44-39 (-5),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
13:41,"MISS 3PTR by BOYETTE,LB",,,,,,,"MISS 3PTR by BOYETTE,LB",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
13:15,,,,,"MISS 3PTR by KAHL,COLIN",,,"MISS 3PTR by KAHL,COLIN",2
--,"REBOUND DEF by SEALY,DAVID",,,,,,,"REBOUND DEF by SEALY,DAVID",2
12:53,"MISS 3PTR by BOYETTE,LB",,,,,,,"MISS 3PTR by BOYETTE,LB",2
--,,,,,"REBOUND DEF by PERUSEK,COLE",,,"REBOUND DEF by PERUSEK,COLE",2
12:31,,,,,"MISS JUMPER by PERUSEK,COLE(in the paint)",,,"MISS JUMPER by PERUSEK,COLE(in the paint)",2
--,"REBOUND DEF by PETERS,MICHAEL",,,,,,,"REBOUND DEF by PETERS,MICHAEL",2
12:00,"MISS 3PTR by SEALY,DAVID",,,,,,,"MISS 3PTR by SEALY,DAVID",2
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",2
11:52,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by BOYETTE,LB",,,,,,,"REBOUND DEF by BOYETTE,LB",2
11:25,"GOOD JUMPER by BOYETTE,LB(in the paint)",46 (+7),,39,,BREV 46-39 (-7),,"GOOD JUMPER by BOYETTE,LB(in the paint)",2
11:08,,46 (+5),,41,"GOOD DUNK by KAHL,COLIN(in the paint)",Sewan 46-41 (-5),,"GOOD DUNK by KAHL,COLIN(in the paint)",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
11:08,"FOUL  by PETERS,MICHAEL",,,,,,,"FOUL  by PETERS,MICHAEL",2
11:08,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:08,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",2
11:08,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",2
11:08,"SUB OUT by CRAWFORD,PARIS",,,,,,,"SUB OUT by CRAWFORD,PARIS",2
11:08,"SUB OUT by SEALY,DAVID",,,,,,,"SUB OUT by SEALY,DAVID",2
11:08,"SUB OUT by BOYETTE,LB",,,,,,,"SUB OUT by BOYETTE,LB",2
11:08,"SUB IN by EVANS,CARSON",,,,,,,"SUB IN by EVANS,CARSON",2
11:08,"SUB IN by CASSELL,HAYDEN",,,,,,,"SUB IN by CASSELL,HAYDEN",2
11:08,"SUB IN by WATSON,CHANCEY",,,,,,,"SUB IN by WATSON,CHANCEY",2
11:08,,46 (+4),,42,"GOOD FT by KAHL,COLIN",Sewan 46-42 (-4),,"GOOD FT by KAHL,COLIN",2
10:44,"MISS LAYUP by EVANS,CARSON(in the paint)",,,,,,,"MISS LAYUP by EVANS,CARSON(in the paint)",2
--,"REBOUND OFF by EVANS,CARSON",,,,,,,"REBOUND OFF by EVANS,CARSON",2
10:44,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",2
10:44,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
10:44,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",2
10:28,"MISS LAYUP by CASSELL,HAYDEN(in the paint)",,,,,,,"MISS LAYUP by CASSELL,HAYDEN(in the paint)",2
10:28,,,,,"BLOCK  by SMITH,GRAHAM",,,"BLOCK  by SMITH,GRAHAM",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
10:03,,46 (+2),,44,"GOOD JUMPER by MARR,RUSS(in the paint)",Sewan 46-44 (-2),,"GOOD JUMPER by MARR,RUSS(in the paint)",2
10:03,"FOUL  by PETERS,MICHAEL",,,,,,,"FOUL  by PETERS,MICHAEL",2
10:03,,46 (+1),,45,"GOOD FT by MARR,RUSS",Sewan 46-45 (-1),,"GOOD FT by MARR,RUSS",2
09:51,"TURNOVER  by WATSON,CHANCEY",,,,,,,"TURNOVER  by WATSON,CHANCEY",2
09:51,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
09:51,,,,,"SUB IN by MITCHELL,JIMMY",,,"SUB IN by MITCHELL,JIMMY",2
09:51,"SUB OUT by REED,CHARLES",,,,,,,"SUB OUT by REED,CHARLES",2
09:51,"SUB IN by CARTER,QUINCY",,,,,,,"SUB IN by CARTER,QUINCY",2
09:49,,,,,"MISS JUMPER by BOULDIN,BLAKE",,,"MISS JUMPER by BOULDIN,BLAKE",2
09:49,"BLOCK  by PETERS,MICHAEL",,,,,,,"BLOCK  by PETERS,MICHAEL",2
--,,,,,"REBOUND OFF by BOULDIN,BLAKE",,,"REBOUND OFF by BOULDIN,BLAKE",2
09:44,,,,,"MISS JUMPER by BOULDIN,BLAKE(in the paint)",,,"MISS JUMPER by BOULDIN,BLAKE(in the paint)",2
--,"REBOUND DEF by CASSELL,HAYDEN",,,,,,,"REBOUND DEF by CASSELL,HAYDEN",2
09:27,"MISS JUMPER by WATSON,CHANCEY",,,,,,,"MISS JUMPER by WATSON,CHANCEY",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
08:59,,,,,"MISS JUMPER by AVALIANI,LUKA",,,"MISS JUMPER by AVALIANI,LUKA",2
--,"REBOUND DEF by CASSELL,HAYDEN",,,,,,,"REBOUND DEF by CASSELL,HAYDEN",2
08:48,"MISS 3PTR by CARTER,QUINCY",,,,,,,"MISS 3PTR by CARTER,QUINCY",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
08:24,,46,,47 (+1),"GOOD LAYUP by BOULDIN,BLAKE(in the paint)",Sewan 46-47 (+1),,"GOOD LAYUP by BOULDIN,BLAKE(in the paint)",2
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",2
08:08,"MISS 3PTR by CASSELL,HAYDEN",,,,,,,"MISS 3PTR by CASSELL,HAYDEN",2
--,"REBOUND OFF by EVANS,CARSON",,,,,,,"REBOUND OFF by EVANS,CARSON",2
08:07,"FOUL  by EVANS,CARSON",,,,,,,"FOUL  by EVANS,CARSON",2
08:07,"TURNOVER  by EVANS,CARSON",,,,,,,"TURNOVER  by EVANS,CARSON",2
08:07,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:59,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",2
07:59,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",2
07:59,"SUB OUT by PETERS,MICHAEL",,,,,,,"SUB OUT by PETERS,MICHAEL",2
07:59,"SUB IN by SMITH,RYAN",,,,,,,"SUB IN by SMITH,RYAN",2
07:50,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by CASSELL,HAYDEN",,,,,,,"REBOUND DEF by CASSELL,HAYDEN",2
07:32,"MISS JUMPER by WATSON,CHANCEY",,,,,,,"MISS JUMPER by WATSON,CHANCEY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
07:21,"MISS JUMPER by CARTER,QUINCY(in the paint)",,,,,,,"MISS JUMPER by CARTER,QUINCY(in the paint)",2
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",2
07:18,"FOUL  by WATSON,CHANCEY",,,,,,,"FOUL  by WATSON,CHANCEY",2
06:56,,46,,49 (+3),"GOOD JUMPER by SMITH,GRAHAM(in the paint)",Sewan 46-49 (+3),,"GOOD JUMPER by SMITH,GRAHAM(in the paint)",2
06:56,"FOUL  by EVANS,CARSON",,,,,,,"FOUL  by EVANS,CARSON",2
06:56,,,,,"MISS FT by SMITH,GRAHAM",,,"MISS FT by SMITH,GRAHAM",2
--,"REBOUND DEF by SMITH,RYAN",,,,,,,"REBOUND DEF by SMITH,RYAN",2
06:33,"GOOD LAYUP by CASSELL,HAYDEN(in the paint)",48,,49 (+1),,BREV 48-49 (+1),,"GOOD LAYUP by CASSELL,HAYDEN(in the paint)",2
06:13,,48,,51 (+3),"GOOD LAYUP by AVALIANI,LUKA(in the paint)",Sewan 48-51 (+3),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
05:47,"GOOD LAYUP by SMITH,RYAN(in the paint)",50,,51 (+1),,BREV 50-51 (+1),,"GOOD LAYUP by SMITH,RYAN(in the paint)",2
--,"ASSIST  by WATSON,CHANCEY",,,,,,,"ASSIST  by WATSON,CHANCEY",2
05:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
05:43,,,,,"SUB OUT by MITCHELL,JIMMY",,,"SUB OUT by MITCHELL,JIMMY",2
05:43,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",2
05:43,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",2
05:43,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",2
05:32,"FOUL  by EVANS,CARSON",,,,,,,"FOUL  by EVANS,CARSON",2
05:32,,,,,"MISS FT by BOULDIN,BLAKE",,,"MISS FT by BOULDIN,BLAKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:32,,50,,52 (+2),"GOOD FT by BOULDIN,BLAKE",Sewan 50-52 (+2),,"GOOD FT by BOULDIN,BLAKE",2
05:13,"MISS JUMPER by WATSON,CHANCEY",,,,,,,"MISS JUMPER by WATSON,CHANCEY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:08,"SUB OUT by SMITH,RYAN",,,,,,,"SUB OUT by SMITH,RYAN",2
05:08,"SUB OUT by CASSELL,HAYDEN",,,,,,,"SUB OUT by CASSELL,HAYDEN",2
05:08,"SUB IN by BOYETTE,LB",,,,,,,"SUB IN by BOYETTE,LB",2
05:08,"SUB IN by BLEYNAT,LUKE",,,,,,,"SUB IN by BLEYNAT,LUKE",2
04:56,"MISS LAYUP by BOYETTE,LB(in the paint)",,,,,,,"MISS LAYUP by BOYETTE,LB(in the paint)",2
04:56,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",2
--,,,,,"REBOUND DEF by BOULDIN,BLAKE",,,"REBOUND DEF by BOULDIN,BLAKE",2
04:41,,50,,55 (+5),"GOOD 3PTR by CORRIGAN,TRE",Sewan 50-55 (+5),,"GOOD 3PTR by CORRIGAN,TRE",2
--,,,,,"ASSIST  by PERUSEK,COLE",,,"ASSIST  by PERUSEK,COLE",2
04:15,"GOOD 3PTR by WATSON,CHANCEY",53,,55 (+2),,BREV 53-55 (+2),,"GOOD 3PTR by WATSON,CHANCEY",2
--,"ASSIST  by BOYETTE,LB",,,,,,,"ASSIST  by BOYETTE,LB",2
04:12,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",2
04:12,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",2
04:12,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",2
04:12,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
04:12,"SUB OUT by EVANS,CARSON",,,,,,,"SUB OUT by EVANS,CARSON",2
04:12,"SUB IN by SEALY,DAVID",,,,,,,"SUB IN by SEALY,DAVID",2
04:04,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",2
03:44,"MISS LAYUP by SEALY,DAVID(in the paint)",,,,,,,"MISS LAYUP by SEALY,DAVID(in the paint)",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
03:32,,53,,57 (+4),"GOOD JUMPER by AVALIANI,LUKA(in the paint)",Sewan 53-57 (+4),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
03:17,"GOOD 3PTR by WATSON,CHANCEY",56,,57 (+1),,BREV 56-57 (+1),,"GOOD 3PTR by WATSON,CHANCEY",2
--,"ASSIST  by CARTER,QUINCY",,,,,,,"ASSIST  by CARTER,QUINCY",2
02:48,,56,,59 (+3),"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 56-59 (+3),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
02:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
02:45,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",2
02:45,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",2
02:29,"GOOD LAYUP by BLEYNAT,LUKE(in the paint)",58,,59 (+1),,BREV 58-59 (+1),,"GOOD LAYUP by BLEYNAT,LUKE(in the paint)",2
--,"ASSIST  by CARTER,QUINCY",,,,,,,"ASSIST  by CARTER,QUINCY",2
02:10,,58,,61 (+3),"GOOD JUMPER by AVALIANI,LUKA(in the paint)",Sewan 58-61 (+3),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",2
01:41,"GOOD 3PTR by CARTER,QUINCY",61,,61,,BREV 61-61 (0),,"GOOD 3PTR by CARTER,QUINCY",2
--,"ASSIST  by BOYETTE,LB",,,,,,,"ASSIST  by BOYETTE,LB",2
01:18,,61,,64 (+3),"GOOD 3PTR by MARR,RUSS",Sewan 61-64 (+3),,"GOOD 3PTR by MARR,RUSS",2
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",2
01:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:15,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
01:15,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",2
00:51,"GOOD 3PTR by SEALY,DAVID",64,,64,,BREV 64-64 (0),,"GOOD 3PTR by SEALY,DAVID",2
--,"ASSIST  by CARTER,QUINCY",,,,,,,"ASSIST  by CARTER,QUINCY",2
00:46,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:46,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",2
00:46,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",2
00:46,"SUB OUT by WATSON,CHANCEY",,,,,,,"SUB OUT by WATSON,CHANCEY",2
00:46,"SUB OUT by BLEYNAT,LUKE",,,,,,,"SUB OUT by BLEYNAT,LUKE",2
00:46,"SUB IN by REED,CHARLES",,,,,,,"SUB IN by REED,CHARLES",2
00:46,"SUB IN by PETERS,MICHAEL",,,,,,,"SUB IN by PETERS,MICHAEL",2
00:39,,64,,66 (+2),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 64-66 (+2),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",2
00:17,"GOOD LAYUP by SEALY,DAVID(in the paint)",66,,66,,BREV 66-66 (0),,"GOOD LAYUP by SEALY,DAVID(in the paint)",2
--,"ASSIST  by PETERS,MICHAEL",,,,,,,"ASSIST  by PETERS,MICHAEL",2
00:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:01,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",2
00:01,"STEAL  by PETERS,MICHAEL",,,,,,,"STEAL  by PETERS,MICHAEL",2
00:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:01,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
00:01,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",2
00:01,"SUB OUT by REED,CHARLES",,,,,,,"SUB OUT by REED,CHARLES",2
00:01,"SUB IN by WATSON,CHANCEY",,,,,,,"SUB IN by WATSON,CHANCEY",2
00:00,"TURNOVER  by CARTER,QUINCY",,,,,,,"TURNOVER  by CARTER,QUINCY",2
00:00,,,,,"STEAL  by SMITH,GRAHAM",,,"STEAL  by SMITH,GRAHAM",2
05:00,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",3
05:00,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",3
04:47,,66,,68 (+2),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 66-68 (+2),,"GOOD LAYUP by KAHL,COLIN(in the paint)",3
04:37,"TURNOVER  by CARTER,QUINCY",,,,,,,"TURNOVER  by CARTER,QUINCY",3
04:37,,,,,"STEAL  by MARR,RUSS",,,"STEAL  by MARR,RUSS",3
04:34,,66,,70 (+4),"GOOD LAYUP by MARR,RUSS(fastbreak)(in the paint)",Sewan 66-70 (+4),,"GOOD LAYUP by MARR,RUSS(fastbreak)(in the paint)",3
04:19,"GOOD LAYUP by PETERS,MICHAEL(in the paint)",68,,70 (+2),,BREV 68-70 (+2),,"GOOD LAYUP by PETERS,MICHAEL(in the paint)",3
--,"ASSIST  by CARTER,QUINCY",,,,,,,"ASSIST  by CARTER,QUINCY",3
04:05,,68,,73 (+5),"GOOD 3PTR by MARR,RUSS",Sewan 68-73 (+5),,"GOOD 3PTR by MARR,RUSS",3
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",3
03:43,"GOOD JUMPER by BOYETTE,LB",70,,73 (+3),,BREV 70-73 (+3),,"GOOD JUMPER by BOYETTE,LB",3
--,"ASSIST  by SEALY,DAVID",,,,,,,"ASSIST  by SEALY,DAVID",3
03:24,,70,,75 (+5),"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 70-75 (+5),,"GOOD LAYUP by MARR,RUSS(in the paint)",3
03:24,"FOUL  by SEALY,DAVID",,,,,,,"FOUL  by SEALY,DAVID",3
03:24,"SUB OUT by PETERS,MICHAEL",,,,,,,"SUB OUT by PETERS,MICHAEL",3
03:24,"SUB IN by BLEYNAT,LUKE",,,,,,,"SUB IN by BLEYNAT,LUKE",3
03:24,,70,,76 (+6),"GOOD FT by MARR,RUSS",Sewan 70-76 (+6),,"GOOD FT by MARR,RUSS",3
03:11,"MISS 3PTR by CARTER,QUINCY",,,,,,,"MISS 3PTR by CARTER,QUINCY",3
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",3
02:57,,,,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",3
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,3
02:42,,70,,78 (+8),"GOOD JUMPER by AVALIANI,LUKA",Sewan 70-78 (+8),,"GOOD JUMPER by AVALIANI,LUKA",3
02:24,"MISS 3PTR by SEALY,DAVID",,,,,,,"MISS 3PTR by SEALY,DAVID",3
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",3
02:03,,70,,81 (+11),"GOOD 3PTR by CORRIGAN,TRE",Sewan 70-81 (+11),,"GOOD 3PTR by CORRIGAN,TRE",3
--,,,,,"ASSIST  by BOULDIN,BLAKE",,,"ASSIST  by BOULDIN,BLAKE",3
01:44,"GOOD JUMPER by BLEYNAT,LUKE(in the paint)",72,,81 (+9),,BREV 72-81 (+9),,"GOOD JUMPER by BLEYNAT,LUKE(in the paint)",3
--,"ASSIST  by CARTER,QUINCY",,,,,,,"ASSIST  by CARTER,QUINCY",3
01:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
01:43,"SUB OUT by CARTER,QUINCY",,,,,,,"SUB OUT by CARTER,QUINCY",3
01:43,"SUB OUT by BLEYNAT,LUKE",,,,,,,"SUB OUT by BLEYNAT,LUKE",3
01:43,"SUB IN by CRAWFORD,PARIS",,,,,,,"SUB IN by CRAWFORD,PARIS",3
01:43,"SUB IN by REED,CHARLES",,,,,,,"SUB IN by REED,CHARLES",3
01:36,"FOUL  by SEALY,DAVID",,,,,,,"FOUL  by SEALY,DAVID",3
01:36,,,,,"MISS FT by AVALIANI,LUKA(fastbreak)",,,"MISS FT by AVALIANI,LUKA(fastbreak)",3
--,"REBOUND DEF by CRAWFORD,PARIS",,,,,,,"REBOUND DEF by CRAWFORD,PARIS",3
01:13,"MISS LAYUP by BOYETTE,LB(in the paint)",,,,,,,"MISS LAYUP by BOYETTE,LB(in the paint)",3
--,"REBOUND OFF by CRAWFORD,PARIS",,,,,,,"REBOUND OFF by CRAWFORD,PARIS",3
01:05,"SUB OUT by CRAWFORD,PARIS",,,,,,,"SUB OUT by CRAWFORD,PARIS",3
01:05,"SUB IN by BLEYNAT,LUKE",,,,,,,"SUB IN by BLEYNAT,LUKE",3
00:53,"MISS 3PTR by BOYETTE,LB",,,,,,,"MISS 3PTR by BOYETTE,LB",3
--,"REBOUND OFF by BLEYNAT,LUKE",,,,,,,"REBOUND OFF by BLEYNAT,LUKE",3
00:46,"MISS JUMPER by WATSON,CHANCEY(in the paint)",,,,,,,"MISS JUMPER by WATSON,CHANCEY(in the paint)",3
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",3
00:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,3
00:32,"SUB OUT by BLEYNAT,LUKE",,,,,,,"SUB OUT by BLEYNAT,LUKE",3
00:32,"SUB IN by CRAWFORD,PARIS",,,,,,,"SUB IN by CRAWFORD,PARIS",3
00:27,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",3
00:27,"SUB OUT by CRAWFORD,PARIS",,,,,,,"SUB OUT by CRAWFORD,PARIS",3
00:27,"SUB IN by BLEYNAT,LUKE",,,,,,,"SUB IN by BLEYNAT,LUKE",3
00:19,"MISS 3PTR by BOYETTE,LB",,,,,,,"MISS 3PTR by BOYETTE,LB",3
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,3
