Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,PUM,Game Score,Team Indicator,Play,Period
11:33,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
11:24,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",1
11:23,,,,,"STEAL  by CLEMENTS-OWENS,ORRY",,,"STEAL  by CLEMENTS-OWENS,ORRY",1
11:19,,13,,17 (+4),"GOOD JUMPER by CLEMENTS-OWENS,ORRY",PUM 13-17 (-4),,"GOOD JUMPER by CLEMENTS-OWENS,ORRY",1
10:58,"MISS JUMPER by KAHL,COLIN",,,,,,,"MISS JUMPER by KAHL,COLIN",1
10:58,,,,,"BLOCK  by JOLLY,RYAN",,,"BLOCK  by JOLLY,RYAN",1
--,,,,,"REBOUND DEF by PALMER,AARON",,,"REBOUND DEF by PALMER,AARON",1
10:55,,,,,"TURNOVER  by JOLLY,RYAN",,,"TURNOVER  by JOLLY,RYAN",1
10:55,,,,,"FOUL  by JOLLY,RYAN",,,"FOUL  by JOLLY,RYAN",1
10:46,"GOOD 3PTR by MARR,RUSS",16,,17 (+1),,SEWANEE 16-17 (-1),,"GOOD 3PTR by MARR,RUSS",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
10:28,,,,,"TURNOVER  by RICHTER,WILL",,,"TURNOVER  by RICHTER,WILL",1
10:27,"STEAL  by CRUMP,JOHN",,,,,,,"STEAL  by CRUMP,JOHN",1
10:18,"GOOD 3PTR by MARR,RUSS",19 (+2),,17,,SEWANEE 19-17 (+2),,"GOOD 3PTR by MARR,RUSS",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
10:00,,19,,19,"GOOD JUMPER by MEELER,DALTON",PUM 19-19 (0),,"GOOD JUMPER by MEELER,DALTON",1
--,,,,,"ASSIST  by JOLLY,RYAN",,,"ASSIST  by JOLLY,RYAN",1
09:49,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by MEELER,DALTON",,,"REBOUND DEF by MEELER,DALTON",1
09:38,,,,,"TURNOVER  by JOLLY,RYAN",,,"TURNOVER  by JOLLY,RYAN",1
09:36,"STEAL  by CRUMP,JOHN",,,,,,,"STEAL  by CRUMP,JOHN",1
09:33,"GOOD LAYUP by CRUMP,JOHN(fastbreak)(in the paint)",21 (+2),,19,,SEWANEE 21-19 (+2),,"GOOD LAYUP by CRUMP,JOHN(fastbreak)(in the paint)",1
09:12,,,,,"MISS LAYUP by PALMER,AARON",,,"MISS LAYUP by PALMER,AARON",1
09:12,"BLOCK  by KAHL,COLIN",,,,,,,"BLOCK  by KAHL,COLIN",1
--,,,,,"REBOUND OFF by MEELER,DALTON",,,"REBOUND OFF by MEELER,DALTON",1
09:09,,21,,21,"GOOD LAYUP by MEELER,DALTON(in the paint)",PUM 21-21 (0),,"GOOD LAYUP by MEELER,DALTON(in the paint)",1
08:56,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",1
08:56,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
08:56,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
08:56,,,,,"SUB IN by FOOTE,JORDAN",,,"SUB IN by FOOTE,JORDAN",1
08:56,,,,,"SUB IN by QUICK,JUSTIN",,,"SUB IN by QUICK,JUSTIN",1
08:56,,,,,"SUB IN by EASTON,EVAN",,,"SUB IN by EASTON,EVAN",1
08:56,,,,,"SUB OUT by PALMER,AARON",,,"SUB OUT by PALMER,AARON",1
08:56,,,,,"SUB OUT by CLEMENTS-OWENS,ORRY",,,"SUB OUT by CLEMENTS-OWENS,ORRY",1
08:56,,,,,"SUB OUT by MEELER,DALTON",,,"SUB OUT by MEELER,DALTON",1
08:40,,21,,23 (+2),"GOOD LAYUP by FOOTE,JORDAN(in the paint)",PUM 21-23 (-2),,"GOOD LAYUP by FOOTE,JORDAN(in the paint)",1
08:20,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND OFF by AVALIANI,LUKA",,,,,,,"REBOUND OFF by AVALIANI,LUKA",1
07:55,"GOOD LAYUP by KAHL,COLIN(in the paint)",23,,23,,SEWANEE 23-23 (0),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
07:39,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",1
07:39,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:39,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
07:39,"SUB IN by PERUSEK,COLE",,,,,,,"SUB IN by PERUSEK,COLE",1
07:39,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",1
07:39,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",1
07:35,,,,,"MISS LAYUP by RICHTER,WILL",,,"MISS LAYUP by RICHTER,WILL",1
--,"REBOUND DEF by SMITH,GRAHAM",,,,,,,"REBOUND DEF by SMITH,GRAHAM",1
07:14,"MISS 3PTR by SMITH,GRAHAM",,,,,,,"MISS 3PTR by SMITH,GRAHAM",1
--,,,,,"REBOUND DEF by FOOTE,JORDAN",,,"REBOUND DEF by FOOTE,JORDAN",1
06:58,,,,,"TURNOVER  by FOOTE,JORDAN",,,"TURNOVER  by FOOTE,JORDAN",1
06:57,"STEAL  by PERUSEK,COLE",,,,,,,"STEAL  by PERUSEK,COLE",1
06:57,,,,,"FOUL  by JOLLY,RYAN",,,"FOUL  by JOLLY,RYAN",1
06:40,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
06:40,,,,,"STEAL  by JOLLY,RYAN",,,"STEAL  by JOLLY,RYAN",1
06:40,"FOUL  by CORRIGAN,TRE",,,,,,,"FOUL  by CORRIGAN,TRE",1
06:26,,,,,"TURNOVER  by FOOTE,JORDAN",,,"TURNOVER  by FOOTE,JORDAN",1
06:15,"TURNOVER  by PERUSEK,COLE",,,,,,,"TURNOVER  by PERUSEK,COLE",1
06:15,,,,,"SUB IN by CLEMENTS-OWENS,ORRY",,,"SUB IN by CLEMENTS-OWENS,ORRY",1
06:15,,,,,"SUB OUT by JOLLY,RYAN",,,"SUB OUT by JOLLY,RYAN",1
06:04,,23,,25 (+2),"GOOD LAYUP by EASTON,EVAN(in the paint)",PUM 23-25 (-2),,"GOOD LAYUP by EASTON,EVAN(in the paint)",1
--,,,,,"ASSIST  by RICHTER,WILL",,,"ASSIST  by RICHTER,WILL",1
05:40,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by QUICK,JUSTIN",,,"REBOUND DEF by QUICK,JUSTIN",1
05:26,,23,,27 (+4),"GOOD JUMPER by EASTON,EVAN(in the paint)",PUM 23-27 (-4),,"GOOD JUMPER by EASTON,EVAN(in the paint)",1
--,,,,,"ASSIST  by RICHTER,WILL",,,"ASSIST  by RICHTER,WILL",1
05:26,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",1
05:26,,,,,"MISS FT by EASTON,EVAN",,,"MISS FT by EASTON,EVAN",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
05:26,"SUB IN by BOULDIN,BLAKE",,,,,,,"SUB IN by BOULDIN,BLAKE",1
05:26,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
