Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
15:35,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",2
15:35,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",2
15:35,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
15:35,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",2
15:35,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",2
15:23,,29,,44 (+15),"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEWANEE 29-44 (+15),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",2
15:04,"GOOD 3PTR by STANLEY,SETH",32,,44 (+12),,HENDRIXM 32-44 (+12),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
14:37,,,,,"MISS LAYUP by HOLLOWAY,JACK",,,"MISS LAYUP by HOLLOWAY,JACK",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
14:30,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",2
--,,,,,"REBOUND DEF by HOLLOWAY,JACK",,,"REBOUND DEF by HOLLOWAY,JACK",2
14:23,,32,,47 (+15),"GOOD 3PTR by BARRY,MICHAEL",SEWANEE 32-47 (+15),,"GOOD 3PTR by BARRY,MICHAEL",2
--,,,,,"ASSIST  by KNOX,JOEY",,,"ASSIST  by KNOX,JOEY",2
14:12,"GOOD 3PTR by STANLEY,SETH",35,,47 (+12),,HENDRIXM 35-47 (+12),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
13:43,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",2
--,,,,,"REBOUND OFF by HOLLOWAY,JACK",,,"REBOUND OFF by HOLLOWAY,JACK",2
13:33,,,,,"MISS 3PTR by BARRY,MICHAEL",,,"MISS 3PTR by BARRY,MICHAEL",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
13:26,,,,,"FOUL  by SMITH,LUKE",,,"FOUL  by SMITH,LUKE",2
13:26,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",2
13:26,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",2
13:26,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
13:26,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
13:26,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
13:18,,35,,49 (+14),"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEWANEE 35-49 (+14),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
13:04,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
12:50,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND DEF by BARRY,MICHAEL",,,"REBOUND DEF by BARRY,MICHAEL",2
12:33,,,,,"TURNOVER  by HOLLOWAY,JACK",,,"TURNOVER  by HOLLOWAY,JACK",2
12:30,"STEAL  by ROUSE,TREY",,,,,,,"STEAL  by ROUSE,TREY",2
12:23,"GOOD 3PTR by SMITH,PRESTON",38,,49 (+11),,HENDRIXM 38-49 (+11),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by ROUSE,TREY",,,,,,,"ASSIST  by ROUSE,TREY",2
11:57,,,,,"TURNOVER  by HOLLOWAY,JACK",,,"TURNOVER  by HOLLOWAY,JACK",2
11:55,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:42,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
11:42,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",2
11:41,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",2
11:30,,38,,51 (+13),"GOOD JUMPER by BUESCHER,HUNTER",SEWANEE 38-51 (+13),,"GOOD JUMPER by BUESCHER,HUNTER",2
--,,,,,"ASSIST  by CALDWELL,CAM",,,"ASSIST  by CALDWELL,CAM",2
10:39,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
10:17,,,,,"MISS 3PTR by CALDWELL,CAM",,,"MISS 3PTR by CALDWELL,CAM",2
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",2
10:03,"GOOD JUMPER by ROUSE,TREY",40,,51 (+11),,HENDRIXM 40-51 (+11),,"GOOD JUMPER by ROUSE,TREY",2
09:40,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
09:40,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",2
09:40,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",2
09:40,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",2
09:28,"GOOD 3PTR by ROUSE,TREY",43,,51 (+8),,HENDRIXM 43-51 (+8),,"GOOD 3PTR by ROUSE,TREY",2
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",2
09:28,,,,,"FOUL  by WARLICK,JORDAN",,,"FOUL  by WARLICK,JORDAN",2
09:28,"GOOD FT by ROUSE,TREY",44,,51 (+7),,HENDRIXM 44-51 (+7),,"GOOD FT by ROUSE,TREY",2
09:14,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",2
09:05,,44,,54 (+10),"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 44-54 (+10),,"GOOD 3PTR by BUESCHER,HUNTER",2
--,,,,,"ASSIST  by CALDWELL,CAM",,,"ASSIST  by CALDWELL,CAM",2
08:40,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",2
08:40,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
08:40,"GOOD FT by CONRAD,ALEX",45,,54 (+9),,HENDRIXM 45-54 (+9),,"GOOD FT by CONRAD,ALEX",2
08:40,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
08:24,,45,,56 (+11),"GOOD LAYUP by LEE,MATT(in the paint)",SEWANEE 45-56 (+11),,"GOOD LAYUP by LEE,MATT(in the paint)",2
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",2
08:03,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",2
07:51,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:51,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",2
07:51,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",2
07:45,,45,,59 (+14),"GOOD 3PTR by SMITH,LUKE",SEWANEE 45-59 (+14),,"GOOD 3PTR by SMITH,LUKE",2
07:24,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
07:02,,45,,62 (+17),"GOOD 3PTR by WARLICK,JORDAN",SEWANEE 45-62 (+17),,"GOOD 3PTR by WARLICK,JORDAN",2
--,,,,,"ASSIST  by CALDWELL,CAM",,,"ASSIST  by CALDWELL,CAM",2
06:36,"GOOD 3PTR by SMITH,PRESTON",48,,62 (+14),,HENDRIXM 48-62 (+14),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",2
06:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:30,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",2
06:30,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",2
06:30,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
06:30,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",2
06:13,,48,,65 (+17),"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 48-65 (+17),,"GOOD 3PTR by BUESCHER,HUNTER",2
--,,,,,"ASSIST  by CALDWELL,CAM",,,"ASSIST  by CALDWELL,CAM",2
05:51,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",2
05:32,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",2
05:32,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
05:32,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",2
05:32,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",2
05:32,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
05:31,,48,,66 (+18),"GOOD FT by SMITH,LUKE",SEWANEE 48-66 (+18),,"GOOD FT by SMITH,LUKE",2
05:20,,48,,67 (+19),"GOOD FT by SMITH,LUKE",SEWANEE 48-67 (+19),,"GOOD FT by SMITH,LUKE",2
05:17,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",2
05:17,"GOOD FT by COMAN,SEAN",49,,67 (+18),,HENDRIXM 49-67 (+18),,"GOOD FT by COMAN,SEAN",2
05:17,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",2
05:17,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
05:16,"GOOD FT by COMAN,SEAN",50,,67 (+17),,HENDRIXM 50-67 (+17),,"GOOD FT by COMAN,SEAN",2
04:59,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
04:45,"GOOD 3PTR by SMITH,PRESTON",53,,67 (+14),,HENDRIXM 53-67 (+14),,"GOOD 3PTR by SMITH,PRESTON",2
04:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:21,,53,,70 (+17),"GOOD 3PTR by SMITH,LUKE",SEWANEE 53-70 (+17),,"GOOD 3PTR by SMITH,LUKE",2
04:08,"GOOD LAYUP by SMITH,PRESTON(in the paint)",55,,70 (+15),,HENDRIXM 55-70 (+15),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",2
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",2
04:01,,,,,"TURNOVER  by BARRY,MICHAEL",,,"TURNOVER  by BARRY,MICHAEL",2
03:59,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",2
03:58,"GOOD 3PTR by STANLEY,SETH",58,,70 (+12),,HENDRIXM 58-70 (+12),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
03:33,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
03:33,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:20,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
03:06,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:03,,,,,"TURNOVER  by BARRY,MICHAEL",,,"TURNOVER  by BARRY,MICHAEL",2
02:53,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",2
02:53,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:53,"GOOD FT by LINK,JACOB",59,,70 (+11),,HENDRIXM 59-70 (+11),,"GOOD FT by LINK,JACOB",2
02:53,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
02:53,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
02:53,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
02:53,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",2
02:30,,59,,72 (+13),"GOOD LAYUP by SMITH,LUKE(in the paint)",SEWANEE 59-72 (+13),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
02:23,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
02:04,,,,,"MISS 3PTR by CALDWELL,CAM",,,"MISS 3PTR by CALDWELL,CAM",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
01:53,"GOOD 3PTR by SMITH,PRESTON",62,,72 (+10),,HENDRIXM 62-72 (+10),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",2
01:48,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:48,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",2
01:48,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",2
01:47,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",2
01:47,,62,,73 (+11),"GOOD FT by BUESCHER,HUNTER",SEWANEE 62-73 (+11),,"GOOD FT by BUESCHER,HUNTER",2
01:47,,62,,74 (+12),"GOOD FT by BUESCHER,HUNTER",SEWANEE 62-74 (+12),,"GOOD FT by BUESCHER,HUNTER",2
01:47,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",2
01:47,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
01:47,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",2
01:47,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
01:39,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",2
01:18,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",2
01:13,,62,,76 (+14),"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",SEWANEE 62-76 (+14),,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",2
01:09,"GOOD LAYUP by COMAN,SEAN(in the paint)",64,,76 (+12),,HENDRIXM 64-76 (+12),,"GOOD LAYUP by COMAN,SEAN(in the paint)",2
01:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:09,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
01:09,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
01:09,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
01:09,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
01:09,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
01:09,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",2
01:05,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",2
01:05,,64,,77 (+13),"GOOD FT by BUESCHER,HUNTER",SEWANEE 64-77 (+13),,"GOOD FT by BUESCHER,HUNTER",2
01:05,,64,,78 (+14),"GOOD FT by BUESCHER,HUNTER",SEWANEE 64-78 (+14),,"GOOD FT by BUESCHER,HUNTER",2
01:05,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",2
01:05,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
01:05,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",2
01:05,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
00:59,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
00:54,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
00:54,,64,,79 (+15),"GOOD FT by LEE,MATT",SEWANEE 64-79 (+15),,"GOOD FT by LEE,MATT",2
00:54,,,,,"MISS FT by LEE,MATT",,,"MISS FT by LEE,MATT",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
00:51,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
00:22,,64,,82 (+18),"GOOD 3PTR by SMITH,LUKE",SEWANEE 64-82 (+18),,"GOOD 3PTR by SMITH,LUKE",2
00:16,"MISS 3PTR by CALAMESE,MICHAEL",,,,,,,"MISS 3PTR by CALAMESE,MICHAEL",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
