Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,GC,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",2
14:20,"MISS JUMPER by BUESCHER,HUNTER",,,,,,,"MISS JUMPER by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by GREGORY,KYLER",,,"REBOUND DEF by GREGORY,KYLER",2
13:59,,,,,"TURNOVER  by WARD,LIAM",,,"TURNOVER  by WARD,LIAM",2
13:58,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",2
13:55,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",42,,74 (+32),,SEWANEE 42-74 (-32),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",2
13:44,"FOUL  by HOLLOWAY,JACK",,,,,,,"FOUL  by HOLLOWAY,JACK",2
13:44,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:44,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
13:44,"SUB IN by STARR,RYAN",,,,,,,"SUB IN by STARR,RYAN",2
13:44,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",2
13:44,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
13:44,,,,,"SUB IN by CURRY,MARCUS",,,"SUB IN by CURRY,MARCUS",2
13:44,,,,,"SUB IN by HARKINS,LUKE",,,"SUB IN by HARKINS,LUKE",2
13:44,,,,,"SUB OUT by GREGORY,KYLER",,,"SUB OUT by GREGORY,KYLER",2
13:44,,,,,"SUB OUT by GORE,JAYLEN",,,"SUB OUT by GORE,JAYLEN",2
13:33,"FOUL  by WARLICK,JORDAN",,,,,,,"FOUL  by WARLICK,JORDAN",2
13:33,,,,,"MISS FT by CURRY,MARCUS",,,"MISS FT by CURRY,MARCUS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:33,,,,,"MISS FT by CURRY,MARCUS",,,"MISS FT by CURRY,MARCUS",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
13:21,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,"REBOUND DEF by CURRY,MARCUS",,,"REBOUND DEF by CURRY,MARCUS",2
13:01,,,,,"MISS JUMPER by HARKINS,LUKE",,,"MISS JUMPER by HARKINS,LUKE",2
--,"REBOUND DEF by STARR,RYAN",,,,,,,"REBOUND DEF by STARR,RYAN",2
12:48,"GOOD JUMPER by SMITH,LUKE",44,,74 (+30),,SEWANEE 44-74 (-30),,"GOOD JUMPER by SMITH,LUKE",2
12:44,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",2
12:44,"FOUL TECH by SMITH,LUKE",,,,,,,"FOUL TECH by SMITH,LUKE",2
12:44,"FOUL  by STARR,RYAN",,,,,,,"FOUL  by STARR,RYAN",2
12:44,"FOUL TECH by STARR,RYAN",,,,,,,"FOUL TECH by STARR,RYAN",2
12:44,,,,,"MISS FT by LECKONBY,WILL",,,"MISS FT by LECKONBY,WILL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:44,,44,,75 (+31),"GOOD FT by LECKONBY,WILL",GC 44-75 (-31),,"GOOD FT by LECKONBY,WILL",2
12:44,,44,,76 (+32),"GOOD FT by LECKONBY,WILL",GC 44-76 (-32),,"GOOD FT by LECKONBY,WILL",2
12:44,,44,,77 (+33),"GOOD FT by LECKONBY,WILL",GC 44-77 (-33),,"GOOD FT by LECKONBY,WILL",2
12:25,,,,,"MISS JUMPER by LOGAN,JOAH",,,"MISS JUMPER by LOGAN,JOAH",2
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",2
12:08,"GOOD 3PTR by HEITZENRATER,ANDREW",47,,77 (+30),,SEWANEE 47-77 (-30),,"GOOD 3PTR by HEITZENRATER,ANDREW",2
11:48,,47,,80 (+33),"GOOD 3PTR by LOGAN,JOAH",GC 47-80 (-33),,"GOOD 3PTR by LOGAN,JOAH",2
--,,,,,"ASSIST  by WARD,LIAM",,,"ASSIST  by WARD,LIAM",2
11:25,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",2
--,,,,,"REBOUND DEF by LOGAN,JOAH",,,"REBOUND DEF by LOGAN,JOAH",2
11:10,,,,,"MISS 3PTR by LECKONBY,WILL",,,"MISS 3PTR by LECKONBY,WILL",2
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",2
10:59,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",2
--,,,,,"REBOUND DEF by LECKONBY,WILL",,,"REBOUND DEF by LECKONBY,WILL",2
10:51,,,,,"TURNOVER  by HARKINS,LUKE",,,"TURNOVER  by HARKINS,LUKE",2
10:49,"STEAL  by WARLICK,JORDAN",,,,,,,"STEAL  by WARLICK,JORDAN",2
10:37,,,,,"FOUL  by WARD,LIAM",,,"FOUL  by WARD,LIAM",2
10:37,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
10:37,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by HARKINS,LUKE",,,"REBOUND DEF by HARKINS,LUKE",2
10:37,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
10:37,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
10:37,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
10:37,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
10:37,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
10:37,"SUB OUT by STARR,RYAN",,,,,,,"SUB OUT by STARR,RYAN",2
10:37,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",2
10:37,,,,,"SUB IN by RUSZALA,STEVE",,,"SUB IN by RUSZALA,STEVE",2
10:37,,,,,"SUB IN by GREGORY,KYLER",,,"SUB IN by GREGORY,KYLER",2
10:37,,,,,"SUB IN by LOGAN,JOAH",,,"SUB IN by LOGAN,JOAH",2
10:37,,,,,"SUB OUT by WELLS,TRENT",,,"SUB OUT by WELLS,TRENT",2
10:37,,,,,"SUB OUT by WARD,LIAM",,,"SUB OUT by WARD,LIAM",2
10:37,,,,,"SUB OUT by LECKONBY,WILL",,,"SUB OUT by LECKONBY,WILL",2
10:16,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by GORE,JAYLEN",,,"REBOUND DEF by GORE,JAYLEN",2
10:01,,47,,82 (+35),"GOOD DUNK by RUSZALA,STEVE(in the paint)",GC 47-82 (-35),,"GOOD DUNK by RUSZALA,STEVE(in the paint)",2
09:46,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:37,,,,,"SUB IN by GORE,JAYLEN",,,"SUB IN by GORE,JAYLEN",2
09:37,,,,,"SUB OUT by HARKINS,LUKE",,,"SUB OUT by HARKINS,LUKE",2
09:17,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
09:06,,47,,83 (+36),"GOOD FT by GREGORY,KYLER",GC 47-83 (-36),,"GOOD FT by GREGORY,KYLER",2
09:06,,,,,"FOUL  by RUSZALA,STEVE",,,"FOUL  by RUSZALA,STEVE",2
09:06,,,,,"TURNOVER  by RUSZALA,STEVE",,,"TURNOVER  by RUSZALA,STEVE",2
09:06,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",2
09:06,"SUB OUT by HEITZENRATER,ANDREW",,,,,,,"SUB OUT by HEITZENRATER,ANDREW",2
08:50,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:46,,,,,"SUB IN by WARD,LIAM",,,"SUB IN by WARD,LIAM",2
08:46,,,,,"SUB OUT by CURRY,MARCUS",,,"SUB OUT by CURRY,MARCUS",2
08:36,,,,,"TURNOVER  by GORE,JAYLEN",,,"TURNOVER  by GORE,JAYLEN",2
08:16,"MISS LAYUP by LEE,MATT",,,,,,,"MISS LAYUP by LEE,MATT",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
07:58,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by RUSZALA,STEVE",,,"REBOUND DEF by RUSZALA,STEVE",2
07:55,"FOUL  by WARLICK,JORDAN",,,,,,,"FOUL  by WARLICK,JORDAN",2
07:55,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
07:55,,,,,"MISS FT by RUSZALA,STEVE",,,"MISS FT by RUSZALA,STEVE",2
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",2
07:55,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",2
07:55,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
07:55,,,,,"SUB IN by WELLS,TRENT",,,"SUB IN by WELLS,TRENT",2
07:55,,,,,"SUB IN by HARKINS,LUKE",,,"SUB IN by HARKINS,LUKE",2
07:55,,,,,"SUB IN by LECKONBY,WILL",,,"SUB IN by LECKONBY,WILL",2
07:55,,,,,"SUB OUT by GREGORY,KYLER",,,"SUB OUT by GREGORY,KYLER",2
07:55,,,,,"SUB OUT by GORE,JAYLEN",,,"SUB OUT by GORE,JAYLEN",2
07:55,,,,,"SUB OUT by LOGAN,JOAH",,,"SUB OUT by LOGAN,JOAH",2
07:50,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",2
--,,,,,"REBOUND DEF by RUSZALA,STEVE",,,"REBOUND DEF by RUSZALA,STEVE",2
07:34,,,,,"MISS 3PTR by LECKONBY,WILL",,,"MISS 3PTR by LECKONBY,WILL",2
--,,,,,"REBOUND OFF by RUSZALA,STEVE",,,"REBOUND OFF by RUSZALA,STEVE",2
07:11,,47,,85 (+38),"GOOD LAYUP by RUSZALA,STEVE(in the paint)",GC 47-85 (-38),,"GOOD LAYUP by RUSZALA,STEVE(in the paint)",2
06:59,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",49,,85 (+36),,SEWANEE 49-85 (-36),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
06:43,,,,,"MISS 3PTR by LECKONBY,WILL",,,"MISS 3PTR by LECKONBY,WILL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
06:37,,,,,"FOUL  by WELLS,TRENT",,,"FOUL  by WELLS,TRENT",2
06:31,"MISS 3PTR by HEITZENRATER,ANDREW",,,,,,,"MISS 3PTR by HEITZENRATER,ANDREW",2
--,,,,,"REBOUND DEF by WARD,LIAM",,,"REBOUND DEF by WARD,LIAM",2
06:01,,,,,"MISS 3PTR by HARKINS,LUKE",,,"MISS 3PTR by HARKINS,LUKE",2
--,,,,,"REBOUND OFF by RUSZALA,STEVE",,,"REBOUND OFF by RUSZALA,STEVE",2
05:58,,,,,"MISS LAYUP by LECKONBY,WILL",,,"MISS LAYUP by LECKONBY,WILL",2
--,,,,,"REBOUND OFF by LECKONBY,WILL",,,"REBOUND OFF by LECKONBY,WILL",2
05:44,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",2
05:44,,49,,86 (+37),"GOOD FT by RUSZALA,STEVE",GC 49-86 (-37),,"GOOD FT by RUSZALA,STEVE",2
05:44,,49,,87 (+38),"GOOD FT by RUSZALA,STEVE",GC 49-87 (-38),,"GOOD FT by RUSZALA,STEVE",2
05:44,,,,,"SUB IN by SHORT,ELI",,,"SUB IN by SHORT,ELI",2
05:44,,,,,"SUB OUT by LECKONBY,WILL",,,"SUB OUT by LECKONBY,WILL",2
05:29,,,,,"FOUL  by HARKINS,LUKE",,,"FOUL  by HARKINS,LUKE",2
05:29,"GOOD FT by BUESCHER,HUNTER",50,,87 (+37),,SEWANEE 50-87 (-37),,"GOOD FT by BUESCHER,HUNTER",2
05:29,"GOOD FT by BUESCHER,HUNTER",51,,87 (+36),,SEWANEE 51-87 (-36),,"GOOD FT by BUESCHER,HUNTER",2
05:29,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
05:29,"SUB IN by HEITZENRATER,ANDREW",,,,,,,"SUB IN by HEITZENRATER,ANDREW",2
05:29,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",2
05:29,,,,,"SUB IN by WELLS,TRENT",,,"SUB IN by WELLS,TRENT",2
05:29,,,,,"SUB IN by RUSZALA,STEVE",,,"SUB IN by RUSZALA,STEVE",2
05:29,,,,,"SUB IN by WARD,LIAM",,,"SUB IN by WARD,LIAM",2
05:29,,,,,"SUB IN by SHORT,ELI",,,"SUB IN by SHORT,ELI",2
05:29,,,,,"SUB IN by HARKINS,LUKE",,,"SUB IN by HARKINS,LUKE",2
05:29,,,,,"SUB OUT by WELLS,TRENT",,,"SUB OUT by WELLS,TRENT",2
05:29,,,,,"SUB OUT by RUSZALA,STEVE",,,"SUB OUT by RUSZALA,STEVE",2
05:29,,,,,"SUB OUT by WARD,LIAM",,,"SUB OUT by WARD,LIAM",2
05:29,,,,,"SUB OUT by SHORT,ELI",,,"SUB OUT by SHORT,ELI",2
05:29,,,,,"SUB OUT by HARKINS,LUKE",,,"SUB OUT by HARKINS,LUKE",2
05:23,"GOOD JUMPER by LEE,MATT",53,,87 (+34),,SEWANEE 53-87 (-34),,"GOOD JUMPER by LEE,MATT",2
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",2
05:07,,,,,"TURNOVER  by WARD,LIAM",,,"TURNOVER  by WARD,LIAM",2
05:04,"STEAL  by KNOX,JOEY",,,,,,,"STEAL  by KNOX,JOEY",2
05:00,"MISS 3PTR by KNOX,JOEY",,,,,,,"MISS 3PTR by KNOX,JOEY",2
--,,,,,"REBOUND DEF by WARD,LIAM",,,"REBOUND DEF by WARD,LIAM",2
04:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:44,"SUB OUT by HEITZENRATER,ANDREW",,,,,,,"SUB OUT by HEITZENRATER,ANDREW",2
04:44,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
04:16,,,,,"MISS 3PTR by WARD,LIAM",,,"MISS 3PTR by WARD,LIAM",2
--,,,,,"REBOUND OFF by RUSZALA,STEVE",,,"REBOUND OFF by RUSZALA,STEVE",2
04:12,,53,,89 (+36),"GOOD JUMPER by HARKINS,LUKE",GC 53-89 (-36),,"GOOD JUMPER by HARKINS,LUKE",2
03:58,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,"REBOUND DEF by WELLS,TRENT",,,"REBOUND DEF by WELLS,TRENT",2
03:44,,53,,91 (+38),"GOOD LAYUP by RUSZALA,STEVE(in the paint)",GC 53-91 (-38),,"GOOD LAYUP by RUSZALA,STEVE(in the paint)",2
--,,,,,"ASSIST  by WARD,LIAM",,,"ASSIST  by WARD,LIAM",2
03:28,,,,,"FOUL  by RUSZALA,STEVE",,,"FOUL  by RUSZALA,STEVE",2
03:28,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:28,"GOOD FT by WARLICK,JORDAN",54,,91 (+37),,SEWANEE 54-91 (-37),,"GOOD FT by WARLICK,JORDAN",2
03:28,"GOOD FT by WARLICK,JORDAN",55,,91 (+36),,SEWANEE 55-91 (-36),,"GOOD FT by WARLICK,JORDAN",2
03:28,"SUB IN by GARWOOD,MACKIE",,,,,,,"SUB IN by GARWOOD,MACKIE",2
03:28,"SUB IN by JOHNSON,DAVID",,,,,,,"SUB IN by JOHNSON,DAVID",2
03:28,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",2
03:28,"SUB IN by PERRY,GRANT",,,,,,,"SUB IN by PERRY,GRANT",2
03:28,"SUB IN by KRAUS,HAYDEN",,,,,,,"SUB IN by KRAUS,HAYDEN",2
03:28,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",2
03:28,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",2
03:28,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
03:28,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",2
03:28,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",2
03:28,,,,,"SUB IN by FOULKS,JASON",,,"SUB IN by FOULKS,JASON",2
03:28,,,,,"SUB IN by KING,EVAN",,,"SUB IN by KING,EVAN",2
03:28,,,,,"SUB IN by BROWN,AUSTIN",,,"SUB IN by BROWN,AUSTIN",2
03:28,,,,,"SUB OUT by RUSZALA,STEVE",,,"SUB OUT by RUSZALA,STEVE",2
03:28,,,,,"SUB OUT by WARD,LIAM",,,"SUB OUT by WARD,LIAM",2
03:28,,,,,"SUB OUT by HARKINS,LUKE",,,"SUB OUT by HARKINS,LUKE",2
03:14,,55,,93 (+38),"GOOD LAYUP by WELLS,TRENT(in the paint)",GC 55-93 (-38),,"GOOD LAYUP by WELLS,TRENT(in the paint)",2
02:51,"GOOD 3PTR by PERRY,GRANT",58,,93 (+35),,SEWANEE 58-93 (-35),,"GOOD 3PTR by PERRY,GRANT",2
--,"ASSIST  by GARWOOD,MACKIE",,,,,,,"ASSIST  by GARWOOD,MACKIE",2
02:23,,58,,95 (+37),"GOOD JUMPER by KING,EVAN",GC 58-95 (-37),,"GOOD JUMPER by KING,EVAN",2
02:20,,,,,"SUB IN by FORBES,KYLE",,,"SUB IN by FORBES,KYLE",2
02:20,,,,,"SUB OUT by WELLS,TRENT",,,"SUB OUT by WELLS,TRENT",2
02:12,"MISS LAYUP by JOHNSON,DAVID",,,,,,,"MISS LAYUP by JOHNSON,DAVID",2
--,,,,,"REBOUND DEF by SHORT,ELI",,,"REBOUND DEF by SHORT,ELI",2
01:57,,58,,97 (+39),"GOOD LAYUP by FORBES,KYLE(in the paint)",GC 58-97 (-39),,"GOOD LAYUP by FORBES,KYLE(in the paint)",2
--,,,,,"ASSIST  by SHORT,ELI",,,"ASSIST  by SHORT,ELI",2
01:44,"MISS 3PTR by PERRY,GRANT",,,,,,,"MISS 3PTR by PERRY,GRANT",2
--,"REBOUND OFF by GARWOOD,MACKIE",,,,,,,"REBOUND OFF by GARWOOD,MACKIE",2
01:38,,,,,"FOUL  by FOULKS,JASON",,,"FOUL  by FOULKS,JASON",2
01:38,"GOOD FT by KRAUS,HAYDEN",59,,97 (+38),,SEWANEE 59-97 (-38),,"GOOD FT by KRAUS,HAYDEN",2
01:38,"MISS FT by KRAUS,HAYDEN",,,,,,,"MISS FT by KRAUS,HAYDEN",2
--,,,,,"REBOUND DEF by BROWN,AUSTIN",,,"REBOUND DEF by BROWN,AUSTIN",2
01:17,,,,,"TURNOVER  by FOULKS,JASON",,,"TURNOVER  by FOULKS,JASON",2
01:08,"MISS 3PTR by PERRY,GRANT",,,,,,,"MISS 3PTR by PERRY,GRANT",2
--,,,,,"REBOUND DEF by BROWN,AUSTIN",,,"REBOUND DEF by BROWN,AUSTIN",2
01:01,,,,,"TURNOVER  by BROWN,AUSTIN",,,"TURNOVER  by BROWN,AUSTIN",2
00:59,"STEAL  by CRUMLY,JONNY",,,,,,,"STEAL  by CRUMLY,JONNY",2
00:55,"MISS 3PTR by GARWOOD,MACKIE",,,,,,,"MISS 3PTR by GARWOOD,MACKIE",2
--,,,,,"REBOUND DEF by KING,EVAN",,,"REBOUND DEF by KING,EVAN",2
00:34,,,,,"MISS LAYUP by BROWN,AUSTIN",,,"MISS LAYUP by BROWN,AUSTIN",2
--,"REBOUND DEF by KRAUS,HAYDEN",,,,,,,"REBOUND DEF by KRAUS,HAYDEN",2
00:19,"MISS 3PTR by CRUMLY,JONNY",,,,,,,"MISS 3PTR by CRUMLY,JONNY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
