Time Remaining,BC,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
00:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:26,,,,,"SUB IN by HOLLOWAY,JACK",,,"SUB IN by HOLLOWAY,JACK",1
00:26,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
00:05,"GOOD 3PTR by TURNER,TJ",38 (+7),,31,,BC 38-31 (-7),,"GOOD 3PTR by TURNER,TJ",1
19:43,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:43,,38 (+6),,32,"GOOD FT by CALDWELL,CAM",SEW 38-32 (-6),,"GOOD FT by CALDWELL,CAM",2
19:43,"SUB IN by STANCIEL,KEN",,,,,,,"SUB IN by STANCIEL,KEN",2
19:43,"SUB OUT by SIMPKINS,MONTE",,,,,,,"SUB OUT by SIMPKINS,MONTE",2
19:31,"MISS JUMPER by CAMMON,JOSH",,,,,,,"MISS JUMPER by CAMMON,JOSH",2
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",2
19:17,,38 (+4),,34,"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEW 38-34 (-4),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,,,,,"ASSIST  by THOMAS,ADRIAN",,,"ASSIST  by THOMAS,ADRIAN",2
19:16,"FOUL  by CAMMON,JOSH",,,,,,,"FOUL  by CAMMON,JOSH",2
19:16,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",2
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",2
19:09,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",40 (+6),,34,,BC 40-34 (-6),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
19:09,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",2
19:09,"GOOD FT by CHAMBERS,DIMETRI",41 (+7),,34,,BC 41-34 (-7),,"GOOD FT by CHAMBERS,DIMETRI",2
19:09,"SUB IN by MURRAY,CHANDLER",,,,,,,"SUB IN by MURRAY,CHANDLER",2
19:09,"SUB OUT by CAMMON,JOSH",,,,,,,"SUB OUT by CAMMON,JOSH",2
18:58,,41 (+5),,36,"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEW 41-36 (-5),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",2
18:43,"MISS LAYUP by CHAMBERS,DIMETRI",,,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",2
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",2
18:24,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",2
18:22,"STEAL  by MURRAY,CHANDLER",,,,,,,"STEAL  by MURRAY,CHANDLER",2
18:18,"MISS LAYUP by STANCIEL,KEN",,,,,,,"MISS LAYUP by STANCIEL,KEN",2
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",2
18:16,"FOUL  by STANCIEL,KEN",,,,,,,"FOUL  by STANCIEL,KEN",2
18:16,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",2
18:16,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
18:02,,,,,"MISS LAYUP by LEE,MATT",,,"MISS LAYUP by LEE,MATT",2
18:02,"BLOCK  by GRIER,DAVRION",,,,,,,"BLOCK  by GRIER,DAVRION",2
--,"REBOUND DEF by CHAMBERS,DIMETRI",,,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",2
17:56,"MISS LAYUP by CHAMBERS,DIMETRI",,,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",2
17:56,,,,,"BLOCK  by CALDWELL,CAM",,,"BLOCK  by CALDWELL,CAM",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:55,"GOOD LAYUP by STANCIEL,KEN(in the paint)",43 (+7),,36,,BC 43-36 (-7),,"GOOD LAYUP by STANCIEL,KEN(in the paint)",2
--,"ASSIST  by CHAMBERS,DIMETRI",,,,,,,"ASSIST  by CHAMBERS,DIMETRI",2
17:55,"GOOD FT by STANCIEL,KEN",44 (+8),,36,,BC 44-36 (-8),,"GOOD FT by STANCIEL,KEN",2
17:55,"SUB IN by SIMPKINS,MONTE",,,,,,,"SUB IN by SIMPKINS,MONTE",2
17:55,"SUB OUT by STANCIEL,KEN",,,,,,,"SUB OUT by STANCIEL,KEN",2
17:55,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
17:55,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",2
17:46,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",2
--,,,,,"REBOUND OFF by CALDWELL,CAM",,,"REBOUND OFF by CALDWELL,CAM",2
17:38,,44 (+6),,38,"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEW 44-38 (-6),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
17:33,"TURNOVER  by SANDERS,JIMMIE",,,,,,,"TURNOVER  by SANDERS,JIMMIE",2
17:06,"FOUL  by GRIER,DAVRION",,,,,,,"FOUL  by GRIER,DAVRION",2
17:06,,44 (+5),,39,"GOOD FT by CALDWELL,CAM",SEW 44-39 (-5),,"GOOD FT by CALDWELL,CAM",2
17:06,,44 (+4),,40,"GOOD FT by CALDWELL,CAM",SEW 44-40 (-4),,"GOOD FT by CALDWELL,CAM",2
17:06,"SUB IN by CAMMON,JOSH",,,,,,,"SUB IN by CAMMON,JOSH",2
17:06,"SUB IN by STANCIEL,KEN",,,,,,,"SUB IN by STANCIEL,KEN",2
17:06,"SUB OUT by SIMPKINS,MONTE",,,,,,,"SUB OUT by SIMPKINS,MONTE",2
17:06,"SUB OUT by GRIER,DAVRION",,,,,,,"SUB OUT by GRIER,DAVRION",2
17:05,"MISS JUMPER by STANCIEL,KEN",,,,,,,"MISS JUMPER by STANCIEL,KEN",2
--,,,,,"REBOUND DEF by KNOX,JOEY",,,"REBOUND DEF by KNOX,JOEY",2
16:42,"FOUL  by STANCIEL,KEN",,,,,,,"FOUL  by STANCIEL,KEN",2
16:42,"SUB IN by SIMPKINS,MONTE",,,,,,,"SUB IN by SIMPKINS,MONTE",2
16:42,"SUB OUT by STANCIEL,KEN",,,,,,,"SUB OUT by STANCIEL,KEN",2
16:33,,,,,"MISS LAYUP by THOMAS,ADRIAN",,,"MISS LAYUP by THOMAS,ADRIAN",2
--,"REBOUND DEF by SIMPKINS,MONTE",,,,,,,"REBOUND DEF by SIMPKINS,MONTE",2
16:24,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",2
16:24,"GOOD FT by CHAMBERS,DIMETRI",45 (+5),,40,,BC 45-40 (-5),,"GOOD FT by CHAMBERS,DIMETRI",2
16:24,"GOOD FT by CHAMBERS,DIMETRI",46 (+6),,40,,BC 46-40 (-6),,"GOOD FT by CHAMBERS,DIMETRI",2
16:24,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",2
16:24,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",2
16:12,,,,,"MISS LAYUP by WARLICK,JORDAN",,,"MISS LAYUP by WARLICK,JORDAN",2
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",2
16:07,"MISS 3PTR by MURRAY,CHANDLER",,,,,,,"MISS 3PTR by MURRAY,CHANDLER",2
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",2
15:53,,46 (+3),,43,"GOOD 3PTR by KNOX,JOEY",SEW 46-43 (-3),,"GOOD 3PTR by KNOX,JOEY",2
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",2
15:27,"TURNOVER  by CHAMBERS,DIMETRI",,,,,,,"TURNOVER  by CHAMBERS,DIMETRI",2
15:24,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",2
15:24,,46 (+1),,45,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",SEW 46-45 (-1),,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",2
15:24,"FOUL  by CHAMBERS,DIMETRI",,,,,,,"FOUL  by CHAMBERS,DIMETRI",2
15:22,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:22,,,,,"MISS FT by BUESCHER,HUNTER",,,"MISS FT by BUESCHER,HUNTER",2
--,,,,,"REBOUND OFF by WARLICK,JORDAN",,,"REBOUND OFF by WARLICK,JORDAN",2
15:22,"SUB IN by GRIER,DAVRION",,,,,,,"SUB IN by GRIER,DAVRION",2
15:22,"SUB IN by TURNER,TJ",,,,,,,"SUB IN by TURNER,TJ",2
15:22,"SUB OUT by SIMPKINS,MONTE",,,,,,,"SUB OUT by SIMPKINS,MONTE",2
15:22,"SUB OUT by MURRAY,CHANDLER",,,,,,,"SUB OUT by MURRAY,CHANDLER",2
15:19,"FOUL  by TURNER,TJ",,,,,,,"FOUL  by TURNER,TJ",2
15:19,,46,,46,"GOOD FT by WARLICK,JORDAN",SEW 46-46 (0),,"GOOD FT by WARLICK,JORDAN",2
15:19,,46,,47 (+1),"GOOD FT by WARLICK,JORDAN",SEW 46-47 (+1),,"GOOD FT by WARLICK,JORDAN",2
15:10,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:55,"FOUL  by CAMMON,JOSH",,,,,,,"FOUL  by CAMMON,JOSH",2
14:55,,46,,48 (+2),"GOOD FT by CALDWELL,CAM",SEW 46-48 (+2),,"GOOD FT by CALDWELL,CAM",2
14:55,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",2
--,,,,,"REBOUND OFF by WARLICK,JORDAN",,,"REBOUND OFF by WARLICK,JORDAN",2
14:55,"SUB IN by SIMPKINS,MONTE",,,,,,,"SUB IN by SIMPKINS,MONTE",2
14:55,"SUB OUT by CAMMON,JOSH",,,,,,,"SUB OUT by CAMMON,JOSH",2
14:43,,,,,"MISS LAYUP by THOMAS,ADRIAN",,,"MISS LAYUP by THOMAS,ADRIAN",2
--,"REBOUND DEF by GRIER,DAVRION",,,,,,,"REBOUND DEF by GRIER,DAVRION",2
14:20,"GOOD LAYUP by GRIER,DAVRION(in the paint)",48,,48,,BC 48-48 (0),,"GOOD LAYUP by GRIER,DAVRION(in the paint)",2
--,"ASSIST  by TURNER,TJ",,,,,,,"ASSIST  by TURNER,TJ",2
13:59,,,,,"MISS JUMPER by KNOX,JOEY",,,"MISS JUMPER by KNOX,JOEY",2
--,"REBOUND DEF by TURNER,TJ",,,,,,,"REBOUND DEF by TURNER,TJ",2
13:38,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",2
13:38,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",2
13:38,,,,,"SUB IN by SMITH,LUKE",,,"SUB IN by SMITH,LUKE",2
13:38,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",2
13:38,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",2
13:35,"GOOD JUMPER by SIMPKINS,MONTE(in the paint)",50 (+2),,48,,BC 50-48 (-2),,"GOOD JUMPER by SIMPKINS,MONTE(in the paint)",2
13:07,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",2
--,"REBOUND DEF by SIMPKINS,MONTE",,,,,,,"REBOUND DEF by SIMPKINS,MONTE",2
12:58,"GOOD 3PTR by CHAMBERS,DIMETRI(fastbreak)",53 (+5),,48,,BC 53-48 (-5),,"GOOD 3PTR by CHAMBERS,DIMETRI(fastbreak)",2
--,"ASSIST  by SANDERS,JIMMIE",,,,,,,"ASSIST  by SANDERS,JIMMIE",2
12:32,,53 (+3),,50,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEW 53-50 (-3),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
--,,,,,"ASSIST  by CRUMLY,JONNY",,,"ASSIST  by CRUMLY,JONNY",2
12:20,"GOOD JUMPER by SANDERS,JIMMIE",55 (+5),,50,,BC 55-50 (-5),,"GOOD JUMPER by SANDERS,JIMMIE",2
12:00,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",2
--,"REBOUND DEF by SANDERS,JIMMIE",,,,,,,"REBOUND DEF by SANDERS,JIMMIE",2
11:51,"TURNOVER  by TURNER,TJ",,,,,,,"TURNOVER  by TURNER,TJ",2
11:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:49,"SUB IN by JAMES,MARK",,,,,,,"SUB IN by JAMES,MARK",2
11:49,"SUB OUT by SANDERS,JIMMIE",,,,,,,"SUB OUT by SANDERS,JIMMIE",2
11:46,,55 (+3),,52,"GOOD LAYUP by SMITH,LUKE(in the paint)",SEW 55-52 (-3),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
11:33,"MISS 3PTR by JAMES,MARK",,,,,,,"MISS 3PTR by JAMES,MARK",2
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",2
11:13,,55,,55,"GOOD 3PTR by SMITH,LUKE",SEW 55-55 (0),,"GOOD 3PTR by SMITH,LUKE",2
10:49,"GOOD 3PTR by CHAMBERS,DIMETRI",58 (+3),,55,,BC 58-55 (-3),,"GOOD 3PTR by CHAMBERS,DIMETRI",2
--,"ASSIST  by GRIER,DAVRION",,,,,,,"ASSIST  by GRIER,DAVRION",2
10:45,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",2
10:45,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",2
10:45,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",2
10:45,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",2
10:24,,,,,"MISS LAYUP by SMITH,LUKE",,,"MISS LAYUP by SMITH,LUKE",2
--,,,,,"REBOUND OFF by CALDWELL,CAM",,,"REBOUND OFF by CALDWELL,CAM",2
10:16,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",2
--,"REBOUND DEF by JAMES,MARK",,,,,,,"REBOUND DEF by JAMES,MARK",2
10:04,"MISS JUMPER by TURNER,TJ",,,,,,,"MISS JUMPER by TURNER,TJ",2
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",2
09:49,"SUB IN by MURRAY,CHANDLER",,,,,,,"SUB IN by MURRAY,CHANDLER",2
09:49,"SUB OUT by JAMES,MARK",,,,,,,"SUB OUT by JAMES,MARK",2
09:42,,58,,58,"GOOD 3PTR by SMITH,LUKE",SEW 58-58 (0),,"GOOD 3PTR by SMITH,LUKE",2
--,,,,,"ASSIST  by WARLICK,JORDAN",,,"ASSIST  by WARLICK,JORDAN",2
09:27,"MISS 3PTR by TURNER,TJ",,,,,,,"MISS 3PTR by TURNER,TJ",2
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",2
09:13,,,,,"FOUL  by SMITH,LUKE",,,"FOUL  by SMITH,LUKE",2
09:13,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:05,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",2
09:05,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",2
09:02,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",2
09:00,"STEAL  by CHAMBERS,DIMETRI",,,,,,,"STEAL  by CHAMBERS,DIMETRI",2
08:57,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
08:56,"TURNOVER  by CHAMBERS,DIMETRI",,,,,,,"TURNOVER  by CHAMBERS,DIMETRI",2
08:55,,,,,"STEAL  by WARLICK,JORDAN",,,"STEAL  by WARLICK,JORDAN",2
08:41,"FOUL  by MURRAY,CHANDLER",,,,,,,"FOUL  by MURRAY,CHANDLER",2
08:41,,58,,59 (+1),"GOOD FT by WARLICK,JORDAN",SEW 58-59 (+1),,"GOOD FT by WARLICK,JORDAN",2
08:41,,58,,60 (+2),"GOOD FT by WARLICK,JORDAN",SEW 58-60 (+2),,"GOOD FT by WARLICK,JORDAN",2
08:41,"SUB IN by CAMMON,JOSH",,,,,,,"SUB IN by CAMMON,JOSH",2
08:41,"SUB IN by SANDERS,JIMMIE",,,,,,,"SUB IN by SANDERS,JIMMIE",2
08:41,"SUB OUT by MURRAY,CHANDLER",,,,,,,"SUB OUT by MURRAY,CHANDLER",2
08:41,"SUB OUT by TURNER,TJ",,,,,,,"SUB OUT by TURNER,TJ",2
08:27,"MISS 3PTR by SIMPKINS,MONTE",,,,,,,"MISS 3PTR by SIMPKINS,MONTE",2
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",2
08:05,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",2
08:05,"SUB IN by STANCIEL,KEN",,,,,,,"SUB IN by STANCIEL,KEN",2
08:05,"SUB OUT by SIMPKINS,MONTE",,,,,,,"SUB OUT by SIMPKINS,MONTE",2
08:05,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",2
08:05,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",2
07:57,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",2
07:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:46,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",2
07:46,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",2
07:35,,58,,62 (+4),"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",SEW 58-62 (+4),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",2
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",2
07:11,"GOOD LAYUP by STANCIEL,KEN(in the paint)",60,,62 (+2),,BC 60-62 (+2),,"GOOD LAYUP by STANCIEL,KEN(in the paint)",2
--,"ASSIST  by GRIER,DAVRION",,,,,,,"ASSIST  by GRIER,DAVRION",2
06:57,,60,,64 (+4),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEW 60-64 (+4),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,,,,,"ASSIST  by CALDWELL,CAM",,,"ASSIST  by CALDWELL,CAM",2
06:42,"MISS 3PTR by CAMMON,JOSH",,,,,,,"MISS 3PTR by CAMMON,JOSH",2
--,"REBOUND OFF by STANCIEL,KEN",,,,,,,"REBOUND OFF by STANCIEL,KEN",2
06:29,"MISS 3PTR by STANCIEL,KEN",,,,,,,"MISS 3PTR by STANCIEL,KEN",2
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",2
06:11,"FOUL  by STANCIEL,KEN",,,,,,,"FOUL  by STANCIEL,KEN",2
06:11,,60,,65 (+5),"GOOD FT by THOMAS,ADRIAN",SEW 60-65 (+5),,"GOOD FT by THOMAS,ADRIAN",2
06:11,,,,,"MISS FT by THOMAS,ADRIAN",,,"MISS FT by THOMAS,ADRIAN",2
--,"REBOUND DEF by GRIER,DAVRION",,,,,,,"REBOUND DEF by GRIER,DAVRION",2
06:11,"SUB IN by TURNER,TJ",,,,,,,"SUB IN by TURNER,TJ",2
06:11,"SUB OUT by STANCIEL,KEN",,,,,,,"SUB OUT by STANCIEL,KEN",2
06:02,"TURNOVER  by CHAMBERS,DIMETRI",,,,,,,"TURNOVER  by CHAMBERS,DIMETRI",2
06:00,,,,,"STEAL  by WARLICK,JORDAN",,,"STEAL  by WARLICK,JORDAN",2
05:43,,60,,68 (+8),"GOOD 3PTR by WARLICK,JORDAN",SEW 60-68 (+8),,"GOOD 3PTR by WARLICK,JORDAN",2
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",2
05:23,"MISS 3PTR by SANDERS,JIMMIE",,,,,,,"MISS 3PTR by SANDERS,JIMMIE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:20,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",2
05:20,"SUB IN by SIMPKINS,MONTE",,,,,,,"SUB IN by SIMPKINS,MONTE",2
05:20,"SUB OUT by GRIER,DAVRION",,,,,,,"SUB OUT by GRIER,DAVRION",2
05:20,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",2
05:20,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",2
05:13,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
04:57,,60,,70 (+10),"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEW 60-70 (+10),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",2
04:53,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:29,"MISS LAYUP by CAMMON,JOSH",,,,,,,"MISS LAYUP by CAMMON,JOSH",2
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",2
04:09,,,,,"MISS 3PTR by CALDWELL,CAM",,,"MISS 3PTR by CALDWELL,CAM",2
--,"REBOUND DEF by SIMPKINS,MONTE",,,,,,,"REBOUND DEF by SIMPKINS,MONTE",2
03:56,"GOOD JUMPER by SANDERS,JIMMIE",62,,70 (+8),,BC 62-70 (+8),,"GOOD JUMPER by SANDERS,JIMMIE",2
03:32,,62,,72 (+10),"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEW 62-72 (+10),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
03:12,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
03:12,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:12,"GOOD FT by MURRAY,CHANDLER",63,,72 (+9),,BC 63-72 (+9),,"GOOD FT by MURRAY,CHANDLER",2
03:12,"GOOD FT by MURRAY,CHANDLER",64,,72 (+8),,BC 64-72 (+8),,"GOOD FT by MURRAY,CHANDLER",2
03:12,"SUB IN by MURRAY,CHANDLER",,,,,,,"SUB IN by MURRAY,CHANDLER",2
03:12,"SUB IN by GRIER,DAVRION",,,,,,,"SUB IN by GRIER,DAVRION",2
03:12,"SUB OUT by CAMMON,JOSH",,,,,,,"SUB OUT by CAMMON,JOSH",2
03:12,"SUB OUT by SIMPKINS,MONTE",,,,,,,"SUB OUT by SIMPKINS,MONTE",2
03:12,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",2
03:12,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",2
02:58,,64,,74 (+10),"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEW 64-74 (+10),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",2
02:45,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",2
02:45,"GOOD FT by MURRAY,CHANDLER",65,,74 (+9),,BC 65-74 (+9),,"GOOD FT by MURRAY,CHANDLER",2
02:45,"GOOD FT by MURRAY,CHANDLER",66,,74 (+8),,BC 66-74 (+8),,"GOOD FT by MURRAY,CHANDLER",2
02:45,"SUB IN by CAMMON,JOSH",,,,,,,"SUB IN by CAMMON,JOSH",2
02:45,"SUB OUT by TURNER,TJ",,,,,,,"SUB OUT by TURNER,TJ",2
02:45,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",2
02:45,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",2
02:23,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",2
02:23,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",2
02:21,"TURNOVER  by SANDERS,JIMMIE",,,,,,,"TURNOVER  by SANDERS,JIMMIE",2
02:19,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",2
01:47,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,"REBOUND OFF by LEE,MATT",,,"REBOUND OFF by LEE,MATT",2
01:24,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",2
--,"REBOUND DEF by GRIER,DAVRION",,,,,,,"REBOUND DEF by GRIER,DAVRION",2
01:15,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",68,,74 (+6),,BC 68-74 (+6),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",2
01:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:12,"SUB IN by TURNER,TJ",,,,,,,"SUB IN by TURNER,TJ",2
01:12,"SUB OUT by SANDERS,JIMMIE",,,,,,,"SUB OUT by SANDERS,JIMMIE",2
01:01,"FOUL  by CHAMBERS,DIMETRI",,,,,,,"FOUL  by CHAMBERS,DIMETRI",2
01:01,,,,,"MISS FT by LEE,MATT",,,"MISS FT by LEE,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:01,,68,,75 (+7),"GOOD FT by LEE,MATT",SEW 68-75 (+7),,"GOOD FT by LEE,MATT",2
01:01,"SUB IN by SANDERS,JIMMIE",,,,,,,"SUB IN by SANDERS,JIMMIE",2
01:01,"SUB OUT by CAMMON,JOSH",,,,,,,"SUB OUT by CAMMON,JOSH",2
00:57,"GOOD 3PTR by CHAMBERS,DIMETRI",71,,75 (+4),,BC 71-75 (+4),,"GOOD 3PTR by CHAMBERS,DIMETRI",2
--,"ASSIST  by SANDERS,JIMMIE",,,,,,,"ASSIST  by SANDERS,JIMMIE",2
