Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,GC,Game Score,Team Indicator,Play,Period
17:30,"GOOD FT by HENRY,COLIN",38 (+5),,33,,BSC 38-33 (+5),,"GOOD FT by HENRY,COLIN",2
16:54,,,,,"MISS JUMPER by SPAINHOUR,JOSH",,,"MISS JUMPER by SPAINHOUR,JOSH",2
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",2
16:49,"GOOD 3PTR by THOMAS,LARRY",41 (+8),,33,,BSC 41-33 (+8),,"GOOD 3PTR by THOMAS,LARRY",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
16:30,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
16:30,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
16:25,,41 (+5),,36,"GOOD 3PTR by MCCARTHY,MATT",GC 41-36 (+5),,"GOOD 3PTR by MCCARTHY,MATT",2
15:58,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:55,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
15:55,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
15:55,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
15:55,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",2
15:55,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
15:55,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
15:55,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
15:55,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
15:55,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
15:55,,,,,"SUB IN by KOPPENHAVER,WILL",,,"SUB IN by KOPPENHAVER,WILL",2
15:55,,,,,"SUB IN by HYATT,TREVER",,,"SUB IN by HYATT,TREVER",2
15:55,,,,,"SUB IN by HOUSTON,ZACHARY",,,"SUB IN by HOUSTON,ZACHARY",2
15:55,,,,,"SUB OUT by HOPKINS,JAKE",,,"SUB OUT by HOPKINS,JAKE",2
15:55,,,,,"SUB OUT by FURR,ALSTON",,,"SUB OUT by FURR,ALSTON",2
15:55,,,,,"SUB OUT by SPAINHOUR,JOSH",,,"SUB OUT by SPAINHOUR,JOSH",2
15:45,,,,,"MISS LAYUP by KOPPENHAVER,WILL",,,"MISS LAYUP by KOPPENHAVER,WILL",2
--,,,,,"REBOUND OFF by HYATT,TREVER",,,"REBOUND OFF by HYATT,TREVER",2
15:41,,,,,"MISS LAYUP by HYATT,TREVER",,,"MISS LAYUP by HYATT,TREVER",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
15:14,"GOOD JUMPER by THOMAS,LARRY",43 (+7),,36,,BSC 43-36 (+7),,"GOOD JUMPER by THOMAS,LARRY",2
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",2
14:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
14:47,,43 (+4),,39,"GOOD 3PTR by HYATT,TREVER",GC 43-39 (+4),,"GOOD 3PTR by HYATT,TREVER",2
--,,,,,"ASSIST  by MCCARTHY,MATT",,,"ASSIST  by MCCARTHY,MATT",2
14:39,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
14:39,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",2
14:33,,,,,"TURNOVER  by KOPPENHAVER,WILL",,,"TURNOVER  by KOPPENHAVER,WILL",2
14:32,"STEAL  by AVERY,ALEX",,,,,,,"STEAL  by AVERY,ALEX",2
14:29,,,,,"FOUL  by KOPPENHAVER,WILL",,,"FOUL  by KOPPENHAVER,WILL",2
14:29,"GOOD FT by GALFSKY,ANDER",44 (+5),,39,,BSC 44-39 (+5),,"GOOD FT by GALFSKY,ANDER",2
14:29,"GOOD FT by GALFSKY,ANDER",45 (+6),,39,,BSC 45-39 (+6),,"GOOD FT by GALFSKY,ANDER",2
14:29,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
14:29,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
14:29,,,,,"SUB IN by HOPKINS,JAKE",,,"SUB IN by HOPKINS,JAKE",2
14:29,,,,,"SUB OUT by KOPPENHAVER,WILL",,,"SUB OUT by KOPPENHAVER,WILL",2
14:17,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",2
14:17,,,,,"MISS FT by RICHARDSON,ZEB",,,"MISS FT by RICHARDSON,ZEB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:17,,,,,"MISS FT by RICHARDSON,ZEB",,,"MISS FT by RICHARDSON,ZEB",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
14:03,"MISS LAYUP by WELCH,ROSS",,,,,,,"MISS LAYUP by WELCH,ROSS",2
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",2
14:01,,,,,"FOUL  by HOPKINS,JAKE",,,"FOUL  by HOPKINS,JAKE",2
14:01,"GOOD FT by GALFSKY,ANDER",46 (+7),,39,,BSC 46-39 (+7),,"GOOD FT by GALFSKY,ANDER",2
14:01,"MISS FT by GALFSKY,ANDER",,,,,,,"MISS FT by GALFSKY,ANDER",2
--,,,,,"REBOUND DEF by HOPKINS,JAKE",,,"REBOUND DEF by HOPKINS,JAKE",2
14:01,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
14:01,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
14:01,,,,,"SUB IN by STOKELY,ROBBIE",,,"SUB IN by STOKELY,ROBBIE",2
14:01,,,,,"SUB OUT by RICHARDSON,ZEB",,,"SUB OUT by RICHARDSON,ZEB",2
13:53,,,,,"MISS 3PTR by MCCARTHY,MATT",,,"MISS 3PTR by MCCARTHY,MATT",2
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",2
13:27,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",2
--,,,,,"REBOUND DEF by HYATT,TREVER",,,"REBOUND DEF by HYATT,TREVER",2
13:17,,,,,"MISS LAYUP by HOUSTON,ZACHARY",,,"MISS LAYUP by HOUSTON,ZACHARY",2
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",2
12:56,,,,,"FOUL  by STOKELY,ROBBIE",,,"FOUL  by STOKELY,ROBBIE",2
12:56,"GOOD FT by LEWIS,EVAN",47 (+8),,39,,BSC 47-39 (+8),,"GOOD FT by LEWIS,EVAN",2
12:56,"GOOD FT by LEWIS,EVAN",48 (+9),,39,,BSC 48-39 (+9),,"GOOD FT by LEWIS,EVAN",2
12:56,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
12:56,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
12:56,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
12:56,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
12:56,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
12:56,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",2
12:56,,,,,"SUB IN by FURR,ALSTON",,,"SUB IN by FURR,ALSTON",2
12:56,,,,,"SUB OUT by MCCARTHY,MATT",,,"SUB OUT by MCCARTHY,MATT",2
12:49,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
12:49,,,,,"MISS FT by FURR,ALSTON",,,"MISS FT by FURR,ALSTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:49,,48 (+8),,40,"GOOD FT by FURR,ALSTON",GC 48-40 (+8),,"GOOD FT by FURR,ALSTON",2
12:28,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",50 (+10),,40,,BSC 50-40 (+10),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
12:02,,,,,"TURNOVER  by FURR,ALSTON",,,"TURNOVER  by FURR,ALSTON",2
12:02,,,,,"SUB IN by RICHARDSON,ZEB",,,"SUB IN by RICHARDSON,ZEB",2
12:02,,,,,"SUB OUT by STOKELY,ROBBIE",,,"SUB OUT by STOKELY,ROBBIE",2
11:49,,,,,"FOUL  by HYATT,TREVER",,,"FOUL  by HYATT,TREVER",2
11:43,,,,,"FOUL  by RICHARDSON,ZEB",,,"FOUL  by RICHARDSON,ZEB",2
11:33,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by RICHARDSON,ZEB",,,"REBOUND DEF by RICHARDSON,ZEB",2
11:14,,,,,"MISS LAYUP by RICHARDSON,ZEB",,,"MISS LAYUP by RICHARDSON,ZEB",2
--,,,,,"REBOUND OFF by HOUSTON,ZACHARY",,,"REBOUND OFF by HOUSTON,ZACHARY",2
11:08,,,,,"TURNOVER  by HOPKINS,JAKE",,,"TURNOVER  by HOPKINS,JAKE",2
11:07,"STEAL  by HENRY,COLIN",,,,,,,"STEAL  by HENRY,COLIN",2
11:00,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",52 (+12),,40,,BSC 52-40 (+12),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
10:45,,,,,"MISS 3PTR by HYATT,TREVER",,,"MISS 3PTR by HYATT,TREVER",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
10:19,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by RICHARDSON,ZEB",,,"REBOUND DEF by RICHARDSON,ZEB",2
10:09,,52 (+10),,42,"GOOD LAYUP by HOPKINS,JAKE(in the paint)",GC 52-42 (+10),,"GOOD LAYUP by HOPKINS,JAKE(in the paint)",2
--,,,,,"ASSIST  by FURR,ALSTON",,,"ASSIST  by FURR,ALSTON",2
10:05,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:05,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
10:05,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",2
10:05,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
10:05,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
10:05,,,,,"SUB IN by KOPPENHAVER,WILL",,,"SUB IN by KOPPENHAVER,WILL",2
10:05,,,,,"SUB IN by BYRD,MICHAEL",,,"SUB IN by BYRD,MICHAEL",2
10:05,,,,,"SUB IN by MCCARTHY,MATT",,,"SUB IN by MCCARTHY,MATT",2
10:05,,,,,"SUB IN by SPAINHOUR,JOSH",,,"SUB IN by SPAINHOUR,JOSH",2
10:05,,,,,"SUB OUT by HOPKINS,JAKE",,,"SUB OUT by HOPKINS,JAKE",2
10:05,,,,,"SUB OUT by HYATT,TREVER",,,"SUB OUT by HYATT,TREVER",2
10:05,,,,,"SUB OUT by FURR,ALSTON",,,"SUB OUT by FURR,ALSTON",2
10:05,,,,,"SUB OUT by HOUSTON,ZACHARY",,,"SUB OUT by HOUSTON,ZACHARY",2
09:50,"GOOD LAYUP by THOMAS,LARRY(in the paint)",54 (+12),,42,,BSC 54-42 (+12),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",2
09:26,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
09:26,,54 (+11),,43,"GOOD FT by BYRD,MICHAEL",GC 54-43 (+11),,"GOOD FT by BYRD,MICHAEL",2
09:26,,,,,"MISS FT by BYRD,MICHAEL",,,"MISS FT by BYRD,MICHAEL",2
--,,,,,"REBOUND OFF by MCCARTHY,MATT",,,"REBOUND OFF by MCCARTHY,MATT",2
09:14,,,,,"MISS LAYUP by BYRD,MICHAEL",,,"MISS LAYUP by BYRD,MICHAEL",2
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",2
08:54,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
08:53,,,,,"STEAL  by MCCARTHY,MATT",,,"STEAL  by MCCARTHY,MATT",2
08:50,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
08:50,,,,,"SUB IN by HOPKINS,JAKE",,,"SUB IN by HOPKINS,JAKE",2
08:50,,,,,"SUB OUT by KOPPENHAVER,WILL",,,"SUB OUT by KOPPENHAVER,WILL",2
08:43,,,,,"FOUL  by BYRD,MICHAEL",,,"FOUL  by BYRD,MICHAEL",2
08:43,"MISS FT by HOLLAND,JASON",,,,,,,"MISS FT by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by HOPKINS,JAKE",,,"REBOUND DEF by HOPKINS,JAKE",2
08:37,,,,,"MISS 3PTR by HOPKINS,JAKE",,,"MISS 3PTR by HOPKINS,JAKE",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
08:10,"GOOD 3PTR by HOLLAND,JASON",57 (+14),,43,,BSC 57-43 (+14),,"GOOD 3PTR by HOLLAND,JASON",2
--,"ASSIST  by GALFSKY,ANDER",,,,,,,"ASSIST  by GALFSKY,ANDER",2
07:54,,,,,"MISS 3PTR by MCCARTHY,MATT",,,"MISS 3PTR by MCCARTHY,MATT",2
--,,,,,"REBOUND OFF by HOPKINS,JAKE",,,"REBOUND OFF by HOPKINS,JAKE",2
07:50,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
07:50,,57 (+13),,44,"GOOD FT by HOPKINS,JAKE",GC 57-44 (+13),,"GOOD FT by HOPKINS,JAKE",2
07:50,,57 (+12),,45,"GOOD FT by HOPKINS,JAKE",GC 57-45 (+12),,"GOOD FT by HOPKINS,JAKE",2
07:50,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
07:50,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
07:50,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
07:50,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
07:50,,,,,"SUB IN by HYATT,TREVER",,,"SUB IN by HYATT,TREVER",2
07:50,,,,,"SUB OUT by BYRD,MICHAEL",,,"SUB OUT by BYRD,MICHAEL",2
07:21,"MISS LAYUP by GALFSKY,ANDER",,,,,,,"MISS LAYUP by GALFSKY,ANDER",2
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",2
07:19,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",59 (+14),,45,,BSC 59-45 (+14),,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",2
07:19,,,,,"FOUL  by RICHARDSON,ZEB",,,"FOUL  by RICHARDSON,ZEB",2
07:19,"GOOD FT by GALFSKY,ANDER",60 (+15),,45,,BSC 60-45 (+15),,"GOOD FT by GALFSKY,ANDER",2
07:19,,,,,"SUB IN by HOUSTON,ZACHARY",,,"SUB IN by HOUSTON,ZACHARY",2
07:19,,,,,"SUB OUT by SPAINHOUR,JOSH",,,"SUB OUT by SPAINHOUR,JOSH",2
07:14,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
07:14,,60 (+14),,46,"GOOD FT by HOUSTON,ZACHARY",GC 60-46 (+14),,"GOOD FT by HOUSTON,ZACHARY",2
07:14,,,,,"MISS FT by HOUSTON,ZACHARY",,,"MISS FT by HOUSTON,ZACHARY",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
06:55,"GOOD LAYUP by THOM,IAN(in the paint)",62 (+16),,46,,BSC 62-46 (+16),,"GOOD LAYUP by THOM,IAN(in the paint)",2
06:24,,,,,"MISS LAYUP by RICHARDSON,ZEB",,,"MISS LAYUP by RICHARDSON,ZEB",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
06:03,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",2
06:03,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
06:03,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
06:03,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
06:03,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
06:03,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
06:03,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
06:03,,,,,"SUB IN by FURR,ALSTON",,,"SUB IN by FURR,ALSTON",2
06:03,,,,,"SUB OUT by MCCARTHY,MATT",,,"SUB OUT by MCCARTHY,MATT",2
05:52,,62 (+13),,49,"GOOD 3PTR by FURR,ALSTON",GC 62-49 (+13),,"GOOD 3PTR by FURR,ALSTON",2
--,,,,,"ASSIST  by HOUSTON,ZACHARY",,,"ASSIST  by HOUSTON,ZACHARY",2
05:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:29,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",2
--,,,,,"REBOUND DEF by HOPKINS,JAKE",,,"REBOUND DEF by HOPKINS,JAKE",2
05:25,,,,,"TURNOVER  by HOPKINS,JAKE",,,"TURNOVER  by HOPKINS,JAKE",2
05:22,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
05:15,,,,,"FOUL  by FURR,ALSTON",,,"FOUL  by FURR,ALSTON",2
05:15,"GOOD FT by THOM,IAN",63 (+14),,49,,BSC 63-49 (+14),,"GOOD FT by THOM,IAN",2
05:15,"GOOD FT by THOM,IAN",64 (+15),,49,,BSC 64-49 (+15),,"GOOD FT by THOM,IAN",2
05:15,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
05:15,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
05:01,,,,,"MISS 3PTR by FURR,ALSTON",,,"MISS 3PTR by FURR,ALSTON",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
04:38,,,,,"FOUL  by RICHARDSON,ZEB",,,"FOUL  by RICHARDSON,ZEB",2
04:38,"GOOD FT by HENRY,COLIN",65 (+16),,49,,BSC 65-49 (+16),,"GOOD FT by HENRY,COLIN",2
04:38,"GOOD FT by HENRY,COLIN",66 (+17),,49,,BSC 66-49 (+17),,"GOOD FT by HENRY,COLIN",2
04:24,,,,,"MISS LAYUP by HOPKINS,JAKE",,,"MISS LAYUP by HOPKINS,JAKE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
04:01,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
04:00,,,,,"STEAL  by HOUSTON,ZACHARY",,,"STEAL  by HOUSTON,ZACHARY",2
03:57,,,,,"TURNOVER  by FURR,ALSTON",,,"TURNOVER  by FURR,ALSTON",2
03:57,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
03:57,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
03:31,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
03:31,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
03:31,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:31,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
03:31,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",2
03:31,,,,,"SUB IN by MCCARTHY,MATT",,,"SUB IN by MCCARTHY,MATT",2
03:31,,,,,"SUB OUT by HOPKINS,JAKE",,,"SUB OUT by HOPKINS,JAKE",2
03:16,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
03:16,,,,,"MISS FT by HYATT,TREVER",,,"MISS FT by HYATT,TREVER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:11,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
03:11,,66 (+16),,50,"GOOD FT by FURR,ALSTON",GC 66-50 (+16),,"GOOD FT by FURR,ALSTON",2
03:11,,66 (+15),,51,"GOOD FT by FURR,ALSTON",GC 66-51 (+15),,"GOOD FT by FURR,ALSTON",2
03:11,,,,,"SUB IN by STOKELY,ROBBIE",,,"SUB IN by STOKELY,ROBBIE",2
03:11,,,,,"SUB IN by BYRD,MICHAEL",,,"SUB IN by BYRD,MICHAEL",2
03:11,,,,,"SUB OUT by RICHARDSON,ZEB",,,"SUB OUT by RICHARDSON,ZEB",2
03:11,,,,,"SUB OUT by MCCARTHY,MATT",,,"SUB OUT by MCCARTHY,MATT",2
02:58,,,,,"FOUL  by HYATT,TREVER",,,"FOUL  by HYATT,TREVER",2
02:58,"MISS FT by LEWIS,EVAN",,,,,,,"MISS FT by LEWIS,EVAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:58,"GOOD FT by LEWIS,EVAN",67 (+16),,51,,BSC 67-51 (+16),,"GOOD FT by LEWIS,EVAN",2
02:58,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",2
02:58,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
02:58,,,,,"SUB IN by SPAINHOUR,JOSH",,,"SUB IN by SPAINHOUR,JOSH",2
02:58,,,,,"SUB OUT by HOUSTON,ZACHARY",,,"SUB OUT by HOUSTON,ZACHARY",2
02:50,,67 (+13),,54,"GOOD 3PTR by SPAINHOUR,JOSH",GC 67-54 (+13),,"GOOD 3PTR by SPAINHOUR,JOSH",2
02:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:33,"GOOD 3PTR by WELCH,ROSS",70 (+16),,54,,BSC 70-54 (+16),,"GOOD 3PTR by WELCH,ROSS",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
02:24,,,,,"MISS LAYUP by HYATT,TREVER",,,"MISS LAYUP by HYATT,TREVER",2
--,,,,,"REBOUND OFF by STOKELY,ROBBIE",,,"REBOUND OFF by STOKELY,ROBBIE",2
02:20,,,,,"MISS LAYUP by STOKELY,ROBBIE",,,"MISS LAYUP by STOKELY,ROBBIE",2
02:20,"BLOCK  by FREEMAN,SCHYLAR",,,,,,,"BLOCK  by FREEMAN,SCHYLAR",2
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",2
01:45,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND OFF by WELCH,ROSS",,,,,,,"REBOUND OFF by WELCH,ROSS",2
01:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:38,,,,,"SUB IN by KOPPENHAVER,WILL",,,"SUB IN by KOPPENHAVER,WILL",2
01:38,,,,,"SUB IN by GREENE,COLE",,,"SUB IN by GREENE,COLE",2
01:38,,,,,"SUB OUT by HYATT,TREVER",,,"SUB OUT by HYATT,TREVER",2
01:38,,,,,"SUB OUT by FURR,ALSTON",,,"SUB OUT by FURR,ALSTON",2
01:14,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",72 (+18),,54,,BSC 72-54 (+18),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
01:02,,,,,"MISS 3PTR by SPAINHOUR,JOSH",,,"MISS 3PTR by SPAINHOUR,JOSH",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
00:28,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by KOPPENHAVER,WILL",,,"REBOUND DEF by KOPPENHAVER,WILL",2
00:22,,,,,"MISS JUMPER by SPAINHOUR,JOSH",,,"MISS JUMPER by SPAINHOUR,JOSH",2
--,,,,,"REBOUND OFF by KOPPENHAVER,WILL",,,"REBOUND OFF by KOPPENHAVER,WILL",2
00:17,,72 (+16),,56,"GOOD JUMPER by KOPPENHAVER,WILL",GC 72-56 (+16),,"GOOD JUMPER by KOPPENHAVER,WILL",2
