Time Remaining,MVCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
00:24,,81 (+6),,75,"GOOD FT by THOMAS,LARRY",BSC 81-75 (-6),,"GOOD FT by THOMAS,LARRY",2
00:24,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",2
00:24,"SUB OUT by BREWER,LOGAN",,,,,,,"SUB OUT by BREWER,LOGAN",2
00:24,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",2
00:24,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
00:24,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
00:24,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
00:24,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
00:24,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",2
00:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:18,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",2
00:18,"GOOD FT by FORD,CHRISTIAN",82 (+7),,75,,MVCM 82-75 (-7),,"GOOD FT by FORD,CHRISTIAN",2
00:18,"MISS FT by FORD,CHRISTIAN",,,,,,,"MISS FT by FORD,CHRISTIAN",2
--,,,,,"REBOUND DEF by HAYES,CONNER",,,"REBOUND DEF by HAYES,CONNER",2
00:18,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
00:18,,,,,"SUB IN by HAYES,CONNER",,,"SUB IN by HAYES,CONNER",2
00:18,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
00:18,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
00:18,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",2
00:18,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
00:18,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
00:18,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
00:11,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",2
--,,,,,"REBOUND OFF by CRAIN,JOHN",,,"REBOUND OFF by CRAIN,JOHN",2
00:04,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND DEF by BYRD,JAUMONEE",,,,,,,"REBOUND DEF by BYRD,JAUMONEE",2
