Time Remaining,SU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
01:31,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
01:31,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
01:17,"FOUL  by BLAKEMORE,THOMAS",,,,,,,"FOUL  by BLAKEMORE,THOMAS",1
01:17,,29,,45 (+16),"GOOD FT by THOMAS,LARRY",BSC 29-45 (+16),,"GOOD FT by THOMAS,LARRY",1
01:17,,29,,46 (+17),"GOOD FT by THOMAS,LARRY",BSC 29-46 (+17),,"GOOD FT by THOMAS,LARRY",1
01:17,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
01:17,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
01:16,"MISS LAYUP by MAYFIELD,DEVIN",,,,,,,"MISS LAYUP by MAYFIELD,DEVIN",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
00:58,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",1
00:57,"STEAL  by MAYFIELD,DEVIN",,,,,,,"STEAL  by MAYFIELD,DEVIN",1
00:44,"MISS LAYUP by MAYFIELD,DEVIN",,,,,,,"MISS LAYUP by MAYFIELD,DEVIN",1
--,"REBOUND OFF by MAYFIELD,DEVIN",,,,,,,"REBOUND OFF by MAYFIELD,DEVIN",1
00:40,"MISS 3PTR by GOEING,BRANDON",,,,,,,"MISS 3PTR by GOEING,BRANDON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:17,"MISS 3PTR by MAYFIELD,DEVIN",,,,,,,"MISS 3PTR by MAYFIELD,DEVIN",1
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",1
00:01,,29,,48 (+19),"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 29-48 (+19),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
19:47,"MISS JUMPER by GABRIEL,BRANDON",,,,,,,"MISS JUMPER by GABRIEL,BRANDON",2
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",2
19:27,"FOUL  by MOORE,RENALDO",,,,,,,"FOUL  by MOORE,RENALDO",2
19:27,,,,,"MISS FT by WELCH,ROSS",,,"MISS FT by WELCH,ROSS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:27,,29,,49 (+20),"GOOD FT by WELCH,ROSS",BSC 29-49 (+20),,"GOOD FT by WELCH,ROSS",2
19:27,"SUB IN by BARBER,WILLIAM",,,,,,,"SUB IN by BARBER,WILLIAM",2
19:27,"SUB IN by KING,TAYLOR",,,,,,,"SUB IN by KING,TAYLOR",2
19:27,"SUB OUT by GOEING,BRANDON",,,,,,,"SUB OUT by GOEING,BRANDON",2
19:27,"SUB OUT by MOORE,RENALDO",,,,,,,"SUB OUT by MOORE,RENALDO",2
19:25,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",2
18:52,"TURNOVER  by GABRIEL,BRANDON",,,,,,,"TURNOVER  by GABRIEL,BRANDON",2
18:51,,,,,"STEAL  by WELCH,ROSS",,,"STEAL  by WELCH,ROSS",2
18:41,,29,,51 (+22),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 29-51 (+22),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",2
18:30,"TURNOVER  by HAMILTON,QUAYSHAUN",,,,,,,"TURNOVER  by HAMILTON,QUAYSHAUN",2
18:28,,,,,"STEAL  by SCHAMP,GRIFFIN",,,"STEAL  by SCHAMP,GRIFFIN",2
18:24,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND DEF by GABRIEL,BRANDON",,,,,,,"REBOUND DEF by GABRIEL,BRANDON",2
18:19,"GOOD LAYUP by BLAKEMORE,THOMAS(fastbreak)(in the paint)",31,,51 (+20),,SU 31-51 (+20),,"GOOD LAYUP by BLAKEMORE,THOMAS(fastbreak)(in the paint)",2
--,"ASSIST  by GABRIEL,BRANDON",,,,,,,"ASSIST  by GABRIEL,BRANDON",2
18:14,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",2
18:14,"MISS FT by BLAKEMORE,THOMAS",,,,,,,"MISS FT by BLAKEMORE,THOMAS",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
18:12,"FOUL  by BLAKEMORE,THOMAS",,,,,,,"FOUL  by BLAKEMORE,THOMAS",2
17:56,,31,,53 (+22),"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 31-53 (+22),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",2
17:46,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",2
17:46,"GOOD LAYUP by KING,TAYLOR(in the paint)",33,,53 (+20),,SU 33-53 (+20),,"GOOD LAYUP by KING,TAYLOR(in the paint)",2
17:46,"GOOD FT by KING,TAYLOR",34,,53 (+19),,SU 34-53 (+19),,"GOOD FT by KING,TAYLOR",2
17:46,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",2
17:46,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",2
17:46,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
17:46,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
17:46,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
17:46,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",2
17:46,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
17:46,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",2
17:46,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
17:46,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
17:12,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
16:56,"MISS JUMPER by SANFORD,DOMONIQUE",,,,,,,"MISS JUMPER by SANFORD,DOMONIQUE",2
--,"REBOUND OFF by GABRIEL,BRANDON",,,,,,,"REBOUND OFF by GABRIEL,BRANDON",2
16:53,"GOOD JUMPER by GABRIEL,BRANDON",36,,53 (+17),,SU 36-53 (+17),,"GOOD JUMPER by GABRIEL,BRANDON",2
16:51,"SUB IN by SANFORD,DOMONIQUE",,,,,,,"SUB IN by SANFORD,DOMONIQUE",2
16:51,"SUB OUT by HAMILTON,QUAYSHAUN",,,,,,,"SUB OUT by HAMILTON,QUAYSHAUN",2
16:48,,,,,"TURNOVER  by HOLLE,MASON",,,"TURNOVER  by HOLLE,MASON",2
16:34,"MISS LAYUP by KING,TAYLOR",,,,,,,"MISS LAYUP by KING,TAYLOR",2
--,"REBOUND OFF by KING,TAYLOR",,,,,,,"REBOUND OFF by KING,TAYLOR",2
16:31,"GOOD TIPIN by KING,TAYLOR(in the paint)",38,,53 (+15),,SU 38-53 (+15),,"GOOD TIPIN by KING,TAYLOR(in the paint)",2
16:18,"FOUL  by BLAKEMORE,THOMAS",,,,,,,"FOUL  by BLAKEMORE,THOMAS",2
16:18,,38,,54 (+16),"GOOD FT by LEWIS,EVAN",BSC 38-54 (+16),,"GOOD FT by LEWIS,EVAN",2
16:18,,38,,55 (+17),"GOOD FT by LEWIS,EVAN",BSC 38-55 (+17),,"GOOD FT by LEWIS,EVAN",2
16:18,"SUB IN by HAMILTON,QUAYSHAUN",,,,,,,"SUB IN by HAMILTON,QUAYSHAUN",2
16:18,"SUB IN by GOEING,BRANDON",,,,,,,"SUB IN by GOEING,BRANDON",2
16:18,"SUB OUT by SANFORD,DOMONIQUE",,,,,,,"SUB OUT by SANFORD,DOMONIQUE",2
16:18,"SUB OUT by BLAKEMORE,THOMAS",,,,,,,"SUB OUT by BLAKEMORE,THOMAS",2
16:02,,,,,"FOUL  by HOLLE,MASON",,,"FOUL  by HOLLE,MASON",2
15:54,"GOOD JUMPER by BARBER,WILLIAM",40,,55 (+15),,SU 40-55 (+15),,"GOOD JUMPER by BARBER,WILLIAM",2
15:24,"FOUL  by HAMILTON,QUAYSHAUN",,,,,,,"FOUL  by HAMILTON,QUAYSHAUN",2
15:24,,40,,56 (+16),"GOOD FT by GALFSKY,ANDER",BSC 40-56 (+16),,"GOOD FT by GALFSKY,ANDER",2
15:24,,40,,57 (+17),"GOOD FT by GALFSKY,ANDER",BSC 40-57 (+17),,"GOOD FT by GALFSKY,ANDER",2
15:24,"SUB IN by SMITH,TEREZ",,,,,,,"SUB IN by SMITH,TEREZ",2
15:24,"SUB OUT by KING,TAYLOR",,,,,,,"SUB OUT by KING,TAYLOR",2
15:24,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
15:24,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",2
15:24,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
15:24,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",2
15:24,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
15:24,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",2
15:24,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",2
15:24,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
15:24,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
15:24,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
15:00,"TURNOVER  by GABRIEL,BRANDON",,,,,,,"TURNOVER  by GABRIEL,BRANDON",2
14:40,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",2
14:39,"STEAL  by HAMILTON,QUAYSHAUN",,,,,,,"STEAL  by HAMILTON,QUAYSHAUN",2
14:37,"GOOD LAYUP by HAMILTON,QUAYSHAUN(fastbreak)(in the paint)",42,,57 (+15),,SU 42-57 (+15),,"GOOD LAYUP by HAMILTON,QUAYSHAUN(fastbreak)(in the paint)",2
--,"ASSIST  by GABRIEL,BRANDON",,,,,,,"ASSIST  by GABRIEL,BRANDON",2
14:13,"FOUL  by SMITH,TEREZ",,,,,,,"FOUL  by SMITH,TEREZ",2
14:13,,42,,58 (+16),"GOOD FT by THOMAS,LARRY",BSC 42-58 (+16),,"GOOD FT by THOMAS,LARRY",2
14:13,,,,,"MISS FT by THOMAS,LARRY",,,"MISS FT by THOMAS,LARRY",2
--,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",,,"REBOUND OFF by FREEMAN,SCHYLAR",2
14:07,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",2
--,"REBOUND DEF by HAMILTON,QUAYSHAUN",,,,,,,"REBOUND DEF by HAMILTON,QUAYSHAUN",2
13:57,"GOOD LAYUP by GOEING,BRANDON(fastbreak)(in the paint)",44,,58 (+14),,SU 44-58 (+14),,"GOOD LAYUP by GOEING,BRANDON(fastbreak)(in the paint)",2
--,"ASSIST  by HAMILTON,QUAYSHAUN",,,,,,,"ASSIST  by HAMILTON,QUAYSHAUN",2
13:33,,44,,60 (+16),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 44-60 (+16),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",2
13:16,"MISS 3PTR by GOEING,BRANDON",,,,,,,"MISS 3PTR by GOEING,BRANDON",2
--,,,,,"REBOUND DEF by WELCH,ROSS",,,"REBOUND DEF by WELCH,ROSS",2
13:10,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",2
13:10,"SUB IN by MOORE,RENALDO",,,,,,,"SUB IN by MOORE,RENALDO",2
13:10,"SUB IN by KINNEY,ANDREW",,,,,,,"SUB IN by KINNEY,ANDREW",2
13:10,"SUB OUT by GOEING,BRANDON",,,,,,,"SUB OUT by GOEING,BRANDON",2
13:10,"SUB OUT by SMITH,TEREZ",,,,,,,"SUB OUT by SMITH,TEREZ",2
13:10,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
13:10,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",2
12:48,"MISS 3PTR by GABRIEL,BRANDON",,,,,,,"MISS 3PTR by GABRIEL,BRANDON",2
--,"REBOUND OFF by MOORE,RENALDO",,,,,,,"REBOUND OFF by MOORE,RENALDO",2
12:24,"MISS 3PTR by GABRIEL,BRANDON",,,,,,,"MISS 3PTR by GABRIEL,BRANDON",2
--,"REBOUND OFF by BARBER,WILLIAM",,,,,,,"REBOUND OFF by BARBER,WILLIAM",2
12:22,"GOOD LAYUP by BARBER,WILLIAM(in the paint)",46,,60 (+14),,SU 46-60 (+14),,"GOOD LAYUP by BARBER,WILLIAM(in the paint)",2
11:56,"FOUL  by HAMILTON,QUAYSHAUN",,,,,,,"FOUL  by HAMILTON,QUAYSHAUN",2
11:56,,46,,61 (+15),"GOOD FT by HENRY,COLIN",BSC 46-61 (+15),,"GOOD FT by HENRY,COLIN",2
11:56,,,,,"MISS FT by HENRY,COLIN",,,"MISS FT by HENRY,COLIN",2
--,"REBOUND DEF by GABRIEL,BRANDON",,,,,,,"REBOUND DEF by GABRIEL,BRANDON",2
11:56,"SUB IN by SMITH,TEREZ",,,,,,,"SUB IN by SMITH,TEREZ",2
11:56,"SUB OUT by HAMILTON,QUAYSHAUN",,,,,,,"SUB OUT by HAMILTON,QUAYSHAUN",2
11:38,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",2
11:27,"MISS 3PTR by BARBER,WILLIAM",,,,,,,"MISS 3PTR by BARBER,WILLIAM",2
--,,,,,"REBOUND DEF by WELCH,ROSS",,,"REBOUND DEF by WELCH,ROSS",2
11:27,"SUB IN by GOEING,BRANDON",,,,,,,"SUB IN by GOEING,BRANDON",2
11:27,"SUB OUT by GABRIEL,BRANDON",,,,,,,"SUB OUT by GABRIEL,BRANDON",2
11:14,"FOUL  by BARBER,WILLIAM",,,,,,,"FOUL  by BARBER,WILLIAM",2
11:14,,46,,62 (+16),"GOOD FT by THOMAS,LARRY",BSC 46-62 (+16),,"GOOD FT by THOMAS,LARRY",2
11:14,,46,,63 (+17),"GOOD FT by THOMAS,LARRY",BSC 46-63 (+17),,"GOOD FT by THOMAS,LARRY",2
10:58,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",2
10:58,"GOOD FT by BARBER,WILLIAM",47,,63 (+16),,SU 47-63 (+16),,"GOOD FT by BARBER,WILLIAM",2
10:58,"GOOD FT by BARBER,WILLIAM",48,,63 (+15),,SU 48-63 (+15),,"GOOD FT by BARBER,WILLIAM",2
10:58,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
10:58,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
10:58,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",2
10:58,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
10:58,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",2
10:58,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
10:55,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
10:37,"TURNOVER  by GOEING,BRANDON",,,,,,,"TURNOVER  by GOEING,BRANDON",2
10:34,"FOUL  by GOEING,BRANDON",,,,,,,"FOUL  by GOEING,BRANDON",2
10:34,,48,,64 (+16),"GOOD FT by THOM,IAN",BSC 48-64 (+16),,"GOOD FT by THOM,IAN",2
10:34,,48,,65 (+17),"GOOD FT by THOM,IAN",BSC 48-65 (+17),,"GOOD FT by THOM,IAN",2
10:34,"SUB IN by GABRIEL,BRANDON",,,,,,,"SUB IN by GABRIEL,BRANDON",2
10:34,"SUB OUT by GOEING,BRANDON",,,,,,,"SUB OUT by GOEING,BRANDON",2
10:34,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",2
10:34,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",2
10:34,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
10:34,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
10:16,"GOOD LAYUP by BARBER,WILLIAM(in the paint)",50,,65 (+15),,SU 50-65 (+15),,"GOOD LAYUP by BARBER,WILLIAM(in the paint)",2
10:16,,,,,"FOUL  by GALFSKY,ANDER",,,"FOUL  by GALFSKY,ANDER",2
10:16,"GOOD FT by BARBER,WILLIAM",51,,65 (+14),,SU 51-65 (+14),,"GOOD FT by BARBER,WILLIAM",2
10:16,"SUB IN by BLAKEMORE,THOMAS",,,,,,,"SUB IN by BLAKEMORE,THOMAS",2
10:16,"SUB OUT by KINNEY,ANDREW",,,,,,,"SUB OUT by KINNEY,ANDREW",2
09:59,,,,,"MISS 3PTR by HOLLE,MASON",,,"MISS 3PTR by HOLLE,MASON",2
--,"REBOUND DEF by SMITH,TEREZ",,,,,,,"REBOUND DEF by SMITH,TEREZ",2
09:31,"MISS LAYUP by MOORE,RENALDO",,,,,,,"MISS LAYUP by MOORE,RENALDO",2
09:31,,,,,"BLOCK  by FREEMAN,SCHYLAR",,,"BLOCK  by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",2
09:23,"SUB IN by KING,TAYLOR",,,,,,,"SUB IN by KING,TAYLOR",2
09:23,"SUB OUT by MOORE,RENALDO",,,,,,,"SUB OUT by MOORE,RENALDO",2
09:08,,51,,67 (+16),"GOOD JUMPER by HOLLE,MASON(in the paint)",BSC 51-67 (+16),,"GOOD JUMPER by HOLLE,MASON(in the paint)",2
09:00,"MISS JUMPER by BLAKEMORE,THOMAS",,,,,,,"MISS JUMPER by BLAKEMORE,THOMAS",2
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",2
08:36,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
08:36,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
08:36,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",2
08:36,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",2
08:34,,51,,69 (+18),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 51-69 (+18),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",2
08:13,"GOOD 3PTR by GABRIEL,BRANDON",54,,69 (+15),,SU 54-69 (+15),,"GOOD 3PTR by GABRIEL,BRANDON",2
--,"ASSIST  by BLAKEMORE,THOMAS",,,,,,,"ASSIST  by BLAKEMORE,THOMAS",2
07:44,"FOUL  by KING,TAYLOR",,,,,,,"FOUL  by KING,TAYLOR",2
07:44,,54,,70 (+16),"GOOD FT by LEWIS,EVAN",BSC 54-70 (+16),,"GOOD FT by LEWIS,EVAN",2
07:44,,,,,"MISS FT by LEWIS,EVAN",,,"MISS FT by LEWIS,EVAN",2
--,"REBOUND DEF by KING,TAYLOR",,,,,,,"REBOUND DEF by KING,TAYLOR",2
07:36,"GOOD LAYUP by BARBER,WILLIAM(in the paint)",56,,70 (+14),,SU 56-70 (+14),,"GOOD LAYUP by BARBER,WILLIAM(in the paint)",2
--,"ASSIST  by GABRIEL,BRANDON",,,,,,,"ASSIST  by GABRIEL,BRANDON",2
07:36,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",2
07:36,"GOOD FT by BARBER,WILLIAM",57,,70 (+13),,SU 57-70 (+13),,"GOOD FT by BARBER,WILLIAM",2
07:36,"SUB IN by SELLERS,CHAD",,,,,,,"SUB IN by SELLERS,CHAD",2
07:36,"SUB OUT by SMITH,TEREZ",,,,,,,"SUB OUT by SMITH,TEREZ",2
07:18,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",2
07:18,"STEAL  by GABRIEL,BRANDON",,,,,,,"STEAL  by GABRIEL,BRANDON",2
07:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:18,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
07:18,"SUB IN by SANGESTER,DOMONIQUE",,,,,,,"SUB IN by SANGESTER,DOMONIQUE",2
07:18,"SUB OUT by BLAKEMORE,THOMAS",,,,,,,"SUB OUT by BLAKEMORE,THOMAS",2
07:18,"SUB OUT by BARBER,WILLIAM",,,,,,,"SUB OUT by BARBER,WILLIAM",2
07:18,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",2
07:18,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
07:18,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
07:18,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",2
07:18,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
07:18,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
07:18,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",2
07:18,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",2
07:13,"MISS 3PTR by BARBER,WILLIAM",,,,,,,"MISS 3PTR by BARBER,WILLIAM",2
--,"REBOUND OFF by SELLERS,CHAD",,,,,,,"REBOUND OFF by SELLERS,CHAD",2
07:06,"MISS JUMPER by SELLERS,CHAD",,,,,,,"MISS JUMPER by SELLERS,CHAD",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
06:56,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",2
06:26,"MISS 3PTR by GABRIEL,BRANDON",,,,,,,"MISS 3PTR by GABRIEL,BRANDON",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
06:02,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",2
06:01,"STEAL  by BLAKEMORE,THOMAS",,,,,,,"STEAL  by BLAKEMORE,THOMAS",2
05:55,"MISS JUMPER by BLAKEMORE,THOMAS",,,,,,,"MISS JUMPER by BLAKEMORE,THOMAS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:47,"SUB IN by BLAKEMORE,THOMAS",,,,,,,"SUB IN by BLAKEMORE,THOMAS",2
05:47,"SUB IN by GOEING,BRANDON",,,,,,,"SUB IN by GOEING,BRANDON",2
05:47,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
05:39,,57,,72 (+15),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 57-72 (+15),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",2
05:20,"TURNOVER  by KING,TAYLOR",,,,,,,"TURNOVER  by KING,TAYLOR",2
05:20,"SUB IN by HAMILTON,QUAYSHAUN",,,,,,,"SUB IN by HAMILTON,QUAYSHAUN",2
05:20,"SUB IN by BARBER,WILLIAM",,,,,,,"SUB IN by BARBER,WILLIAM",2
05:20,"SUB OUT by SELLERS,CHAD",,,,,,,"SUB OUT by SELLERS,CHAD",2
05:20,"SUB OUT by KING,TAYLOR",,,,,,,"SUB OUT by KING,TAYLOR",2
05:20,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
05:20,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",2
04:54,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",2
04:41,"MISS JUMPER by BARBER,WILLIAM",,,,,,,"MISS JUMPER by BARBER,WILLIAM",2
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",2
04:36,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",2
--,"REBOUND DEF by SMITH,TEREZ",,,,,,,"REBOUND DEF by SMITH,TEREZ",2
04:33,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",2
04:33,"GOOD FT by SMITH,TEREZ",58,,72 (+14),,SU 58-72 (+14),,"GOOD FT by SMITH,TEREZ",2
04:33,"GOOD FT by SMITH,TEREZ",59,,72 (+13),,SU 59-72 (+13),,"GOOD FT by SMITH,TEREZ",2
04:33,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
04:33,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
04:06,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",2
03:46,"MISS 3PTR by GOEING,BRANDON",,,,,,,"MISS 3PTR by GOEING,BRANDON",2
--,"REBOUND OFF by HAMILTON,QUAYSHAUN",,,,,,,"REBOUND OFF by HAMILTON,QUAYSHAUN",2
03:43,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",2
03:43,"MISS FT by HAMILTON,QUAYSHAUN",,,,,,,"MISS FT by HAMILTON,QUAYSHAUN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:43,"GOOD FT by HAMILTON,QUAYSHAUN",60,,72 (+12),,SU 60-72 (+12),,"GOOD FT by HAMILTON,QUAYSHAUN",2
03:26,,60,,74 (+14),"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 60-74 (+14),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",2
03:04,"MISS JUMPER by GABRIEL,BRANDON",,,,,,,"MISS JUMPER by GABRIEL,BRANDON",2
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",2
03:03,"FOUL  by HAMILTON,QUAYSHAUN",,,,,,,"FOUL  by HAMILTON,QUAYSHAUN",2
