Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
02:24,"SUB OUT by HAYES,CONNER",,,,,,,"SUB OUT by HAYES,CONNER",2
02:24,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
02:24,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
02:24,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
02:23,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
02:23,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
02:18,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
02:16,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",2
02:13,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
01:48,,69,,85 (+16),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 69-85 (-16),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
01:29,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
00:50,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",2
00:50,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
00:50,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
00:50,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",2
00:50,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
00:45,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
00:08,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",2
00:07,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
00:02,"GOOD LAYUP by THOMAS,LARRY(in the paint)",71,,85 (+14),,BSCM 71-85 (-14),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
