Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,STE,Game Score,Team Indicator,Play,Period
06:49,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by KUNTZ,JUSTIN",,,"REBOUND DEF by KUNTZ,JUSTIN",1
06:42,,,,,"TURNOVER  by KUNTZ,JUSTIN",,,"TURNOVER  by KUNTZ,JUSTIN",1
06:42,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",1
06:28,"MISS 3PTR by SCHAMP,GRIFFIN",,,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by WALKER,DARIUS",,,"REBOUND DEF by WALKER,DARIUS",1
06:19,,19,,32 (+13),"GOOD LAYUP by FISHER,ERIK(fastbreak)(in the paint)",STE 19-32 (-13),,"GOOD LAYUP by FISHER,ERIK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WALKER,DARIUS",,,"ASSIST  by WALKER,DARIUS",1
06:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:01,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",21,,32 (+11),,BSC 21-32 (-11),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
06:01,,,,,"FOUL  by KUNTZ,JUSTIN",,,"FOUL  by KUNTZ,JUSTIN",1
06:01,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1
05:57,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
05:54,,,,,"FOUL  by FISHER,ERIK",,,"FOUL  by FISHER,ERIK",1
05:54,"GOOD FT by HENRY,COLIN",22,,32 (+10),,BSC 22-32 (-10),,"GOOD FT by HENRY,COLIN",1
05:54,"GOOD FT by HENRY,COLIN",23,,32 (+9),,BSC 23-32 (-9),,"GOOD FT by HENRY,COLIN",1
05:54,"SUB IN by THORN,IAN",,,,,,,"SUB IN by THORN,IAN",1
05:54,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
05:54,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
05:54,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
05:54,,,,,"SUB IN by MCCRAY,STEFON",,,"SUB IN by MCCRAY,STEFON",1
05:54,,,,,"SUB OUT by FISHER,ERIK",,,"SUB OUT by FISHER,ERIK",1
05:30,,,,,"TURNOVER  by WALKER,DARIUS",,,"TURNOVER  by WALKER,DARIUS",1
05:13,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",25,,32 (+7),,BSC 25-32 (-7),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",1
05:13,,,,,"FOUL  by MCCRAY,STEFON",,,"FOUL  by MCCRAY,STEFON",1
05:13,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by WALKER,DARIUS",,,"REBOUND DEF by WALKER,DARIUS",1
04:56,,,,,"MISS JUMPER by KUNTZ,JUSTIN",,,"MISS JUMPER by KUNTZ,JUSTIN",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
04:31,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND OFF by WELCH,ROSS",,,,,,,"REBOUND OFF by WELCH,ROSS",1
04:27,"GOOD LAYUP by WELCH,ROSS(in the paint)",27,,32 (+5),,BSC 27-32 (-5),,"GOOD LAYUP by WELCH,ROSS(in the paint)",1
04:09,,,,,"TURNOVER  by HAWKINS,ALFONZO",,,"TURNOVER  by HAWKINS,ALFONZO",1
04:06,,,,,"FOUL  by ROBERTS,CHRISTIAN",,,"FOUL  by ROBERTS,CHRISTIAN",1
04:06,"GOOD FT by HENRY,COLIN",28,,32 (+4),,BSC 28-32 (-4),,"GOOD FT by HENRY,COLIN",1
04:06,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",1
--,,,,,"REBOUND DEF by KUNTZ,JUSTIN",,,"REBOUND DEF by KUNTZ,JUSTIN",1
04:06,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
04:06,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
03:43,,28,,34 (+6),"GOOD LAYUP by KUNTZ,JUSTIN(in the paint)",STE 28-34 (-6),,"GOOD LAYUP by KUNTZ,JUSTIN(in the paint)",1
03:19,"GOOD JUMPER by THORN,IAN(in the paint)",30,,34 (+4),,BSC 30-34 (-4),,"GOOD JUMPER by THORN,IAN(in the paint)",1
03:00,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
03:00,,30,,35 (+5),"GOOD FT by HAWKINS,ALFONZO",STE 30-35 (-5),,"GOOD FT by HAWKINS,ALFONZO",1
03:00,,30,,36 (+6),"GOOD FT by HAWKINS,ALFONZO",STE 30-36 (-6),,"GOOD FT by HAWKINS,ALFONZO",1
03:00,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
03:00,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
03:00,"SUB OUT by THORN,IAN",,,,,,,"SUB OUT by THORN,IAN",1
03:00,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
02:41,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",32,,36 (+4),,BSC 32-36 (-4),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",1
02:41,,,,,"FOUL  by MCCRAY,STEFON",,,"FOUL  by MCCRAY,STEFON",1
02:41,"GOOD FT by SCHAMP,GRIFFIN",33,,36 (+3),,BSC 33-36 (-3),,"GOOD FT by SCHAMP,GRIFFIN",1
02:26,,,,,"MISS 3PTR by ROBERTS,CHRISTIAN",,,"MISS 3PTR by ROBERTS,CHRISTIAN",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
02:19,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
02:19,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
01:54,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
--,,,,,"REBOUND DEF by WALKER,DARIUS",,,"REBOUND DEF by WALKER,DARIUS",1
01:31,,,,,"MISS 3PTR by WALKER,DARIUS",,,"MISS 3PTR by WALKER,DARIUS",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
01:25,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",36,,36,,BSC 36-36 (0),,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
00:59,,,,,"MISS JUMPER by HAWKINS,ALFONZO",,,"MISS JUMPER by HAWKINS,ALFONZO",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
00:31,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by WALKER,DARIUS",,,"REBOUND DEF by WALKER,DARIUS",1
00:05,,,,,"MISS JUMPER by MCCRAY,STEFON",,,"MISS JUMPER by MCCRAY,STEFON",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
20:00,,,,,"SUB IN by MCCRAY,STEFON",,,"SUB IN by MCCRAY,STEFON",2
20:00,,,,,"SUB OUT by KUNTZ,JUSTIN",,,"SUB OUT by KUNTZ,JUSTIN",2
19:48,,,,,"MISS 3PTR by ROBERTS,CHRISTIAN",,,"MISS 3PTR by ROBERTS,CHRISTIAN",2
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",2
19:30,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by HAWKINS,ALFONZO",,,"REBOUND DEF by HAWKINS,ALFONZO",2
19:23,,36,,38 (+2),"GOOD LAYUP by WALKER,DARIUS(fastbreak)(in the paint)",STE 36-38 (-2),,"GOOD LAYUP by WALKER,DARIUS(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by HAWKINS,ALFONZO",,,"ASSIST  by HAWKINS,ALFONZO",2
19:06,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",2
--,,,,,"REBOUND DEF by FISHER,ERIK",,,"REBOUND DEF by FISHER,ERIK",2
19:00,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
18:46,,,,,"MISS JUMPER by FISHER,ERIK",,,"MISS JUMPER by FISHER,ERIK",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
18:35,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
18:34,,,,,"STEAL  by WALKER,DARIUS",,,"STEAL  by WALKER,DARIUS",2
18:31,,,,,"TURNOVER  by FISHER,ERIK",,,"TURNOVER  by FISHER,ERIK",2
18:09,"GOOD JUMPER by THOMAS,LARRY",38,,38,,BSC 38-38 (0),,"GOOD JUMPER by THOMAS,LARRY",2
18:02,,,,,"TURNOVER  by WALKER,DARIUS",,,"TURNOVER  by WALKER,DARIUS",2
18:01,"STEAL  by FREEMAN,SCHYLAR",,,,,,,"STEAL  by FREEMAN,SCHYLAR",2
17:58,"GOOD 3PTR by WELCH,ROSS(fastbreak)",41 (+3),,38,,BSC 41-38 (+3),,"GOOD 3PTR by WELCH,ROSS(fastbreak)",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
17:45,,,,,"TURNOVER  by ROBERTS,CHRISTIAN",,,"TURNOVER  by ROBERTS,CHRISTIAN",2
17:44,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
17:41,"TURNOVER  by HAYES,CONNOR",,,,,,,"TURNOVER  by HAYES,CONNOR",2
17:40,,,,,"STEAL  by WALKER,DARIUS",,,"STEAL  by WALKER,DARIUS",2
17:38,,41 (+1),,40,"GOOD LAYUP by HAWKINS,ALFONZO(fastbreak)(in the paint)",STE 41-40 (+1),,"GOOD LAYUP by HAWKINS,ALFONZO(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WALKER,DARIUS",,,"ASSIST  by WALKER,DARIUS",2
17:13,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",2
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",2
17:11,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND DEF by FISHER,ERIK",,,"REBOUND DEF by FISHER,ERIK",2
