Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,UTTM,Game Score,Team Indicator,Play,Period
17:05,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",2
17:05,,,,,"BLOCK  by BENNETT,TYRICK",,,"BLOCK  by BENNETT,TYRICK",2
--,,,,,"REBOUND DEF by BENNETT,TYRICK",,,"REBOUND DEF by BENNETT,TYRICK",2
16:58,,32,,44 (+12),"GOOD LAYUP by FOGLE,XAVIER(in the paint)",UTTM 32-44 (-12),,"GOOD LAYUP by FOGLE,XAVIER(in the paint)",2
--,,,,,"ASSIST  by CRAIG,CHRIS",,,"ASSIST  by CRAIG,CHRIS",2
16:42,,,,,"FOUL  by BENNETT,TYRICK",,,"FOUL  by BENNETT,TYRICK",2
16:42,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",2
16:42,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",2
16:21,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by MASON,BRAD",,,"REBOUND DEF by MASON,BRAD",2
16:15,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
16:06,,32,,46 (+14),"GOOD LAYUP by BENNETT,TYRICK(in the paint)",UTTM 32-46 (-14),,"GOOD LAYUP by BENNETT,TYRICK(in the paint)",2
15:49,"GOOD LAYUP by STANLEY,SETH(in the paint)",34,,46 (+12),,HENDRIXM 34-46 (-12),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",2
15:49,,,,,"FOUL  by MOHAMED,OMAR",,,"FOUL  by MOHAMED,OMAR",2
15:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:49,"GOOD FT by STANLEY,SETH",35,,46 (+11),,HENDRIXM 35-46 (-11),,"GOOD FT by STANLEY,SETH",2
15:27,,35,,48 (+13),"GOOD LAYUP by MASON,BRAD(in the paint)",UTTM 35-48 (-13),,"GOOD LAYUP by MASON,BRAD(in the paint)",2
15:17,,,,,"FOUL  by MASON,BRAD",,,"FOUL  by MASON,BRAD",2
15:17,"GOOD FT by STANLEY,SETH",36,,48 (+12),,HENDRIXM 36-48 (-12),,"GOOD FT by STANLEY,SETH",2
15:17,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",2
--,,,,,"REBOUND DEF by BENNETT,TYRICK",,,"REBOUND DEF by BENNETT,TYRICK",2
15:08,,36,,50 (+14),"GOOD LAYUP by MOHAMED,OMAR(in the paint)",UTTM 36-50 (-14),,"GOOD LAYUP by MOHAMED,OMAR(in the paint)",2
--,,,,,"ASSIST  by BENNETT,TYRICK",,,"ASSIST  by BENNETT,TYRICK",2
14:55,"GOOD 3PTR by BRASFIELD,KAM",39,,50 (+11),,HENDRIXM 39-50 (-11),,"GOOD 3PTR by BRASFIELD,KAM",2
14:35,,,,,"FOUL  by MOHAMED,OMAR",,,"FOUL  by MOHAMED,OMAR",2
14:16,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND DEF by CRAIG,CHRIS",,,"REBOUND DEF by CRAIG,CHRIS",2
14:11,,39,,52 (+13),"GOOD LAYUP by CRAIG,CHRIS(in the paint)",UTTM 39-52 (-13),,"GOOD LAYUP by CRAIG,CHRIS(in the paint)",2
13:56,"MISS 3PTR by EATON,JACK",,,,,,,"MISS 3PTR by EATON,JACK",2
--,,,,,"REBOUND DEF by BENNETT,TYRICK",,,"REBOUND DEF by BENNETT,TYRICK",2
13:49,,,,,"FOUL  by BENNETT,TYRICK",,,"FOUL  by BENNETT,TYRICK",2
13:49,"GOOD FT by COMAN,SEAN",40,,52 (+12),,HENDRIXM 40-52 (-12),,"GOOD FT by COMAN,SEAN",2
13:49,"GOOD FT by COMAN,SEAN",41,,52 (+11),,HENDRIXM 41-52 (-11),,"GOOD FT by COMAN,SEAN",2
13:49,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",2
13:49,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
13:49,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",2
13:49,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
13:49,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
13:49,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",2
13:49,,,,,"SUB IN by JENKINS,JARED",,,"SUB IN by JENKINS,JARED",2
13:49,,,,,"SUB IN by LOVE,KAELIN",,,"SUB IN by LOVE,KAELIN",2
13:49,,,,,"SUB OUT by MOHAMED,OMAR",,,"SUB OUT by MOHAMED,OMAR",2
13:49,,,,,"SUB OUT by BENNETT,TYRICK",,,"SUB OUT by BENNETT,TYRICK",2
13:35,"FOUL  by CRAWFORD,TRACE",,,,,,,"FOUL  by CRAWFORD,TRACE",2
13:35,,41,,53 (+12),"GOOD FT by JENKINS,JARED",UTTM 41-53 (-12),,"GOOD FT by JENKINS,JARED",2
13:35,,,,,"MISS FT by JENKINS,JARED",,,"MISS FT by JENKINS,JARED",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:14,,,,,"FOUL  by LOVE,KAELIN",,,"FOUL  by LOVE,KAELIN",2
12:58,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",2
12:58,,,,,"SUB IN by STEPHENS,CORBIN",,,"SUB IN by STEPHENS,CORBIN",2
12:58,,,,,"SUB OUT by FOGLE,XAVIER",,,"SUB OUT by FOGLE,XAVIER",2
12:42,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
12:38,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
12:38,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
12:31,,,,,"MISS JUMPER by CRAIG,CHRIS",,,"MISS JUMPER by CRAIG,CHRIS",2
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",2
12:27,,,,,"FOUL  by CRAIG,CHRIS",,,"FOUL  by CRAIG,CHRIS",2
12:27,"MISS FT by EATON,JACK",,,,,,,"MISS FT by EATON,JACK",2
--,,,,,"REBOUND DEF by CRAIG,CHRIS",,,"REBOUND DEF by CRAIG,CHRIS",2
12:04,,,,,"MISS JUMPER by LOVE,KAELIN",,,"MISS JUMPER by LOVE,KAELIN",2
--,"REBOUND DEF by RIDING,JAKE",,,,,,,"REBOUND DEF by RIDING,JAKE",2
11:55,,41,,55 (+14),"GOOD LAYUP by JENKINS,JARED(in the paint)",UTTM 41-55 (-14),,"GOOD LAYUP by JENKINS,JARED(in the paint)",2
--,,,,,"ASSIST  by MASON,BRAD",,,"ASSIST  by MASON,BRAD",2
11:27,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:23,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
11:23,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
11:23,,,,,"SUB IN by TEAL,TREY",,,"SUB IN by TEAL,TREY",2
11:23,,,,,"SUB OUT by LOVE,KAELIN",,,"SUB OUT by LOVE,KAELIN",2
11:19,,,,,"FOUL  by TEAL,TREY",,,"FOUL  by TEAL,TREY",2
10:52,"MISS JUMPER by RIDING,JAKE",,,,,,,"MISS JUMPER by RIDING,JAKE",2
--,,,,,"REBOUND DEF by CRAIG,CHRIS",,,"REBOUND DEF by CRAIG,CHRIS",2
10:30,,,,,"MISS JUMPER by JENKINS,JARED",,,"MISS JUMPER by JENKINS,JARED",2
--,"REBOUND DEF by JOHNSON,DAMECKO",,,,,,,"REBOUND DEF by JOHNSON,DAMECKO",2
10:26,,,,,"MISS LAYUP by TEAL,TREY",,,"MISS LAYUP by TEAL,TREY",2
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",2
10:26,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",2
10:26,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",2
10:05,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",2
10:05,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",2
10:05,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
10:05,,,,,"SUB IN by MOHAMED,OMAR",,,"SUB IN by MOHAMED,OMAR",2
10:05,,,,,"SUB OUT by TEAL,TREY",,,"SUB OUT by TEAL,TREY",2
09:55,,41,,57 (+16),"GOOD LAYUP by STEPHENS,CORBIN(in the paint)",UTTM 41-57 (-16),,"GOOD LAYUP by STEPHENS,CORBIN(in the paint)",2
--,,,,,"ASSIST  by JENKINS,JARED",,,"ASSIST  by JENKINS,JARED",2
09:39,,41,,59 (+18),"GOOD LAYUP by MASON,BRAD(fastbreak)(in the paint)",UTTM 41-59 (-18),,"GOOD LAYUP by MASON,BRAD(fastbreak)(in the paint)",2
09:33,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
09:19,"MISS 3PTR by CRAWFORD,TRACE",,,,,,,"MISS 3PTR by CRAWFORD,TRACE",2
--,"REBOUND OFF by CRAWFORD,TRACE",,,,,,,"REBOUND OFF by CRAWFORD,TRACE",2
09:12,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
09:09,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
09:09,,41,,60 (+19),"GOOD FT by STEPHENS,CORBIN",UTTM 41-60 (-19),,"GOOD FT by STEPHENS,CORBIN",2
09:09,,,,,"MISS FT by STEPHENS,CORBIN",,,"MISS FT by STEPHENS,CORBIN",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
09:09,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
09:09,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",2
09:09,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
09:09,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",2
09:09,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",2
09:09,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
08:56,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
08:54,,,,,"STEAL  by MASON,BRAD",,,"STEAL  by MASON,BRAD",2
08:40,,,,,"MISS 3PTR by MOHAMED,OMAR",,,"MISS 3PTR by MOHAMED,OMAR",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
08:22,"MISS JUMPER by RIDING,JAKE",,,,,,,"MISS JUMPER by RIDING,JAKE",2
--,,,,,"REBOUND DEF by STEPHENS,CORBIN",,,"REBOUND DEF by STEPHENS,CORBIN",2
08:16,,41,,62 (+21),"GOOD LAYUP by STEPHENS,CORBIN(fastbreak)(in the paint)",UTTM 41-62 (-21),,"GOOD LAYUP by STEPHENS,CORBIN(fastbreak)(in the paint)",2
07:49,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",2
--,"REBOUND DEF by RIDING,JAKE",,,,,,,"REBOUND DEF by RIDING,JAKE",2
07:39,"FOUL  by RIDING,JAKE",,,,,,,"FOUL  by RIDING,JAKE",2
07:39,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
07:39,,,,,"MISS FT by STEPHENS,CORBIN",,,"MISS FT by STEPHENS,CORBIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:39,,,,,"MISS FT by STEPHENS,CORBIN",,,"MISS FT by STEPHENS,CORBIN",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
07:39,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
07:39,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",2
07:37,,,,,"FOUL  by CRAIG,CHRIS",,,"FOUL  by CRAIG,CHRIS",2
07:37,"GOOD FT by STANLEY,SETH",42,,62 (+20),,HENDRIXM 42-62 (-20),,"GOOD FT by STANLEY,SETH",2
07:37,"GOOD FT by STANLEY,SETH",43,,62 (+19),,HENDRIXM 43-62 (-19),,"GOOD FT by STANLEY,SETH",2
07:37,,,,,"SUB IN by FOGLE,XAVIER",,,"SUB IN by FOGLE,XAVIER",2
07:37,,,,,"SUB OUT by CRAIG,CHRIS",,,"SUB OUT by CRAIG,CHRIS",2
07:20,,43,,64 (+21),"GOOD LAYUP by FOGLE,XAVIER(in the paint)",UTTM 43-64 (-21),,"GOOD LAYUP by FOGLE,XAVIER(in the paint)",2
--,,,,,"ASSIST  by STEPHENS,CORBIN",,,"ASSIST  by STEPHENS,CORBIN",2
07:01,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND DEF by JENKINS,JARED",,,"REBOUND DEF by JENKINS,JARED",2
06:56,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",2
06:56,,,,,"MISS FT by STEPHENS,CORBIN",,,"MISS FT by STEPHENS,CORBIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:56,,43,,65 (+22),"GOOD FT by STEPHENS,CORBIN",UTTM 43-65 (-22),,"GOOD FT by STEPHENS,CORBIN",2
06:56,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",2
06:56,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",2
06:41,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND DEF by FOGLE,XAVIER",,,"REBOUND DEF by FOGLE,XAVIER",2
06:27,,,,,"MISS LAYUP by JENKINS,JARED",,,"MISS LAYUP by JENKINS,JARED",2
06:27,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:19,,,,,"MISS LAYUP by STEPHENS,CORBIN",,,"MISS LAYUP by STEPHENS,CORBIN",2
06:19,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",2
--,,,,,"REBOUND OFF by STEPHENS,CORBIN",,,"REBOUND OFF by STEPHENS,CORBIN",2
06:14,,43,,68 (+25),"GOOD 3PTR by FOGLE,XAVIER",UTTM 43-68 (-25),,"GOOD 3PTR by FOGLE,XAVIER",2
--,,,,,"ASSIST  by STEPHENS,CORBIN",,,"ASSIST  by STEPHENS,CORBIN",2
05:45,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by FOGLE,XAVIER",,,"REBOUND DEF by FOGLE,XAVIER",2
05:40,,,,,"FOUL  by FOGLE,XAVIER",,,"FOUL  by FOGLE,XAVIER",2
05:35,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
05:35,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
05:35,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
05:35,,,,,"SUB IN by RAMEY,LENSE",,,"SUB IN by RAMEY,LENSE",2
05:35,,,,,"SUB OUT by MOHAMED,OMAR",,,"SUB OUT by MOHAMED,OMAR",2
05:31,,,,,"MISS LAYUP by RAMEY,LENSE",,,"MISS LAYUP by RAMEY,LENSE",2
--,"REBOUND DEF by ROUSE,TREY",,,,,,,"REBOUND DEF by ROUSE,TREY",2
05:23,"TURNOVER  by ROUSE,TREY",,,,,,,"TURNOVER  by ROUSE,TREY",2
05:22,,,,,"STEAL  by MASON,BRAD",,,"STEAL  by MASON,BRAD",2
05:10,,,,,"MISS 3PTR by RAMEY,LENSE",,,"MISS 3PTR by RAMEY,LENSE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:10,,,,,"FOUL  by FOGLE,XAVIER",,,"FOUL  by FOGLE,XAVIER",2
05:10,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:10,"GOOD FT by FITCH,CARL",44,,68 (+24),,HENDRIXM 44-68 (-24),,"GOOD FT by FITCH,CARL",2
05:10,,,,,"SUB IN by BANITT,DEVEN",,,"SUB IN by BANITT,DEVEN",2
05:10,,,,,"SUB OUT by FOGLE,XAVIER",,,"SUB OUT by FOGLE,XAVIER",2
04:55,,,,,"FOUL  by BANITT,DEVEN",,,"FOUL  by BANITT,DEVEN",2
04:41,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",2
--,"REBOUND OFF by ROUSE,TREY",,,,,,,"REBOUND OFF by ROUSE,TREY",2
04:33,"GOOD LAYUP by FITCH,CARL(in the paint)",46,,68 (+22),,HENDRIXM 46-68 (-22),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
04:11,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
04:11,,46,,69 (+23),"GOOD FT by STEPHENS,CORBIN",UTTM 46-69 (-23),,"GOOD FT by STEPHENS,CORBIN",2
04:11,,46,,70 (+24),"GOOD FT by STEPHENS,CORBIN",UTTM 46-70 (-24),,"GOOD FT by STEPHENS,CORBIN",2
03:58,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
03:58,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
03:58,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
03:58,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",2
03:58,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",2
03:58,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",2
03:58,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
03:58,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
03:58,,,,,"SUB IN by LOVE,KAELIN",,,"SUB IN by LOVE,KAELIN",2
03:58,,,,,"SUB IN by TEAL,TREY",,,"SUB IN by TEAL,TREY",2
03:58,,,,,"SUB OUT by JENKINS,JARED",,,"SUB OUT by JENKINS,JARED",2
03:58,,,,,"SUB OUT by STEPHENS,CORBIN",,,"SUB OUT by STEPHENS,CORBIN",2
03:43,,,,,"TURNOVER  by MOORE,DAVIS",,,"TURNOVER  by MOORE,DAVIS",2
03:18,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
03:06,,46,,72 (+26),"GOOD LAYUP by BANITT,DEVEN(in the paint)",UTTM 46-72 (-26),,"GOOD LAYUP by BANITT,DEVEN(in the paint)",2
--,,,,,"ASSIST  by LOVE,KAELIN",,,"ASSIST  by LOVE,KAELIN",2
02:44,"MISS 3PTR by FITCH,CARL",,,,,,,"MISS 3PTR by FITCH,CARL",2
--,,,,,"REBOUND DEF by TEAL,TREY",,,"REBOUND DEF by TEAL,TREY",2
02:24,,,,,"MISS 3PTR by BANITT,DEVEN",,,"MISS 3PTR by BANITT,DEVEN",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
02:12,"TURNOVER  by RIDING,JAKE",,,,,,,"TURNOVER  by RIDING,JAKE",2
02:11,,,,,"STEAL  by TEAL,TREY",,,"STEAL  by TEAL,TREY",2
02:06,,,,,"TURNOVER  by TEAL,TREY",,,"TURNOVER  by TEAL,TREY",2
01:36,,,,,"FOUL  by TEAL,TREY",,,"FOUL  by TEAL,TREY",2
01:36,"GOOD FT by ROUSE,TREY",47,,72 (+25),,HENDRIXM 47-72 (-25),,"GOOD FT by ROUSE,TREY",2
01:36,"GOOD FT by ROUSE,TREY",48,,72 (+24),,HENDRIXM 48-72 (-24),,"GOOD FT by ROUSE,TREY",2
01:36,"GOOD FT by ROUSE,TREY",49,,72 (+23),,HENDRIXM 49-72 (-23),,"GOOD FT by ROUSE,TREY",2
01:20,,,,,"MISS LAYUP by BANITT,DEVEN",,,"MISS LAYUP by BANITT,DEVEN",2
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",2
01:08,"MISS 3PTR by CALAMESE,MICHAEL",,,,,,,"MISS 3PTR by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by MOORE,DAVIS",,,"REBOUND DEF by MOORE,DAVIS",2
00:56,,,,,"TURNOVER  by BANITT,DEVEN",,,"TURNOVER  by BANITT,DEVEN",2
00:44,"GOOD 3PTR by ROUSE,TREY",52,,72 (+20),,HENDRIXM 52-72 (-20),,"GOOD 3PTR by ROUSE,TREY",2
--,"ASSIST  by RIDING,JAKE",,,,,,,"ASSIST  by RIDING,JAKE",2
00:31,,,,,"MISS LAYUP by TEAL,TREY",,,"MISS LAYUP by TEAL,TREY",2
--,,,,,"REBOUND OFF by TEAL,TREY",,,"REBOUND OFF by TEAL,TREY",2
00:29,,,,,"TURNOVER  by TEAL,TREY",,,"TURNOVER  by TEAL,TREY",2
00:26,,,,,"FOUL  by MOORE,DAVIS",,,"FOUL  by MOORE,DAVIS",2
00:26,"GOOD FT by CALAMESE,MICHAEL",53,,72 (+19),,HENDRIXM 53-72 (-19),,"GOOD FT by CALAMESE,MICHAEL",2
00:26,"GOOD FT by CALAMESE,MICHAEL",54,,72 (+18),,HENDRIXM 54-72 (-18),,"GOOD FT by CALAMESE,MICHAEL",2
00:26,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
00:26,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
00:26,,,,,"SUB IN by MOHAMED,OMAR",,,"SUB IN by MOHAMED,OMAR",2
00:26,,,,,"SUB OUT by TEAL,TREY",,,"SUB OUT by TEAL,TREY",2
