Time Remaining,UO-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
00:33,"GOOD FT by WINSTON,CORDY",27,,36 (+9),,UO-M 27-36 (+9),,"GOOD FT by WINSTON,CORDY",1
00:08,,,,,"MISS LAYUP by PHILLIP,ADAM",,,"MISS LAYUP by PHILLIP,ADAM",1
--,"REBOUND DEF by RENELIQUE,DARNEL",,,,,,,"REBOUND DEF by RENELIQUE,DARNEL",1
19:51,"TURNOVER  by GARDNER,LANCE",,,,,,,"TURNOVER  by GARDNER,LANCE",2
19:50,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",2
19:45,,,,,"MISS JUMPER by BRASFIELD,KAM",,,"MISS JUMPER by BRASFIELD,KAM",2
--,"REBOUND DEF by BOWMAN,ETHAN",,,,,,,"REBOUND DEF by BOWMAN,ETHAN",2
19:33,"GOOD 3PTR by TURPIN,TIM",30,,36 (+6),,UO-M 30-36 (+6),,"GOOD 3PTR by TURPIN,TIM",2
--,"ASSIST  by DAVIS,JACOBE",,,,,,,"ASSIST  by DAVIS,JACOBE",2
19:16,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
19:10,"FOUL  by BOWMAN,ETHAN",,,,,,,"FOUL  by BOWMAN,ETHAN",2
19:10,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",2
--,"REBOUND DEF by BOWMAN,ETHAN",,,,,,,"REBOUND DEF by BOWMAN,ETHAN",2
19:10,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
18:55,"MISS LAYUP by DAVIS,JACOBE",,,,,,,"MISS LAYUP by DAVIS,JACOBE",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
18:48,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
18:45,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",2
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",2
18:27,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
18:27,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
18:19,"TURNOVER  by JOHNSON,BRYSON",,,,,,,"TURNOVER  by JOHNSON,BRYSON",2
18:18,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",2
18:15,,30,,38 (+8),"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",HENDRIX 30-38 (+8),,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",2
18:15,"FOUL  by TURPIN,TIM",,,,,,,"FOUL  by TURPIN,TIM",2
18:15,,30,,39 (+9),"GOOD FT by COMAN,SEAN",HENDRIX 30-39 (+9),,"GOOD FT by COMAN,SEAN",2
18:02,"MISS JUMPER by GARDNER,LANCE",,,,,,,"MISS JUMPER by GARDNER,LANCE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:49,"FOUL  by TURPIN,TIM",,,,,,,"FOUL  by TURPIN,TIM",2
17:49,,30,,40 (+10),"GOOD FT by FITCH,CARL",HENDRIX 30-40 (+10),,"GOOD FT by FITCH,CARL",2
17:49,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
17:42,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",2
17:41,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",2
17:38,"MISS LAYUP by JOHNSON,BRYSON",,,,,,,"MISS LAYUP by JOHNSON,BRYSON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:15,"GOOD LAYUP by TURPIN,TIM(in the paint)",32,,40 (+8),,UO-M 32-40 (+8),,"GOOD LAYUP by TURPIN,TIM(in the paint)",2
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",2
17:01,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
16:59,"STEAL  by DAVIS,JACOBE",,,,,,,"STEAL  by DAVIS,JACOBE",2
16:54,"GOOD LAYUP by DAVIS,JACOBE(fastbreak)(in the paint)",34,,40 (+6),,UO-M 34-40 (+6),,"GOOD LAYUP by DAVIS,JACOBE(fastbreak)(in the paint)",2
16:40,,34,,43 (+9),"GOOD 3PTR by COMAN,SEAN",HENDRIX 34-43 (+9),,"GOOD 3PTR by COMAN,SEAN",2
16:24,"GOOD 3PTR by GARDNER,LANCE",37,,43 (+6),,UO-M 37-43 (+6),,"GOOD 3PTR by GARDNER,LANCE",2
--,"ASSIST  by TURPIN,TIM",,,,,,,"ASSIST  by TURPIN,TIM",2
16:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:14,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
16:14,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",2
16:00,"TURNOVER  by DAVIS,JACOBE",,,,,,,"TURNOVER  by DAVIS,JACOBE",2
16:00,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",2
16:00,,37,,45 (+8),"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",HENDRIX 37-45 (+8),,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
15:43,"MISS LAYUP by JOHNSON,BRYSON",,,,,,,"MISS LAYUP by JOHNSON,BRYSON",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
15:35,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by BOWMAN,ETHAN",,,,,,,"REBOUND DEF by BOWMAN,ETHAN",2
15:24,"GOOD LAYUP by TURPIN,TIM(in the paint)",39,,45 (+6),,UO-M 39-45 (+6),,"GOOD LAYUP by TURPIN,TIM(in the paint)",2
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",2
15:00,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
15:00,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",2
15:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:49,"FOUL  by WILHELM,CORY",,,,,,,"FOUL  by WILHELM,CORY",2
14:47,"TURNOVER  by COHNS,SEAN",,,,,,,"TURNOVER  by COHNS,SEAN",2
14:25,"FOUL  by WILHELM,CORY",,,,,,,"FOUL  by WILHELM,CORY",2
14:25,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:25,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
--,"REBOUND DEF by GARDNER,LANCE",,,,,,,"REBOUND DEF by GARDNER,LANCE",2
14:25,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
14:25,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
14:00,"MISS 3PTR by DAVIS,JACOBE",,,,,,,"MISS 3PTR by DAVIS,JACOBE",2
--,"REBOUND OFF by WILHELM,CORY",,,,,,,"REBOUND OFF by WILHELM,CORY",2
13:56,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",2
13:50,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
13:50,"MISS FT by JOHNSON,BRYSON",,,,,,,"MISS FT by JOHNSON,BRYSON",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
13:42,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
13:33,"FOUL  by WILHELM,CORY",,,,,,,"FOUL  by WILHELM,CORY",2
13:29,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",2
13:07,"MISS JUMPER by DAVIS,JACOBE",,,,,,,"MISS JUMPER by DAVIS,JACOBE",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
12:51,"FOUL  by KNIGHT,KELVIN",,,,,,,"FOUL  by KNIGHT,KELVIN",2
12:38,,39,,46 (+7),"GOOD FT by FITCH,CARL",HENDRIX 39-46 (+7),,"GOOD FT by FITCH,CARL",2
12:29,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",2
--,"REBOUND DEF by KNIGHT,KELVIN",,,,,,,"REBOUND DEF by KNIGHT,KELVIN",2
12:29,"SUB IN by BARNES,SKYLER",,,,,,,"SUB IN by BARNES,SKYLER",2
12:29,"SUB OUT by DAVIS,JACOBE",,,,,,,"SUB OUT by DAVIS,JACOBE",2
12:29,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",2
12:29,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
12:16,"FOUL  by JOHNSON,BRYSON",,,,,,,"FOUL  by JOHNSON,BRYSON",2
12:16,"TURNOVER  by JOHNSON,BRYSON",,,,,,,"TURNOVER  by JOHNSON,BRYSON",2
12:14,"SUB IN by WINSTON,CORDY",,,,,,,"SUB IN by WINSTON,CORDY",2
12:14,"SUB OUT by JOHNSON,BRYSON",,,,,,,"SUB OUT by JOHNSON,BRYSON",2
11:59,"FOUL  by BOBO,ZACH",,,,,,,"FOUL  by BOBO,ZACH",2
11:59,,39,,47 (+8),"GOOD FT by EATON,JACK",HENDRIX 39-47 (+8),,"GOOD FT by EATON,JACK",2
11:59,,,,,"MISS FT by EATON,JACK",,,"MISS FT by EATON,JACK",2
--,"REBOUND DEF by KNIGHT,KELVIN",,,,,,,"REBOUND DEF by KNIGHT,KELVIN",2
11:46,"GOOD JUMPER by BOBO,ZACH",41,,47 (+6),,UO-M 41-47 (+6),,"GOOD JUMPER by BOBO,ZACH",2
11:18,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",2
--,"REBOUND DEF by KNIGHT,KELVIN",,,,,,,"REBOUND DEF by KNIGHT,KELVIN",2
11:07,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",2
11:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
11:07,"MISS FT by WINSTON,CORDY",,,,,,,"MISS FT by WINSTON,CORDY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:07,"GOOD FT by WINSTON,CORDY",42,,47 (+5),,UO-M 42-47 (+5),,"GOOD FT by WINSTON,CORDY",2
11:07,"SUB IN by KNIGHT,KELVIN",,,,,,,"SUB IN by KNIGHT,KELVIN",2
11:07,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",2
11:07,"SUB IN by COHNS,SEAN",,,,,,,"SUB IN by COHNS,SEAN",2
11:07,"SUB OUT by BOWMAN,ETHAN",,,,,,,"SUB OUT by BOWMAN,ETHAN",2
11:07,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",2
11:07,"SUB OUT by GARDNER,LANCE",,,,,,,"SUB OUT by GARDNER,LANCE",2
11:07,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",2
11:07,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
11:07,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
11:07,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
10:43,"FOUL  by COHNS,SEAN",,,,,,,"FOUL  by COHNS,SEAN",2
10:43,,42,,48 (+6),"GOOD FT by EATON,JACK",HENDRIX 42-48 (+6),,"GOOD FT by EATON,JACK",2
10:43,,42,,49 (+7),"GOOD FT by EATON,JACK",HENDRIX 42-49 (+7),,"GOOD FT by EATON,JACK",2
10:43,"SUB IN by GARDNER,LANCE",,,,,,,"SUB IN by GARDNER,LANCE",2
10:43,"SUB OUT by KNIGHT,KELVIN",,,,,,,"SUB OUT by KNIGHT,KELVIN",2
10:29,"MISS JUMPER by BOBO,ZACH",,,,,,,"MISS JUMPER by BOBO,ZACH",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
10:14,,,,,"MISS LAYUP by RIDING,JAKE",,,"MISS LAYUP by RIDING,JAKE",2
--,"REBOUND DEF by BARNES,SKYLER",,,,,,,"REBOUND DEF by BARNES,SKYLER",2
10:07,"GOOD 3PTR by WINSTON,CORDY",45,,49 (+4),,UO-M 45-49 (+4),,"GOOD 3PTR by WINSTON,CORDY",2
--,"ASSIST  by BARNES,SKYLER",,,,,,,"ASSIST  by BARNES,SKYLER",2
09:48,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",2
--,"REBOUND DEF by COHNS,SEAN",,,,,,,"REBOUND DEF by COHNS,SEAN",2
09:38,"MISS LAYUP by WINSTON,CORDY",,,,,,,"MISS LAYUP by WINSTON,CORDY",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
09:34,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",2
09:34,"STEAL  by WINSTON,CORDY",,,,,,,"STEAL  by WINSTON,CORDY",2
09:33,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
09:33,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
09:33,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
09:33,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",2
09:11,"MISS LAYUP by GARDNER,LANCE",,,,,,,"MISS LAYUP by GARDNER,LANCE",2
--,"REBOUND OFF by GARDNER,LANCE",,,,,,,"REBOUND OFF by GARDNER,LANCE",2
09:01,"TURNOVER  by GARDNER,LANCE",,,,,,,"TURNOVER  by GARDNER,LANCE",2
08:42,"FOUL  by BARNES,SKYLER",,,,,,,"FOUL  by BARNES,SKYLER",2
08:42,,45,,50 (+5),"GOOD FT by LINK,JACOB",HENDRIX 45-50 (+5),,"GOOD FT by LINK,JACOB",2
08:42,,45,,51 (+6),"GOOD FT by LINK,JACOB",HENDRIX 45-51 (+6),,"GOOD FT by LINK,JACOB",2
08:42,"SUB IN by DAVIS,JACOBE",,,,,,,"SUB IN by DAVIS,JACOBE",2
08:42,"SUB IN by GODLEY,DERRICK",,,,,,,"SUB IN by GODLEY,DERRICK",2
08:42,"SUB OUT by BOBO,ZACH",,,,,,,"SUB OUT by BOBO,ZACH",2
08:42,"SUB OUT by BARNES,SKYLER",,,,,,,"SUB OUT by BARNES,SKYLER",2
08:26,"TURNOVER  by GARDNER,LANCE",,,,,,,"TURNOVER  by GARDNER,LANCE",2
08:09,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by GODLEY,DERRICK",,,,,,,"REBOUND DEF by GODLEY,DERRICK",2
08:01,"MISS JUMPER by WINSTON,CORDY",,,,,,,"MISS JUMPER by WINSTON,CORDY",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
07:56,"FOUL  by COHNS,SEAN",,,,,,,"FOUL  by COHNS,SEAN",2
07:56,,45,,52 (+7),"GOOD FT by BRASFIELD,KAM",HENDRIX 45-52 (+7),,"GOOD FT by BRASFIELD,KAM",2
07:56,,45,,53 (+8),"GOOD FT by BRASFIELD,KAM",HENDRIX 45-53 (+8),,"GOOD FT by BRASFIELD,KAM",2
07:56,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",2
07:56,"SUB IN by JOHNSON,BRYSON",,,,,,,"SUB IN by JOHNSON,BRYSON",2
07:56,"SUB OUT by WINSTON,CORDY",,,,,,,"SUB OUT by WINSTON,CORDY",2
07:56,"SUB OUT by COHNS,SEAN",,,,,,,"SUB OUT by COHNS,SEAN",2
07:51,"TURNOVER  by JOHNSON,BRYSON",,,,,,,"TURNOVER  by JOHNSON,BRYSON",2
07:51,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:37,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
07:36,"STEAL  by GARDNER,LANCE",,,,,,,"STEAL  by GARDNER,LANCE",2
07:30,"MISS LAYUP by DAVIS,JACOBE",,,,,,,"MISS LAYUP by DAVIS,JACOBE",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
07:10,,45,,55 (+10),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIX 45-55 (+10),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",2
06:53,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
06:27,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
--,"REBOUND DEF by GARDNER,LANCE",,,,,,,"REBOUND DEF by GARDNER,LANCE",2
06:11,"GOOD LAYUP by DAVIS,JACOBE(in the paint)",47,,55 (+8),,UO-M 47-55 (+8),,"GOOD LAYUP by DAVIS,JACOBE(in the paint)",2
06:08,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
06:08,"GOOD FT by DAVIS,JACOBE",48,,55 (+7),,UO-M 48-55 (+7),,"GOOD FT by DAVIS,JACOBE",2
06:08,"SUB IN by BOWMAN,ETHAN",,,,,,,"SUB IN by BOWMAN,ETHAN",2
06:08,"SUB OUT by GODLEY,DERRICK",,,,,,,"SUB OUT by GODLEY,DERRICK",2
05:49,,48,,58 (+10),"GOOD 3PTR by STANLEY,SETH",HENDRIX 48-58 (+10),,"GOOD 3PTR by STANLEY,SETH",2
05:28,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
05:28,"GOOD FT by DAVIS,JACOBE",49,,58 (+9),,UO-M 49-58 (+9),,"GOOD FT by DAVIS,JACOBE",2
05:28,"GOOD FT by DAVIS,JACOBE",50,,58 (+8),,UO-M 50-58 (+8),,"GOOD FT by DAVIS,JACOBE",2
05:11,,50,,60 (+10),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 50-60 (+10),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
04:43,"TURNOVER  by GARDNER,LANCE",,,,,,,"TURNOVER  by GARDNER,LANCE",2
04:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:28,"FOUL  by BOWMAN,ETHAN",,,,,,,"FOUL  by BOWMAN,ETHAN",2
04:28,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:28,,50,,61 (+11),"GOOD FT by LINK,JACOB",HENDRIX 50-61 (+11),,"GOOD FT by LINK,JACOB",2
04:28,"SUB IN by KNIGHT,KELVIN",,,,,,,"SUB IN by KNIGHT,KELVIN",2
04:28,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",2
04:09,"MISS LAYUP by JOHNSON,BRYSON",,,,,,,"MISS LAYUP by JOHNSON,BRYSON",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
03:57,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",2
03:55,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",2
03:53,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",52,,61 (+9),,UO-M 52-61 (+9),,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",2
--,"ASSIST  by KNIGHT,KELVIN",,,,,,,"ASSIST  by KNIGHT,KELVIN",2
03:19,,52,,63 (+11),"GOOD JUMPER by BRASFIELD,KAM",HENDRIX 52-63 (+11),,"GOOD JUMPER by BRASFIELD,KAM",2
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",2
02:56,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",2
02:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:56,"GOOD FT by BOWMAN,ETHAN",53,,63 (+10),,UO-M 53-63 (+10),,"GOOD FT by BOWMAN,ETHAN",2
02:56,"GOOD FT by BOWMAN,ETHAN",54,,63 (+9),,UO-M 54-63 (+9),,"GOOD FT by BOWMAN,ETHAN",2
02:55,"FOUL  by JOHNSON,BRYSON",,,,,,,"FOUL  by JOHNSON,BRYSON",2
02:55,,54,,64 (+10),"GOOD FT by BRASFIELD,KAM",HENDRIX 54-64 (+10),,"GOOD FT by BRASFIELD,KAM",2
02:55,,54,,65 (+11),"GOOD FT by BRASFIELD,KAM",HENDRIX 54-65 (+11),,"GOOD FT by BRASFIELD,KAM",2
02:40,"MISS LAYUP by KNIGHT,KELVIN",,,,,,,"MISS LAYUP by KNIGHT,KELVIN",2
02:40,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
02:26,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",2
02:25,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",2
02:21,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",56,,65 (+9),,UO-M 56-65 (+9),,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",2
02:10,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",2
--,"REBOUND DEF by BOWMAN,ETHAN",,,,,,,"REBOUND DEF by BOWMAN,ETHAN",2
02:04,"MISS JUMPER by DAVIS,JACOBE",,,,,,,"MISS JUMPER by DAVIS,JACOBE",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
01:51,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",2
01:37,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
01:37,"GOOD FT by GARDNER,LANCE",57,,65 (+8),,UO-M 57-65 (+8),,"GOOD FT by GARDNER,LANCE",2
01:37,"MISS FT by GARDNER,LANCE",,,,,,,"MISS FT by GARDNER,LANCE",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
01:37,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
01:37,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
01:37,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",2
01:37,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
01:14,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",2
01:13,"STEAL  by DAVIS,JACOBE",,,,,,,"STEAL  by DAVIS,JACOBE",2
01:07,"MISS LAYUP by BOWMAN,ETHAN",,,,,,,"MISS LAYUP by BOWMAN,ETHAN",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
00:59,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND DEF by DAVIS,JACOBE",,,,,,,"REBOUND DEF by DAVIS,JACOBE",2
00:53,"GOOD LAYUP by DAVIS,JACOBE(fastbreak)(in the paint)",59,,65 (+6),,UO-M 59-65 (+6),,"GOOD LAYUP by DAVIS,JACOBE(fastbreak)(in the paint)",2
00:51,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
00:51,"GOOD FT by DAVIS,JACOBE",60,,65 (+5),,UO-M 60-65 (+5),,"GOOD FT by DAVIS,JACOBE",2
00:51,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:51,"SUB IN by COHNS,SEAN",,,,,,,"SUB IN by COHNS,SEAN",2
00:51,"SUB OUT by KNIGHT,KELVIN",,,,,,,"SUB OUT by KNIGHT,KELVIN",2
00:47,"FOUL  by BOWMAN,ETHAN",,,,,,,"FOUL  by BOWMAN,ETHAN",2
00:47,,,,,"MISS FT by EATON,JACK",,,"MISS FT by EATON,JACK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:47,,60,,66 (+6),"GOOD FT by EATON,JACK",HENDRIX 60-66 (+6),,"GOOD FT by EATON,JACK",2
00:47,"SUB IN by KNIGHT,KELVIN",,,,,,,"SUB IN by KNIGHT,KELVIN",2
00:47,"SUB OUT by COHNS,SEAN",,,,,,,"SUB OUT by COHNS,SEAN",2
00:37,"GOOD JUMPER by WINSTON,CORDY",62,,66 (+4),,UO-M 62-66 (+4),,"GOOD JUMPER by WINSTON,CORDY",2
00:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:32,"FOUL  by BOBO,ZACH",,,,,,,"FOUL  by BOBO,ZACH",2
00:32,,62,,67 (+5),"GOOD FT by STANLEY,SETH",HENDRIX 62-67 (+5),,"GOOD FT by STANLEY,SETH",2
00:32,,62,,68 (+6),"GOOD FT by STANLEY,SETH",HENDRIX 62-68 (+6),,"GOOD FT by STANLEY,SETH",2
00:32,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",2
00:32,"SUB IN by COHNS,SEAN",,,,,,,"SUB IN by COHNS,SEAN",2
00:32,"SUB OUT by KNIGHT,KELVIN",,,,,,,"SUB OUT by KNIGHT,KELVIN",2
00:32,"SUB OUT by BOWMAN,ETHAN",,,,,,,"SUB OUT by BOWMAN,ETHAN",2
00:32,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",2
00:32,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
00:21,"GOOD 3PTR by BOWMAN,ETHAN",65,,68 (+3),,UO-M 65-68 (+3),,"GOOD 3PTR by BOWMAN,ETHAN",2
