Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
13:29,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
13:19,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",2
13:19,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",2
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",2
13:15,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",2
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",2
13:09,"TURNOVER  by CUMMINGS,DREW",,,,,,,"TURNOVER  by CUMMINGS,DREW",2
12:53,,,,,"MISS JUMPER by CONRAD,ALEX",,,"MISS JUMPER by CONRAD,ALEX",2
12:53,"BLOCK  by HIRSH,ELIJAH",,,,,,,"BLOCK  by HIRSH,ELIJAH",2
--,"REBOUND DEF by MOORE,MYLES",,,,,,,"REBOUND DEF by MOORE,MYLES",2
12:37,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",2
12:20,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",2
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",2
12:03,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",2
12:03,"GOOD FT by MOORE,MYLES",41,,50 (+9),,BCM 41-50 (+9),,"GOOD FT by MOORE,MYLES",2
12:03,"MISS FT by MOORE,MYLES",,,,,,,"MISS FT by MOORE,MYLES",2
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",2
11:37,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,,,,,"REBOUND OFF by EATON,JACK",,,"REBOUND OFF by EATON,JACK",2
11:20,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
11:20,"BLOCK  by HIRSH,ELIJAH",,,,,,,"BLOCK  by HIRSH,ELIJAH",2
--,"REBOUND DEF by MOORE,MYLES",,,,,,,"REBOUND DEF by MOORE,MYLES",2
11:13,"MISS LAYUP by MOORE,MYLES",,,,,,,"MISS LAYUP by MOORE,MYLES",2
11:13,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",2
--,"REBOUND OFF by MOORE,MYLES",,,,,,,"REBOUND OFF by MOORE,MYLES",2
11:06,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
11:06,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
11:03,"MISS JUMPER by HAYNES,CALEB",,,,,,,"MISS JUMPER by HAYNES,CALEB",2
11:03,,,,,"BLOCK  by RIDING,JAKE",,,"BLOCK  by RIDING,JAKE",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
10:51,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",2
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",2
10:28,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",43,,50 (+7),,BCM 43-50 (+7),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",2
10:25,,,,,"FOUL  by RIDING,JAKE",,,"FOUL  by RIDING,JAKE",2
10:25,"GOOD FT by HIRSH,ELIJAH",44,,50 (+6),,BCM 44-50 (+6),,"GOOD FT by HIRSH,ELIJAH",2
10:25,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
10:25,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
09:59,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",2
09:59,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
09:59,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",2
09:33,"MISS 3PTR by HASLAM,ETHAN",,,,,,,"MISS 3PTR by HASLAM,ETHAN",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
09:17,"FOUL  by HIRSH,ELIJAH",,,,,,,"FOUL  by HIRSH,ELIJAH",2
09:17,,44,,51 (+7),"GOOD FT by BRASFIELD,KAM",HENDRIX 44-51 (+7),,"GOOD FT by BRASFIELD,KAM",2
09:17,,44,,52 (+8),"GOOD FT by BRASFIELD,KAM",HENDRIX 44-52 (+8),,"GOOD FT by BRASFIELD,KAM",2
09:17,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
09:17,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
08:59,"MISS JUMPER by WEHUNT,DAWSON",,,,,,,"MISS JUMPER by WEHUNT,DAWSON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:41,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",2
08:22,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
08:14,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",46,,52 (+6),,BCM 46-52 (+6),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",2
07:55,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:46,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
07:39,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:25,"TURNOVER  by CLARK,ETHAN",,,,,,,"TURNOVER  by CLARK,ETHAN",2
07:25,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
07:25,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
07:05,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",2
07:03,"STEAL  by ATKINSON,QUINN",,,,,,,"STEAL  by ATKINSON,QUINN",2
06:47,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",2
06:36,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by HASLAM,ETHAN",,,,,,,"REBOUND DEF by HASLAM,ETHAN",2
06:18,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
06:15,"FOUL  by WEHUNT,DAWSON",,,,,,,"FOUL  by WEHUNT,DAWSON",2
06:15,"TURNOVER  by WEHUNT,DAWSON",,,,,,,"TURNOVER  by WEHUNT,DAWSON",2
05:56,"FOUL  by HIRSH,ELIJAH",,,,,,,"FOUL  by HIRSH,ELIJAH",2
05:56,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:56,,46,,53 (+7),"GOOD FT by LINK,JACOB",HENDRIX 46-53 (+7),,"GOOD FT by LINK,JACOB",2
05:56,"SUB IN by HASLAM,ETHAN",,,,,,,"SUB IN by HASLAM,ETHAN",2
05:56,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",2
05:43,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
05:43,"GOOD FT by HIRSH,ELIJAH",47,,53 (+6),,BCM 47-53 (+6),,"GOOD FT by HIRSH,ELIJAH",2
05:43,"MISS FT by HIRSH,ELIJAH",,,,,,,"MISS FT by HIRSH,ELIJAH",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
05:43,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
05:43,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
05:42,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",2
05:17,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
05:08,"GOOD FT by HIRSH,ELIJAH",48,,53 (+5),,BCM 48-53 (+5),,"GOOD FT by HIRSH,ELIJAH",2
04:59,"GOOD FT by HIRSH,ELIJAH",49,,53 (+4),,BCM 49-53 (+4),,"GOOD FT by HIRSH,ELIJAH",2
04:36,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",2
04:34,"STEAL  by MOORE,MYLES",,,,,,,"STEAL  by MOORE,MYLES",2
04:32,"TURNOVER  by CLARK,ETHAN",,,,,,,"TURNOVER  by CLARK,ETHAN",2
04:31,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",2
04:29,"FOUL  by MOORE,MYLES",,,,,,,"FOUL  by MOORE,MYLES",2
04:16,"FOUL  by HIRSH,ELIJAH",,,,,,,"FOUL  by HIRSH,ELIJAH",2
04:16,,49,,54 (+5),"GOOD FT by SMITH,PRESTON",HENDRIX 49-54 (+5),,"GOOD FT by SMITH,PRESTON",2
04:16,,49,,55 (+6),"GOOD FT by SMITH,PRESTON",HENDRIX 49-55 (+6),,"GOOD FT by SMITH,PRESTON",2
04:16,,49,,56 (+7),"GOOD FT by SMITH,PRESTON",HENDRIX 49-56 (+7),,"GOOD FT by SMITH,PRESTON",2
04:03,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",2
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",2
03:59,"GOOD LAYUP by HAYNES,CALEB(in the paint)",51,,56 (+5),,BCM 51-56 (+5),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",2
03:34,,51,,58 (+7),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 51-58 (+7),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
03:21,"MISS LAYUP by CLARK,ETHAN",,,,,,,"MISS LAYUP by CLARK,ETHAN",2
--,"REBOUND OFF by HAYNES,CALEB",,,,,,,"REBOUND OFF by HAYNES,CALEB",2
03:16,"GOOD LAYUP by HAYNES,CALEB(in the paint)",53,,58 (+5),,BCM 53-58 (+5),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",2
02:56,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:53,"FOUL  by HAYNES,CALEB",,,,,,,"FOUL  by HAYNES,CALEB",2
02:53,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:53,,53,,59 (+6),"GOOD FT by BRASFIELD,KAM",HENDRIX 53-59 (+6),,"GOOD FT by BRASFIELD,KAM",2
02:45,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
02:45,"GOOD FT by HIRSH,ELIJAH",54,,59 (+5),,BCM 54-59 (+5),,"GOOD FT by HIRSH,ELIJAH",2
02:45,"MISS FT by HIRSH,ELIJAH",,,,,,,"MISS FT by HIRSH,ELIJAH",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
02:26,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
02:04,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
01:57,,54,,61 (+7),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 54-61 (+7),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
01:55,"FOUL  by CLARK,ETHAN",,,,,,,"FOUL  by CLARK,ETHAN",2
01:55,,54,,62 (+8),"GOOD FT by STANLEY,SETH",HENDRIX 54-62 (+8),,"GOOD FT by STANLEY,SETH",2
01:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:50,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
01:50,"GOOD FT by MOORE,MYLES",55,,62 (+7),,BCM 55-62 (+7),,"GOOD FT by MOORE,MYLES",2
01:50,"MISS FT by MOORE,MYLES",,,,,,,"MISS FT by MOORE,MYLES",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
01:50,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",2
01:50,"SUB OUT by HASLAM,ETHAN",,,,,,,"SUB OUT by HASLAM,ETHAN",2
01:24,"FOUL  by HAYNES,CALEB",,,,,,,"FOUL  by HAYNES,CALEB",2
01:24,,55,,63 (+8),"GOOD FT by FITCH,CARL",HENDRIX 55-63 (+8),,"GOOD FT by FITCH,CARL",2
01:24,,55,,64 (+9),"GOOD FT by FITCH,CARL",HENDRIX 55-64 (+9),,"GOOD FT by FITCH,CARL",2
01:13,"GOOD LAYUP by HASLAM,ETHAN(in the paint)",57,,64 (+7),,BCM 57-64 (+7),,"GOOD LAYUP by HASLAM,ETHAN(in the paint)",2
00:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:37,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by HASLAM,ETHAN",,,,,,,"REBOUND DEF by HASLAM,ETHAN",2
00:27,"TURNOVER  by HIRSH,ELIJAH",,,,,,,"TURNOVER  by HIRSH,ELIJAH",2
00:26,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",2
00:22,"FOUL  by MOORE,MYLES",,,,,,,"FOUL  by MOORE,MYLES",2
00:22,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:22,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",2
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",2
00:19,"MISS LAYUP by HASLAM,ETHAN",,,,,,,"MISS LAYUP by HASLAM,ETHAN",2
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",2
00:15,"GOOD 3PTR by HIRSH,ELIJAH",60,,64 (+4),,BCM 60-64 (+4),,"GOOD 3PTR by HIRSH,ELIJAH",2
00:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:06,"FOUL  by HASLAM,ETHAN",,,,,,,"FOUL  by HASLAM,ETHAN",2
00:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:06,,60,,65 (+5),"GOOD FT by FITCH,CARL",HENDRIX 60-65 (+5),,"GOOD FT by FITCH,CARL",2
00:06,,60,,66 (+6),"GOOD FT by FITCH,CARL",HENDRIX 60-66 (+6),,"GOOD FT by FITCH,CARL",2
00:01,"GOOD 3PTR by HASLAM,ETHAN",63,,66 (+3),,BCM 63-66 (+3),,"GOOD 3PTR by HASLAM,ETHAN",2
--,"ASSIST  by MOORE,MYLES",,,,,,,"ASSIST  by MOORE,MYLES",2
