Time Remaining,UD,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
17:00,,28,,43 (+15),"GOOD JUMPER by CRAWFORD,TRACE(in the paint)",HENDRIX 28-43 (+15),,"GOOD JUMPER by CRAWFORD,TRACE(in the paint)",2
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",2
16:42,"TURNOVER  by WAMBSGANSS,MICHAEL",,,,,,,"TURNOVER  by WAMBSGANSS,MICHAEL",2
16:40,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
16:37,,28,,45 (+17),"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",HENDRIX 28-45 (+17),,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",2
16:18,"TURNOVER  by NUNN,JOSHUA",,,,,,,"TURNOVER  by NUNN,JOSHUA",2
16:17,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",2
16:11,"FOUL  by MATHIS,DUSTIN",,,,,,,"FOUL  by MATHIS,DUSTIN",2
16:07,,28,,46 (+18),"GOOD FT by FITCH,CARL",HENDRIX 28-46 (+18),,"GOOD FT by FITCH,CARL",2
15:45,,28,,47 (+19),"GOOD FT by FITCH,CARL",HENDRIX 28-47 (+19),,"GOOD FT by FITCH,CARL",2
15:06,"TURNOVER  by RUSSELL,JOHN",,,,,,,"TURNOVER  by RUSSELL,JOHN",2
15:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:05,"FOUL  by MATHIS,DUSTIN",,,,,,,"FOUL  by MATHIS,DUSTIN",2
15:05,,28,,50 (+22),"GOOD 3PTR by FITCH,CARL",HENDRIX 28-50 (+22),,"GOOD 3PTR by FITCH,CARL",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
15:05,"GOOD 3PTR by NUNN,JOSHUA",31,,50 (+19),,UD 31-50 (+19),,"GOOD 3PTR by NUNN,JOSHUA",2
--,"ASSIST  by MATHIS,DUSTIN",,,,,,,"ASSIST  by MATHIS,DUSTIN",2
15:05,,31,,52 (+21),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HENDRIX 31-52 (+21),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
15:05,"GOOD LAYUP by WAMBSGANSS,MICHAEL(in the paint)",33,,52 (+19),,UD 33-52 (+19),,"GOOD LAYUP by WAMBSGANSS,MICHAEL(in the paint)",2
15:05,"SUB IN by BOUTWELL,BROOKS",,,,,,,"SUB IN by BOUTWELL,BROOKS",2
15:05,"SUB OUT by RUSSELL,JOHN",,,,,,,"SUB OUT by RUSSELL,JOHN",2
14:58,,33,,54 (+21),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIX 33-54 (+21),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,,,,,"ASSIST  by RIDING,JAKE",,,"ASSIST  by RIDING,JAKE",2
14:48,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
14:36,,33,,56 (+23),"GOOD LAYUP by RIDING,JAKE(in the paint)",HENDRIX 33-56 (+23),,"GOOD LAYUP by RIDING,JAKE(in the paint)",2
14:18,"GOOD LAYUP by MATHIS,DUSTIN(in the paint)",35,,56 (+21),,UD 35-56 (+21),,"GOOD LAYUP by MATHIS,DUSTIN(in the paint)",2
14:18,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
14:18,"MISS FT by MATHIS,DUSTIN",,,,,,,"MISS FT by MATHIS,DUSTIN",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
14:18,"SUB IN by HYDE,CAMERAN",,,,,,,"SUB IN by HYDE,CAMERAN",2
14:18,"SUB IN by TOUSSAINT,LETRELL",,,,,,,"SUB IN by TOUSSAINT,LETRELL",2
14:18,"SUB OUT by FRUHWIRTH,LOGAN",,,,,,,"SUB OUT by FRUHWIRTH,LOGAN",2
14:18,"SUB OUT by WAMBSGANSS,MICHAEL",,,,,,,"SUB OUT by WAMBSGANSS,MICHAEL",2
14:18,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",2
14:18,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
14:18,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
14:18,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
14:18,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",2
14:18,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",2
14:18,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
14:18,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
14:08,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:21,,35,,58 (+23),"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HENDRIX 35-58 (+23),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
13:04,"MISS LAYUP by COMPTON,MAURICE",,,,,,,"MISS LAYUP by COMPTON,MAURICE",2
13:04,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",2
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",2
12:57,,35,,60 (+25),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 35-60 (+25),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",2
12:51,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:49,"MISS 3PTR by NUNN,JOSHUA",,,,,,,"MISS 3PTR by NUNN,JOSHUA",2
--,"REBOUND OFF by TOUSSAINT,LETRELL",,,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",2
12:45,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
12:45,"MISS LAYUP by HYDE,CAMERAN",,,,,,,"MISS LAYUP by HYDE,CAMERAN",2
--,"REBOUND OFF by TOUSSAINT,LETRELL",,,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",2
12:45,"TURNOVER  by TOUSSAINT,LETRELL",,,,,,,"TURNOVER  by TOUSSAINT,LETRELL",2
12:45,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",2
12:38,,35,,63 (+28),"GOOD 3PTR by COMAN,SEAN",HENDRIX 35-63 (+28),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
12:29,"MISS JUMPER by HYDE,CAMERAN",,,,,,,"MISS JUMPER by HYDE,CAMERAN",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
12:23,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
12:16,,,,,"MISS JUMPER by FITCH,CARL",,,"MISS JUMPER by FITCH,CARL",2
--,"REBOUND DEF by BOUTWELL,BROOKS",,,,,,,"REBOUND DEF by BOUTWELL,BROOKS",2
12:08,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",2
12:02,"GOOD FT by NUNN,JOSHUA",36,,63 (+27),,UD 36-63 (+27),,"GOOD FT by NUNN,JOSHUA",2
12:02,"GOOD FT by NUNN,JOSHUA",37,,63 (+26),,UD 37-63 (+26),,"GOOD FT by NUNN,JOSHUA",2
12:02,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",2
12:02,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
12:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:49,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
--,"REBOUND DEF by COMPTON,MAURICE",,,,,,,"REBOUND DEF by COMPTON,MAURICE",2
11:28,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
11:23,"GOOD FT by NUNN,JOSHUA",38,,63 (+25),,UD 38-63 (+25),,"GOOD FT by NUNN,JOSHUA",2
11:22,"GOOD FT by NUNN,JOSHUA",39,,63 (+24),,UD 39-63 (+24),,"GOOD FT by NUNN,JOSHUA",2
11:22,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
11:14,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",2
10:46,"TURNOVER  by BOUTWELL,BROOKS",,,,,,,"TURNOVER  by BOUTWELL,BROOKS",2
10:42,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",2
10:42,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
10:32,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by HYDE,CAMERAN",,,,,,,"REBOUND DEF by HYDE,CAMERAN",2
10:17,,,,,"FOUL  by RIDING,JAKE",,,"FOUL  by RIDING,JAKE",2
10:08,"GOOD FT by HYDE,CAMERAN",40,,63 (+23),,UD 40-63 (+23),,"GOOD FT by HYDE,CAMERAN",2
09:54,"GOOD FT by HYDE,CAMERAN",41,,63 (+22),,UD 41-63 (+22),,"GOOD FT by HYDE,CAMERAN",2
09:35,,,,,"MISS LAYUP by II,ROD CUMMINGS",,,"MISS LAYUP by II,ROD CUMMINGS",2
--,"REBOUND DEF by HYDE,CAMERAN",,,,,,,"REBOUND DEF by HYDE,CAMERAN",2
09:35,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",43,,63 (+20),,UD 43-63 (+20),,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",2
09:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:34,"SUB IN by COMPTON,MAURICE",,,,,,,"SUB IN by COMPTON,MAURICE",2
09:34,"SUB IN by COOMBS,RASHID",,,,,,,"SUB IN by COOMBS,RASHID",2
09:34,"SUB OUT by BOUTWELL,BROOKS",,,,,,,"SUB OUT by BOUTWELL,BROOKS",2
09:34,"SUB OUT by MATHIS,DUSTIN",,,,,,,"SUB OUT by MATHIS,DUSTIN",2
09:29,"FOUL  by COMPTON,MAURICE",,,,,,,"FOUL  by COMPTON,MAURICE",2
09:29,,43,,64 (+21),"GOOD FT by COMAN,SEAN",HENDRIX 43-64 (+21),,"GOOD FT by COMAN,SEAN",2
09:29,,43,,65 (+22),"GOOD FT by COMAN,SEAN",HENDRIX 43-65 (+22),,"GOOD FT by COMAN,SEAN",2
09:29,"GOOD LAYUP by COOMBS,RASHID(in the paint)",45,,65 (+20),,UD 45-65 (+20),,"GOOD LAYUP by COOMBS,RASHID(in the paint)",2
--,"ASSIST  by NUNN,JOSHUA",,,,,,,"ASSIST  by NUNN,JOSHUA",2
09:15,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",2
--,"REBOUND DEF by COMPTON,MAURICE",,,,,,,"REBOUND DEF by COMPTON,MAURICE",2
09:05,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",47,,65 (+18),,UD 47-65 (+18),,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",2
08:32,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
08:32,"FOUL  by COOMBS,RASHID",,,,,,,"FOUL  by COOMBS,RASHID",2
08:32,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
08:32,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
08:32,,47,,67 (+20),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 47-67 (+20),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
08:23,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",2
08:20,,47,,68 (+21),"GOOD FT by STANLEY,SETH",HENDRIX 47-68 (+21),,"GOOD FT by STANLEY,SETH",2
07:58,"GOOD LAYUP by COMPTON,MAURICE(in the paint)",49,,68 (+19),,UD 49-68 (+19),,"GOOD LAYUP by COMPTON,MAURICE(in the paint)",2
07:47,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
07:44,"STEAL  by NUNN,JOSHUA",,,,,,,"STEAL  by NUNN,JOSHUA",2
07:39,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:38,"GOOD FT by NUNN,JOSHUA",50,,68 (+18),,UD 50-68 (+18),,"GOOD FT by NUNN,JOSHUA",2
07:38,"GOOD FT by NUNN,JOSHUA",51,,68 (+17),,UD 51-68 (+17),,"GOOD FT by NUNN,JOSHUA",2
07:38,"SUB IN by MATHIS,DUSTIN",,,,,,,"SUB IN by MATHIS,DUSTIN",2
07:38,"SUB OUT by NUNN,JOSHUA",,,,,,,"SUB OUT by NUNN,JOSHUA",2
07:38,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
07:38,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
07:38,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",2
07:38,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",2
07:38,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
07:38,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
07:36,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by HYDE,CAMERAN",,,,,,,"REBOUND DEF by HYDE,CAMERAN",2
07:28,"MISS LAYUP by HYDE,CAMERAN",,,,,,,"MISS LAYUP by HYDE,CAMERAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
06:54,"FOUL  by HYDE,CAMERAN",,,,,,,"FOUL  by HYDE,CAMERAN",2
06:54,,51,,69 (+18),"GOOD FT by EATON,JACK",HENDRIX 51-69 (+18),,"GOOD FT by EATON,JACK",2
06:52,,51,,70 (+19),"GOOD FT by EATON,JACK",HENDRIX 51-70 (+19),,"GOOD FT by EATON,JACK",2
06:17,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
06:01,"MISS FT by TOUSSAINT,LETRELL",,,,,,,"MISS FT by TOUSSAINT,LETRELL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:42,"GOOD FT by TOUSSAINT,LETRELL",52,,70 (+18),,UD 52-70 (+18),,"GOOD FT by TOUSSAINT,LETRELL",2
05:37,,52,,73 (+21),"GOOD 3PTR by ROUSE,TREY",HENDRIX 52-73 (+21),,"GOOD 3PTR by ROUSE,TREY",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
05:37,"GOOD 3PTR by MATHIS,DUSTIN",55,,73 (+18),,UD 55-73 (+18),,"GOOD 3PTR by MATHIS,DUSTIN",2
05:37,,,,,"TURNOVER  by ROUSE,TREY",,,"TURNOVER  by ROUSE,TREY",2
05:37,"STEAL  by MATHIS,DUSTIN",,,,,,,"STEAL  by MATHIS,DUSTIN",2
05:37,"GOOD LAYUP by MATHIS,DUSTIN(fastbreak)(in the paint)",57,,73 (+16),,UD 57-73 (+16),,"GOOD LAYUP by MATHIS,DUSTIN(fastbreak)(in the paint)",2
05:37,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
05:37,"GOOD FT by NUNN,JOSHUA",58,,73 (+15),,UD 58-73 (+15),,"GOOD FT by NUNN,JOSHUA",2
05:37,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
05:37,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",60,,73 (+13),,UD 60-73 (+13),,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",2
05:37,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:37,"SUB IN by NUNN,JOSHUA",,,,,,,"SUB IN by NUNN,JOSHUA",2
05:37,"SUB OUT by COMPTON,MAURICE",,,,,,,"SUB OUT by COMPTON,MAURICE",2
05:37,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",2
05:37,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
05:37,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
05:37,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
05:37,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
05:37,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",2
04:57,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",2
04:55,"STEAL  by MATHIS,DUSTIN",,,,,,,"STEAL  by MATHIS,DUSTIN",2
04:43,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",2
04:43,"GOOD FT by NUNN,JOSHUA",61,,73 (+12),,UD 61-73 (+12),,"GOOD FT by NUNN,JOSHUA",2
04:43,"GOOD FT by NUNN,JOSHUA",62,,73 (+11),,UD 62-73 (+11),,"GOOD FT by NUNN,JOSHUA",2
04:33,,,,,"MISS JUMPER by CRAWFORD,TRACE",,,"MISS JUMPER by CRAWFORD,TRACE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
04:07,"FOUL  by COOMBS,RASHID",,,,,,,"FOUL  by COOMBS,RASHID",2
04:07,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",2
04:05,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",2
04:05,"TURNOVER  by TOUSSAINT,LETRELL",,,,,,,"TURNOVER  by TOUSSAINT,LETRELL",2
04:03,,62,,74 (+12),"GOOD FT by STANLEY,SETH",HENDRIX 62-74 (+12),,"GOOD FT by STANLEY,SETH",2
04:03,,62,,75 (+13),"GOOD FT by STANLEY,SETH",HENDRIX 62-75 (+13),,"GOOD FT by STANLEY,SETH",2
03:49,"MISS LAYUP by COOMBS,RASHID",,,,,,,"MISS LAYUP by COOMBS,RASHID",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
03:13,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
03:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:50,"TURNOVER  by HYDE,CAMERAN",,,,,,,"TURNOVER  by HYDE,CAMERAN",2
02:44,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",2
02:25,,62,,77 (+15),"GOOD LAYUP by CRAWFORD,TRACE(in the paint)",HENDRIX 62-77 (+15),,"GOOD LAYUP by CRAWFORD,TRACE(in the paint)",2
02:12,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",2
02:12,"GOOD FT by NUNN,JOSHUA",63,,77 (+14),,UD 63-77 (+14),,"GOOD FT by NUNN,JOSHUA",2
02:12,"MISS FT by NUNN,JOSHUA",,,,,,,"MISS FT by NUNN,JOSHUA",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
02:07,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
02:07,"BLOCK  by COOMBS,RASHID",,,,,,,"BLOCK  by COOMBS,RASHID",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
01:57,,63,,79 (+16),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 63-79 (+16),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
01:41,"MISS LAYUP by COOMBS,RASHID",,,,,,,"MISS LAYUP by COOMBS,RASHID",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
01:18,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by HYDE,CAMERAN",,,,,,,"REBOUND DEF by HYDE,CAMERAN",2
01:05,"GOOD LAYUP by NUNN,JOSHUA(in the paint)",65,,79 (+14),,UD 65-79 (+14),,"GOOD LAYUP by NUNN,JOSHUA(in the paint)",2
01:05,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",2
01:05,"MISS FT by NUNN,JOSHUA",,,,,,,"MISS FT by NUNN,JOSHUA",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
01:05,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
01:05,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",2
00:43,,65,,81 (+16),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 65-81 (+16),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
00:25,"MISS 3PTR by HYDE,CAMERAN",,,,,,,"MISS 3PTR by HYDE,CAMERAN",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
00:18,"GOOD FT by NUNN,JOSHUA",66,,81 (+15),,UD 66-81 (+15),,"GOOD FT by NUNN,JOSHUA",2
00:12,"GOOD FT by NUNN,JOSHUA",67,,81 (+14),,UD 67-81 (+14),,"GOOD FT by NUNN,JOSHUA",2
