Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
14:02,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",2
14:02,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",2
14:02,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",2
14:02,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",2
14:02,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",2
13:51,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
13:50,"STEAL  by SMITH,CONNOR",,,,,,,"STEAL  by SMITH,CONNOR",2
13:46,"GOOD 3PTR by PATRICK,DREW",46 (+11),,35,,OUM 46-35 (-11),,"GOOD 3PTR by PATRICK,DREW",2
13:28,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,"REBOUND DEF by SIGRIST,CONNOR",,,,,,,"REBOUND DEF by SIGRIST,CONNOR",2
13:10,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
13:10,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
13:10,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
13:05,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
12:36,,,,,"TURNOVER  by MCGRAIL,PATRICK",,,"TURNOVER  by MCGRAIL,PATRICK",2
12:35,"STEAL  by PERRY,WILL",,,,,,,"STEAL  by PERRY,WILL",2
12:31,"MISS LAYUP by BATES,ROMELLO",,,,,,,"MISS LAYUP by BATES,ROMELLO",2
12:31,,,,,"BLOCK  by MILLER,DREW",,,"BLOCK  by MILLER,DREW",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
12:17,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND DEF by SIGRIST,CONNOR",,,,,,,"REBOUND DEF by SIGRIST,CONNOR",2
12:01,"TURNOVER  by BATES,ROMELLO",,,,,,,"TURNOVER  by BATES,ROMELLO",2
12:00,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
11:58,,,,,"TURNOVER  by MCGRAIL,PATRICK",,,"TURNOVER  by MCGRAIL,PATRICK",2
11:57,"STEAL  by SMITH,CONNOR",,,,,,,"STEAL  by SMITH,CONNOR",2
11:55,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
11:55,"MISS FT by PERRY,WILL",,,,,,,"MISS FT by PERRY,WILL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:55,"MISS FT by PERRY,WILL",,,,,,,"MISS FT by PERRY,WILL",2
--,"REBOUND OFF by BATES,ROMELLO",,,,,,,"REBOUND OFF by BATES,ROMELLO",2
11:55,"GOOD LAYUP by BATES,ROMELLO(in the paint)",48 (+13),,35,,OUM 48-35 (-13),,"GOOD LAYUP by BATES,ROMELLO(in the paint)",2
11:55,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",2
11:55,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",2
11:55,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",2
11:55,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",2
11:55,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
11:55,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",2
11:55,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
11:55,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
11:26,,48 (+11),,37,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",RHODESMB 48-37 (-11),,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",2
11:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:08,"SUB IN by ROHLFS,VICTOR",,,,,,,"SUB IN by ROHLFS,VICTOR",2
11:08,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",2
11:08,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",2
11:08,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",2
11:08,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
11:08,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",2
11:01,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",2
10:56,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",2
10:55,"STEAL  by SMITH,CONNOR",,,,,,,"STEAL  by SMITH,CONNOR",2
10:55,"GOOD LAYUP by SMITH,CONNOR(fastbreak)(in the paint)",50 (+13),,37,,OUM 50-37 (-13),,"GOOD LAYUP by SMITH,CONNOR(fastbreak)(in the paint)",2
10:55,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
10:55,"GOOD FT by SMITH,CONNOR",51 (+14),,37,,OUM 51-37 (-14),,"GOOD FT by SMITH,CONNOR",2
10:55,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
10:55,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
10:55,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
10:55,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
10:47,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",2
10:25,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",2
10:25,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
10:16,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",2
10:15,"STEAL  by COURSON,TYLER",,,,,,,"STEAL  by COURSON,TYLER",2
10:14,"MISS LAYUP by COURSON,TYLER",,,,,,,"MISS LAYUP by COURSON,TYLER",2
10:14,,,,,"BLOCK  by SLEDGE,TATE",,,"BLOCK  by SLEDGE,TATE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:14,"MISS JUMPER by KINNEY,JORDAN",,,,,,,"MISS JUMPER by KINNEY,JORDAN",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
10:14,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",2
10:14,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",2
10:14,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
10:14,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
10:00,,51 (+12),,39,"GOOD JUMPER by LIVSEY,GEOFF",RHODESMB 51-39 (-12),,"GOOD JUMPER by LIVSEY,GEOFF",2
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",2
09:19,"GOOD JUMPER by KINNEY,JORDAN",53 (+14),,39,,OUM 53-39 (-14),,"GOOD JUMPER by KINNEY,JORDAN",2
--,"ASSIST  by DAVIS,ALEX",,,,,,,"ASSIST  by DAVIS,ALEX",2
08:58,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",2
08:20,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",2
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",2
08:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:01,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",2
08:01,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",2
07:50,,,,,"MISS JUMPER by WATSON,SHANE",,,"MISS JUMPER by WATSON,SHANE",2
07:50,"BLOCK  by KINNEY,JORDAN",,,,,,,"BLOCK  by KINNEY,JORDAN",2
--,,,,,"REBOUND OFF by WATSON,SHANE",,,"REBOUND OFF by WATSON,SHANE",2
07:49,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",2
07:49,,53 (+13),,40,"GOOD FT by WATSON,SHANE",RHODESMB 53-40 (-13),,"GOOD FT by WATSON,SHANE",2
07:49,,53 (+12),,41,"GOOD FT by WATSON,SHANE",RHODESMB 53-41 (-12),,"GOOD FT by WATSON,SHANE",2
07:34,"GOOD 3PTR by ROHLFS,VICTOR",56 (+15),,41,,OUM 56-41 (-15),,"GOOD 3PTR by ROHLFS,VICTOR",2
--,"ASSIST  by PATRICK,DREW",,,,,,,"ASSIST  by PATRICK,DREW",2
06:58,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",2
06:48,,56 (+13),,43,"GOOD TIPIN by WAGNER,MATT(in the paint)",RHODESMB 56-43 (-13),,"GOOD TIPIN by WAGNER,MATT(in the paint)",2
06:28,"MISS JUMPER by KINNEY,JORDAN",,,,,,,"MISS JUMPER by KINNEY,JORDAN",2
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",2
05:52,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
05:31,,56 (+10),,46,"GOOD 3PTR by LIVSEY,GEOFF",RHODESMB 56-46 (-10),,"GOOD 3PTR by LIVSEY,GEOFF",2
05:16,"MISS LAYUP by KINNEY,JORDAN",,,,,,,"MISS LAYUP by KINNEY,JORDAN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
04:59,,56 (+7),,49,"GOOD 3PTR by MILLER,DREW",RHODESMB 56-49 (-7),,"GOOD 3PTR by MILLER,DREW",2
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",2
04:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:50,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",2
04:50,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",2
04:50,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
04:50,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
04:50,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
04:50,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
04:41,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
04:41,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
04:41,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
04:39,"GOOD FT by KINNEY,JORDAN",57 (+8),,49,,OUM 57-49 (-8),,"GOOD FT by KINNEY,JORDAN",2
04:39,"GOOD FT by KINNEY,JORDAN",58 (+9),,49,,OUM 58-49 (-9),,"GOOD FT by KINNEY,JORDAN",2
04:18,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",2
04:18,"STEAL  by ROHLFS,VICTOR",,,,,,,"STEAL  by ROHLFS,VICTOR",2
04:18,"TURNOVER  by ROHLFS,VICTOR",,,,,,,"TURNOVER  by ROHLFS,VICTOR",2
04:18,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
04:18,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
04:16,,58 (+6),,52,"GOOD 3PTR by MILLER,DREW",RHODESMB 58-52 (-6),,"GOOD 3PTR by MILLER,DREW",2
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",2
03:52,"GOOD LAYUP by PATRICK,DREW(in the paint)",60 (+8),,52,,OUM 60-52 (-8),,"GOOD LAYUP by PATRICK,DREW(in the paint)",2
03:33,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",2
03:33,,,,,"MISS FT by DUNAVANT,JOHNNY",,,"MISS FT by DUNAVANT,JOHNNY",2
03:33,,,,,"MISS FT by DUNAVANT,JOHNNY",,,"MISS FT by DUNAVANT,JOHNNY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:33,,,,,"MISS FT by DUNAVANT,JOHNNY",,,"MISS FT by DUNAVANT,JOHNNY",2
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",2
03:33,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
03:33,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
03:33,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
03:33,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",2
03:08,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",2
03:07,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
03:06,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",2
02:40,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",2
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",2
02:07,"TURNOVER  by COURSON,TYLER",,,,,,,"TURNOVER  by COURSON,TYLER",2
02:06,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
02:01,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
01:54,,60 (+6),,54,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODESMB 60-54 (-6),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
01:51,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:30,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
01:27,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
01:27,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:52,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",2
00:52,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",2
00:52,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",2
00:52,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",2
00:52,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
00:52,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
00:44,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:44,,,,,"FOUL  by DUNAVANT,JOHNNY",,,"FOUL  by DUNAVANT,JOHNNY",2
00:44,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",2
00:44,"MISS FT by COURSON,TYLER",,,,,,,"MISS FT by COURSON,TYLER",2
00:44,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",2
00:44,"SUB OUT by ROHLFS,VICTOR",,,,,,,"SUB OUT by ROHLFS,VICTOR",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
00:42,,60 (+5),,55,"GOOD FT by MILLER,DREW",RHODESMB 60-55 (-5),,"GOOD FT by MILLER,DREW",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
00:42,,60 (+4),,56,"GOOD FT by MILLER,DREW",RHODESMB 60-56 (-4),,"GOOD FT by MILLER,DREW",2
00:42,,60 (+3),,57,"GOOD FT by MILLER,DREW",RHODESMB 60-57 (-3),,"GOOD FT by MILLER,DREW",2
00:42,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:42,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",2
00:42,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",2
00:42,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",2
00:42,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",2
00:30,,60,,60,"GOOD 3PTR by GALLAGHER,MICHAEL",RHODESMB 60-60 (0),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",2
00:11,"SUB IN by ROHLFS,VICTOR",,,,,,,"SUB IN by ROHLFS,VICTOR",2
00:11,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",2
00:11,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
00:11,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
00:11,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
00:11,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
00:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:02,"MISS JUMPER by PATRICK,DREW",,,,,,,"MISS JUMPER by PATRICK,DREW",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
04:43,"MISS JUMPER by KINNEY,JORDAN",,,,,,,"MISS JUMPER by KINNEY,JORDAN",3
--,"REBOUND OFF by PATRICK,DREW",,,,,,,"REBOUND OFF by PATRICK,DREW",3
04:28,"GOOD 3PTR by SMITH,CONNOR",63 (+3),,60,,OUM 63-60 (-3),,"GOOD 3PTR by SMITH,CONNOR",3
--,"ASSIST  by COURSON,TYLER",,,,,,,"ASSIST  by COURSON,TYLER",3
04:01,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",3
03:57,,63 (+2),,61,"GOOD FT by WAGNER,MATT",RHODESMB 63-61 (-2),,"GOOD FT by WAGNER,MATT",3
03:57,,63 (+1),,62,"GOOD FT by WAGNER,MATT",RHODESMB 63-62 (-1),,"GOOD FT by WAGNER,MATT",3
03:24,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",3
03:24,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",3
03:24,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",3
02:59,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",3
02:58,"STEAL  by PATRICK,DREW",,,,,,,"STEAL  by PATRICK,DREW",3
02:32,"MISS 3PTR by ROHLFS,VICTOR",,,,,,,"MISS 3PTR by ROHLFS,VICTOR",3
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",3
02:03,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",3
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,3
02:00,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",3
02:00,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",3
02:00,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",3
02:00,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",3
02:00,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",3
02:00,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",3
01:47,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",3
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",3
01:29,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",3
01:28,"STEAL  by ROHLFS,VICTOR",,,,,,,"STEAL  by ROHLFS,VICTOR",3
01:10,"MISS JUMPER by SMITH,CONNOR",,,,,,,"MISS JUMPER by SMITH,CONNOR",3
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",3
00:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:59,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",3
00:59,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",3
00:59,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",3
00:59,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",3
00:59,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",3
00:59,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",3
00:52,,63,,65 (+2),"GOOD 3PTR by DUNAVANT,JOHNNY",RHODESMB 63-65 (+2),,"GOOD 3PTR by DUNAVANT,JOHNNY",3
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",3
00:29,"GOOD JUMPER by COURSON,TYLER(in the paint)",65,,65,,OUM 65-65 (0),,"GOOD JUMPER by COURSON,TYLER(in the paint)",3
00:12,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",3
00:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:02,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",3
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",3
05:00,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",4
05:00,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",4
05:00,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",4
05:00,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",4
05:00,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",4
05:00,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",4
05:00,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",4
05:00,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",4
04:55,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",4
04:32,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",4
04:32,"BLOCK  by KINNEY,JORDAN",,,,,,,"BLOCK  by KINNEY,JORDAN",4
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",4
04:17,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",4
--,"REBOUND OFF by KINNEY,JORDAN",,,,,,,"REBOUND OFF by KINNEY,JORDAN",4
04:09,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",4
04:09,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",4
04:04,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",4
04:04,"MISS FT by KINNEY,JORDAN",,,,,,,"MISS FT by KINNEY,JORDAN",4
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",4
03:40,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",4
--,"REBOUND DEF by ROHLFS,VICTOR",,,,,,,"REBOUND DEF by ROHLFS,VICTOR",4
03:05,"MISS LAYUP by PATRICK,DREW",,,,,,,"MISS LAYUP by PATRICK,DREW",4
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",4
02:54,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",4
--,,,,,"REBOUND OFF by MCGRAIL,PATRICK",,,"REBOUND OFF by MCGRAIL,PATRICK",4
02:28,,65,,67 (+2),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODESMB 65-67 (+2),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",4
02:28,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",4
02:28,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",4
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",4
02:28,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",4
02:28,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",4
02:28,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",4
02:28,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",4
02:28,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",4
02:28,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",4
02:03,"GOOD 3PTR by ROHLFS,VICTOR",68 (+1),,67,,OUM 68-67 (-1),,"GOOD 3PTR by ROHLFS,VICTOR",4
