Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
02:55,"MISS LAYUP by ROBINSON,DENZEL",,,,,,,"MISS LAYUP by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
02:28,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
02:25,"STEAL  by DUGGER,PATRICK",,,,,,,"STEAL  by DUGGER,PATRICK",2
02:21,"TURNOVER  by DUGGER,PATRICK",,,,,,,"TURNOVER  by DUGGER,PATRICK",2
02:19,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
02:15,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND DEF by CORE,ISAIAH",,,,,,,"REBOUND DEF by CORE,ISAIAH",2
02:09,"MISS LAYUP by ROBINSON,DENZEL",,,,,,,"MISS LAYUP by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",2
01:57,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
01:57,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
01:57,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
01:57,"GOOD FT by ROBINSON,DENZEL",62,,79 (+17),,LCM 62-79 (+17),,"GOOD FT by ROBINSON,DENZEL",2
01:57,"GOOD FT by ROBINSON,DENZEL",63,,79 (+16),,LCM 63-79 (+16),,"GOOD FT by ROBINSON,DENZEL",2
01:57,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",2
01:57,"SUB IN by DANIEL,DONTA",,,,,,,"SUB IN by DANIEL,DONTA",2
01:57,"SUB OUT by CORE,ISAIAH",,,,,,,"SUB OUT by CORE,ISAIAH",2
01:57,"SUB OUT by WHITE,MIKE",,,,,,,"SUB OUT by WHITE,MIKE",2
01:56,"FOUL  by DANIEL,DONTA",,,,,,,"FOUL  by DANIEL,DONTA",2
01:56,,,,,"MISS FT by DUNAVANT,JOHNNY",,,"MISS FT by DUNAVANT,JOHNNY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:56,,63,,80 (+17),"GOOD FT by DUNAVANT,JOHNNY",RHODESMB 63-80 (+17),,"GOOD FT by DUNAVANT,JOHNNY",2
01:42,,,,,"MISS 3PTR by BLISS,DYLAN",,,"MISS 3PTR by BLISS,DYLAN",2
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",2
01:33,"FOUL  by HOWARD,JEROD",,,,,,,"FOUL  by HOWARD,JEROD",2
01:33,"FOUL TECH by DUGGER,PATRICK",,,,,,,"FOUL TECH by DUGGER,PATRICK",2
01:33,,63,,81 (+18),"GOOD FT by MCGRAIL,PATRICK",RHODESMB 63-81 (+18),,"GOOD FT by MCGRAIL,PATRICK",2
01:33,,63,,82 (+19),"GOOD FT by MCGRAIL,PATRICK",RHODESMB 63-82 (+19),,"GOOD FT by MCGRAIL,PATRICK",2
01:33,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:33,,63,,83 (+20),"GOOD FT by WAGNER,MATT",RHODESMB 63-83 (+20),,"GOOD FT by WAGNER,MATT",2
01:33,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",2
01:33,"SUB OUT by DUGGER,PATRICK",,,,,,,"SUB OUT by DUGGER,PATRICK",2
01:33,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
01:33,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",2
01:27,"MISS JUMPER by WAGNER,MARK",,,,,,,"MISS JUMPER by WAGNER,MARK",2
--,"REBOUND OFF by DANIEL,DONTA",,,,,,,"REBOUND OFF by DANIEL,DONTA",2
01:24,"MISS LAYUP by DANIEL,DONTA",,,,,,,"MISS LAYUP by DANIEL,DONTA",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:23,"MISS FT by DANIEL,DONTA",,,,,,,"MISS FT by DANIEL,DONTA",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:23,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
01:23,"GOOD FT by DANIEL,DONTA",64,,83 (+19),,LCM 64-83 (+19),,"GOOD FT by DANIEL,DONTA",2
01:23,"SUB IN by BUTLER,JALEN",,,,,,,"SUB IN by BUTLER,JALEN",2
01:23,"SUB IN by PRESIDENT,DONOVAN",,,,,,,"SUB IN by PRESIDENT,DONOVAN",2
01:23,"SUB OUT by HOWARD,JEROD",,,,,,,"SUB OUT by HOWARD,JEROD",2
01:23,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",2
01:23,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",2
01:23,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
01:23,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
01:23,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
01:23,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",2
01:23,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
01:23,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
01:23,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
01:23,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
01:23,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
01:13,"GOOD LAYUP by DANIEL,DONTA(fastbreak)(in the paint)",66,,83 (+17),,LCM 66-83 (+17),,"GOOD LAYUP by DANIEL,DONTA(fastbreak)(in the paint)",2
01:04,"FOUL  by DANIEL,DONTA",,,,,,,"FOUL  by DANIEL,DONTA",2
01:04,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",2
01:04,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",2
01:04,"FOUL TECH by DANIEL,DONTA",,,,,,,"FOUL TECH by DANIEL,DONTA",2
01:04,,66,,84 (+18),"GOOD FT by BLISS,DYLAN",RHODESMB 66-84 (+18),,"GOOD FT by BLISS,DYLAN",2
01:04,,66,,85 (+19),"GOOD FT by BLISS,DYLAN",RHODESMB 66-85 (+19),,"GOOD FT by BLISS,DYLAN",2
01:04,"MISS LAYUP by DANIEL,DONTA",,,,,,,"MISS LAYUP by DANIEL,DONTA",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
00:45,,66,,87 (+21),"GOOD LAYUP by GEE,TYLER(in the paint)",RHODESMB 66-87 (+21),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",2
00:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:33,"MISS JUMPER by BUTLER,JALEN",,,,,,,"MISS JUMPER by BUTLER,JALEN",2
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",2
00:20,,66,,89 (+23),"GOOD LAYUP by GEE,TYLER(in the paint)",RHODESMB 66-89 (+23),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
00:05,"TURNOVER  by BUTLER,JALEN",,,,,,,"TURNOVER  by BUTLER,JALEN",2
