Time Remaining,RHODESMB,Away Team Score,Play Team Indicator,Home Team Score,FUMB,Game Score,Team Indicator,Play,Period
17:02,,,,,"MISS JUMPER by GREENLEE,JARED",,,"MISS JUMPER by GREENLEE,JARED",2
--,,,,,"REBOUND OFF by DEMISSE,YADA",,,"REBOUND OFF by DEMISSE,YADA",2
16:48,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
16:48,,45 (+19),,26,"GOOD FT by GREENLEE,JARED",FUMB 45-26 (+19),,"GOOD FT by GREENLEE,JARED",2
16:48,,45 (+18),,27,"GOOD FT by GREENLEE,JARED",FUMB 45-27 (+18),,"GOOD FT by GREENLEE,JARED",2
16:48,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
16:48,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
16:31,"GOOD JUMPER by LIVSEY,GEOFF",47 (+20),,27,,RHODESMB 47-27 (+20),,"GOOD JUMPER by LIVSEY,GEOFF",2
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",2
16:11,,47 (+17),,30,"GOOD 3PTR by DEMISSE,YADA",FUMB 47-30 (+17),,"GOOD 3PTR by DEMISSE,YADA",2
15:57,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",2
15:55,,,,,"STEAL  by DEGEARE,BRYAN",,,"STEAL  by DEGEARE,BRYAN",2
15:47,,,,,"TURNOVER  by GREENLEE,JARED",,,"TURNOVER  by GREENLEE,JARED",2
15:45,"STEAL  by WAGNER,MATT",,,,,,,"STEAL  by WAGNER,MATT",2
15:43,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",2
--,"REBOUND OFF by WAGNER,MATT",,,,,,,"REBOUND OFF by WAGNER,MATT",2
15:39,"MISS JUMPER by WAGNER,MATT",,,,,,,"MISS JUMPER by WAGNER,MATT",2
--,,,,,"REBOUND DEF by DORHAUER,RICHARD",,,"REBOUND DEF by DORHAUER,RICHARD",2
15:34,,,,,"MISS 3PTR by WELCH,BLAKE",,,"MISS 3PTR by WELCH,BLAKE",2
--,,,,,"REBOUND OFF by DEMISSE,YADA",,,"REBOUND OFF by DEMISSE,YADA",2
15:21,,,,,"MISS JUMPER by DEGEARE,BRYAN",,,"MISS JUMPER by DEGEARE,BRYAN",2
--,,,,,"REBOUND OFF by GREENLEE,JARED",,,"REBOUND OFF by GREENLEE,JARED",2
15:14,,47 (+15),,32,"GOOD TIPIN by GREENLEE,JARED(in the paint)",FUMB 47-32 (+15),,"GOOD TIPIN by GREENLEE,JARED(in the paint)",2
15:09,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
15:09,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
15:09,,,,,"SUB IN by JACKSON,MICHAEL",,,"SUB IN by JACKSON,MICHAEL",2
15:09,,,,,"SUB OUT by WELCH,BLAKE",,,"SUB OUT by WELCH,BLAKE",2
14:56,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",2
14:49,"GOOD LAYUP by MILLER,DREW(in the paint)",49 (+17),,32,,RHODESMB 49-32 (+17),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
14:31,,,,,"MISS 3PTR by DORHAUER,RICHARD",,,"MISS 3PTR by DORHAUER,RICHARD",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
14:11,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
14:10,,,,,"STEAL  by GREENLEE,JARED",,,"STEAL  by GREENLEE,JARED",2
14:06,,49 (+15),,34,"GOOD LAYUP by JACKSON,MICHAEL(in the paint)",FUMB 49-34 (+15),,"GOOD LAYUP by JACKSON,MICHAEL(in the paint)",2
13:47,"GOOD LAYUP by SLEDGE,TATE(in the paint)",51 (+17),,34,,RHODESMB 51-34 (+17),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
13:32,,,,,"TURNOVER  by GREENLEE,JARED",,,"TURNOVER  by GREENLEE,JARED",2
13:23,"GOOD 3PTR by DUNAVANT,JOHNNY",54 (+20),,34,,RHODESMB 54-34 (+20),,"GOOD 3PTR by DUNAVANT,JOHNNY",2
13:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:19,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
13:19,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
13:09,,,,,"TURNOVER  by DORHAUER,RICHARD",,,"TURNOVER  by DORHAUER,RICHARD",2
13:08,"STEAL  by LIVSEY,GEOFF",,,,,,,"STEAL  by LIVSEY,GEOFF",2
12:57,,,,,"FOUL  by GREENLEE,JARED",,,"FOUL  by GREENLEE,JARED",2
12:57,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:57,"GOOD FT by LIVSEY,GEOFF",55 (+21),,34,,RHODESMB 55-34 (+21),,"GOOD FT by LIVSEY,GEOFF",2
12:57,,,,,"SUB IN by RUCKER,DARIUS",,,"SUB IN by RUCKER,DARIUS",2
12:57,,,,,"SUB IN by CHANDLER,RIO JUSTICE",,,"SUB IN by CHANDLER,RIO JUSTICE",2
12:57,,,,,"SUB OUT by DEGEARE,BRYAN",,,"SUB OUT by DEGEARE,BRYAN",2
12:57,,,,,"SUB OUT by DORHAUER,RICHARD",,,"SUB OUT by DORHAUER,RICHARD",2
12:44,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
12:44,,55 (+20),,35,"GOOD FT by RUCKER,DARIUS",FUMB 55-35 (+20),,"GOOD FT by RUCKER,DARIUS",2
12:44,,,,,"MISS FT by RUCKER,DARIUS",,,"MISS FT by RUCKER,DARIUS",2
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",2
12:39,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",57 (+22),,35,,RHODESMB 57-35 (+22),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
12:16,,,,,"MISS 3PTR by RUCKER,DARIUS",,,"MISS 3PTR by RUCKER,DARIUS",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
11:48,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",59 (+24),,35,,RHODESMB 59-35 (+24),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,"ASSIST  by SLEDGE,TATE",,,,,,,"ASSIST  by SLEDGE,TATE",2
11:23,,,,,"MISS 3PTR by JACKSON,MICHAEL",,,"MISS 3PTR by JACKSON,MICHAEL",2
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",2
11:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
11:12,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
11:12,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
10:49,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND OFF by SLEDGE,TATE",,,,,,,"REBOUND OFF by SLEDGE,TATE",2
10:41,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"REBOUND DEF by CHANDLER,RIO JUSTICE",,,"REBOUND DEF by CHANDLER,RIO JUSTICE",2
10:32,,,,,"MISS LAYUP by RUCKER,DARIUS",,,"MISS LAYUP by RUCKER,DARIUS",2
--,,,,,"REBOUND OFF by GREENLEE,JARED",,,"REBOUND OFF by GREENLEE,JARED",2
10:29,,59 (+22),,37,"GOOD JUMPER by GREENLEE,JARED(in the paint)",FUMB 59-37 (+22),,"GOOD JUMPER by GREENLEE,JARED(in the paint)",2
10:27,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
10:27,,,,,"MISS FT by GREENLEE,JARED",,,"MISS FT by GREENLEE,JARED",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
10:11,"GOOD JUMPER by SLEDGE,TATE(in the paint)",61 (+24),,37,,RHODESMB 61-37 (+24),,"GOOD JUMPER by SLEDGE,TATE(in the paint)",2
09:57,,,,,"MISS 3PTR by CHANDLER,RIO JUSTICE",,,"MISS 3PTR by CHANDLER,RIO JUSTICE",2
--,,,,,"REBOUND OFF by GREENLEE,JARED",,,"REBOUND OFF by GREENLEE,JARED",2
09:51,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
09:51,,,,,"MISS FT by GREENLEE,JARED",,,"MISS FT by GREENLEE,JARED",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:51,,61 (+23),,38,"GOOD FT by GREENLEE,JARED",FUMB 61-38 (+23),,"GOOD FT by GREENLEE,JARED",2
09:51,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
09:51,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
09:51,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
09:51,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
09:51,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
09:51,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",2
09:51,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
09:51,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
09:51,,,,,"SUB IN by ETTINGER,KODY",,,"SUB IN by ETTINGER,KODY",2
09:51,,,,,"SUB OUT by DEMISSE,YADA",,,"SUB OUT by DEMISSE,YADA",2
09:31,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",2
--,,,,,"REBOUND DEF by RUCKER,DARIUS",,,"REBOUND DEF by RUCKER,DARIUS",2
09:28,,,,,"TURNOVER  by JACKSON,MICHAEL",,,"TURNOVER  by JACKSON,MICHAEL",2
09:17,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by GREENLEE,JARED",,,"REBOUND DEF by GREENLEE,JARED",2
08:56,,61 (+21),,40,"GOOD LAYUP by JACKSON,MICHAEL(in the paint)",FUMB 61-40 (+21),,"GOOD LAYUP by JACKSON,MICHAEL(in the paint)",2
08:42,,,,,"FOUL  by GREENLEE,JARED",,,"FOUL  by GREENLEE,JARED",2
08:42,"GOOD FT by COLLINS,LUKE",62 (+22),,40,,RHODESMB 62-40 (+22),,"GOOD FT by COLLINS,LUKE",2
08:42,"GOOD FT by COLLINS,LUKE",63 (+23),,40,,RHODESMB 63-40 (+23),,"GOOD FT by COLLINS,LUKE",2
08:33,,63 (+21),,42,"GOOD JUMPER by ETTINGER,KODY",FUMB 63-42 (+21),,"GOOD JUMPER by ETTINGER,KODY",2
08:24,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:24,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",2
08:24,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
08:24,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",2
08:24,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
08:24,,,,,"SUB IN by TUCKER,GRANT",,,"SUB IN by TUCKER,GRANT",2
08:24,,,,,"SUB IN by GUINN,AUSTIN",,,"SUB IN by GUINN,AUSTIN",2
08:24,,,,,"SUB OUT by GREENLEE,JARED",,,"SUB OUT by GREENLEE,JARED",2
08:24,,,,,"SUB OUT by RUCKER,DARIUS",,,"SUB OUT by RUCKER,DARIUS",2
07:58,"GOOD 3PTR by MCGRAIL,PATRICK",66 (+24),,42,,RHODESMB 66-42 (+24),,"GOOD 3PTR by MCGRAIL,PATRICK",2
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",2
07:43,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",2
07:43,,,,,"MISS FT by TUCKER,GRANT",,,"MISS FT by TUCKER,GRANT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:43,,,,,"MISS FT by TUCKER,GRANT",,,"MISS FT by TUCKER,GRANT",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
07:23,"GOOD 3PTR by COLLINS,LUKE",69 (+27),,42,,RHODESMB 69-42 (+27),,"GOOD 3PTR by COLLINS,LUKE",2
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",2
07:00,,69 (+24),,45,"GOOD 3PTR by CHANDLER,RIO JUSTICE",FUMB 69-45 (+24),,"GOOD 3PTR by CHANDLER,RIO JUSTICE",2
--,,,,,"ASSIST  by ETTINGER,KODY",,,"ASSIST  by ETTINGER,KODY",2
06:43,"TURNOVER  by DUNAVANT,JOHNNY",,,,,,,"TURNOVER  by DUNAVANT,JOHNNY",2
06:30,,,,,"TURNOVER  by JACKSON,MICHAEL",,,"TURNOVER  by JACKSON,MICHAEL",2
06:25,,,,,"FOUL  by GUINN,AUSTIN",,,"FOUL  by GUINN,AUSTIN",2
06:24,,,,,"FOUL  by ETTINGER,KODY",,,"FOUL  by ETTINGER,KODY",2
06:04,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",2
06:03,,,,,"STEAL  by CHANDLER,RIO JUSTICE",,,"STEAL  by CHANDLER,RIO JUSTICE",2
06:00,,69 (+22),,47,"GOOD JUMPER by ETTINGER,KODY",FUMB 69-47 (+22),,"GOOD JUMPER by ETTINGER,KODY",2
--,,,,,"ASSIST  by CHANDLER,RIO JUSTICE",,,"ASSIST  by CHANDLER,RIO JUSTICE",2
05:42,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",2
05:41,,,,,"STEAL  by CHANDLER,RIO JUSTICE",,,"STEAL  by CHANDLER,RIO JUSTICE",2
05:36,,,,,"MISS LAYUP by CHANDLER,RIO JUSTICE",,,"MISS LAYUP by CHANDLER,RIO JUSTICE",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
05:21,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
05:21,,,,,"BLOCK  by GUINN,AUSTIN",,,"BLOCK  by GUINN,AUSTIN",2
--,,,,,"REBOUND DEF by CHANDLER,RIO JUSTICE",,,"REBOUND DEF by CHANDLER,RIO JUSTICE",2
05:15,,,,,"MISS 3PTR by JACKSON,MICHAEL",,,"MISS 3PTR by JACKSON,MICHAEL",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
04:56,"GOOD JUMPER by DUNAVANT,JOHNNY",71 (+24),,47,,RHODESMB 71-47 (+24),,"GOOD JUMPER by DUNAVANT,JOHNNY",2
04:40,,,,,"TURNOVER  by CHANDLER,RIO JUSTICE",,,"TURNOVER  by CHANDLER,RIO JUSTICE",2
04:40,"STEAL  by MCGRAIL,PATRICK",,,,,,,"STEAL  by MCGRAIL,PATRICK",2
04:36,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",2
04:35,,,,,"STEAL  by GUINN,AUSTIN",,,"STEAL  by GUINN,AUSTIN",2
04:29,,71 (+22),,49,"GOOD LAYUP by ETTINGER,KODY(in the paint)",FUMB 71-49 (+22),,"GOOD LAYUP by ETTINGER,KODY(in the paint)",2
--,,,,,"ASSIST  by GUINN,AUSTIN",,,"ASSIST  by GUINN,AUSTIN",2
04:00,"GOOD JUMPER by HOECK,RYAN VAN",73 (+24),,49,,RHODESMB 73-49 (+24),,"GOOD JUMPER by HOECK,RYAN VAN",2
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",2
03:47,,,,,"MISS 3PTR by GUINN,AUSTIN",,,"MISS 3PTR by GUINN,AUSTIN",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
03:38,,,,,"FOUL  by ETTINGER,KODY",,,"FOUL  by ETTINGER,KODY",2
03:38,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
03:38,"SUB IN by BLISS,DYLAN",,,,,,,"SUB IN by BLISS,DYLAN",2
03:38,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
03:38,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
03:38,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",2
03:38,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
03:38,,,,,"SUB IN by AHEARN,SUMNER",,,"SUB IN by AHEARN,SUMNER",2
03:38,,,,,"SUB IN by MCDOWELL,GARRETT",,,"SUB IN by MCDOWELL,GARRETT",2
03:38,,,,,"SUB IN by DORHAUER,RICHARD",,,"SUB IN by DORHAUER,RICHARD",2
03:38,,,,,"SUB OUT by CHANDLER,RIO JUSTICE",,,"SUB OUT by CHANDLER,RIO JUSTICE",2
03:38,,,,,"SUB OUT by ETTINGER,KODY",,,"SUB OUT by ETTINGER,KODY",2
03:38,,,,,"SUB OUT by JACKSON,MICHAEL",,,"SUB OUT by JACKSON,MICHAEL",2
03:24,"MISS 3PTR by BLISS,DYLAN",,,,,,,"MISS 3PTR by BLISS,DYLAN",2
--,,,,,"REBOUND DEF by GUINN,AUSTIN",,,"REBOUND DEF by GUINN,AUSTIN",2
03:10,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",2
03:10,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
03:10,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
03:10,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
02:53,"FOUL  by BLISS,DYLAN",,,,,,,"FOUL  by BLISS,DYLAN",2
02:53,,73 (+23),,50,"GOOD FT by MCDOWELL,GARRETT",FUMB 73-50 (+23),,"GOOD FT by MCDOWELL,GARRETT",2
02:53,,,,,"MISS FT by MCDOWELL,GARRETT",,,"MISS FT by MCDOWELL,GARRETT",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
02:32,"GOOD 3PTR by LIVSEY,GEOFF",76 (+26),,50,,RHODESMB 76-50 (+26),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,"ASSIST  by BLISS,DYLAN",,,,,,,"ASSIST  by BLISS,DYLAN",2
02:13,,,,,"MISS 3PTR by MCDOWELL,GARRETT",,,"MISS 3PTR by MCDOWELL,GARRETT",2
--,"REBOUND DEF by LOWRIE,ANDREW",,,,,,,"REBOUND DEF by LOWRIE,ANDREW",2
01:52,"TURNOVER  by LOWRIE,ANDREW",,,,,,,"TURNOVER  by LOWRIE,ANDREW",2
01:50,,,,,"STEAL  by GUINN,AUSTIN",,,"STEAL  by GUINN,AUSTIN",2
01:47,,,,,"MISS LAYUP by GUINN,AUSTIN",,,"MISS LAYUP by GUINN,AUSTIN",2
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",2
01:38,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",78 (+28),,50,,RHODESMB 78-50 (+28),,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",2
01:11,,,,,"MISS JUMPER by TUCKER,GRANT",,,"MISS JUMPER by TUCKER,GRANT",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
00:42,"MISS JUMPER by BLISS,DYLAN",,,,,,,"MISS JUMPER by BLISS,DYLAN",2
--,"REBOUND OFF by SLEDGE,TATE",,,,,,,"REBOUND OFF by SLEDGE,TATE",2
00:24,"MISS JUMPER by GEE,TYLER",,,,,,,"MISS JUMPER by GEE,TYLER",2
--,"REBOUND OFF by SLEDGE,TATE",,,,,,,"REBOUND OFF by SLEDGE,TATE",2
