Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by NIKOLOVSKI,DREW",,,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",1
08:40,"GOOD 3PTR by ROLAND,WILL",15,,25 (+10),,HENDRIX 15-25 (+10),,"GOOD 3PTR by ROLAND,WILL",1
--,"ASSIST  by NIKOLOVSKI,DREW",,,,,,,"ASSIST  by NIKOLOVSKI,DREW",1
08:10,,15,,27 (+12),"GOOD JUMPER by GALLAGHER,MICHAEL(in the paint)",RHODES 15-27 (+12),,"GOOD JUMPER by GALLAGHER,MICHAEL(in the paint)",1
08:01,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
08:01,"GOOD FT by TAULTON,JORDAN",16,,27 (+11),,HENDRIX 16-27 (+11),,"GOOD FT by TAULTON,JORDAN",1
08:01,"MISS FT by TAULTON,JORDAN",,,,,,,"MISS FT by TAULTON,JORDAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:01,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",1
08:01,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
08:01,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
08:01,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
08:01,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
08:01,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
07:45,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
07:45,"MISS FT by TAULTON,JORDAN",,,,,,,"MISS FT by TAULTON,JORDAN",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
07:32,,16,,29 (+13),"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",RHODES 16-29 (+13),,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",1
07:19,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
07:19,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
07:19,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
07:19,"SUB IN by PRIMM,COLTON",,,,,,,"SUB IN by PRIMM,COLTON",1
07:19,"SUB OUT by ROLAND,WILL",,,,,,,"SUB OUT by ROLAND,WILL",1
07:19,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
07:19,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",1
07:19,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
07:19,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
07:16,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
07:08,"GOOD LAYUP by VANCE,LUKE(in the paint)",18,,29 (+11),,HENDRIX 18-29 (+11),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,"ASSIST  by NIKOLOVSKI,DREW",,,,,,,"ASSIST  by NIKOLOVSKI,DREW",1
06:52,"FOUL  by TAULTON,JORDAN",,,,,,,"FOUL  by TAULTON,JORDAN",1
06:52,"SUB IN by GUMM,GABE",,,,,,,"SUB IN by GUMM,GABE",1
06:52,"SUB OUT by TAULTON,JORDAN",,,,,,,"SUB OUT by TAULTON,JORDAN",1
