Time Remaining,SCH-M,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
18:25,"MISS FT by MYRES,AJ",,,,,,,"MISS FT by MYRES,AJ",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:25,"GOOD FT by MYRES,AJ",29,,45 (+16),,SCH-M 29-45 (+16),,"GOOD FT by MYRES,AJ",2
18:25,"SUB IN by ROBINSON,HOLLIS",,,,,,,"SUB IN by ROBINSON,HOLLIS",2
18:25,"SUB OUT by FINLEY,TAYLOR",,,,,,,"SUB OUT by FINLEY,TAYLOR",2
18:09,,,,,"MISS LAYUP by MILLER,DREW",,,"MISS LAYUP by MILLER,DREW",2
--,"REBOUND DEF by GUERRERO,STEVAN",,,,,,,"REBOUND DEF by GUERRERO,STEVAN",2
18:00,"MISS 3PTR by MYRES,AJ",,,,,,,"MISS 3PTR by MYRES,AJ",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:52,"GOOD JUMPER by MYRES,AJ(in the paint)",31,,45 (+14),,SCH-M 31-45 (+14),,"GOOD JUMPER by MYRES,AJ(in the paint)",2
17:42,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
17:40,"STEAL  by GUDERYAHN,TYLER",,,,,,,"STEAL  by GUDERYAHN,TYLER",2
17:37,"MISS LAYUP by GUERRERO,STEVAN",,,,,,,"MISS LAYUP by GUERRERO,STEVAN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
17:31,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
17:30,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
17:30,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
17:30,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
17:30,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
17:10,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
17:09,"STEAL  by GUDERYAHN,TYLER",,,,,,,"STEAL  by GUDERYAHN,TYLER",2
16:52,"GOOD LAYUP by MYRES,AJ(fastbreak)(in the paint)",33,,45 (+12),,SCH-M 33-45 (+12),,"GOOD LAYUP by MYRES,AJ(fastbreak)(in the paint)",2
