Time Remaining,RC,Away Team Score,Play Team Indicator,Home Team Score,UTTMEN,Game Score,Team Indicator,Play,Period
00:19,"GOOD FT by COLLINS,LUKE",87 (+2),,85,,RC 87-85 (+2),,"GOOD FT by COLLINS,LUKE",2
00:19,"GOOD FT by COLLINS,LUKE",88 (+3),,85,,RC 88-85 (+3),,"GOOD FT by COLLINS,LUKE",2
00:19,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
00:19,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
00:19,,,,,"SUB IN by STEPHENS,JOE",,,"SUB IN by STEPHENS,JOE",2
00:19,,,,,"SUB IN by HARBOUR,NATHAN",,,"SUB IN by HARBOUR,NATHAN",2
00:19,,,,,"SUB IN by DYKMAN,TRAVIS",,,"SUB IN by DYKMAN,TRAVIS",2
00:19,,,,,"SUB OUT by RANDLE,BYRON",,,"SUB OUT by RANDLE,BYRON",2
00:19,,,,,"SUB OUT by HALL,STEPHON",,,"SUB OUT by HALL,STEPHON",2
00:19,,,,,"SUB OUT by OSAZUWA,OWEN",,,"SUB OUT by OSAZUWA,OWEN",2
00:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:07,,,,,"FOUL  by HALL,STEPHON",,,"FOUL  by HALL,STEPHON",2
00:07,"MISS FT by MILLER,DREW",,,,,,,"MISS FT by MILLER,DREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:07,"GOOD FT by MILLER,DREW",89 (+4),,85,,RC 89-85 (+4),,"GOOD FT by MILLER,DREW",2
00:07,,,,,"SUB IN by RANDLE,BYRON",,,"SUB IN by RANDLE,BYRON",2
00:07,,,,,"SUB IN by HALL,STEPHON",,,"SUB IN by HALL,STEPHON",2
00:07,,,,,"SUB IN by OSAZUWA,OWEN",,,"SUB IN by OSAZUWA,OWEN",2
00:07,,,,,"SUB OUT by STEPHENS,JOE",,,"SUB OUT by STEPHENS,JOE",2
00:07,,,,,"SUB OUT by DYKMAN,TRAVIS",,,"SUB OUT by DYKMAN,TRAVIS",2
00:06,,89 (+2),,87,"GOOD LAYUP by HARBOUR,NATHAN(in the paint)",UTTMEN 89-87 (+2),,"GOOD LAYUP by HARBOUR,NATHAN(in the paint)",2
--,,,,,"ASSIST  by STEPHENS,JOE",,,"ASSIST  by STEPHENS,JOE",2
00:01,,89,,89,"GOOD JUMPER by DYKMAN,TRAVIS",UTTMEN 89-89 (0),,"GOOD JUMPER by DYKMAN,TRAVIS",2
05:00,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",3
05:00,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",3
05:00,,,,,"SUB IN by HARBOUR,NATHAN",,,"SUB IN by HARBOUR,NATHAN",3
05:00,,,,,"SUB OUT by HYSELL,TYLER",,,"SUB OUT by HYSELL,TYLER",3
04:44,,89,,91 (+2),"GOOD JUMPER by DYKMAN,TRAVIS",UTTMEN 89-91 (-2),,"GOOD JUMPER by DYKMAN,TRAVIS",3
04:15,,,,,"FOUL  by STEPHENS,JOE",,,"FOUL  by STEPHENS,JOE",3
04:15,"GOOD FT by COLLINS,LUKE",90,,91 (+1),,RC 90-91 (-1),,"GOOD FT by COLLINS,LUKE",3
04:15,"MISS FT by COLLINS,LUKE",,,,,,,"MISS FT by COLLINS,LUKE",3
--,,,,,"REBOUND DEF by KEMP,BRYCE",,,"REBOUND DEF by KEMP,BRYCE",3
03:52,,,,,"MISS JUMPER by STEPHENS,JOE",,,"MISS JUMPER by STEPHENS,JOE",3
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",3
03:45,"MISS JUMPER by MILLER,DREW",,,,,,,"MISS JUMPER by MILLER,DREW",3
--,,,,,"REBOUND DEF by METCALF,DEMARCUS",,,"REBOUND DEF by METCALF,DEMARCUS",3
03:34,,,,,"MISS 3PTR by DYKMAN,TRAVIS",,,"MISS 3PTR by DYKMAN,TRAVIS",3
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",3
02:59,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",3
--,,,,,"REBOUND DEF by KEMP,BRYCE",,,"REBOUND DEF by KEMP,BRYCE",3
02:43,,,,,"TURNOVER  by METCALF,DEMARCUS",,,"TURNOVER  by METCALF,DEMARCUS",3
02:33,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",3
--,,,,,"REBOUND DEF by METCALF,DEMARCUS",,,"REBOUND DEF by METCALF,DEMARCUS",3
02:23,,,,,"MISS LAYUP by DYKMAN,TRAVIS",,,"MISS LAYUP by DYKMAN,TRAVIS",3
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",3
01:56,,,,,"FOUL  by KEMP,BRYCE",,,"FOUL  by KEMP,BRYCE",3
01:56,"GOOD FT by LIVSEY,GEOFF",91,,91,,RC 91-91 (0),,"GOOD FT by LIVSEY,GEOFF",3
01:56,"GOOD FT by LIVSEY,GEOFF",92 (+1),,91,,RC 92-91 (+1),,"GOOD FT by LIVSEY,GEOFF",3
01:56,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",3
01:56,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",3
01:45,,92,,93 (+1),"GOOD LAYUP by KEMP,BRYCE(in the paint)",UTTMEN 92-93 (-1),,"GOOD LAYUP by KEMP,BRYCE(in the paint)",3
01:33,,,,,"FOUL  by METCALF,DEMARCUS",,,"FOUL  by METCALF,DEMARCUS",3
01:33,"GOOD FT by DUNAVANT,JOHNNY",93,,93,,RC 93-93 (0),,"GOOD FT by DUNAVANT,JOHNNY",3
01:33,"MISS FT by DUNAVANT,JOHNNY",,,,,,,"MISS FT by DUNAVANT,JOHNNY",3
--,,,,,"REBOUND DEF by STEPHENS,JOE",,,"REBOUND DEF by STEPHENS,JOE",3
01:33,,,,,"SUB IN by RANDLE,BYRON",,,"SUB IN by RANDLE,BYRON",3
01:33,,,,,"SUB OUT by METCALF,DEMARCUS",,,"SUB OUT by METCALF,DEMARCUS",3
01:19,,93,,95 (+2),"GOOD JUMPER by DYKMAN,TRAVIS",UTTMEN 93-95 (-2),,"GOOD JUMPER by DYKMAN,TRAVIS",3
00:42,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",3
--,"REBOUND OFF by DUNAVANT,JOHNNY",,,,,,,"REBOUND OFF by DUNAVANT,JOHNNY",3
00:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
00:16,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",95,,95,,RC 95-95 (0),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",3
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",3
00:01,,95,,97 (+2),"GOOD JUMPER by HARBOUR,NATHAN",UTTMEN 95-97 (-2),,"GOOD JUMPER by HARBOUR,NATHAN",3
00:01,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",3
00:01,,95,,98 (+3),"GOOD FT by HARBOUR,NATHAN",UTTMEN 95-98 (-3),,"GOOD FT by HARBOUR,NATHAN",3
00:01,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",3
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,3
00:01,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",3
00:01,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",3
