Time Remaining,EUM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by DAVIS,JAKE",,,,,,,"REBOUND DEF by DAVIS,JAKE",2
16:33,"MISS LAYUP by FRIEDBERG,MICHAEL",,,,,,,"MISS LAYUP by FRIEDBERG,MICHAEL",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
16:22,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
16:18,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND DEF by DAVIS,JAKE",,,,,,,"REBOUND DEF by DAVIS,JAKE",2
16:11,"MISS LAYUP by FLORIN,MICHAEL",,,,,,,"MISS LAYUP by FLORIN,MICHAEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:07,"SUB IN by FOSTER,ALEX",,,,,,,"SUB IN by FOSTER,ALEX",2
16:07,"SUB OUT by OH,NASH",,,,,,,"SUB OUT by OH,NASH",2
16:07,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
16:07,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
16:06,"MISS JUMPER by DAVIS,JAKE",,,,,,,"MISS JUMPER by DAVIS,JAKE",2
--,"REBOUND OFF by FOSTER,ALEX",,,,,,,"REBOUND OFF by FOSTER,ALEX",2
16:03,"TURNOVER  by FOSTER,ALEX",,,,,,,"TURNOVER  by FOSTER,ALEX",2
16:02,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",2
15:54,,30 (+8),,22,"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB13 30-22 (-8),,"GOOD 3PTR by MCGRAIL,PATRICK",2
15:36,"MISS JUMPER by FOSTER,ALEX",,,,,,,"MISS JUMPER by FOSTER,ALEX",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
15:26,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by GREVEN,ALEX",,,,,,,"REBOUND DEF by GREVEN,ALEX",2
15:14,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
15:14,"GOOD FT by DAVIS,JAKE",31 (+9),,22,,EUM 31-22 (-9),,"GOOD FT by DAVIS,JAKE",2
15:14,"GOOD FT by DAVIS,JAKE",32 (+10),,22,,EUM 32-22 (-10),,"GOOD FT by DAVIS,JAKE",2
15:14,"SUB IN by SCHATTIE,JOSH",,,,,,,"SUB IN by SCHATTIE,JOSH",2
15:14,"SUB IN by TRAWICK,WILL",,,,,,,"SUB IN by TRAWICK,WILL",2
15:14,"SUB OUT by FRIEDBERG,MICHAEL",,,,,,,"SUB OUT by FRIEDBERG,MICHAEL",2
15:14,"SUB OUT by DAVIS,JAKE",,,,,,,"SUB OUT by DAVIS,JAKE",2
15:14,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
15:14,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
15:14,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
15:14,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
15:14,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
15:14,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
15:06,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",2
14:38,"GOOD LAYUP by FLORIN,MICHAEL(in the paint)",34 (+12),,22,,EUM 34-22 (-12),,"GOOD LAYUP by FLORIN,MICHAEL(in the paint)",2
14:07,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",2
--,"REBOUND DEF by TRAWICK,WILL",,,,,,,"REBOUND DEF by TRAWICK,WILL",2
13:57,"MISS 3PTR by TRAWICK,WILL",,,,,,,"MISS 3PTR by TRAWICK,WILL",2
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",2
13:34,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,"REBOUND DEF by SCHATTIE,JOSH",,,,,,,"REBOUND DEF by SCHATTIE,JOSH",2
13:26,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",2
13:26,"GOOD FT by GREVEN,ALEX",35 (+13),,22,,EUM 35-22 (-13),,"GOOD FT by GREVEN,ALEX",2
13:26,"MISS FT by GREVEN,ALEX",,,,,,,"MISS FT by GREVEN,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:26,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
13:26,"SUB IN by DAVIS,JAKE",,,,,,,"SUB IN by DAVIS,JAKE",2
13:26,"SUB IN by OH,NASH",,,,,,,"SUB IN by OH,NASH",2
13:26,"SUB IN by MOORE,MCPHERSON",,,,,,,"SUB IN by MOORE,MCPHERSON",2
13:26,"SUB IN by FRIEDBERG,MICHAEL",,,,,,,"SUB IN by FRIEDBERG,MICHAEL",2
13:26,"SUB IN by RAO,DAVIS",,,,,,,"SUB IN by RAO,DAVIS",2
13:26,"SUB OUT by GREVEN,ALEX",,,,,,,"SUB OUT by GREVEN,ALEX",2
13:26,"SUB OUT by FOSTER,ALEX",,,,,,,"SUB OUT by FOSTER,ALEX",2
13:26,"SUB OUT by TRAWICK,WILL",,,,,,,"SUB OUT by TRAWICK,WILL",2
13:26,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
13:26,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
13:26,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
13:26,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
13:11,,35 (+10),,25,"GOOD 3PTR by GALOW,ANDREW",RCMBB13 35-25 (-10),,"GOOD 3PTR by GALOW,ANDREW",2
--,,,,,"ASSIST  by CHIEN,KEVIN",,,"ASSIST  by CHIEN,KEVIN",2
13:06,"MISS 3PTR by MOORE,MCPHERSON",,,,,,,"MISS 3PTR by MOORE,MCPHERSON",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
12:53,"GOOD 3PTR by GREVEN,ALEX",38 (+13),,25,,EUM 38-25 (-13),,"GOOD 3PTR by GREVEN,ALEX",2
12:38,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by MOORE,MCPHERSON",,,,,,,"REBOUND DEF by MOORE,MCPHERSON",2
12:29,"MISS 3PTR by GREVEN,ALEX",,,,,,,"MISS 3PTR by GREVEN,ALEX",2
--,"REBOUND OFF by DAVIS,JAKE",,,,,,,"REBOUND OFF by DAVIS,JAKE",2
12:16,"GOOD LAYUP by GREVEN,ALEX(in the paint)",40 (+15),,25,,EUM 40-25 (-15),,"GOOD LAYUP by GREVEN,ALEX(in the paint)",2
12:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:50,"SUB IN by GREVEN,ALEX",,,,,,,"SUB IN by GREVEN,ALEX",2
11:50,"SUB OUT by OH,NASH",,,,,,,"SUB OUT by OH,NASH",2
11:50,"SUB OUT by SCHATTIE,JOSH",,,,,,,"SUB OUT by SCHATTIE,JOSH",2
11:50,"SUB OUT by RAO,DAVIS",,,,,,,"SUB OUT by RAO,DAVIS",2
11:33,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
11:33,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
11:19,,40 (+12),,28,"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 40-28 (-12),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",2
10:58,"GOOD 3PTR by FLORIN,MICHAEL",43 (+15),,28,,EUM 43-28 (-15),,"GOOD 3PTR by FLORIN,MICHAEL",2
--,"ASSIST  by DAVIS,JAKE",,,,,,,"ASSIST  by DAVIS,JAKE",2
10:44,"FOUL  by MOORE,MCPHERSON",,,,,,,"FOUL  by MOORE,MCPHERSON",2
10:44,"SUB IN by FOSTER,ALEX",,,,,,,"SUB IN by FOSTER,ALEX",2
10:44,"SUB OUT by MOORE,MCPHERSON",,,,,,,"SUB OUT by MOORE,MCPHERSON",2
10:15,,43 (+13),,30,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 43-30 (-13),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",2
09:43,"TURNOVER  by FLORIN,MICHAEL",,,,,,,"TURNOVER  by FLORIN,MICHAEL",2
09:42,,,,,"STEAL  by CHIEN,KEVIN",,,"STEAL  by CHIEN,KEVIN",2
09:39,"FOUL  by GREVEN,ALEX",,,,,,,"FOUL  by GREVEN,ALEX",2
09:39,,,,,"MISS FT by CHIEN,KEVIN",,,"MISS FT by CHIEN,KEVIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:39,"SUB IN by MOORE,MCPHERSON",,,,,,,"SUB IN by MOORE,MCPHERSON",2
09:39,"SUB OUT by FLORIN,MICHAEL",,,,,,,"SUB OUT by FLORIN,MICHAEL",2
09:39,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
09:39,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
09:38,,,,,"MISS FT by CHIEN,KEVIN",,,"MISS FT by CHIEN,KEVIN",2
--,"REBOUND DEF by DAVIS,JAKE",,,,,,,"REBOUND DEF by DAVIS,JAKE",2
09:23,"MISS JUMPER by GREVEN,ALEX",,,,,,,"MISS JUMPER by GREVEN,ALEX",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
09:14,,43 (+11),,32,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 43-32 (-11),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
09:06,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
09:06,"GOOD FT by FRIEDBERG,MICHAEL",44 (+12),,32,,EUM 44-32 (-12),,"GOOD FT by FRIEDBERG,MICHAEL",2
09:06,"GOOD FT by FRIEDBERG,MICHAEL",45 (+13),,32,,EUM 45-32 (-13),,"GOOD FT by FRIEDBERG,MICHAEL",2
09:06,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
09:06,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
08:40,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,"REBOUND DEF by DAVIS,JAKE",,,,,,,"REBOUND DEF by DAVIS,JAKE",2
08:28,"GOOD 3PTR by FOSTER,ALEX",48 (+16),,32,,EUM 48-32 (-16),,"GOOD 3PTR by FOSTER,ALEX",2
--,"ASSIST  by MOORE,MCPHERSON",,,,,,,"ASSIST  by MOORE,MCPHERSON",2
08:04,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by DAVIS,JAKE",,,,,,,"REBOUND DEF by DAVIS,JAKE",2
07:52,"GOOD JUMPER by MOORE,MCPHERSON",50 (+18),,32,,EUM 50-32 (-18),,"GOOD JUMPER by MOORE,MCPHERSON",2
--,"ASSIST  by GREVEN,ALEX",,,,,,,"ASSIST  by GREVEN,ALEX",2
07:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:43,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
07:43,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
07:33,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",2
--,"REBOUND DEF by MOORE,MCPHERSON",,,,,,,"REBOUND DEF by MOORE,MCPHERSON",2
07:02,"GOOD 3PTR by GREVEN,ALEX",53 (+21),,32,,EUM 53-32 (-21),,"GOOD 3PTR by GREVEN,ALEX",2
--,"ASSIST  by MOORE,MCPHERSON",,,,,,,"ASSIST  by MOORE,MCPHERSON",2
06:49,,53 (+19),,34,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 53-34 (-19),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
06:42,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",2
06:42,"GOOD FT by SCHATTIE,JOSH",54 (+20),,34,,EUM 54-34 (-20),,"GOOD FT by SCHATTIE,JOSH",2
06:42,"GOOD FT by SCHATTIE,JOSH",55 (+21),,34,,EUM 55-34 (-21),,"GOOD FT by SCHATTIE,JOSH",2
06:42,"SUB IN by FLORIN,MICHAEL",,,,,,,"SUB IN by FLORIN,MICHAEL",2
06:42,"SUB IN by SCHATTIE,JOSH",,,,,,,"SUB IN by SCHATTIE,JOSH",2
06:42,"SUB OUT by DAVIS,JAKE",,,,,,,"SUB OUT by DAVIS,JAKE",2
06:42,"SUB OUT by FOSTER,ALEX",,,,,,,"SUB OUT by FOSTER,ALEX",2
06:42,"SUB OUT by FRIEDBERG,MICHAEL",,,,,,,"SUB OUT by FRIEDBERG,MICHAEL",2
06:42,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
06:42,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
06:28,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,"REBOUND DEF by DAVIS,JAKE",,,,,,,"REBOUND DEF by DAVIS,JAKE",2
06:03,"GOOD 3PTR by GREVEN,ALEX",58 (+24),,34,,EUM 58-34 (-24),,"GOOD 3PTR by GREVEN,ALEX",2
05:39,,58 (+22),,36,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 58-36 (-22),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",2
05:16,"MISS JUMPER by DAVIS,JAKE",,,,,,,"MISS JUMPER by DAVIS,JAKE",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
04:53,,58 (+20),,38,"GOOD LAYUP by SLEDGE,TATE(in the paint)",RCMBB13 58-38 (-20),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",2
04:40,"TURNOVER  by GREVEN,ALEX",,,,,,,"TURNOVER  by GREVEN,ALEX",2
04:40,"SUB IN by FRIEDBERG,MICHAEL",,,,,,,"SUB IN by FRIEDBERG,MICHAEL",2
04:40,"SUB IN by FOSTER,ALEX",,,,,,,"SUB IN by FOSTER,ALEX",2
04:40,"SUB OUT by GREVEN,ALEX",,,,,,,"SUB OUT by GREVEN,ALEX",2
04:40,"SUB OUT by SCHATTIE,JOSH",,,,,,,"SUB OUT by SCHATTIE,JOSH",2
04:14,,,,,"TURNOVER  by MCGRAIL,PATRICK",,,"TURNOVER  by MCGRAIL,PATRICK",2
04:14,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
04:14,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
04:02,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
04:02,"GOOD FT by MOORE,MCPHERSON",59 (+21),,38,,EUM 59-38 (-21),,"GOOD FT by MOORE,MCPHERSON",2
04:02,"GOOD FT by MOORE,MCPHERSON",60 (+22),,38,,EUM 60-38 (-22),,"GOOD FT by MOORE,MCPHERSON",2
04:02,"SUB IN by RAO,DAVIS",,,,,,,"SUB IN by RAO,DAVIS",2
04:02,"SUB OUT by MOORE,MCPHERSON",,,,,,,"SUB OUT by MOORE,MCPHERSON",2
03:42,,60 (+20),,40,"GOOD LAYUP by SLEDGE,TATE(in the paint)",RCMBB13 60-40 (-20),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
03:34,"GOOD LAYUP by DAVIS,JAKE(in the paint)",62 (+22),,40,,EUM 62-40 (-22),,"GOOD LAYUP by DAVIS,JAKE(in the paint)",2
03:21,,,,,"MISS LAYUP by DUNAVANT,JOHN",,,"MISS LAYUP by DUNAVANT,JOHN",2
--,,,,,"REBOUND OFF by DUNAVANT,JOHN",,,"REBOUND OFF by DUNAVANT,JOHN",2
03:16,,62 (+20),,42,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB13 62-42 (-20),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",2
03:13,"FOUL  by FOSTER,ALEX",,,,,,,"FOUL  by FOSTER,ALEX",2
03:13,,,,,"MISS FT by DUNAVANT,JOHN",,,"MISS FT by DUNAVANT,JOHN",2
--,"REBOUND DEF by TRAWICK,WILL",,,,,,,"REBOUND DEF by TRAWICK,WILL",2
03:13,"SUB IN by TRAWICK,WILL",,,,,,,"SUB IN by TRAWICK,WILL",2
03:13,"SUB IN by OH,NASH",,,,,,,"SUB IN by OH,NASH",2
03:13,"SUB OUT by FOSTER,ALEX",,,,,,,"SUB OUT by FOSTER,ALEX",2
02:40,"TURNOVER  by FLORIN,MICHAEL",,,,,,,"TURNOVER  by FLORIN,MICHAEL",2
02:40,,,,,"STEAL  by SLEDGE,TATE",,,"STEAL  by SLEDGE,TATE",2
02:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:26,,62 (+18),,44,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 62-44 (-18),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
02:17,"GOOD 3PTR by TRAWICK,WILL",65 (+21),,44,,EUM 65-44 (-21),,"GOOD 3PTR by TRAWICK,WILL",2
01:53,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
01:53,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
01:53,"SUB OUT by FLORIN,MICHAEL",,,,,,,"SUB OUT by FLORIN,MICHAEL",2
01:53,"SUB OUT by FRIEDBERG,MICHAEL",,,,,,,"SUB OUT by FRIEDBERG,MICHAEL",2
01:53,"SUB OUT by OH,NASH",,,,,,,"SUB OUT by OH,NASH",2
01:42,"GOOD LAYUP by RAO,DAVIS(in the paint)",67 (+23),,44,,EUM 67-44 (-23),,"GOOD LAYUP by RAO,DAVIS(in the paint)",2
01:33,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",2
01:30,"STEAL  by SIMMONS,STEPHEN",,,,,,,"STEAL  by SIMMONS,STEPHEN",2
01:27,"GOOD 3PTR by RAO,DAVIS",70 (+26),,44,,EUM 70-44 (-26),,"GOOD 3PTR by RAO,DAVIS",2
01:12,"SUB IN by SIMMONS,STEPHEN",,,,,,,"SUB IN by SIMMONS,STEPHEN",2
01:12,"SUB IN by DAVIS,MAX",,,,,,,"SUB IN by DAVIS,MAX",2
01:12,"SUB IN by MOORE,MCPHERSON",,,,,,,"SUB IN by MOORE,MCPHERSON",2
01:12,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
01:12,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
01:12,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
01:12,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
01:12,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
01:12,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
01:11,"FOUL  by RAO,DAVIS",,,,,,,"FOUL  by RAO,DAVIS",2
01:11,,70 (+25),,45,"GOOD FT by SLEDGE,TATE",RCMBB13 70-45 (-25),,"GOOD FT by SLEDGE,TATE",2
01:11,,70 (+24),,46,"GOOD FT by SLEDGE,TATE",RCMBB13 70-46 (-24),,"GOOD FT by SLEDGE,TATE",2
01:11,"FOUL  by RAO,DAVIS",,,,,,,"FOUL  by RAO,DAVIS",2
00:50,,70 (+22),,48,"GOOD JUMPER by SLEDGE,TATE",RCMBB13 70-48 (-22),,"GOOD JUMPER by SLEDGE,TATE",2
--,,,,,"ASSIST  by WAGNER,MATT",,,"ASSIST  by WAGNER,MATT",2
00:09,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
