Time Remaining,MILLSMBB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
05:44,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
05:44,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
05:44,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
05:30,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
05:19,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
05:07,"GOOD 3PTR by GRIFFON,JACKSON",26 (+6),,20,,MILLSMBB 26-20 (-6),,"GOOD 3PTR by GRIFFON,JACKSON",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
04:43,"FOUL  by GRIFFON,JACKSON",,,,,,,"FOUL  by GRIFFON,JACKSON",1
04:43,,26 (+5),,21,"GOOD FT by LIVSEY,GEOFF",RCMBB13 26-21 (-5),,"GOOD FT by LIVSEY,GEOFF",1
04:43,,26 (+4),,22,"GOOD FT by LIVSEY,GEOFF",RCMBB13 26-22 (-4),,"GOOD FT by LIVSEY,GEOFF",1
04:43,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
04:43,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
04:29,"GOOD 3PTR by WILSON,KEVIN",29 (+7),,22,,MILLSMBB 29-22 (-7),,"GOOD 3PTR by WILSON,KEVIN",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
04:01,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
03:59,,29 (+5),,24,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 29-24 (-5),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
03:41,"GOOD 3PTR by GRIFFON,JACKSON",32 (+8),,24,,MILLSMBB 32-24 (-8),,"GOOD 3PTR by GRIFFON,JACKSON",1
--,"ASSIST  by WILSON,KEVIN",,,,,,,"ASSIST  by WILSON,KEVIN",1
03:16,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",1
--,,,,,"REBOUND OFF by SLEDGE,TATE",,,"REBOUND OFF by SLEDGE,TATE",1
03:14,"FOUL  by GRIFFON,JACKSON",,,,,,,"FOUL  by GRIFFON,JACKSON",1
03:14,,32 (+7),,25,"GOOD FT by SLEDGE,TATE",RCMBB13 32-25 (-7),,"GOOD FT by SLEDGE,TATE",1
03:14,,32 (+6),,26,"GOOD FT by SLEDGE,TATE",RCMBB13 32-26 (-6),,"GOOD FT by SLEDGE,TATE",1
03:14,"SUB IN by ALLISON,BRANDON",,,,,,,"SUB IN by ALLISON,BRANDON",1
03:14,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
03:14,"SUB OUT by GRIFFON,JACKSON",,,,,,,"SUB OUT by GRIFFON,JACKSON",1
03:14,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
03:14,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
03:14,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
02:50,,32 (+4),,28,"GOOD JUMPER by HARTWELL,THEO(in the paint)",RCMBB13 32-28 (-4),,"GOOD JUMPER by HARTWELL,THEO(in the paint)",1
