Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,WCMBB,Game Score,Team Indicator,Play,Period
14:47,,46,,47 (+1),"GOOD 3PTR by TOLSON,SKYLAR",WCMBB 46-47 (-1),,"GOOD 3PTR by TOLSON,SKYLAR",2
--,,,,,"ASSIST  by JONES,JORDAN",,,"ASSIST  by JONES,JORDAN",2
14:23,"GOOD JUMPER by HOECK,RYAN VAN",48 (+1),,47,,RCMBB13 48-47 (+1),,"GOOD JUMPER by HOECK,RYAN VAN",2
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",2
14:14,,48,,49 (+1),"GOOD JUMPER by LEE,VERDIS",WCMBB 48-49 (-1),,"GOOD JUMPER by LEE,VERDIS",2
--,,,,,"ASSIST  by JONES,JORDAN",,,"ASSIST  by JONES,JORDAN",2
13:44,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",2
13:43,,,,,"STEAL  by STOLTE,TODD",,,"STEAL  by STOLTE,TODD",2
13:41,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
13:41,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",2
13:41,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
13:41,,,,,"SUB IN by VALANDRA,MOOKIE",,,"SUB IN by VALANDRA,MOOKIE",2
13:41,,,,,"SUB IN by BURROUGHS,ROBBIE",,,"SUB IN by BURROUGHS,ROBBIE",2
13:41,,,,,"SUB OUT by PROPHET,JOE",,,"SUB OUT by PROPHET,JOE",2
13:41,,,,,"SUB OUT by TOLSON,SKYLAR",,,"SUB OUT by TOLSON,SKYLAR",2
13:25,,,,,"MISS 3PTR by JONES,JORDAN",,,"MISS 3PTR by JONES,JORDAN",2
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",2
13:11,"TURNOVER  by GALLAGHER,MICHAEL",,,,,,,"TURNOVER  by GALLAGHER,MICHAEL",2
13:06,,,,,"MISS 3PTR by LEE,VERDIS",,,"MISS 3PTR by LEE,VERDIS",2
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",2
12:59,"MISS JUMPER by GALLAGHER,MICHAEL",,,,,,,"MISS JUMPER by GALLAGHER,MICHAEL",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
12:58,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
12:58,,,,,"BLOCK  by LEE,VERDIS",,,"BLOCK  by LEE,VERDIS",2
--,,,,,"REBOUND DEF by BURROUGHS,ROBBIE",,,"REBOUND DEF by BURROUGHS,ROBBIE",2
12:21,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",2
12:21,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",2
12:21,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
12:21,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
12:21,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",2
12:21,,,,,"SUB IN by JAMES,JOE",,,"SUB IN by JAMES,JOE",2
12:21,,,,,"SUB OUT by LEE,VERDIS",,,"SUB OUT by LEE,VERDIS",2
12:13,,,,,"MISS JUMPER by VALANDRA,MOOKIE",,,"MISS JUMPER by VALANDRA,MOOKIE",2
--,,,,,"REBOUND OFF by VALANDRA,MOOKIE",,,"REBOUND OFF by VALANDRA,MOOKIE",2
12:10,,48,,51 (+3),"GOOD JUMPER by VALANDRA,MOOKIE",WCMBB 48-51 (-3),,"GOOD JUMPER by VALANDRA,MOOKIE",2
11:36,"GOOD 3PTR by LIVSEY,GEOFF",51,,51,,RCMBB13 51-51 (0),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",2
11:21,,,,,"MISS JUMPER by VALANDRA,MOOKIE",,,"MISS JUMPER by VALANDRA,MOOKIE",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
11:10,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"REBOUND DEF by VALANDRA,MOOKIE",,,"REBOUND DEF by VALANDRA,MOOKIE",2
10:57,,51,,53 (+2),"GOOD JUMPER by STOLTE,TODD",WCMBB 51-53 (-2),,"GOOD JUMPER by STOLTE,TODD",2
10:44,"MISS JUMPER by GALLAGHER,MICHAEL",,,,,,,"MISS JUMPER by GALLAGHER,MICHAEL",2
--,,,,,"REBOUND DEF by BURROUGHS,ROBBIE",,,"REBOUND DEF by BURROUGHS,ROBBIE",2
10:41,,,,,"TURNOVER  by JONES,JORDAN",,,"TURNOVER  by JONES,JORDAN",2
10:41,,,,,"SUB IN by ALLEN,TAYLOR",,,"SUB IN by ALLEN,TAYLOR",2
10:41,,,,,"SUB OUT by STOLTE,TODD",,,"SUB OUT by STOLTE,TODD",2
10:17,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by BURROUGHS,ROBBIE",,,"REBOUND DEF by BURROUGHS,ROBBIE",2
10:00,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",2
10:00,,51,,54 (+3),"GOOD FT by BURROUGHS,ROBBIE",WCMBB 51-54 (-3),,"GOOD FT by BURROUGHS,ROBBIE",2
10:00,,51,,55 (+4),"GOOD FT by BURROUGHS,ROBBIE",WCMBB 51-55 (-4),,"GOOD FT by BURROUGHS,ROBBIE",2
10:00,"SUB IN by GALOW,ANDREW",,,,,,,"SUB IN by GALOW,ANDREW",2
10:00,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
10:00,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
10:00,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
10:00,,,,,"SUB IN by LEE,VERDIS",,,"SUB IN by LEE,VERDIS",2
10:00,,,,,"SUB OUT by ALLEN,TAYLOR",,,"SUB OUT by ALLEN,TAYLOR",2
09:31,"TURNOVER  by GALLAGHER,MICHAEL",,,,,,,"TURNOVER  by GALLAGHER,MICHAEL",2
09:29,,,,,"STEAL  by JONES,JORDAN",,,"STEAL  by JONES,JORDAN",2
09:27,,,,,"MISS 3PTR by BURROUGHS,ROBBIE",,,"MISS 3PTR by BURROUGHS,ROBBIE",2
--,,,,,"REBOUND OFF by LEE,VERDIS",,,"REBOUND OFF by LEE,VERDIS",2
08:59,,51,,58 (+7),"GOOD 3PTR by JONES,JORDAN",WCMBB 51-58 (-7),,"GOOD 3PTR by JONES,JORDAN",2
--,,,,,"ASSIST  by VALANDRA,MOOKIE",,,"ASSIST  by VALANDRA,MOOKIE",2
08:54,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:54,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
08:54,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
08:54,,,,,"SUB IN by TOLSON,SKYLAR",,,"SUB IN by TOLSON,SKYLAR",2
08:54,,,,,"SUB OUT by JONES,JORDAN",,,"SUB OUT by JONES,JORDAN",2
08:42,"GOOD JUMPER by DUNAVANT,JOHN",53,,58 (+5),,RCMBB13 53-58 (-5),,"GOOD JUMPER by DUNAVANT,JOHN",2
08:09,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
08:09,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
08:09,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
07:50,,53,,61 (+8),"GOOD 3PTR by JAMES,JOE",WCMBB 53-61 (-8),,"GOOD 3PTR by JAMES,JOE",2
--,,,,,"ASSIST  by BURROUGHS,ROBBIE",,,"ASSIST  by BURROUGHS,ROBBIE",2
07:30,"GOOD JUMPER by HARTWELL,THEO",55,,61 (+6),,RCMBB13 55-61 (-6),,"GOOD JUMPER by HARTWELL,THEO",2
--,"ASSIST  by GALLAGHER,MICHAEL",,,,,,,"ASSIST  by GALLAGHER,MICHAEL",2
07:23,,55,,63 (+8),"GOOD JUMPER by LEE,VERDIS",WCMBB 55-63 (-8),,"GOOD JUMPER by LEE,VERDIS",2
07:17,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",2
07:16,,,,,"STEAL  by BURROUGHS,ROBBIE",,,"STEAL  by BURROUGHS,ROBBIE",2
07:15,"FOUL  by DUNAVANT,JOHN",,,,,,,"FOUL  by DUNAVANT,JOHN",2
07:15,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
07:15,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",2
07:15,,,,,"SUB IN by PROPHET,JOE",,,"SUB IN by PROPHET,JOE",2
07:15,,,,,"SUB OUT by BURROUGHS,ROBBIE",,,"SUB OUT by BURROUGHS,ROBBIE",2
06:42,,55,,65 (+10),"GOOD JUMPER by PROPHET,JOE",WCMBB 55-65 (-10),,"GOOD JUMPER by PROPHET,JOE",2
06:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:25,"GOOD 3PTR by GALOW,ANDREW",58,,65 (+7),,RCMBB13 58-65 (-7),,"GOOD 3PTR by GALOW,ANDREW",2
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",2
06:00,,,,,"MISS 3PTR by VALANDRA,MOOKIE",,,"MISS 3PTR by VALANDRA,MOOKIE",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
05:40,,,,,"FOUL  by VALANDRA,MOOKIE",,,"FOUL  by VALANDRA,MOOKIE",2
05:40,"GOOD FT by HARTWELL,THEO",59,,65 (+6),,RCMBB13 59-65 (-6),,"GOOD FT by HARTWELL,THEO",2
05:40,"MISS FT by HARTWELL,THEO",,,,,,,"MISS FT by HARTWELL,THEO",2
--,,,,,"REBOUND DEF by VALANDRA,MOOKIE",,,"REBOUND DEF by VALANDRA,MOOKIE",2
05:23,,59,,67 (+8),"GOOD JUMPER by JAMES,JOE",WCMBB 59-67 (-8),,"GOOD JUMPER by JAMES,JOE",2
05:17,"GOOD 3PTR by GALOW,ANDREW",62,,67 (+5),,RCMBB13 62-67 (-5),,"GOOD 3PTR by GALOW,ANDREW",2
05:00,,,,,"MISS JUMPER by PROPHET,JOE",,,"MISS JUMPER by PROPHET,JOE",2
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",2
04:40,,,,,"FOUL  by VALANDRA,MOOKIE",,,"FOUL  by VALANDRA,MOOKIE",2
04:40,"MISS FT by HARTWELL,THEO",,,,,,,"MISS FT by HARTWELL,THEO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:40,"MISS FT by HARTWELL,THEO",,,,,,,"MISS FT by HARTWELL,THEO",2
--,,,,,"REBOUND DEF by STOLTE,TODD",,,"REBOUND DEF by STOLTE,TODD",2
04:40,,,,,"SUB IN by BURROUGHS,ROBBIE",,,"SUB IN by BURROUGHS,ROBBIE",2
04:40,,,,,"SUB IN by JONES,JORDAN",,,"SUB IN by JONES,JORDAN",2
04:40,,,,,"SUB IN by STOLTE,TODD",,,"SUB IN by STOLTE,TODD",2
04:40,,,,,"SUB OUT by TOLSON,SKYLAR",,,"SUB OUT by TOLSON,SKYLAR",2
04:40,,,,,"SUB OUT by VALANDRA,MOOKIE",,,"SUB OUT by VALANDRA,MOOKIE",2
04:40,,,,,"SUB OUT by LEE,VERDIS",,,"SUB OUT by LEE,VERDIS",2
04:26,,,,,"TURNOVER  by JAMES,JOE",,,"TURNOVER  by JAMES,JOE",2
04:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:01,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",2
03:55,,,,,"MISS JUMPER by BURROUGHS,ROBBIE",,,"MISS JUMPER by BURROUGHS,ROBBIE",2
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",2
03:37,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,"REBOUND DEF by PROPHET,JOE",,,"REBOUND DEF by PROPHET,JOE",2
03:29,,,,,"TURNOVER  by PROPHET,JOE",,,"TURNOVER  by PROPHET,JOE",2
03:05,"GOOD JUMPER by LIVSEY,GEOFF",64,,67 (+3),,RCMBB13 64-67 (-3),,"GOOD JUMPER by LIVSEY,GEOFF",2
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",2
03:03,"FOUL TECH by LIVSEY,GEOFF",,,,,,,"FOUL TECH by LIVSEY,GEOFF",2
03:03,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
03:03,,64,,68 (+4),"GOOD FT by JAMES,JOE",WCMBB 64-68 (-4),,"GOOD FT by JAMES,JOE",2
03:03,,64,,69 (+5),"GOOD FT by JAMES,JOE",WCMBB 64-69 (-5),,"GOOD FT by JAMES,JOE",2
02:33,,,,,"TURNOVER  by PROPHET,JOE",,,"TURNOVER  by PROPHET,JOE",2
02:33,,,,,"SUB IN by LEE,VERDIS",,,"SUB IN by LEE,VERDIS",2
02:33,,,,,"SUB IN by VALANDRA,MOOKIE",,,"SUB IN by VALANDRA,MOOKIE",2
02:33,,,,,"SUB IN by TOLSON,SKYLAR",,,"SUB IN by TOLSON,SKYLAR",2
02:33,,,,,"SUB OUT by BURROUGHS,ROBBIE",,,"SUB OUT by BURROUGHS,ROBBIE",2
02:33,,,,,"SUB OUT by JONES,JORDAN",,,"SUB OUT by JONES,JORDAN",2
02:33,,,,,"SUB OUT by STOLTE,TODD",,,"SUB OUT by STOLTE,TODD",2
02:23,"GOOD JUMPER by HARTWELL,THEO",66,,69 (+3),,RCMBB13 66-69 (-3),,"GOOD JUMPER by HARTWELL,THEO",2
01:51,,,,,"MISS JUMPER by LEE,VERDIS",,,"MISS JUMPER by LEE,VERDIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:47,,,,,"FOUL  by VALANDRA,MOOKIE",,,"FOUL  by VALANDRA,MOOKIE",2
01:47,,,,,"SUB IN by STOLTE,TODD",,,"SUB IN by STOLTE,TODD",2
01:47,,,,,"SUB IN by JONES,JORDAN",,,"SUB IN by JONES,JORDAN",2
01:47,,,,,"SUB OUT by TOLSON,SKYLAR",,,"SUB OUT by TOLSON,SKYLAR",2
01:47,,,,,"SUB OUT by PROPHET,JOE",,,"SUB OUT by PROPHET,JOE",2
01:23,,,,,"FOUL  by VALANDRA,MOOKIE",,,"FOUL  by VALANDRA,MOOKIE",2
01:23,,,,,"SUB IN by PROPHET,JOE",,,"SUB IN by PROPHET,JOE",2
01:23,,,,,"SUB OUT by VALANDRA,MOOKIE",,,"SUB OUT by VALANDRA,MOOKIE",2
01:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:18,"MISS JUMPER by HARTWELL,THEO",,,,,,,"MISS JUMPER by HARTWELL,THEO",2
--,,,,,"REBOUND DEF by JONES,JORDAN",,,"REBOUND DEF by JONES,JORDAN",2
01:14,,66,,71 (+5),"GOOD JUMPER by PROPHET,JOE",WCMBB 66-71 (-5),,"GOOD JUMPER by PROPHET,JOE",2
01:01,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
00:55,"GOOD JUMPER by LIVSEY,GEOFF",68,,71 (+3),,RCMBB13 68-71 (-3),,"GOOD JUMPER by LIVSEY,GEOFF",2
00:55,,,,,"FOUL  by JAMES,JOE",,,"FOUL  by JAMES,JOE",2
00:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:55,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by PROPHET,JOE",,,"REBOUND DEF by PROPHET,JOE",2
00:55,,,,,"SUB IN by TOLSON,SKYLAR",,,"SUB IN by TOLSON,SKYLAR",2
00:55,,,,,"SUB OUT by STOLTE,TODD",,,"SUB OUT by STOLTE,TODD",2
00:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:30,,,,,"MISS JUMPER by JAMES,JOE",,,"MISS JUMPER by JAMES,JOE",2
--,,,,,"REBOUND OFF by LEE,VERDIS",,,"REBOUND OFF by LEE,VERDIS",2
00:21,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",2
00:21,,68,,72 (+4),"GOOD FT by LEE,VERDIS",WCMBB 68-72 (-4),,"GOOD FT by LEE,VERDIS",2
00:21,,68,,73 (+5),"GOOD FT by LEE,VERDIS",WCMBB 68-73 (-5),,"GOOD FT by LEE,VERDIS",2
00:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:21,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
00:21,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
00:21,,,,,"SUB IN by BURROUGHS,ROBBIE",,,"SUB IN by BURROUGHS,ROBBIE",2
00:21,,,,,"SUB OUT by PROPHET,JOE",,,"SUB OUT by PROPHET,JOE",2
00:17,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by LEE,VERDIS",,,"REBOUND DEF by LEE,VERDIS",2
00:13,"FOUL  by GALLAGHER,MICHAEL",,,,,,,"FOUL  by GALLAGHER,MICHAEL",2
00:13,,68,,74 (+6),"GOOD FT by LEE,VERDIS",WCMBB 68-74 (-6),,"GOOD FT by LEE,VERDIS",2
00:13,,68,,75 (+7),"GOOD FT by LEE,VERDIS",WCMBB 68-75 (-7),,"GOOD FT by LEE,VERDIS",2
00:11,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
00:06,"GOOD 3PTR by DUNAVANT,JOHN",71,,75 (+4),,RCMBB13 71-75 (-4),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",2
