Time Remaining,BCMB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
07:26,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
07:26,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
07:26,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
07:26,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
07:12,,14,,28 (+14),"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",RCMBB13 14-28 (+14),,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
06:58,"GOOD JUMPER by CHANDLER,MATT(in the paint)",16,,28 (+12),,BCMB 16-28 (+12),,"GOOD JUMPER by CHANDLER,MATT(in the paint)",1
--,"ASSIST  by LOWRY,JON",,,,,,,"ASSIST  by LOWRY,JON",1
06:38,"FOUL  by CHANDLER,MATT",,,,,,,"FOUL  by CHANDLER,MATT",1
06:38,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:38,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",1
--,"REBOUND DEF by LOWRY,JON",,,,,,,"REBOUND DEF by LOWRY,JON",1
06:22,"MISS JUMPER by CHANDLER,MATT",,,,,,,"MISS JUMPER by CHANDLER,MATT",1
--,"REBOUND OFF by LOWRY,JON",,,,,,,"REBOUND OFF by LOWRY,JON",1
06:20,"MISS JUMPER by LOWRY,JON",,,,,,,"MISS JUMPER by LOWRY,JON",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
06:10,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",1
--,"REBOUND DEF by ADAMS,BRANDON",,,,,,,"REBOUND DEF by ADAMS,BRANDON",1
05:55,"MISS 3PTR by KING,JEREMY",,,,,,,"MISS 3PTR by KING,JEREMY",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
05:38,"SUB IN by GRIFFEL,JON",,,,,,,"SUB IN by GRIFFEL,JON",1
05:38,"SUB IN by MOORE,TYLER",,,,,,,"SUB IN by MOORE,TYLER",1
05:38,"SUB OUT by ADAMS,BRANDON",,,,,,,"SUB OUT by ADAMS,BRANDON",1
05:38,"SUB OUT by CHANDLER,MATT",,,,,,,"SUB OUT by CHANDLER,MATT",1
05:38,"SUB OUT by KING,JEREMY",,,,,,,"SUB OUT by KING,JEREMY",1
05:31,,16,,31 (+15),"GOOD 3PTR by GALOW,ANDREW",RCMBB13 16-31 (+15),,"GOOD 3PTR by GALOW,ANDREW",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
05:06,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
05:06,"GOOD FT by LOWRY,JON",17,,31 (+14),,BCMB 17-31 (+14),,"GOOD FT by LOWRY,JON",1
05:06,"GOOD LAYUP by LOWRY,JON(in the paint)",19,,31 (+12),,BCMB 19-31 (+12),,"GOOD LAYUP by LOWRY,JON(in the paint)",1
04:33,"GOOD 3PTR by LOWRY,JON",22,,31 (+9),,BCMB 22-31 (+9),,"GOOD 3PTR by LOWRY,JON",1
--,"ASSIST  by CAMPBELL,JAY",,,,,,,"ASSIST  by CAMPBELL,JAY",1
04:29,,22,,34 (+12),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB13 22-34 (+12),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
04:17,"MISS JUMPER by LOWRY,JON",,,,,,,"MISS JUMPER by LOWRY,JON",1
--,"REBOUND OFF by LOWRY,JON",,,,,,,"REBOUND OFF by LOWRY,JON",1
04:13,"TURNOVER  by LOWRY,JON",,,,,,,"TURNOVER  by LOWRY,JON",1
04:12,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
04:00,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
04:00,"STEAL  by GOWIN,JAMES",,,,,,,"STEAL  by GOWIN,JAMES",1
04:00,"SUB IN by GOWIN,JAMES",,,,,,,"SUB IN by GOWIN,JAMES",1
03:22,"MISS LAYUP by GOWIN,JAMES",,,,,,,"MISS LAYUP by GOWIN,JAMES",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
03:15,"FOUL  by LOWRY,JON",,,,,,,"FOUL  by LOWRY,JON",1
03:15,,22,,35 (+13),"GOOD FT by LIVSEY,GEOFF",RCMBB13 22-35 (+13),,"GOOD FT by LIVSEY,GEOFF",1
03:15,,22,,36 (+14),"GOOD FT by LIVSEY,GEOFF",RCMBB13 22-36 (+14),,"GOOD FT by LIVSEY,GEOFF",1
03:15,"SUB IN by KING,JEREMY",,,,,,,"SUB IN by KING,JEREMY",1
03:15,"SUB OUT by MOORE,TYLER",,,,,,,"SUB OUT by MOORE,TYLER",1
03:15,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
03:15,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
03:15,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
03:15,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
03:15,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
03:15,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
02:56,"MISS LAYUP by GOWIN,JAMES",,,,,,,"MISS LAYUP by GOWIN,JAMES",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
02:52,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
02:52,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
02:52,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
02:52,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
02:52,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
02:40,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",1
02:35,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
02:34,"STEAL  by GOWIN,JAMES",,,,,,,"STEAL  by GOWIN,JAMES",1
02:22,"MISS JUMPER by GRIFFEL,JON",,,,,,,"MISS JUMPER by GRIFFEL,JON",1
--,"REBOUND OFF by GOWIN,COLIN",,,,,,,"REBOUND OFF by GOWIN,COLIN",1
02:06,"FOUL  by GOWIN,JAMES",,,,,,,"FOUL  by GOWIN,JAMES",1
02:06,"TURNOVER  by GOWIN,JAMES",,,,,,,"TURNOVER  by GOWIN,JAMES",1
02:06,"SUB IN by CHANDLER,MATT",,,,,,,"SUB IN by CHANDLER,MATT",1
02:06,"SUB IN by CROPPER,DIARRA",,,,,,,"SUB IN by CROPPER,DIARRA",1
02:06,"SUB OUT by CAMPBELL,JAY",,,,,,,"SUB OUT by CAMPBELL,JAY",1
01:47,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",1
01:42,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
01:41,"STEAL  by CROPPER,DIARRA",,,,,,,"STEAL  by CROPPER,DIARRA",1
01:36,"GOOD JUMPER by LOWRY,JON",24,,36 (+12),,BCMB 24-36 (+12),,"GOOD JUMPER by LOWRY,JON",1
01:00,,,,,"MISS JUMPER by DUNAVANT,JOHN",,,"MISS JUMPER by DUNAVANT,JOHN",1
--,"REBOUND DEF by LOWRY,JON",,,,,,,"REBOUND DEF by LOWRY,JON",1
00:42,"MISS 3PTR by KING,JEREMY",,,,,,,"MISS 3PTR by KING,JEREMY",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
00:28,,24,,38 (+14),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RCMBB13 24-38 (+14),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",1
00:10,"SUB IN by ADAMS,BRANDON",,,,,,,"SUB IN by ADAMS,BRANDON",1
00:10,"SUB OUT by GOWIN,JAMES",,,,,,,"SUB OUT by GOWIN,JAMES",1
00:08,"MISS 3PTR by LOWRY,JON",,,,,,,"MISS 3PTR by LOWRY,JON",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
00:00,"FOUL  by ADAMS,BRANDON",,,,,,,"FOUL  by ADAMS,BRANDON",1
00:00,,24,,39 (+15),"GOOD FT by GALOW,ANDREW",RCMBB13 24-39 (+15),,"GOOD FT by GALOW,ANDREW",1
00:00,,24,,40 (+16),"GOOD FT by GALOW,ANDREW",RCMBB13 24-40 (+16),,"GOOD FT by GALOW,ANDREW",1
00:00,"TURNOVER  by KING,JEREMY",,,,,,,"TURNOVER  by KING,JEREMY",1
00:00,,,,,"MISS TIPIN by LIVSEY,GEOFF",,,"MISS TIPIN by LIVSEY,GEOFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by CHANDLER,MATT",,,,,,,"SUB IN by CHANDLER,MATT",2
20:00,"SUB IN by CROPPER,DIARRA",,,,,,,"SUB IN by CROPPER,DIARRA",2
20:00,"SUB IN by ADAMS,BRANDON",,,,,,,"SUB IN by ADAMS,BRANDON",2
20:00,"SUB IN by LOWRY,JON",,,,,,,"SUB IN by LOWRY,JON",2
20:00,"SUB IN by CAMPBELL,JAY",,,,,,,"SUB IN by CAMPBELL,JAY",2
20:00,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
20:00,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
20:00,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
20:00,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
00:00,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
20:00,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
19:38,"MISS JUMPER by CAMPBELL,JAY",,,,,,,"MISS JUMPER by CAMPBELL,JAY",2
--,"REBOUND OFF by ADAMS,BRANDON",,,,,,,"REBOUND OFF by ADAMS,BRANDON",2
19:15,"TURNOVER  by CROPPER,DIARRA",,,,,,,"TURNOVER  by CROPPER,DIARRA",2
18:57,,24,,42 (+18),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 24-42 (+18),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
18:39,"MISS JUMPER by CHANDLER,MATT",,,,,,,"MISS JUMPER by CHANDLER,MATT",2
--,"REBOUND OFF by ADAMS,BRANDON",,,,,,,"REBOUND OFF by ADAMS,BRANDON",2
18:37,"TURNOVER  by ADAMS,BRANDON",,,,,,,"TURNOVER  by ADAMS,BRANDON",2
18:26,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
18:22,"STEAL  by CROPPER,DIARRA",,,,,,,"STEAL  by CROPPER,DIARRA",2
18:13,"GOOD LAYUP by CHANDLER,MATT(in the paint)",26,,42 (+16),,BCMB 26-42 (+16),,"GOOD LAYUP by CHANDLER,MATT(in the paint)",2
--,"ASSIST  by CROPPER,DIARRA",,,,,,,"ASSIST  by CROPPER,DIARRA",2
17:48,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
