Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
09:34,,,,,"SUB OUT by PITTS,ALEC",,,"SUB OUT by PITTS,ALEC",1
09:20,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND OFF by MCGRAIL,PATRICK",,,,,,,"REBOUND OFF by MCGRAIL,PATRICK",1
08:59,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",20 (+13),,7,,RCMBB13 20-7 (+13),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",1
08:35,,,,,"MISS JUMPER by MOLINET,CHRISTIAN",,,"MISS JUMPER by MOLINET,CHRISTIAN",1
--,,,,,"REBOUND OFF by KINNEY,JORDAN",,,"REBOUND OFF by KINNEY,JORDAN",1
08:31,,,,,"MISS LAYUP by KINNEY,JORDAN",,,"MISS LAYUP by KINNEY,JORDAN",1
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",1
08:13,"MISS LAYUP by HARTWELL,THEO",,,,,,,"MISS LAYUP by HARTWELL,THEO",1
--,,,,,"REBOUND DEF by JOVAAG,BRANDEN",,,"REBOUND DEF by JOVAAG,BRANDEN",1
08:05,,,,,"MISS 3PTR by JOVAAG,BRANDEN",,,"MISS 3PTR by JOVAAG,BRANDEN",1
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",1
07:40,"GOOD LAYUP by HARTWELL,THEO(in the paint)",22 (+15),,7,,RCMBB13 22-7 (+15),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
07:24,,,,,"MISS 3PTR by PURDY,SAM",,,"MISS 3PTR by PURDY,SAM",1
--,,,,,"REBOUND OFF by DAVIS,ALEX",,,"REBOUND OFF by DAVIS,ALEX",1
07:19,,22 (+13),,9,"GOOD LAYUP by DAVIS,ALEX(in the paint)",OUM 22-9 (+13),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
07:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:05,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",24 (+15),,9,,RCMBB13 24-9 (+15),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
06:46,,24 (+12),,12,"GOOD 3PTR by JOVAAG,BRANDEN",OUM 24-12 (+12),,"GOOD 3PTR by JOVAAG,BRANDEN",1
--,,,,,"ASSIST  by MOLINET,CHRISTIAN",,,"ASSIST  by MOLINET,CHRISTIAN",1
06:24,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by KINNEY,JORDAN",,,"REBOUND DEF by KINNEY,JORDAN",1
06:04,,,,,"TURNOVER  by KINNEY,JORDAN",,,"TURNOVER  by KINNEY,JORDAN",1
06:04,"STEAL  by GALOW,ANDREW",,,,,,,"STEAL  by GALOW,ANDREW",1
05:43,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",26 (+14),,12,,RCMBB13 26-12 (+14),,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",1
05:31,,,,,"TURNOVER  by PURDY,SAM",,,"TURNOVER  by PURDY,SAM",1
05:30,"STEAL  by HARTWELL,THEO",,,,,,,"STEAL  by HARTWELL,THEO",1
05:25,"GOOD LAYUP by HARTWELL,THEO(fastbreak)(in the paint)",28 (+16),,12,,RCMBB13 28-12 (+16),,"GOOD LAYUP by HARTWELL,THEO(fastbreak)(in the paint)",1
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",1
05:23,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:23,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
05:23,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
05:23,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
05:23,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",1
05:23,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
05:23,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
05:23,,,,,"SUB IN by PITTS,ALEC",,,"SUB IN by PITTS,ALEC",1
05:23,,,,,"SUB OUT by PURDY,SAM",,,"SUB OUT by PURDY,SAM",1
05:10,,,,,"MISS 3PTR by JOVAAG,BRANDEN",,,"MISS 3PTR by JOVAAG,BRANDEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:08,,,,,"FOUL  by DAVIS,ALEX",,,"FOUL  by DAVIS,ALEX",1
05:04,,,,,"FOUL  by DAVIS,ALEX",,,"FOUL  by DAVIS,ALEX",1
05:04,,,,,"SUB IN by COURSON,TYLER",,,"SUB IN by COURSON,TYLER",1
05:04,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",1
04:55,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:52,,,,,"FOUL  by KINNEY,JORDAN",,,"FOUL  by KINNEY,JORDAN",1
04:52,,,,,"SUB IN by HAMILTON,PRICE",,,"SUB IN by HAMILTON,PRICE",1
04:52,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",1
