Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
18:59,"MISS JUMPER by BLAKE,BRANDON",,,,,,,"MISS JUMPER by BLAKE,BRANDON",2
18:59,"MISS LAYUP by VIC MCLIN,JR",,,,,,,"MISS LAYUP by VIC MCLIN,JR",2
--,"REBOUND OFF by VIC MCLIN,JR",,,,,,,"REBOUND OFF by VIC MCLIN,JR",2
--,"REBOUND OFF by SMITH,ADAM",,,,,,,"REBOUND OFF by SMITH,ADAM",2
18:28,"GOOD LAYUP by SMITH,ADAM(in the paint)",29,,45 (+16),,MC 29-45 (+16),,"GOOD LAYUP by SMITH,ADAM(in the paint)",2
18:24,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
18:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
18:15,"TURNOVER  by SMITH,ADAM",,,,,,,"TURNOVER  by SMITH,ADAM",2
18:14,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
17:59,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,"REBOUND DEF by VIC MCLIN,JR",,,,,,,"REBOUND DEF by VIC MCLIN,JR",2
17:45,"GOOD JUMPER by BLAKE,BRANDON",31,,45 (+14),,MC 31-45 (+14),,"GOOD JUMPER by BLAKE,BRANDON",2
17:28,,,,,"TURNOVER  by MCGRAIL,PATRICK",,,"TURNOVER  by MCGRAIL,PATRICK",2
17:20,"MISS 3PTR by RAGLAND,TURMONTE",,,,,,,"MISS 3PTR by RAGLAND,TURMONTE",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
17:06,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND DEF by SMITH,ADAM",,,,,,,"REBOUND DEF by SMITH,ADAM",2
17:00,"GOOD JUMPER by RAGLAND,TURMONTE(in the paint)",33,,45 (+12),,MC 33-45 (+12),,"GOOD JUMPER by RAGLAND,TURMONTE(in the paint)",2
16:44,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
16:44,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
16:17,"FOUL  by BLAKE,BRANDON",,,,,,,"FOUL  by BLAKE,BRANDON",2
16:15,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",2
16:14,"STEAL  by RAGLAND,TURMONTE",,,,,,,"STEAL  by RAGLAND,TURMONTE",2
16:11,"GOOD JUMPER by RAGLAND,TURMONTE(fastbreak)(in the paint)",35,,45 (+10),,MC 35-45 (+10),,"GOOD JUMPER by RAGLAND,TURMONTE(fastbreak)(in the paint)",2
16:11,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
16:11,"GOOD FT by RAGLAND,TURMONTE",36,,45 (+9),,MC 36-45 (+9),,"GOOD FT by RAGLAND,TURMONTE",2
15:41,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND DEF by SMITH,ADAM",,,,,,,"REBOUND DEF by SMITH,ADAM",2
15:09,"GOOD JUMPER by SMITH,ADAM(in the paint)",38,,45 (+7),,MC 38-45 (+7),,"GOOD JUMPER by SMITH,ADAM(in the paint)",2
14:50,,38,,47 (+9),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 38-47 (+9),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
14:43,"TURNOVER  by DUNCAN,DARYL",,,,,,,"TURNOVER  by DUNCAN,DARYL",2
14:28,"FOUL  by VIC MCLIN,JR",,,,,,,"FOUL  by VIC MCLIN,JR",2
13:59,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,"REBOUND DEF by SMITH,ADAM",,,,,,,"REBOUND DEF by SMITH,ADAM",2
13:52,"GOOD LAYUP by BLAKE,BRANDON(in the paint)",40,,47 (+7),,MC 40-47 (+7),,"GOOD LAYUP by BLAKE,BRANDON(in the paint)",2
--,"ASSIST  by RAGLAND,TURMONTE",,,,,,,"ASSIST  by RAGLAND,TURMONTE",2
13:52,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",2
13:52,"MISS FT by BLAKE,BRANDON",,,,,,,"MISS FT by BLAKE,BRANDON",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
13:52,"SUB IN by BOUNDS,CAMERON",,,,,,,"SUB IN by BOUNDS,CAMERON",2
13:52,"SUB IN by FORD,LAKIN",,,,,,,"SUB IN by FORD,LAKIN",2
13:52,"SUB OUT by SMITH,ADAM",,,,,,,"SUB OUT by SMITH,ADAM",2
13:52,"SUB OUT by VIC MCLIN,JR",,,,,,,"SUB OUT by VIC MCLIN,JR",2
13:50,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
13:29,"GOOD JUMPER by FORD,LAKIN",42,,47 (+5),,MC 42-47 (+5),,"GOOD JUMPER by FORD,LAKIN",2
--,"ASSIST  by BLAKE,BRANDON",,,,,,,"ASSIST  by BLAKE,BRANDON",2
13:04,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
--,"REBOUND DEF by DUNCAN,DARYL",,,,,,,"REBOUND DEF by DUNCAN,DARYL",2
13:02,"SUB IN by MOORE,JARVIS",,,,,,,"SUB IN by MOORE,JARVIS",2
13:02,"SUB IN by SMITH,KENDRE'",,,,,,,"SUB IN by SMITH,KENDRE'",2
13:02,"SUB IN by COTTON,LAQUAVIUS",,,,,,,"SUB IN by COTTON,LAQUAVIUS",2
13:02,"SUB OUT by DUNCAN,DARYL",,,,,,,"SUB OUT by DUNCAN,DARYL",2
13:02,"SUB OUT by RAGLAND,TURMONTE",,,,,,,"SUB OUT by RAGLAND,TURMONTE",2
13:02,"SUB OUT by BLAKE,BRANDON",,,,,,,"SUB OUT by BLAKE,BRANDON",2
13:02,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
13:02,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
12:37,"GOOD JUMPER by COTTON,LAQUAVIUS",44,,47 (+3),,MC 44-47 (+3),,"GOOD JUMPER by COTTON,LAQUAVIUS",2
12:24,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
12:21,"STEAL  by FORD,LAKIN",,,,,,,"STEAL  by FORD,LAKIN",2
12:20,"GOOD LAYUP by MOORE,JARVIS(fastbreak)(in the paint)",46,,47 (+1),,MC 46-47 (+1),,"GOOD LAYUP by MOORE,JARVIS(fastbreak)(in the paint)",2
12:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:48,,46,,50 (+4),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB13 46-50 (+4),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
11:25,"MISS 3PTR by BOUNDS,CAMERON",,,,,,,"MISS 3PTR by BOUNDS,CAMERON",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
11:25,"FOUL  by BOUNDS,CAMERON",,,,,,,"FOUL  by BOUNDS,CAMERON",2
11:11,,46,,53 (+7),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 46-53 (+7),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
10:44,"MISS 3PTR by FORD,LAKIN",,,,,,,"MISS 3PTR by FORD,LAKIN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
10:41,"FOUL  by COTTON,LAQUAVIUS",,,,,,,"FOUL  by COTTON,LAQUAVIUS",2
10:41,"SUB IN by DUNCAN,DARYL",,,,,,,"SUB IN by DUNCAN,DARYL",2
10:41,"SUB IN by SMITH,ADAM",,,,,,,"SUB IN by SMITH,ADAM",2
10:41,"SUB IN by RAGLAND,TURMONTE",,,,,,,"SUB IN by RAGLAND,TURMONTE",2
10:41,"SUB IN by BLAKE,BRANDON",,,,,,,"SUB IN by BLAKE,BRANDON",2
10:41,"SUB IN by VIC MCLIN,JR",,,,,,,"SUB IN by VIC MCLIN,JR",2
10:41,"SUB OUT by MOORE,JARVIS",,,,,,,"SUB OUT by MOORE,JARVIS",2
10:41,"SUB OUT by BOUNDS,CAMERON",,,,,,,"SUB OUT by BOUNDS,CAMERON",2
10:41,"SUB OUT by FORD,LAKIN",,,,,,,"SUB OUT by FORD,LAKIN",2
10:41,"SUB OUT by SMITH,KENDRE'",,,,,,,"SUB OUT by SMITH,KENDRE'",2
10:41,"SUB OUT by COTTON,LAQUAVIUS",,,,,,,"SUB OUT by COTTON,LAQUAVIUS",2
10:26,,46,,55 (+9),"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB13 46-55 (+9),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
10:13,"MISS JUMPER by RAGLAND,TURMONTE",,,,,,,"MISS JUMPER by RAGLAND,TURMONTE",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
10:01,,46,,57 (+11),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 46-57 (+11),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
10:01,"FOUL  by VIC MCLIN,JR",,,,,,,"FOUL  by VIC MCLIN,JR",2
10:01,,46,,58 (+12),"GOOD FT by LIVSEY,GEOFF",RCMBB13 46-58 (+12),,"GOOD FT by LIVSEY,GEOFF",2
10:01,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
10:01,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
09:47,"MISS JUMPER by BLAKE,BRANDON",,,,,,,"MISS JUMPER by BLAKE,BRANDON",2
--,"REBOUND OFF by SMITH,ADAM",,,,,,,"REBOUND OFF by SMITH,ADAM",2
09:41,"TURNOVER  by SMITH,ADAM",,,,,,,"TURNOVER  by SMITH,ADAM",2
09:39,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
09:14,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
09:11,,46,,60 (+14),"GOOD JUMPER by HARTWELL,THEO(in the paint)",RCMBB13 46-60 (+14),,"GOOD JUMPER by HARTWELL,THEO(in the paint)",2
08:58,"MISS JUMPER by BLAKE,BRANDON",,,,,,,"MISS JUMPER by BLAKE,BRANDON",2
--,"REBOUND OFF by RAGLAND,TURMONTE",,,,,,,"REBOUND OFF by RAGLAND,TURMONTE",2
08:38,"GOOD TIPIN by RAGLAND,TURMONTE(in the paint)",48,,60 (+12),,MC 48-60 (+12),,"GOOD TIPIN by RAGLAND,TURMONTE(in the paint)",2
08:31,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",2
08:30,,,,,"STEAL  by GALLAGHER,MICHAEL",,,"STEAL  by GALLAGHER,MICHAEL",2
08:25,"TURNOVER  by BLAKE,BRANDON",,,,,,,"TURNOVER  by BLAKE,BRANDON",2
08:24,,,,,"STEAL  by DUNAVANT,JOHN",,,"STEAL  by DUNAVANT,JOHN",2
08:14,,48,,63 (+15),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB13 48-63 (+15),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",2
08:14,"FOUL  by VIC MCLIN,JR",,,,,,,"FOUL  by VIC MCLIN,JR",2
08:14,,,,,"MISS FT by DUNAVANT,JOHN",,,"MISS FT by DUNAVANT,JOHN",2
--,"REBOUND DEF by VIC MCLIN,JR",,,,,,,"REBOUND DEF by VIC MCLIN,JR",2
08:14,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
08:14,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
08:13,"MISS 3PTR by DUNCAN,DARYL",,,,,,,"MISS 3PTR by DUNCAN,DARYL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:10,"SUB IN by COTTON,LAQUAVIUS",,,,,,,"SUB IN by COTTON,LAQUAVIUS",2
08:10,"SUB OUT by VIC MCLIN,JR",,,,,,,"SUB OUT by VIC MCLIN,JR",2
08:10,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
08:10,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
08:09,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by DUNCAN,DARYL",,,,,,,"REBOUND DEF by DUNCAN,DARYL",2
08:08,"TURNOVER  by DUNCAN,DARYL",,,,,,,"TURNOVER  by DUNCAN,DARYL",2
07:52,"SUB IN by MOORE,JARVIS",,,,,,,"SUB IN by MOORE,JARVIS",2
07:52,"SUB OUT by DUNCAN,DARYL",,,,,,,"SUB OUT by DUNCAN,DARYL",2
07:36,,48,,65 (+17),"GOOD JUMPER by GALOW,ANDREW",RCMBB13 48-65 (+17),,"GOOD JUMPER by GALOW,ANDREW",2
07:24,"GOOD 3PTR by BLAKE,BRANDON",51,,65 (+14),,MC 51-65 (+14),,"GOOD 3PTR by BLAKE,BRANDON",2
--,"ASSIST  by COTTON,LAQUAVIUS",,,,,,,"ASSIST  by COTTON,LAQUAVIUS",2
07:21,FOUL  by TEAM,,,,,,,FOUL  by TEAM,2
06:51,,51,,68 (+17),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 51-68 (+17),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
06:42,"GOOD LAYUP by MOORE,JARVIS(in the paint)",53,,68 (+15),,MC 53-68 (+15),,"GOOD LAYUP by MOORE,JARVIS(in the paint)",2
06:07,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by RAGLAND,TURMONTE",,,,,,,"REBOUND DEF by RAGLAND,TURMONTE",2
05:40,"MISS 3PTR by MOORE,JARVIS",,,,,,,"MISS 3PTR by MOORE,JARVIS",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
05:34,"MISS 3PTR by COTTON,LAQUAVIUS",,,,,,,"MISS 3PTR by COTTON,LAQUAVIUS",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
05:28,,53,,70 (+17),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 53-70 (+17),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
05:04,,53,,72 (+19),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 53-72 (+19),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",2
04:51,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
04:51,"MISS 3PTR by BLAKE,BRANDON",,,,,,,"MISS 3PTR by BLAKE,BRANDON",2
--,"REBOUND OFF by FORD,LAKIN",,,,,,,"REBOUND OFF by FORD,LAKIN",2
04:51,"GOOD LAYUP by FORD,LAKIN(in the paint)",55,,72 (+17),,MC 55-72 (+17),,"GOOD LAYUP by FORD,LAKIN(in the paint)",2
04:51,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",2
--,"REBOUND DEF by RAGLAND,TURMONTE",,,,,,,"REBOUND DEF by RAGLAND,TURMONTE",2
04:20,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
04:20,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
04:20,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
04:10,"MISS JUMPER by FORD,LAKIN",,,,,,,"MISS JUMPER by FORD,LAKIN",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
03:50,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
03:50,"BLOCK  by BOUNDS,CAMERON",,,,,,,"BLOCK  by BOUNDS,CAMERON",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
03:41,,55,,75 (+20),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB13 55-75 (+20),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",2
03:22,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
03:22,"GOOD FT by RAGLAND,TURMONTE",56,,75 (+19),,MC 56-75 (+19),,"GOOD FT by RAGLAND,TURMONTE",2
03:22,"MISS FT by RAGLAND,TURMONTE",,,,,,,"MISS FT by RAGLAND,TURMONTE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:22,"SUB IN by DUNCAN,DARYL",,,,,,,"SUB IN by DUNCAN,DARYL",2
03:22,"SUB IN by FORD,LAKIN",,,,,,,"SUB IN by FORD,LAKIN",2
03:22,"SUB IN by SMITH,KENDRE'",,,,,,,"SUB IN by SMITH,KENDRE'",2
03:22,"SUB IN by BOUNDS,CAMERON",,,,,,,"SUB IN by BOUNDS,CAMERON",2
03:22,"SUB OUT by MOORE,JARVIS",,,,,,,"SUB OUT by MOORE,JARVIS",2
03:22,"SUB OUT by SMITH,ADAM",,,,,,,"SUB OUT by SMITH,ADAM",2
03:22,"SUB OUT by RAGLAND,TURMONTE",,,,,,,"SUB OUT by RAGLAND,TURMONTE",2
03:22,"SUB OUT by BLAKE,BRANDON",,,,,,,"SUB OUT by BLAKE,BRANDON",2
03:22,"SUB OUT by COTTON,LAQUAVIUS",,,,,,,"SUB OUT by COTTON,LAQUAVIUS",2
03:22,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
03:22,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
03:22,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
03:22,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
03:22,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
02:59,"MISS JUMPER by DUNCAN,DARYL",,,,,,,"MISS JUMPER by DUNCAN,DARYL",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
02:34,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
--,"REBOUND DEF by BOUNDS,CAMERON",,,,,,,"REBOUND DEF by BOUNDS,CAMERON",2
02:16,"MISS JUMPER by BOUNDS,CAMERON",,,,,,,"MISS JUMPER by BOUNDS,CAMERON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:16,"FOUL  by FORD,LAKIN",,,,,,,"FOUL  by FORD,LAKIN",2
02:16,,56,,76 (+20),"GOOD FT by WAGNER,MATT",RCMBB13 56-76 (+20),,"GOOD FT by WAGNER,MATT",2
02:16,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
02:16,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
02:09,,56,,77 (+21),"GOOD FT by WAGNER,MATT",RCMBB13 56-77 (+21),,"GOOD FT by WAGNER,MATT",2
01:53,"MISS LAYUP by FORD,LAKIN",,,,,,,"MISS LAYUP by FORD,LAKIN",2
--,"REBOUND OFF by BOUNDS,CAMERON",,,,,,,"REBOUND OFF by BOUNDS,CAMERON",2
01:48,"GOOD LAYUP by BOUNDS,CAMERON(in the paint)",58,,77 (+19),,MC 58-77 (+19),,"GOOD LAYUP by BOUNDS,CAMERON(in the paint)",2
01:23,,58,,79 (+21),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 58-79 (+21),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
01:10,"MISS LAYUP by BOUNDS,CAMERON",,,,,,,"MISS LAYUP by BOUNDS,CAMERON",2
--,"REBOUND OFF by FORD,LAKIN",,,,,,,"REBOUND OFF by FORD,LAKIN",2
01:08,"GOOD LAYUP by FORD,LAKIN(in the paint)",60,,79 (+19),,MC 60-79 (+19),,"GOOD LAYUP by FORD,LAKIN(in the paint)",2
01:02,"FOUL  by SMITH,KENDRE'",,,,,,,"FOUL  by SMITH,KENDRE'",2
01:02,,60,,80 (+20),"GOOD FT by COLLINS,LUKE",RCMBB13 60-80 (+20),,"GOOD FT by COLLINS,LUKE",2
01:02,,60,,81 (+21),"GOOD FT by COLLINS,LUKE",RCMBB13 60-81 (+21),,"GOOD FT by COLLINS,LUKE",2
01:02,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
01:02,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
01:02,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
00:51,"MISS JUMPER by DUNCAN,DARYL",,,,,,,"MISS JUMPER by DUNCAN,DARYL",2
--,"REBOUND OFF by FORD,LAKIN",,,,,,,"REBOUND OFF by FORD,LAKIN",2
00:47,"MISS JUMPER by FORD,LAKIN",,,,,,,"MISS JUMPER by FORD,LAKIN",2
--,"REBOUND OFF by BOUNDS,CAMERON",,,,,,,"REBOUND OFF by BOUNDS,CAMERON",2
00:44,"MISS JUMPER by BOUNDS,CAMERON",,,,,,,"MISS JUMPER by BOUNDS,CAMERON",2
--,"REBOUND OFF by DUNCAN,DARYL",,,,,,,"REBOUND OFF by DUNCAN,DARYL",2
00:39,"MISS 3PTR by SMITH,KENDRE'",,,,,,,"MISS 3PTR by SMITH,KENDRE'",2
--,"REBOUND OFF by DUNCAN,DARYL",,,,,,,"REBOUND OFF by DUNCAN,DARYL",2
00:35,"MISS JUMPER by DUNCAN,DARYL",,,,,,,"MISS JUMPER by DUNCAN,DARYL",2
--,"REBOUND OFF by COTTON,LAQUAVIUS",,,,,,,"REBOUND OFF by COTTON,LAQUAVIUS",2
00:29,"MISS 3PTR by COTTON,LAQUAVIUS",,,,,,,"MISS 3PTR by COTTON,LAQUAVIUS",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
00:06,"FOUL  by SMITH,KENDRE'",,,,,,,"FOUL  by SMITH,KENDRE'",2
00:06,,60,,82 (+22),"GOOD FT by COLLINS,LUKE",RCMBB13 60-82 (+22),,"GOOD FT by COLLINS,LUKE",2
00:06,,,,,"MISS FT by COLLINS,LUKE",,,"MISS FT by COLLINS,LUKE",2
--,"REBOUND DEF by BOUNDS,CAMERON",,,,,,,"REBOUND DEF by BOUNDS,CAMERON",2
