Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,GCMB,Game Score,Team Indicator,Play,Period
17:30,,,,,"MISS JUMPER by ALBERTSON,TODD",,,"MISS JUMPER by ALBERTSON,TODD",2
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",2
17:21,"GOOD JUMPER by GALOW,ANDREW",40,,42 (+2),,RCMBB13 40-42 (-2),,"GOOD JUMPER by GALOW,ANDREW",2
17:13,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",2
17:10,,,,,"MISS JUMPER by GIERTZ,BEN",,,"MISS JUMPER by GIERTZ,BEN",2
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",2
17:02,"GOOD JUMPER by GALOW,ANDREW",42,,42,,RCMBB13 42-42 (0),,"GOOD JUMPER by GALOW,ANDREW",2
16:50,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
16:50,,,,,"SUB IN by JONES,MARQUEL",,,"SUB IN by JONES,MARQUEL",2
16:43,,,,,"MISS 3PTR by ANDERSON,DANIEL",,,"MISS 3PTR by ANDERSON,DANIEL",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
16:16,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
16:03,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,"REBOUND DEF by ANDERSON,DANIEL",,,"REBOUND DEF by ANDERSON,DANIEL",2
15:51,,42,,44 (+2),"GOOD JUMPER by JONES,MARQUEL",GCMB 42-44 (-2),,"GOOD JUMPER by JONES,MARQUEL",2
15:33,,,,,"FOUL  by JONES,MARQUEL",,,"FOUL  by JONES,MARQUEL",2
15:33,"GOOD FT by LIVSEY,GEOFF",43,,44 (+1),,RCMBB13 43-44 (-1),,"GOOD FT by LIVSEY,GEOFF",2
15:33,"GOOD FT by LIVSEY,GEOFF",44,,44,,RCMBB13 44-44 (0),,"GOOD FT by LIVSEY,GEOFF",2
15:33,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
15:07,,,,,"TURNOVER  by JONES,MARQUEL",,,"TURNOVER  by JONES,MARQUEL",2
15:05,"STEAL  by LIVSEY,GEOFF",,,,,,,"STEAL  by LIVSEY,GEOFF",2
14:57,"MISS JUMPER by MILLER,DREW",,,,,,,"MISS JUMPER by MILLER,DREW",2
--,,,,,"REBOUND DEF by METZLER,ANTHONY",,,"REBOUND DEF by METZLER,ANTHONY",2
14:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
14:54,"SUB IN by GALOW,ANDREW",,,,,,,"SUB IN by GALOW,ANDREW",2
14:44,,44,,46 (+2),"GOOD JUMPER by ANDERSON,DANIEL",GCMB 44-46 (-2),,"GOOD JUMPER by ANDERSON,DANIEL",2
14:35,,,,,"FOUL  by ANDERSON,DANIEL",,,"FOUL  by ANDERSON,DANIEL",2
14:35,,,,,"SUB IN by POTTS,AUSTIN",,,"SUB IN by POTTS,AUSTIN",2
14:35,,,,,"SUB IN by GIERTZ,BEN",,,"SUB IN by GIERTZ,BEN",2
14:35,,,,,"SUB IN by SMITH,JORDAN",,,"SUB IN by SMITH,JORDAN",2
14:14,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",2
--,"REBOUND OFF by GALOW,ANDREW",,,,,,,"REBOUND OFF by GALOW,ANDREW",2
13:47,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by SMITH,JORDAN",,,"REBOUND DEF by SMITH,JORDAN",2
13:40,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",2
13:40,,44,,47 (+3),"GOOD FT by JONES,MARQUEL",GCMB 44-47 (-3),,"GOOD FT by JONES,MARQUEL",2
13:40,,44,,48 (+4),"GOOD FT by JONES,MARQUEL",GCMB 44-48 (-4),,"GOOD FT by JONES,MARQUEL",2
13:37,"GOOD JUMPER by DUNAVANT,JOHN",46,,48 (+2),,RCMBB13 46-48 (-2),,"GOOD JUMPER by DUNAVANT,JOHN",2
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",2
13:27,,,,,"MISS JUMPER by SMITH,JORDAN",,,"MISS JUMPER by SMITH,JORDAN",2
--,,,,,"REBOUND OFF by ALBERTSON,TODD",,,"REBOUND OFF by ALBERTSON,TODD",2
13:15,,,,,"MISS JUMPER by ALBERTSON,TODD",,,"MISS JUMPER by ALBERTSON,TODD",2
13:15,"BLOCK  by MILLER,DREW",,,,,,,"BLOCK  by MILLER,DREW",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:09,"GOOD JUMPER by GALOW,ANDREW",48,,48,,RCMBB13 48-48 (0),,"GOOD JUMPER by GALOW,ANDREW",2
13:09,,,,,"FOUL  by ALBERTSON,TODD",,,"FOUL  by ALBERTSON,TODD",2
13:09,"GOOD FT by GALOW,ANDREW",49 (+1),,48,,RCMBB13 49-48 (+1),,"GOOD FT by GALOW,ANDREW",2
13:09,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",2
13:09,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
12:47,,,,,"MISS JUMPER by POTTS,AUSTIN",,,"MISS JUMPER by POTTS,AUSTIN",2
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",2
12:33,,,,,"FOUL  by ALBERTSON,TODD",,,"FOUL  by ALBERTSON,TODD",2
12:33,"MISS FT by HARTWELL,THEO",,,,,,,"MISS FT by HARTWELL,THEO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:33,"GOOD FT by HARTWELL,THEO",50 (+2),,48,,RCMBB13 50-48 (+2),,"GOOD FT by HARTWELL,THEO",2
12:33,,,,,"SUB IN by ROLLINS,TEVIN",,,"SUB IN by ROLLINS,TEVIN",2
12:33,,,,,"SUB OUT by ALBERTSON,TODD",,,"SUB OUT by ALBERTSON,TODD",2
12:25,,,,,"MISS 3PTR by GIERTZ,BEN",,,"MISS 3PTR by GIERTZ,BEN",2
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",2
12:08,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
12:07,,,,,"STEAL  by JONES,MARQUEL",,,"STEAL  by JONES,MARQUEL",2
12:02,,,,,"TURNOVER  by JONES,MARQUEL",,,"TURNOVER  by JONES,MARQUEL",2
11:45,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",2
11:43,,,,,"STEAL  by POTTS,AUSTIN",,,"STEAL  by POTTS,AUSTIN",2
11:26,,,,,"TURNOVER  by GIERTZ,BEN",,,"TURNOVER  by GIERTZ,BEN",2
11:25,"STEAL  by GALOW,ANDREW",,,,,,,"STEAL  by GALOW,ANDREW",2
11:16,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND OFF by GALLAGHER,MICHAEL",,,,,,,"REBOUND OFF by GALLAGHER,MICHAEL",2
11:11,"MISS JUMPER by GALLAGHER,MICHAEL",,,,,,,"MISS JUMPER by GALLAGHER,MICHAEL",2
--,,,,,"REBOUND DEF by SMITH,JORDAN",,,"REBOUND DEF by SMITH,JORDAN",2
10:48,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",2
10:48,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
10:48,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",2
10:48,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
10:48,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
10:48,,,,,"SUB IN by ANDERSON,DANIEL",,,"SUB IN by ANDERSON,DANIEL",2
10:48,,,,,"SUB IN by MUMPHARD,ALEX",,,"SUB IN by MUMPHARD,ALEX",2
10:48,,,,,"SUB OUT by JONES,MARQUEL",,,"SUB OUT by JONES,MARQUEL",2
10:48,,,,,"SUB OUT by GIERTZ,BEN",,,"SUB OUT by GIERTZ,BEN",2
10:45,,,,,"MISS JUMPER by ROLLINS,TEVIN",,,"MISS JUMPER by ROLLINS,TEVIN",2
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",2
10:38,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by POTTS,AUSTIN",,,"REBOUND DEF by POTTS,AUSTIN",2
10:28,,50,,50,"GOOD JUMPER by SMITH,JORDAN",GCMB 50-50 (0),,"GOOD JUMPER by SMITH,JORDAN",2
10:15,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
10:15,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",2
10:09,,,,,"SUB IN by METZLER,ANTHONY",,,"SUB IN by METZLER,ANTHONY",2
10:09,,,,,"SUB OUT by POTTS,AUSTIN",,,"SUB OUT by POTTS,AUSTIN",2
09:54,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by METZLER,ANTHONY",,,"REBOUND DEF by METZLER,ANTHONY",2
09:50,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",2
09:50,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
09:50,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
09:34,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
09:34,,50,,51 (+1),"GOOD FT by ANDERSON,DANIEL",GCMB 50-51 (-1),,"GOOD FT by ANDERSON,DANIEL",2
09:34,,,,,"MISS FT by ANDERSON,DANIEL",,,"MISS FT by ANDERSON,DANIEL",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
09:11,"GOOD JUMPER by GALOW,ANDREW",52 (+1),,51,,RCMBB13 52-51 (+1),,"GOOD JUMPER by GALOW,ANDREW",2
09:01,,52,,53 (+1),"GOOD JUMPER by SMITH,JORDAN",GCMB 52-53 (-1),,"GOOD JUMPER by SMITH,JORDAN",2
08:48,,,,,"FOUL  by ROLLINS,TEVIN",,,"FOUL  by ROLLINS,TEVIN",2
08:48,"GOOD FT by LIVSEY,GEOFF",53,,53,,RCMBB13 53-53 (0),,"GOOD FT by LIVSEY,GEOFF",2
08:48,"GOOD FT by LIVSEY,GEOFF",54 (+1),,53,,RCMBB13 54-53 (+1),,"GOOD FT by LIVSEY,GEOFF",2
08:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:48,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",2
08:48,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
08:48,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",2
08:48,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
08:48,,,,,"SUB IN by ALBERTSON,TODD",,,"SUB IN by ALBERTSON,TODD",2
08:48,,,,,"SUB OUT by ROLLINS,TEVIN",,,"SUB OUT by ROLLINS,TEVIN",2
08:37,,,,,"MISS 3PTR by MUMPHARD,ALEX",,,"MISS 3PTR by MUMPHARD,ALEX",2
--,,,,,"REBOUND OFF by ANDERSON,DANIEL",,,"REBOUND OFF by ANDERSON,DANIEL",2
08:28,,,,,"MISS 3PTR by METZLER,ANTHONY",,,"MISS 3PTR by METZLER,ANTHONY",2
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",2
08:14,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",2
08:04,,,,,"MISS JUMPER by SMITH,JORDAN",,,"MISS JUMPER by SMITH,JORDAN",2
--,,,,,"REBOUND OFF by ALBERTSON,TODD",,,"REBOUND OFF by ALBERTSON,TODD",2
08:01,,54,,55 (+1),"GOOD JUMPER by ALBERTSON,TODD",GCMB 54-55 (-1),,"GOOD JUMPER by ALBERTSON,TODD",2
07:48,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
07:45,"GOOD JUMPER by LIVSEY,GEOFF",56 (+1),,55,,RCMBB13 56-55 (+1),,"GOOD JUMPER by LIVSEY,GEOFF",2
07:01,,,,,"MISS JUMPER by MUMPHARD,ALEX",,,"MISS JUMPER by MUMPHARD,ALEX",2
--,,,,,"REBOUND OFF by ALBERTSON,TODD",,,"REBOUND OFF by ALBERTSON,TODD",2
06:58,,56,,57 (+1),"GOOD JUMPER by ALBERTSON,TODD",GCMB 56-57 (-1),,"GOOD JUMPER by ALBERTSON,TODD",2
06:50,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
06:28,,,,,"TURNOVER  by METZLER,ANTHONY",,,"TURNOVER  by METZLER,ANTHONY",2
06:18,"GOOD JUMPER by LIVSEY,GEOFF",58 (+1),,57,,RCMBB13 58-57 (+1),,"GOOD JUMPER by LIVSEY,GEOFF",2
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",2
05:58,,,,,"MISS JUMPER by SMITH,JORDAN",,,"MISS JUMPER by SMITH,JORDAN",2
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",2
05:46,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
05:46,,,,,"BLOCK  by METZLER,ANTHONY",,,"BLOCK  by METZLER,ANTHONY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:46,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",2
05:46,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
05:46,,,,,"SUB IN by MERCER,JAY",,,"SUB IN by MERCER,JAY",2
05:46,,,,,"SUB IN by POTTS,AUSTIN",,,"SUB IN by POTTS,AUSTIN",2
05:46,,,,,"SUB IN by JONES,MARQUEL",,,"SUB IN by JONES,MARQUEL",2
05:46,,,,,"SUB IN by GIERTZ,BEN",,,"SUB IN by GIERTZ,BEN",2
05:46,,,,,"SUB OUT by ANDERSON,DANIEL",,,"SUB OUT by ANDERSON,DANIEL",2
05:46,,,,,"SUB OUT by METZLER,ANTHONY",,,"SUB OUT by METZLER,ANTHONY",2
05:46,,,,,"SUB OUT by MUMPHARD,ALEX",,,"SUB OUT by MUMPHARD,ALEX",2
05:46,,,,,"SUB OUT by SMITH,JORDAN",,,"SUB OUT by SMITH,JORDAN",2
05:37,"GOOD JUMPER by HARTWELL,THEO",60 (+3),,57,,RCMBB13 60-57 (+3),,"GOOD JUMPER by HARTWELL,THEO",2
05:26,,,,,"TURNOVER  by GIERTZ,BEN",,,"TURNOVER  by GIERTZ,BEN",2
05:22,"GOOD JUMPER by GALOW,ANDREW",62 (+5),,57,,RCMBB13 62-57 (+5),,"GOOD JUMPER by GALOW,ANDREW",2
05:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:01,,62 (+3),,59,"GOOD JUMPER by ALBERTSON,TODD",GCMB 62-59 (+3),,"GOOD JUMPER by ALBERTSON,TODD",2
--,,,,,"ASSIST  by JONES,MARQUEL",,,"ASSIST  by JONES,MARQUEL",2
04:45,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",2
--,,,,,"REBOUND DEF by ALBERTSON,TODD",,,"REBOUND DEF by ALBERTSON,TODD",2
04:39,,62 (+1),,61,"GOOD JUMPER by POTTS,AUSTIN",GCMB 62-61 (+1),,"GOOD JUMPER by POTTS,AUSTIN",2
--,,,,,"ASSIST  by GIERTZ,BEN",,,"ASSIST  by GIERTZ,BEN",2
03:58,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by MERCER,JAY",,,"REBOUND DEF by MERCER,JAY",2
03:46,,62,,63 (+1),"GOOD JUMPER by ALBERTSON,TODD",GCMB 62-63 (-1),,"GOOD JUMPER by ALBERTSON,TODD",2
--,,,,,"ASSIST  by JONES,MARQUEL",,,"ASSIST  by JONES,MARQUEL",2
03:29,,,,,"FOUL  by ALBERTSON,TODD",,,"FOUL  by ALBERTSON,TODD",2
03:29,"GOOD FT by MCGRAIL,PATRICK",63,,63,,RCMBB13 63-63 (0),,"GOOD FT by MCGRAIL,PATRICK",2
03:29,"GOOD FT by MCGRAIL,PATRICK",64 (+1),,63,,RCMBB13 64-63 (+1),,"GOOD FT by MCGRAIL,PATRICK",2
03:29,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
03:29,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
03:18,,,,,"MISS 3PTR by ALBERTSON,TODD",,,"MISS 3PTR by ALBERTSON,TODD",2
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",2
03:06,,,,,"FOUL  by GIERTZ,BEN",,,"FOUL  by GIERTZ,BEN",2
03:06,"MISS FT by GALOW,ANDREW",,,,,,,"MISS FT by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by POTTS,AUSTIN",,,"REBOUND DEF by POTTS,AUSTIN",2
02:53,,,,,"MISS 3PTR by MERCER,JAY",,,"MISS 3PTR by MERCER,JAY",2
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",2
02:16,"GOOD 3PTR by DUNAVANT,JOHN",67 (+4),,63,,RCMBB13 67-63 (+4),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",2
02:07,"FOUL  by DUNAVANT,JOHN",,,,,,,"FOUL  by DUNAVANT,JOHN",2
02:07,,,,,"MISS FT by JONES,MARQUEL",,,"MISS FT by JONES,MARQUEL",2
--,,,,,"REBOUND OFF by METZLER,ANTHONY",,,"REBOUND OFF by METZLER,ANTHONY",2
02:07,,,,,"SUB IN by ANDERSON,DANIEL",,,"SUB IN by ANDERSON,DANIEL",2
02:07,,,,,"SUB IN by METZLER,ANTHONY",,,"SUB IN by METZLER,ANTHONY",2
02:07,,,,,"SUB OUT by MERCER,JAY",,,"SUB OUT by MERCER,JAY",2
02:07,,,,,"SUB OUT by POTTS,AUSTIN",,,"SUB OUT by POTTS,AUSTIN",2
02:00,,,,,"TURNOVER  by METZLER,ANTHONY",,,"TURNOVER  by METZLER,ANTHONY",2
01:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:56,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
01:56,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
01:55,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
01:55,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",2
01:55,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
01:48,,67 (+2),,65,"GOOD JUMPER by JONES,MARQUEL",GCMB 67-65 (+2),,"GOOD JUMPER by JONES,MARQUEL",2
01:30,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",2
01:29,,,,,"STEAL  by ALBERTSON,TODD",,,"STEAL  by ALBERTSON,TODD",2
01:18,,,,,"MISS JUMPER by JONES,MARQUEL",,,"MISS JUMPER by JONES,MARQUEL",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
01:16,,,,,"FOUL  by JONES,MARQUEL",,,"FOUL  by JONES,MARQUEL",2
01:16,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:16,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by JONES,MARQUEL",,,"REBOUND DEF by JONES,MARQUEL",2
01:16,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
01:16,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
01:16,,,,,"SUB IN by MUMPHARD,ALEX",,,"SUB IN by MUMPHARD,ALEX",2
01:16,,,,,"SUB OUT by METZLER,ANTHONY",,,"SUB OUT by METZLER,ANTHONY",2
01:05,,,,,"TURNOVER  by ANDERSON,DANIEL",,,"TURNOVER  by ANDERSON,DANIEL",2
00:32,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,"REBOUND DEF by ALBERTSON,TODD",,,"REBOUND DEF by ALBERTSON,TODD",2
00:22,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
00:22,,67 (+1),,66,"GOOD FT by ANDERSON,DANIEL",GCMB 67-66 (+1),,"GOOD FT by ANDERSON,DANIEL",2
00:22,,67,,67,"GOOD FT by ANDERSON,DANIEL",GCMB 67-67 (0),,"GOOD FT by ANDERSON,DANIEL",2
00:22,,67,,68 (+1),"GOOD FT by ANDERSON,DANIEL",GCMB 67-68 (-1),,"GOOD FT by ANDERSON,DANIEL",2
00:22,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",2
00:22,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
00:22,,,,,"SUB IN by METZLER,ANTHONY",,,"SUB IN by METZLER,ANTHONY",2
00:22,,,,,"SUB OUT by MUMPHARD,ALEX",,,"SUB OUT by MUMPHARD,ALEX",2
00:12,,,,,"FOUL  by JONES,MARQUEL",,,"FOUL  by JONES,MARQUEL",2
00:12,"GOOD FT by GALOW,ANDREW",68,,68,,RCMBB13 68-68 (0),,"GOOD FT by GALOW,ANDREW",2
00:12,"GOOD FT by GALOW,ANDREW",69 (+1),,68,,RCMBB13 69-68 (+1),,"GOOD FT by GALOW,ANDREW",2
00:12,,,,,"SUB IN by MUMPHARD,ALEX",,,"SUB IN by MUMPHARD,ALEX",2
00:12,,,,,"SUB OUT by METZLER,ANTHONY",,,"SUB OUT by METZLER,ANTHONY",2
00:05,,69,,70 (+1),"GOOD JUMPER by ALBERTSON,TODD",GCMB 69-70 (-1),,"GOOD JUMPER by ALBERTSON,TODD",2
--,,,,,"ASSIST  by JONES,MARQUEL",,,"ASSIST  by JONES,MARQUEL",2
