Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",2
17:29,"GOOD LAYUP by LINK,JACOB(in the paint)",40 (+12),,28,,HC 40-28 (+12),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",2
17:09,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
17:09,,40 (+11),,29,"GOOD FT by CHAMBERS,DIMETRI",OU 40-29 (+11),,"GOOD FT by CHAMBERS,DIMETRI",2
17:09,,40 (+10),,30,"GOOD FT by CHAMBERS,DIMETRI",OU 40-30 (+10),,"GOOD FT by CHAMBERS,DIMETRI",2
16:53,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",2
--,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",,,"REBOUND DEF by CHAMBERS,DIMETRI",2
16:22,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",2
15:59,"MISS JUMPER by II,ROD CUMMINGS",,,,,,,"MISS JUMPER by II,ROD CUMMINGS",2
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",2
15:50,,40 (+8),,32,"GOOD JUMPER by CAMMON,JOSH(in the paint)",OU 40-32 (+8),,"GOOD JUMPER by CAMMON,JOSH(in the paint)",2
15:28,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
15:28,,,,,"BLOCK  by CAMMON,JOSH",,,"BLOCK  by CAMMON,JOSH",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
15:21,,40 (+6),,34,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",OU 40-34 (+6),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",2
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",2
14:59,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",2
14:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
14:40,,40 (+4),,36,"GOOD LAYUP by FOSTER,LANE(in the paint)",OU 40-36 (+4),,"GOOD LAYUP by FOSTER,LANE(in the paint)",2
14:25,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",2
14:16,,40 (+2),,38,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OU 40-38 (+2),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
14:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:57,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",2
13:45,,40,,41 (+1),"GOOD 3PTR by CHAMBERS,DIMETRI",OU 40-41 (-1),,"GOOD 3PTR by CHAMBERS,DIMETRI",2
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",2
13:33,"MISS LAYUP by II,ROD CUMMINGS",,,,,,,"MISS LAYUP by II,ROD CUMMINGS",2
13:33,,,,,"BLOCK  by ETIWE,TOJU",,,"BLOCK  by ETIWE,TOJU",2
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",2
13:27,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,,,,,"REBOUND OFF by ETIWE,TOJU",,,"REBOUND OFF by ETIWE,TOJU",2
13:23,,40,,43 (+3),"GOOD TIPIN by ETIWE,TOJU(in the paint)",OU 40-43 (-3),,"GOOD TIPIN by ETIWE,TOJU(in the paint)",2
13:05,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",2
13:05,"GOOD FT by STANLEY,SETH",41,,43 (+2),,HC 41-43 (-2),,"GOOD FT by STANLEY,SETH",2
13:05,,,,,"SUB IN by HUGHES,JUSTIN",,,"SUB IN by HUGHES,JUSTIN",2
13:05,,,,,"SUB IN by DAY,JUSTIN",,,"SUB IN by DAY,JUSTIN",2
13:05,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
13:05,,,,,"SUB OUT by CAMMON,JOSH",,,"SUB OUT by CAMMON,JOSH",2
12:59,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",2
--,,,,,"REBOUND DEF by HUGHES,JUSTIN",,,"REBOUND DEF by HUGHES,JUSTIN",2
12:59,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
12:59,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:59,,41,,44 (+3),"GOOD FT by FOSTER,LANE",OU 41-44 (-3),,"GOOD FT by FOSTER,LANE",2
12:59,,,,,"SUB IN by CAMMON,JOSH",,,"SUB IN by CAMMON,JOSH",2
12:59,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
12:53,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by DAY,JUSTIN",,,"REBOUND DEF by DAY,JUSTIN",2
12:44,,,,,"TURNOVER  by DAY,JUSTIN",,,"TURNOVER  by DAY,JUSTIN",2
12:43,"STEAL  by II,ROD CUMMINGS",,,,,,,"STEAL  by II,ROD CUMMINGS",2
12:35,"MISS JUMPER by II,ROD CUMMINGS",,,,,,,"MISS JUMPER by II,ROD CUMMINGS",2
--,,,,,"REBOUND DEF by HUGHES,JUSTIN",,,"REBOUND DEF by HUGHES,JUSTIN",2
12:17,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",2
12:17,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",2
12:10,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
12:10,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
11:59,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:40,,,,,"FOUL  by DAY,JUSTIN",,,"FOUL  by DAY,JUSTIN",2
11:40,"GOOD FT by STANLEY,SETH",42,,44 (+2),,HC 42-44 (-2),,"GOOD FT by STANLEY,SETH",2
11:40,"GOOD FT by STANLEY,SETH",43,,44 (+1),,HC 43-44 (-1),,"GOOD FT by STANLEY,SETH",2
11:35,,,,,"MISS JUMPER by DAY,JUSTIN",,,"MISS JUMPER by DAY,JUSTIN",2
--,,,,,"REBOUND OFF by CHAMBERS,DIMETRI",,,"REBOUND OFF by CHAMBERS,DIMETRI",2
11:28,,43,,46 (+3),"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",OU 43-46 (-3),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",2
11:20,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:17,,,,,"FOUL  by DAY,JUSTIN",,,"FOUL  by DAY,JUSTIN",2
11:17,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
11:17,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",2
11:17,,,,,"SUB OUT by SONE,CARLOS",,,"SUB OUT by SONE,CARLOS",2
11:17,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",2
11:11,"GOOD JUMPER by STANLEY,SETH(in the paint)",45,,46 (+1),,HC 45-46 (-1),,"GOOD JUMPER by STANLEY,SETH(in the paint)",2
10:56,,,,,"MISS 3PTR by FOSTER,LANE",,,"MISS 3PTR by FOSTER,LANE",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
10:45,"GOOD 3PTR by COMAN,SEAN",48 (+2),,46,,HC 48-46 (+2),,"GOOD 3PTR by COMAN,SEAN",2
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",2
10:24,,,,,"MISS 3PTR by CAMMON,JOSH",,,"MISS 3PTR by CAMMON,JOSH",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
09:56,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",2
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",2
09:50,"GOOD LAYUP by FITCH,CARL(in the paint)",50 (+4),,46,,HC 50-46 (+4),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
09:32,,,,,"MISS JUMPER by DAY,JUSTIN",,,"MISS JUMPER by DAY,JUSTIN",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
09:19,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:11,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",2
09:11,,,,,"SUB IN by SONE,CARLOS",,,"SUB IN by SONE,CARLOS",2
09:11,,,,,"SUB IN by CHAMBERS,DIMETRI",,,"SUB IN by CHAMBERS,DIMETRI",2
09:11,,,,,"SUB OUT by HUGHES,JUSTIN",,,"SUB OUT by HUGHES,JUSTIN",2
09:11,,,,,"SUB OUT by DAY,JUSTIN",,,"SUB OUT by DAY,JUSTIN",2
09:11,,,,,"SUB OUT by CAMMON,JOSH",,,"SUB OUT by CAMMON,JOSH",2
09:02,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
08:43,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
08:43,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",2
08:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:43,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
08:43,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",2
08:43,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
08:43,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",2
08:31,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",2
08:23,"MISS JUMPER by LINK,JACOB",,,,,,,"MISS JUMPER by LINK,JACOB",2
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",2
08:18,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",2
08:02,"MISS JUMPER by LINK,JACOB",,,,,,,"MISS JUMPER by LINK,JACOB",2
08:02,,,,,"BLOCK  by SONE,CARLOS",,,"BLOCK  by SONE,CARLOS",2
--,"REBOUND OFF by COMAN,SEAN",,,,,,,"REBOUND OFF by COMAN,SEAN",2
07:53,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:32,,50 (+1),,49,"GOOD 3PTR by CHAMBERS,DIMETRI",OU 50-49 (+1),,"GOOD 3PTR by CHAMBERS,DIMETRI",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
07:17,"GOOD LAYUP by STANLEY,SETH(in the paint)",52 (+3),,49,,HC 52-49 (+3),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
07:11,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",2
07:11,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",2
--,,,,,"REBOUND DEF by ETIWE,TOJU",,,"REBOUND DEF by ETIWE,TOJU",2
06:52,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",2
06:52,,52 (+2),,50,"GOOD FT by FOSTER,LANE",OU 52-50 (+2),,"GOOD FT by FOSTER,LANE",2
06:52,,52 (+1),,51,"GOOD FT by FOSTER,LANE",OU 52-51 (+1),,"GOOD FT by FOSTER,LANE",2
06:52,,,,,"SUB IN by CAMMON,JOSH",,,"SUB IN by CAMMON,JOSH",2
06:52,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",2
06:31,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND OFF by COMAN,SEAN",,,,,,,"REBOUND OFF by COMAN,SEAN",2
06:13,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",2
05:59,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",2
05:40,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",2
05:37,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",2
05:37,"GOOD FT by CONRAD,ALEX",53 (+2),,51,,HC 53-51 (+2),,"GOOD FT by CONRAD,ALEX",2
05:37,"GOOD FT by CONRAD,ALEX",54 (+3),,51,,HC 54-51 (+3),,"GOOD FT by CONRAD,ALEX",2
05:23,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",2
05:19,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",2
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",2
05:12,,,,,"MISS LAYUP by CAMMON,JOSH",,,"MISS LAYUP by CAMMON,JOSH",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
05:03,"GOOD LAYUP by CONRAD,ALEX(in the paint)",56 (+5),,51,,HC 56-51 (+5),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
04:40,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
04:32,,56 (+3),,53,"GOOD JUMPER by FOSTER,LANE(in the paint)",OU 56-53 (+3),,"GOOD JUMPER by FOSTER,LANE(in the paint)",2
04:17,,,,,"FOUL  by CHAMBERS,DIMETRI",,,"FOUL  by CHAMBERS,DIMETRI",2
04:17,"GOOD FT by II,ROD CUMMINGS",57 (+4),,53,,HC 57-53 (+4),,"GOOD FT by II,ROD CUMMINGS",2
04:17,"GOOD FT by II,ROD CUMMINGS",58 (+5),,53,,HC 58-53 (+5),,"GOOD FT by II,ROD CUMMINGS",2
04:09,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",2
03:53,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
03:51,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",2
03:23,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",2
03:21,,,,,"STEAL  by JENEI,RYAN",,,"STEAL  by JENEI,RYAN",2
03:17,,58 (+2),,56,"GOOD 3PTR by SONE,CARLOS(fastbreak)",OU 58-56 (+2),,"GOOD 3PTR by SONE,CARLOS(fastbreak)",2
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",2
02:53,"GOOD LAYUP by COMAN,SEAN(in the paint)",60 (+4),,56,,HC 60-56 (+4),,"GOOD LAYUP by COMAN,SEAN(in the paint)",2
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",2
02:37,,60 (+2),,58,"GOOD LAYUP by SONE,CARLOS(in the paint)",OU 60-58 (+2),,"GOOD LAYUP by SONE,CARLOS(in the paint)",2
02:37,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",2
02:37,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:37,,60 (+1),,59,"GOOD FT by SONE,CARLOS",OU 60-59 (+1),,"GOOD FT by SONE,CARLOS",2
02:23,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",2
02:20,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",2
02:19,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
02:19,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",2
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",2
01:55,,,,,"FOUL  by CAMMON,JOSH",,,"FOUL  by CAMMON,JOSH",2
01:55,"GOOD FT by LINK,JACOB",61 (+2),,59,,HC 61-59 (+2),,"GOOD FT by LINK,JACOB",2
01:55,"GOOD FT by LINK,JACOB",62 (+3),,59,,HC 62-59 (+3),,"GOOD FT by LINK,JACOB",2
01:55,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
01:55,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
01:43,,,,,"MISS LAYUP by SONE,CARLOS",,,"MISS LAYUP by SONE,CARLOS",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
01:21,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",2
01:11,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",2
01:09,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",2
01:06,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",2
00:35,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:27,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:13,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",2
00:13,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
00:08,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",2
00:07,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",2
00:06,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
00:06,,62 (+2),,60,"GOOD FT by SONE,CARLOS",OU 62-60 (+2),,"GOOD FT by SONE,CARLOS",2
00:06,,62 (+1),,61,"GOOD FT by SONE,CARLOS",OU 62-61 (+1),,"GOOD FT by SONE,CARLOS",2
00:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:06,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
00:05,,,,,"FOUL  by SONE,CARLOS",,,"FOUL  by SONE,CARLOS",2
00:05,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:05,"GOOD FT by STANLEY,SETH",63 (+2),,61,,HC 63-61 (+2),,"GOOD FT by STANLEY,SETH",2
00:05,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
00:05,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",2
00:05,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",2
00:05,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
00:01,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
00:01,,63 (+1),,62,"GOOD FT by FOSTER,LANE",OU 63-62 (+1),,"GOOD FT by FOSTER,LANE",2
00:01,,63,,63,"GOOD FT by FOSTER,LANE",OU 63-63 (0),,"GOOD FT by FOSTER,LANE",2
00:01,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",2
00:01,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
05:00,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",3
05:00,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",3
04:37,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",3
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",3
04:29,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",3
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",3
04:24,,63,,65 (+2),"GOOD LAYUP by CAMMON,JOSH(in the paint)",OU 63-65 (-2),,"GOOD LAYUP by CAMMON,JOSH(in the paint)",3
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",3
03:57,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",3
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",3
03:37,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",3
03:36,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",3
03:30,,,,,"FOUL  by SONE,CARLOS",,,"FOUL  by SONE,CARLOS",3
03:30,"GOOD FT by LINK,JACOB",64,,65 (+1),,HC 64-65 (-1),,"GOOD FT by LINK,JACOB",3
03:26,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",3
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",3
03:08,,64,,68 (+4),"GOOD 3PTR by FOSTER,LANE",OU 64-68 (-4),,"GOOD 3PTR by FOSTER,LANE",3
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",3
02:41,"MISS 3PTR by II,ROD CUMMINGS",,,,,,,"MISS 3PTR by II,ROD CUMMINGS",3
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",3
02:25,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",3
--,,,,,"REBOUND OFF by CAMMON,JOSH",,,"REBOUND OFF by CAMMON,JOSH",3
02:19,,,,,"MISS LAYUP by CAMMON,JOSH",,,"MISS LAYUP by CAMMON,JOSH",3
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",3
02:03,"GOOD LAYUP by LINK,JACOB(in the paint)",66,,68 (+2),,HC 66-68 (-2),,"GOOD LAYUP by LINK,JACOB(in the paint)",3
01:41,,66,,70 (+4),"GOOD LAYUP by CAMMON,JOSH(in the paint)",OU 66-70 (-4),,"GOOD LAYUP by CAMMON,JOSH(in the paint)",3
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",3
01:41,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",3
01:41,,66,,71 (+5),"GOOD FT by CAMMON,JOSH",OU 66-71 (-5),,"GOOD FT by CAMMON,JOSH",3
01:15,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",3
00:56,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",3
00:56,,,,,"MISS FT by JENEI,RYAN",,,"MISS FT by JENEI,RYAN",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
00:56,,66,,72 (+6),"GOOD FT by JENEI,RYAN",OU 66-72 (-6),,"GOOD FT by JENEI,RYAN",3
00:42,"GOOD 3PTR by COMAN,SEAN",69,,72 (+3),,HC 69-72 (-3),,"GOOD 3PTR by COMAN,SEAN",3
--,"ASSIST  by II,ROD CUMMINGS",,,,,,,"ASSIST  by II,ROD CUMMINGS",3
00:39,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,3
00:11,,,,,"MISS JUMPER by CAMMON,JOSH",,,"MISS JUMPER by CAMMON,JOSH",3
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",3
00:00,,,,,"FOUL  by CHAMBERS,DIMETRI",,,"FOUL  by CHAMBERS,DIMETRI",3
00:00,"GOOD FT by STANLEY,SETH",70,,72 (+2),,HC 70-72 (-2),,"GOOD FT by STANLEY,SETH",3
00:00,"GOOD FT by STANLEY,SETH",71,,72 (+1),,HC 71-72 (-1),,"GOOD FT by STANLEY,SETH",3
00:00,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,3
00:00,"GOOD FT by STANLEY,SETH",72,,72,,HC 72-72 (0),,"GOOD FT by STANLEY,SETH",3
05:00,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",4
05:00,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",4
04:44,,72,,74 (+2),"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",OU 72-74 (-2),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",4
04:44,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",4
04:44,,72,,75 (+3),"GOOD FT by CHAMBERS,DIMETRI",OU 72-75 (-3),,"GOOD FT by CHAMBERS,DIMETRI",4
04:27,,,,,"FOUL  by CAMMON,JOSH",,,"FOUL  by CAMMON,JOSH",4
04:27,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",4
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,4
04:27,"GOOD FT by CONRAD,ALEX",73,,75 (+2),,HC 73-75 (-2),,"GOOD FT by CONRAD,ALEX",4
