Time Remaining,Hendri,Away Team Score,Play Team Indicator,Home Team Score,Ozarks,Game Score,Team Indicator,Play,Period
13:06,"GOOD FT by COMAN,SEAN",36,,48 (+12),,Hendri 36-48 (-12),,"GOOD FT by COMAN,SEAN",2
12:51,,,,,"SUB OUT by DAVIS,JACOBE",,,"SUB OUT by DAVIS,JACOBE",2
12:51,,,,,"SUB OUT by BOBO,ZACH",,,"SUB OUT by BOBO,ZACH",2
12:51,,,,,"SUB IN by JOHNSON,BRYSON",,,"SUB IN by JOHNSON,BRYSON",2
12:51,,,,,"SUB IN by RENELIQUE,DARNEL",,,"SUB IN by RENELIQUE,DARNEL",2
12:44,"GOOD FT by COMAN,SEAN",37,,48 (+11),,Hendri 37-48 (-11),,"GOOD FT by COMAN,SEAN",2
12:34,"FOUL  by COMAN,SEAN(in the paint)",,,,,,,"FOUL  by COMAN,SEAN(in the paint)",2
12:14,,,,,"FOUL  by BOWMAN,ETHAN",,,"FOUL  by BOWMAN,ETHAN",2
12:14,,,,,"TURNOVER  by BOWMAN,ETHAN",,,"TURNOVER  by BOWMAN,ETHAN",2
11:45,"GOOD 3PTR by COMAN,SEAN",40,,48 (+8),,Hendri 40-48 (-8),,"GOOD 3PTR by COMAN,SEAN",2
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",2
11:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:45,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
11:45,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",2
11:45,,,,,"MISS 3PTR by BOWMAN,ETHAN",,,"MISS 3PTR by BOWMAN,ETHAN",2
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",2
11:45,"GOOD LAYUP by STANLEY,SETH(fastbreak)",42,,48 (+6),,Hendri 42-48 (-6),,"GOOD LAYUP by STANLEY,SETH(fastbreak)",2
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",2
11:45,,,,,"TURNOVER  by WINSTON,CORDY(in the paint)",,,"TURNOVER  by WINSTON,CORDY(in the paint)",2
11:45,"STEAL  by CARTWRIGHT,BROOKS",,,,,,,"STEAL  by CARTWRIGHT,BROOKS",2
11:45,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND OFF by COMAN,SEAN",,,,,,,"REBOUND OFF by COMAN,SEAN",2
11:45,"GOOD LAYUP by CONRAD,ALEX(in the paint)",44,,48 (+4),,Hendri 44-48 (-4),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
11:45,,44,,51 (+7),"GOOD 3PTR by JOHNSON,BRYSON",Ozarks 44-51 (-7),,"GOOD 3PTR by JOHNSON,BRYSON",2
--,,,,,"ASSIST  by WINSTON,CORDY",,,"ASSIST  by WINSTON,CORDY",2
11:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:22,"GOOD JUMPER by STANLEY,SETH",46,,51 (+5),,Hendri 46-51 (-5),,"GOOD JUMPER by STANLEY,SETH",2
11:05,,,,,"MISS 3PTR by JOHNSON,BRYSON",,,"MISS 3PTR by JOHNSON,BRYSON",2
--,"REBOUND DEF by CRAWFORD,TRACE",,,,,,,"REBOUND DEF by CRAWFORD,TRACE",2
10:39,"TURNOVER  by CONRAD,ALEX(in the paint)",,,,,,,"TURNOVER  by CONRAD,ALEX(in the paint)",2
10:31,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,2
10:31,,46,,52 (+6),"GOOD FT by WINSTON,CORDY(fastbreak)",Ozarks 46-52 (-6),,"GOOD FT by WINSTON,CORDY(fastbreak)",2
10:31,,46,,53 (+7),"GOOD FT by WINSTON,CORDY(fastbreak)",Ozarks 46-53 (-7),,"GOOD FT by WINSTON,CORDY(fastbreak)",2
10:11,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
09:44,,,,,"MISS FT by HELZER,JAMES",,,"MISS FT by HELZER,JAMES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:41,,46,,54 (+8),"GOOD FT by HELZER,JAMES",Ozarks 46-54 (-8),,"GOOD FT by HELZER,JAMES",2
09:20,,,,,"FOUL  by BOBO,ZACH",,,"FOUL  by BOBO,ZACH",2
08:46,,,,,"FOUL  by BOBO,ZACH",,,"FOUL  by BOBO,ZACH",2
08:35,"GOOD FT by STANLEY,SETH",47,,54 (+7),,Hendri 47-54 (-7),,"GOOD FT by STANLEY,SETH",2
08:34,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",2
--,,,,,"REBOUND DEF by RENELIQUE,DARNEL",,,"REBOUND DEF by RENELIQUE,DARNEL",2
08:25,"FOUL  by STANLEY,SETH(in the paint)",,,,,,,"FOUL  by STANLEY,SETH(in the paint)",2
08:20,,47,,55 (+8),"GOOD FT by RENELIQUE,DARNEL",Ozarks 47-55 (-8),,"GOOD FT by RENELIQUE,DARNEL",2
08:20,,47,,56 (+9),"GOOD FT by RENELIQUE,DARNEL",Ozarks 47-56 (-9),,"GOOD FT by RENELIQUE,DARNEL",2
08:07,,,,,"FOUL  by RENELIQUE,DARNEL",,,"FOUL  by RENELIQUE,DARNEL",2
07:43,"GOOD FT by STANLEY,SETH",48,,56 (+8),,Hendri 48-56 (-8),,"GOOD FT by STANLEY,SETH",2
07:43,"GOOD FT by STANLEY,SETH",49,,56 (+7),,Hendri 49-56 (-7),,"GOOD FT by STANLEY,SETH",2
07:43,"SUB OUT by CUMMINGS II,ROD",,,,,,,"SUB OUT by CUMMINGS II,ROD",2
07:43,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
07:43,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",2
07:43,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
07:43,,49,,58 (+9),"GOOD JUMPER by BOBO,ZACH",Ozarks 49-58 (-9),,"GOOD JUMPER by BOBO,ZACH",2
07:43,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",2
07:43,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
07:43,,,,,"MISS JUMPER by BOBO,ZACH(in the paint)",,,"MISS JUMPER by BOBO,ZACH(in the paint)",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:43,"GOOD LAYUP by STANLEY,SETH(in the paint)",51,,58 (+7),,Hendri 51-58 (-7),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
07:43,,51,,61 (+10),"GOOD 3PTR by WINSTON,CORDY",Ozarks 51-61 (-10),,"GOOD 3PTR by WINSTON,CORDY",2
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",2
07:43,"GOOD 3PTR by STANLEY,SETH",54,,61 (+7),,Hendri 54-61 (-7),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
07:43,,,,,"MISS JUMPER by BOBO,ZACH(in the paint)",,,"MISS JUMPER by BOBO,ZACH(in the paint)",2
--,,,,,"REBOUND OFF by BOBO,ZACH",,,"REBOUND OFF by BOBO,ZACH",2
07:43,,,,,"FOUL  by WILHELM,CORY",,,"FOUL  by WILHELM,CORY",2
07:43,"GOOD FT by LINK,JACOB(fastbreak)",55,,61 (+6),,Hendri 55-61 (-6),,"GOOD FT by LINK,JACOB(fastbreak)",2
07:43,"MISS FT by LINK,JACOB(fastbreak)",,,,,,,"MISS FT by LINK,JACOB(fastbreak)",2
--,,,,,"REBOUND DEF by RENELIQUE,DARNEL",,,"REBOUND DEF by RENELIQUE,DARNEL",2
07:25,,,,,"TURNOVER  by RENELIQUE,DARNEL(in the paint)",,,"TURNOVER  by RENELIQUE,DARNEL(in the paint)",2
07:25,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",2
07:17,"GOOD 3PTR by COMAN,SEAN",58,,61 (+3),,Hendri 58-61 (-3),,"GOOD 3PTR by COMAN,SEAN",2
06:58,,,,,"MISS 3PTR by JOHNSON,BRYSON",,,"MISS 3PTR by JOHNSON,BRYSON",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
06:49,"GOOD JUMPER by STANLEY,SETH",60,,61 (+1),,Hendri 60-61 (-1),,"GOOD JUMPER by STANLEY,SETH",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
06:35,,,,,"SUB OUT by HELZER,JAMES",,,"SUB OUT by HELZER,JAMES",2
06:35,,,,,"SUB IN by WILHELM,CORY",,,"SUB IN by WILHELM,CORY",2
06:24,,60,,64 (+4),"GOOD 3PTR by BOWMAN,ETHAN",Ozarks 60-64 (-4),,"GOOD 3PTR by BOWMAN,ETHAN",2
--,,,,,"ASSIST  by WINSTON,CORDY",,,"ASSIST  by WINSTON,CORDY",2
06:07,"GOOD LAYUP by FITCH,CARL(in the paint)",62,,64 (+2),,Hendri 62-64 (-2),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
05:53,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
05:53,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
05:43,,,,,"TURNOVER  by BOWMAN,ETHAN",,,"TURNOVER  by BOWMAN,ETHAN",2
04:59,"GOOD 3PTR by STANLEY,SETH",65 (+1),,64,,Hendri 65-64 (+1),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
04:34,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
04:13,,65,,67 (+2),"GOOD 3PTR by DAVIS,JACOBE",Ozarks 65-67 (-2),,"GOOD 3PTR by DAVIS,JACOBE",2
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",2
03:58,,,,,"SUB OUT by BOWMAN,ETHAN",,,"SUB OUT by BOWMAN,ETHAN",2
03:58,,,,,"SUB IN by DAVIS,JACOBE",,,"SUB IN by DAVIS,JACOBE",2
03:48,"GOOD LAYUP by LINK,JACOB",67,,67,,Hendri 67-67 (0),,"GOOD LAYUP by LINK,JACOB",2
03:33,,,,,"TURNOVER  by DAVIS,JACOBE(in the paint)",,,"TURNOVER  by DAVIS,JACOBE(in the paint)",2
03:33,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",2
03:04,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND DEF by WINSTON,CORDY",,,"REBOUND DEF by WINSTON,CORDY",2
02:55,,67,,70 (+3),"GOOD 3PTR by DAVIS,JACOBE",Ozarks 67-70 (-3),,"GOOD 3PTR by DAVIS,JACOBE",2
--,,,,,"ASSIST  by WINSTON,CORDY",,,"ASSIST  by WINSTON,CORDY",2
02:27,,,,,"FOUL  by WILHELM,CORY(in the paint)",,,"FOUL  by WILHELM,CORY(in the paint)",2
02:01,"GOOD FT by FITCH,CARL",68,,70 (+2),,Hendri 68-70 (-2),,"GOOD FT by FITCH,CARL",2
02:01,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:01,,,,,"MISS 3PTR by WINSTON,CORDY",,,"MISS 3PTR by WINSTON,CORDY",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
02:01,,,,,"FOUL  by BOBO,ZACH",,,"FOUL  by BOBO,ZACH",2
02:01,"MISS FT by COMAN,SEAN(fastbreak)",,,,,,,"MISS FT by COMAN,SEAN(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:01,"GOOD FT by COMAN,SEAN(fastbreak)",69,,70 (+1),,Hendri 69-70 (-1),,"GOOD FT by COMAN,SEAN(fastbreak)",2
01:45,,69,,73 (+4),"GOOD 3PTR by WINSTON,CORDY",Ozarks 69-73 (-4),,"GOOD 3PTR by WINSTON,CORDY",2
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",2
01:20,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by DAVIS,JACOBE",,,"REBOUND DEF by DAVIS,JACOBE",2
01:01,,69,,75 (+6),"GOOD JUMPER by WINSTON,CORDY(in the paint)",Ozarks 69-75 (-6),,"GOOD JUMPER by WINSTON,CORDY(in the paint)",2
01:01,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:57,,,,,"FOUL  by RENELIQUE,DARNEL(in the paint)",,,"FOUL  by RENELIQUE,DARNEL(in the paint)",2
00:57,"GOOD FT by LINK,JACOB(fastbreak)",70,,75 (+5),,Hendri 70-75 (-5),,"GOOD FT by LINK,JACOB(fastbreak)",2
00:57,"GOOD FT by LINK,JACOB(fastbreak)",71,,75 (+4),,Hendri 71-75 (-4),,"GOOD FT by LINK,JACOB(fastbreak)",2
00:40,,,,,"TURNOVER  by WINSTON,CORDY(in the paint)",,,"TURNOVER  by WINSTON,CORDY(in the paint)",2
00:40,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",2
00:26,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by RENELIQUE,DARNEL",,,"REBOUND DEF by RENELIQUE,DARNEL",2
00:20,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
00:20,,71,,76 (+5),"GOOD FT by RENELIQUE,DARNEL(fastbreak)",Ozarks 71-76 (-5),,"GOOD FT by RENELIQUE,DARNEL(fastbreak)",2
00:20,,,,,"MISS FT by RENELIQUE,DARNEL(fastbreak)",,,"MISS FT by RENELIQUE,DARNEL(fastbreak)",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
00:12,"GOOD JUMPER by COMAN,SEAN",73,,76 (+3),,Hendri 73-76 (-3),,"GOOD JUMPER by COMAN,SEAN",2
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",2
00:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:12,,,,,"SUB OUT by WILHELM,CORY",,,"SUB OUT by WILHELM,CORY",2
00:12,,,,,"SUB IN by BOWMAN,ETHAN",,,"SUB IN by BOWMAN,ETHAN",2
00:12,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
00:12,"SUB IN by CUMMINGS II,ROD",,,,,,,"SUB IN by CUMMINGS II,ROD",2
00:09,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
00:09,,,,,"MISS FT by WINSTON,CORDY(fastbreak)",,,"MISS FT by WINSTON,CORDY(fastbreak)",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:04,"FOUL  by CUMMINGS II,ROD",,,,,,,"FOUL  by CUMMINGS II,ROD",2
00:04,,73,,77 (+4),"GOOD FT by BOWMAN,ETHAN(fastbreak)",Ozarks 73-77 (-4),,"GOOD FT by BOWMAN,ETHAN(fastbreak)",2
00:04,,73,,78 (+5),"GOOD FT by BOWMAN,ETHAN(fastbreak)",Ozarks 73-78 (-5),,"GOOD FT by BOWMAN,ETHAN(fastbreak)",2
