Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,UAFS,Game Score,Team Indicator,Play,Period
15:03,,47 (+2),,45,"GOOD LAYUP by ROLLINS,CHRIS(in the paint)",UAFS 47-45 (+2),,"GOOD LAYUP by ROLLINS,CHRIS(in the paint)",2
--,,,,,"ASSIST  by WILSON,MATTHEW",,,"ASSIST  by WILSON,MATTHEW",2
14:45,"GOOD LAYUP by CONRAD,ALEX(in the paint)",49 (+4),,45,,Hend 49-45 (+4),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
--,"ASSIST  by II,ROD CUMMINGS",,,,,,,"ASSIST  by II,ROD CUMMINGS",2
14:30,,,,,"MISS LAYUP by HALUMS,BRIAN",,,"MISS LAYUP by HALUMS,BRIAN",2
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",2
14:26,,,,,"FOUL  by HALUMS,BRIAN",,,"FOUL  by HALUMS,BRIAN",2
14:12,,,,,"FOUL  by ANDERSON,EVAN",,,"FOUL  by ANDERSON,EVAN",2
14:12,,,,,"SUB IN by BOYER,BRADEN",,,"SUB IN by BOYER,BRADEN",2
14:12,,,,,"SUB OUT by MORGAN,MATT",,,"SUB OUT by MORGAN,MATT",2
14:09,"MISS LAYUP by EATON,JACK",,,,,,,"MISS LAYUP by EATON,JACK",2
14:09,,,,,"BLOCK  by HALUMS,BRIAN",,,"BLOCK  by HALUMS,BRIAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:58,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by WILSON,MATTHEW",,,"REBOUND DEF by WILSON,MATTHEW",2
13:50,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",2
13:50,,49 (+3),,46,"GOOD FT by HALUMS,BRIAN",UAFS 49-46 (+3),,"GOOD FT by HALUMS,BRIAN",2
13:50,,,,,"MISS FT by HALUMS,BRIAN",,,"MISS FT by HALUMS,BRIAN",2
13:50,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",2
13:50,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
13:35,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",2
13:35,,,,,"STEAL  by ROLLINS,CHRIS",,,"STEAL  by ROLLINS,CHRIS",2
13:30,,,,,"MISS LAYUP by ROLLINS,CHRIS",,,"MISS LAYUP by ROLLINS,CHRIS",2
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",2
13:00,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",2
--,,,,,"REBOUND DEF by BOYER,BRADEN",,,"REBOUND DEF by BOYER,BRADEN",2
12:35,,49 (+1),,48,"GOOD JUMPER by WILSON,MATTHEW",UAFS 49-48 (+1),,"GOOD JUMPER by WILSON,MATTHEW",2
--,,,,,"ASSIST  by ANDERSON,EVAN",,,"ASSIST  by ANDERSON,EVAN",2
12:17,"GOOD 3PTR by STANLEY,SETH",52 (+4),,48,,Hend 52-48 (+4),,"GOOD 3PTR by STANLEY,SETH",2
11:55,,52 (+1),,51,"GOOD 3PTR by WILSON,MATTHEW",UAFS 52-51 (+1),,"GOOD 3PTR by WILSON,MATTHEW",2
11:34,,,,,"FOUL  by WILSON,MATTHEW",,,"FOUL  by WILSON,MATTHEW",2
11:34,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:34,"MISS FT by MOORE,AUSTIN",,,,,,,"MISS FT by MOORE,AUSTIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:34,"MISS FT by MOORE,AUSTIN",,,,,,,"MISS FT by MOORE,AUSTIN",2
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",2
11:34,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",2
11:34,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",2
11:34,,,,,"SUB IN by SIVINS,MATISS",,,"SUB IN by SIVINS,MATISS",2
11:34,,,,,"SUB OUT by ROLLINS,CHRIS",,,"SUB OUT by ROLLINS,CHRIS",2
11:30,"GOOD 3PTR by CARTWRIGHT,BROOKS",55 (+4),,51,,Hend 55-51 (+4),,"GOOD 3PTR by CARTWRIGHT,BROOKS",2
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",2
11:16,,,,,"TURNOVER  by HALUMS,BRIAN",,,"TURNOVER  by HALUMS,BRIAN",2
11:00,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by HALUMS,BRIAN",,,"REBOUND DEF by HALUMS,BRIAN",2
10:41,,,,,"MISS JUMPER by WILSON,MATTHEW",,,"MISS JUMPER by WILSON,MATTHEW",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:38,,,,,"FOUL  by BOYER,BRADEN",,,"FOUL  by BOYER,BRADEN",2
10:23,,,,,"SUB IN by ROLLINS,CHRIS",,,"SUB IN by ROLLINS,CHRIS",2
10:23,,,,,"SUB OUT by BOYER,BRADEN",,,"SUB OUT by BOYER,BRADEN",2
10:22,"GOOD LAYUP by CONRAD,ALEX(in the paint)",57 (+6),,51,,Hend 57-51 (+6),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
10:16,,57 (+3),,54,"GOOD 3PTR by HALUMS,BRIAN",UAFS 57-54 (+3),,"GOOD 3PTR by HALUMS,BRIAN",2
--,,,,,"ASSIST  by WILSON,MATTHEW",,,"ASSIST  by WILSON,MATTHEW",2
10:07,"MISS 3PTR by MOORE,AUSTIN",,,,,,,"MISS 3PTR by MOORE,AUSTIN",2
--,,,,,"REBOUND DEF by ANDERSON,EVAN",,,"REBOUND DEF by ANDERSON,EVAN",2
09:53,,57,,57,"GOOD 3PTR by HALUMS,BRIAN",UAFS 57-57 (0),,"GOOD 3PTR by HALUMS,BRIAN",2
--,,,,,"ASSIST  by WILSON,MATTHEW",,,"ASSIST  by WILSON,MATTHEW",2
09:39,"TURNOVER  by CARTWRIGHT,BROOKS",,,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",2
09:39,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",2
09:39,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",2
09:39,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",2
09:39,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
09:39,"SUB OUT by MOORE,AUSTIN",,,,,,,"SUB OUT by MOORE,AUSTIN",2
09:39,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
09:17,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
09:17,,,,,"MISS FT by HALUMS,BRIAN",,,"MISS FT by HALUMS,BRIAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:17,,57,,58 (+1),"GOOD FT by HALUMS,BRIAN",UAFS 57-58 (-1),,"GOOD FT by HALUMS,BRIAN",2
08:59,"GOOD LAYUP by STANLEY,SETH(in the paint)",59 (+1),,58,,Hend 59-58 (+1),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
08:40,,,,,"FOUL  by ROLLINS,CHRIS",,,"FOUL  by ROLLINS,CHRIS",2
08:40,,,,,"TURNOVER  by ROLLINS,CHRIS",,,"TURNOVER  by ROLLINS,CHRIS",2
08:20,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",2
08:10,,,,,"MISS JUMPER by WILSON,MATTHEW",,,"MISS JUMPER by WILSON,MATTHEW",2
--,,,,,"REBOUND OFF by ROLLINS,CHRIS",,,"REBOUND OFF by ROLLINS,CHRIS",2
08:03,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
08:03,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
08:03,,,,,"SUB IN by BOTCHWAY,CHARLES",,,"SUB IN by BOTCHWAY,CHARLES",2
08:03,,,,,"SUB OUT by ANDERSON,EVAN",,,"SUB OUT by ANDERSON,EVAN",2
07:58,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
07:58,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",2
07:58,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
07:58,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
07:58,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",2
07:51,,59,,60 (+1),"GOOD DUNK by HALUMS,BRIAN(in the paint)",UAFS 59-60 (-1),,"GOOD DUNK by HALUMS,BRIAN(in the paint)",2
--,,,,,"ASSIST  by ROLLINS,CHRIS",,,"ASSIST  by ROLLINS,CHRIS",2
07:41,"GOOD JUMPER by II,ROD CUMMINGS",61 (+1),,60,,Hend 61-60 (+1),,"GOOD JUMPER by II,ROD CUMMINGS",2
07:22,,,,,"FOUL  by HALUMS,BRIAN",,,"FOUL  by HALUMS,BRIAN",2
07:22,,,,,"TURNOVER  by HALUMS,BRIAN",,,"TURNOVER  by HALUMS,BRIAN",2
07:12,"GOOD 3PTR by COMAN,SEAN",64 (+4),,60,,Hend 64-60 (+4),,"GOOD 3PTR by COMAN,SEAN",2
--,"ASSIST  by PHILLIP,ADAM",,,,,,,"ASSIST  by PHILLIP,ADAM",2
06:41,,,,,"MISS 3PTR by HALUMS,BRIAN",,,"MISS 3PTR by HALUMS,BRIAN",2
--,"REBOUND DEF by PHILLIP,ADAM",,,,,,,"REBOUND DEF by PHILLIP,ADAM",2
06:31,"GOOD 3PTR by STANLEY,SETH",67 (+7),,60,,Hend 67-60 (+7),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",2
06:02,,,,,"MISS LAYUP by HALUMS,BRIAN",,,"MISS LAYUP by HALUMS,BRIAN",2
--,,,,,"REBOUND OFF by HALUMS,BRIAN",,,"REBOUND OFF by HALUMS,BRIAN",2
05:57,,67 (+5),,62,"GOOD LAYUP by HALUMS,BRIAN(in the paint)",UAFS 67-62 (+5),,"GOOD LAYUP by HALUMS,BRIAN(in the paint)",2
05:38,"GOOD 3PTR by EATON,JACK",70 (+8),,62,,Hend 70-62 (+8),,"GOOD 3PTR by EATON,JACK",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
05:24,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
05:23,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
05:23,"SUB OUT by PHILLIP,ADAM",,,,,,,"SUB OUT by PHILLIP,ADAM",2
05:11,,,,,"MISS LAYUP by BOTCHWAY,CHARLES",,,"MISS LAYUP by BOTCHWAY,CHARLES",2
--,,,,,"REBOUND OFF by HALUMS,BRIAN",,,"REBOUND OFF by HALUMS,BRIAN",2
05:07,,70 (+6),,64,"GOOD LAYUP by HALUMS,BRIAN(in the paint)",UAFS 70-64 (+6),,"GOOD LAYUP by HALUMS,BRIAN(in the paint)",2
05:07,,,,,"FOUL TECH by BOTCHWAY,CHARLES",,,"FOUL TECH by BOTCHWAY,CHARLES",2
05:07,,,,,"FOUL  by BOTCHWAY,CHARLES",,,"FOUL  by BOTCHWAY,CHARLES",2
05:07,"GOOD FT by STANLEY,SETH",71 (+7),,64,,Hend 71-64 (+7),,"GOOD FT by STANLEY,SETH",2
05:07,"GOOD FT by STANLEY,SETH",72 (+8),,64,,Hend 72-64 (+8),,"GOOD FT by STANLEY,SETH",2
04:57,"MISS JUMPER by II,ROD CUMMINGS",,,,,,,"MISS JUMPER by II,ROD CUMMINGS",2
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",2
04:53,,,,,"FOUL  by WILSON,MATTHEW",,,"FOUL  by WILSON,MATTHEW",2
04:53,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",2
--,,,,,"REBOUND DEF by ROLLINS,CHRIS",,,"REBOUND DEF by ROLLINS,CHRIS",2
04:46,,,,,"MISS JUMPER by WILSON,MATTHEW",,,"MISS JUMPER by WILSON,MATTHEW",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
04:31,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND DEF by BOTCHWAY,CHARLES",,,"REBOUND DEF by BOTCHWAY,CHARLES",2
04:14,,,,,"TURNOVER  by ROLLINS,CHRIS",,,"TURNOVER  by ROLLINS,CHRIS",2
04:14,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",2
03:56,"GOOD JUMPER by STANLEY,SETH",74 (+10),,64,,Hend 74-64 (+10),,"GOOD JUMPER by STANLEY,SETH",2
03:38,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
03:38,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:38,,74 (+9),,65,"GOOD FT by HALUMS,BRIAN",UAFS 74-65 (+9),,"GOOD FT by HALUMS,BRIAN",2
03:38,,,,,"MISS FT by HALUMS,BRIAN",,,"MISS FT by HALUMS,BRIAN",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
03:03,"GOOD JUMPER by STANLEY,SETH",76 (+11),,65,,Hend 76-65 (+11),,"GOOD JUMPER by STANLEY,SETH",2
02:48,,,,,"MISS LAYUP by BOTCHWAY,CHARLES",,,"MISS LAYUP by BOTCHWAY,CHARLES",2
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",2
02:42,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by SIVINS,MATISS",,,"REBOUND DEF by SIVINS,MATISS",2
02:28,,,,,"MISS 3PTR by SIVINS,MATISS",,,"MISS 3PTR by SIVINS,MATISS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:22,,,,,"SUB IN by ANDERSON,EVAN",,,"SUB IN by ANDERSON,EVAN",2
02:22,,,,,"SUB OUT by BOTCHWAY,CHARLES",,,"SUB OUT by BOTCHWAY,CHARLES",2
02:15,,,,,"MISS 3PTR by HALUMS,BRIAN",,,"MISS 3PTR by HALUMS,BRIAN",2
--,,,,,"REBOUND OFF by SIVINS,MATISS",,,"REBOUND OFF by SIVINS,MATISS",2
02:09,,76 (+9),,67,"GOOD LAYUP by SIVINS,MATISS(in the paint)",UAFS 76-67 (+9),,"GOOD LAYUP by SIVINS,MATISS(in the paint)",2
02:09,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",2
02:09,,76 (+8),,68,"GOOD FT by SIVINS,MATISS",UAFS 76-68 (+8),,"GOOD FT by SIVINS,MATISS",2
01:54,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",2
01:54,,,,,"STEAL  by HALUMS,BRIAN",,,"STEAL  by HALUMS,BRIAN",2
01:50,,76 (+6),,70,"GOOD DUNK by HALUMS,BRIAN(in the paint)",UAFS 76-70 (+6),,"GOOD DUNK by HALUMS,BRIAN(in the paint)",2
01:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:49,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",2
01:49,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
01:49,,,,,"SUB IN by HAWLEY,SETH",,,"SUB IN by HAWLEY,SETH",2
01:49,,,,,"SUB OUT by SIVINS,MATISS",,,"SUB OUT by SIVINS,MATISS",2
01:47,,,,,"FOUL  by ROLLINS,CHRIS",,,"FOUL  by ROLLINS,CHRIS",2
01:47,"GOOD FT by COMAN,SEAN",77 (+7),,70,,Hend 77-70 (+7),,"GOOD FT by COMAN,SEAN",2
01:47,"GOOD FT by COMAN,SEAN",78 (+8),,70,,Hend 78-70 (+8),,"GOOD FT by COMAN,SEAN",2
01:33,,,,,"MISS 3PTR by WILSON,MATTHEW",,,"MISS 3PTR by WILSON,MATTHEW",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
01:08,,,,,"FOUL  by HAWLEY,SETH",,,"FOUL  by HAWLEY,SETH",2
01:08,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
01:08,"GOOD FT by FITCH,CARL",79 (+9),,70,,Hend 79-70 (+9),,"GOOD FT by FITCH,CARL",2
01:08,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:08,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
01:08,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:08,"GOOD FT by STANLEY,SETH",80 (+10),,70,,Hend 80-70 (+10),,"GOOD FT by STANLEY,SETH",2
01:08,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",2
01:08,,80 (+9),,71,"GOOD FT by WILSON,MATTHEW",UAFS 80-71 (+9),,"GOOD FT by WILSON,MATTHEW",2
01:08,,80 (+8),,72,"GOOD FT by WILSON,MATTHEW",UAFS 80-72 (+8),,"GOOD FT by WILSON,MATTHEW",2
01:04,,,,,"TURNOVER  by ANDERSON,EVAN",,,"TURNOVER  by ANDERSON,EVAN",2
01:04,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",2
00:59,"GOOD LAYUP by STANLEY,SETH(in the paint)",82 (+10),,72,,Hend 82-72 (+10),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
00:49,,,,,"MISS LAYUP by WILSON,MATTHEW",,,"MISS LAYUP by WILSON,MATTHEW",2
--,,,,,"REBOUND OFF by HALUMS,BRIAN",,,"REBOUND OFF by HALUMS,BRIAN",2
00:47,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
00:47,,82 (+9),,73,"GOOD FT by HALUMS,BRIAN",UAFS 82-73 (+9),,"GOOD FT by HALUMS,BRIAN",2
00:47,,82 (+8),,74,"GOOD FT by HALUMS,BRIAN",UAFS 82-74 (+8),,"GOOD FT by HALUMS,BRIAN",2
00:47,,,,,"SUB IN by BOTCHWAY,CHARLES",,,"SUB IN by BOTCHWAY,CHARLES",2
00:47,,,,,"SUB OUT by ROLLINS,CHRIS",,,"SUB OUT by ROLLINS,CHRIS",2
00:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:39,"GOOD DUNK by FITCH,CARL(in the paint)",84 (+10),,74,,Hend 84-74 (+10),,"GOOD DUNK by FITCH,CARL(in the paint)",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
00:34,,,,,"MISS 3PTR by HALUMS,BRIAN",,,"MISS 3PTR by HALUMS,BRIAN",2
--,,,,,"REBOUND OFF by HAWLEY,SETH",,,"REBOUND OFF by HAWLEY,SETH",2
00:30,,84 (+8),,76,"GOOD LAYUP by HAWLEY,SETH(in the paint)",UAFS 84-76 (+8),,"GOOD LAYUP by HAWLEY,SETH(in the paint)",2
00:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:25,,,,,"FOUL  by ANDERSON,EVAN",,,"FOUL  by ANDERSON,EVAN",2
00:25,"GOOD FT by STANLEY,SETH",85 (+9),,76,,Hend 85-76 (+9),,"GOOD FT by STANLEY,SETH",2
00:25,"GOOD FT by STANLEY,SETH",86 (+10),,76,,Hend 86-76 (+10),,"GOOD FT by STANLEY,SETH",2
00:21,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
00:21,,86 (+9),,77,"GOOD FT by HALUMS,BRIAN",UAFS 86-77 (+9),,"GOOD FT by HALUMS,BRIAN",2
00:21,,86 (+8),,78,"GOOD FT by HALUMS,BRIAN",UAFS 86-78 (+8),,"GOOD FT by HALUMS,BRIAN",2
00:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:21,,,,,"FOUL  by WILSON,MATTHEW",,,"FOUL  by WILSON,MATTHEW",2
00:21,"GOOD FT by STANLEY,SETH",87 (+9),,78,,Hend 87-78 (+9),,"GOOD FT by STANLEY,SETH",2
00:21,"GOOD FT by STANLEY,SETH",88 (+10),,78,,Hend 88-78 (+10),,"GOOD FT by STANLEY,SETH",2
00:21,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
00:21,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",2
00:21,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",2
00:21,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
00:15,,,,,"MISS LAYUP by BOTCHWAY,CHARLES",,,"MISS LAYUP by BOTCHWAY,CHARLES",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
