Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
05:19,"MISS 3PTR by HARRIS,KEITH",,,,,,,"MISS 3PTR by HARRIS,KEITH",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
05:11,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
05:07,,16,,22 (+6),"GOOD LAYUP by FITCH,CARL(in the paint)",Hend 16-22 (+6),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
04:51,"MISS 3PTR by JONES,TAVONTA",,,,,,,"MISS 3PTR by JONES,TAVONTA",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:48,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",1
04:48,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",1
04:34,"TURNOVER  by JONES,TAVONTA",,,,,,,"TURNOVER  by JONES,TAVONTA",1
04:34,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
04:30,,16,,24 (+8),"GOOD JUMPER by II,ROD CUMMINGS(fastbreak)(in the paint)",Hend 16-24 (+8),,"GOOD JUMPER by II,ROD CUMMINGS(fastbreak)(in the paint)",1
04:15,"TURNOVER  by JONES,TAVONTA",,,,,,,"TURNOVER  by JONES,TAVONTA",1
04:15,,,,,"STEAL  by CRAWFORD,TRACE",,,"STEAL  by CRAWFORD,TRACE",1
04:11,,16,,26 (+10),"GOOD DUNK by STANLEY,SETH(fastbreak)(in the paint)",Hend 16-26 (+10),,"GOOD DUNK by STANLEY,SETH(fastbreak)(in the paint)",1
04:11,"FOUL  by WILKERSON,CARLOS",,,,,,,"FOUL  by WILKERSON,CARLOS",1
04:11,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
04:11,"SUB IN by JACKSON,TYLER",,,,,,,"SUB IN by JACKSON,TYLER",1
04:11,"SUB IN by ZERADJANIN,MILOS",,,,,,,"SUB IN by ZERADJANIN,MILOS",1
04:11,"SUB OUT by WILKERSON,CARLOS",,,,,,,"SUB OUT by WILKERSON,CARLOS",1
04:11,"SUB OUT by JONES,TAVONTA",,,,,,,"SUB OUT by JONES,TAVONTA",1
--,"REBOUND DEF by HINES,JAQUAN",,,,,,,"REBOUND DEF by HINES,JAQUAN",1
03:53,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",1
03:53,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:53,"GOOD FT by ZERADJANIN,MILOS",17,,26 (+9),,MUW 17-26 (+9),,"GOOD FT by ZERADJANIN,MILOS",1
03:53,"GOOD FT by ZERADJANIN,MILOS",18,,26 (+8),,MUW 18-26 (+8),,"GOOD FT by ZERADJANIN,MILOS",1
03:53,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
03:53,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
03:34,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
03:34,"BLOCK  by HINES,JAQUAN",,,,,,,"BLOCK  by HINES,JAQUAN",1
--,"REBOUND DEF by HARRIS,KEITH",,,,,,,"REBOUND DEF by HARRIS,KEITH",1
03:27,"MISS LAYUP by HARRIS,KEITH",,,,,,,"MISS LAYUP by HARRIS,KEITH",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
03:10,,18,,28 (+10),"GOOD LAYUP by FITCH,CARL(in the paint)",Hend 18-28 (+10),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
02:48,"MISS JUMPER by HINES,JAQUAN",,,,,,,"MISS JUMPER by HINES,JAQUAN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
02:24,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
02:24,"SUB IN by KIMMONS,BRIEN",,,,,,,"SUB IN by KIMMONS,BRIEN",1
02:24,"SUB OUT by HARRIS,KEITH",,,,,,,"SUB OUT by HARRIS,KEITH",1
02:09,"GOOD 3PTR by JACKSON,TYLER",21,,28 (+7),,MUW 21-28 (+7),,"GOOD 3PTR by JACKSON,TYLER",1
--,"ASSIST  by KIMMONS,BRIEN",,,,,,,"ASSIST  by KIMMONS,BRIEN",1
01:56,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
