Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
02:21,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
02:06,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
01:57,"GOOD LAYUP by AYERS,PERRY(in the paint)",31 (+5),,26,,CENTRE 31-26 (-5),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
01:39,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",1
01:39,,31 (+4),,27,"GOOD FT by STANLEY,SETH",HENDRIXM 31-27 (-4),,"GOOD FT by STANLEY,SETH",1
01:39,,31 (+3),,28,"GOOD FT by STANLEY,SETH",HENDRIXM 31-28 (-3),,"GOOD FT by STANLEY,SETH",1
01:21,"MISS LAYUP by CRUMP,DAWSON",,,,,,,"MISS LAYUP by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
01:14,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
01:03,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
00:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:40,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
00:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:14,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
00:14,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
00:14,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:01,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
19:46,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
19:44,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
19:34,,31,,31,"GOOD 3PTR by II,ROD CUMMINGS",HENDRIXM 31-31 (0),,"GOOD 3PTR by II,ROD CUMMINGS",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
19:14,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
19:02,,31,,33 (+2),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 31-33 (+2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",2
18:44,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
18:34,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",2
18:32,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
18:30,"GOOD DUNK by BATES,JACOB(fastbreak)(in the paint)",33,,33,,CENTRE 33-33 (0),,"GOOD DUNK by BATES,JACOB(fastbreak)(in the paint)",2
18:09,,33,,35 (+2),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 33-35 (+2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
17:57,"GOOD LAYUP by AYERS,PERRY(in the paint)",35,,35,,CENTRE 35-35 (0),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
17:39,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
17:39,,35,,36 (+1),"GOOD FT by STANLEY,SETH",HENDRIXM 35-36 (+1),,"GOOD FT by STANLEY,SETH",2
17:39,,35,,37 (+2),"GOOD FT by STANLEY,SETH",HENDRIXM 35-37 (+2),,"GOOD FT by STANLEY,SETH",2
17:39,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
17:39,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
17:24,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",37,,37,,CENTRE 37-37 (0),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",2
17:02,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
17:01,"STEAL  by CRUMP,DAWSON",,,,,,,"STEAL  by CRUMP,DAWSON",2
