Time Remaining,BBC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
00:08,,,,,"TURNOVER  by MOORE,AUSTIN",,,"TURNOVER  by MOORE,AUSTIN",1
00:07,"STEAL  by MCCONE,SEAN",,,,,,,"STEAL  by MCCONE,SEAN",1
00:05,"GOOD LAYUP by MCCONE,SEAN(fastbreak)(in the paint)",22,,37 (+15),,BBC 22-37 (+15),,"GOOD LAYUP by MCCONE,SEAN(fastbreak)(in the paint)",1
20:00,"SUB IN by STANISLAS,ELIJAH",,,,,,,"SUB IN by STANISLAS,ELIJAH",2
20:00,"SUB IN by MINTON,TRE",,,,,,,"SUB IN by MINTON,TRE",2
20:00,"SUB IN by MEINDERS,DAWSOM",,,,,,,"SUB IN by MEINDERS,DAWSOM",2
20:00,"SUB IN by FLOWERS,TRE",,,,,,,"SUB IN by FLOWERS,TRE",2
20:00,"SUB IN by BAKER,HUNTER",,,,,,,"SUB IN by BAKER,HUNTER",2
20:00,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
20:00,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",2
20:00,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
20:00,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
20:00,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",2
19:47,,22,,40 (+18),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 22-40 (+18),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
19:16,"MISS 3PTR by FLOWERS,TRE",,,,,,,"MISS 3PTR by FLOWERS,TRE",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
19:02,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
18:53,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",2
18:51,"STEAL  by MINTON,TRE",,,,,,,"STEAL  by MINTON,TRE",2
18:35,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",2
18:35,"GOOD FT by STANISLAS,ELIJAH",23,,40 (+17),,BBC 23-40 (+17),,"GOOD FT by STANISLAS,ELIJAH",2
18:35,"GOOD FT by STANISLAS,ELIJAH",24,,40 (+16),,BBC 24-40 (+16),,"GOOD FT by STANISLAS,ELIJAH",2
18:35,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",2
18:35,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
18:16,,24,,43 (+19),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 24-43 (+19),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",2
18:03,"MISS JUMPER by STANISLAS,ELIJAH",,,,,,,"MISS JUMPER by STANISLAS,ELIJAH",2
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",2
17:57,,24,,46 (+22),"GOOD 3PTR by CARTWRIGHT,BROOKS",HENDRIXM 24-46 (+22),,"GOOD 3PTR by CARTWRIGHT,BROOKS",2
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",2
17:39,"MISS LAYUP by FLOWERS,TRE",,,,,,,"MISS LAYUP by FLOWERS,TRE",2
--,"REBOUND OFF by FLOWERS,TRE",,,,,,,"REBOUND OFF by FLOWERS,TRE",2
17:35,"MISS 3PTR by MINTON,TRE",,,,,,,"MISS 3PTR by MINTON,TRE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:31,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
17:31,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
17:12,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
17:12,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
17:08,"MISS 3PTR by FLOWERS,TRE",,,,,,,"MISS 3PTR by FLOWERS,TRE",2
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",2
16:52,,24,,48 (+24),"GOOD LAYUP by CARTWRIGHT,BROOKS(in the paint)",HENDRIXM 24-48 (+24),,"GOOD LAYUP by CARTWRIGHT,BROOKS(in the paint)",2
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",2
16:34,"TURNOVER  by CARTER,BRANDON",,,,,,,"TURNOVER  by CARTER,BRANDON",2
16:33,,,,,"STEAL  by II,ROD CUMMINGS",,,"STEAL  by II,ROD CUMMINGS",2
16:28,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,"REBOUND DEF by FLOWERS,TRE",,,,,,,"REBOUND DEF by FLOWERS,TRE",2
16:20,"SUB IN by MCCONE,SEAN",,,,,,,"SUB IN by MCCONE,SEAN",2
16:20,"SUB IN by STANTON,GAVIN",,,,,,,"SUB IN by STANTON,GAVIN",2
16:20,"SUB OUT by FLOWERS,TRE",,,,,,,"SUB OUT by FLOWERS,TRE",2
16:20,"SUB OUT by BAKER,HUNTER",,,,,,,"SUB OUT by BAKER,HUNTER",2
16:20,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",2
16:20,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
16:13,"TURNOVER  by MCCONE,SEAN",,,,,,,"TURNOVER  by MCCONE,SEAN",2
16:07,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",2
16:05,"STEAL  by MEINDERS,DAWSOM",,,,,,,"STEAL  by MEINDERS,DAWSOM",2
16:03,"GOOD JUMPER by STANISLAS,ELIJAH",26,,48 (+22),,BBC 26-48 (+22),,"GOOD JUMPER by STANISLAS,ELIJAH",2
--,"ASSIST  by MCCONE,SEAN",,,,,,,"ASSIST  by MCCONE,SEAN",2
15:48,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
15:46,"STEAL  by STANISLAS,ELIJAH",,,,,,,"STEAL  by STANISLAS,ELIJAH",2
15:44,"TURNOVER  by STANISLAS,ELIJAH",,,,,,,"TURNOVER  by STANISLAS,ELIJAH",2
15:43,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",2
15:41,"FOUL  by MCCONE,SEAN",,,,,,,"FOUL  by MCCONE,SEAN",2
15:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:00,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND OFF by CARTWRIGHT,BROOKS",,,"REBOUND OFF by CARTWRIGHT,BROOKS",2
14:55,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",2
--,"REBOUND DEF by BAKER,HUNTER",,,,,,,"REBOUND DEF by BAKER,HUNTER",2
14:48,"MISS LAYUP by BAKER,HUNTER",,,,,,,"MISS LAYUP by BAKER,HUNTER",2
14:48,,,,,"BLOCK  by LINK,JACOB",,,"BLOCK  by LINK,JACOB",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
14:47,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
14:47,"GOOD FT by BAKER,HUNTER",27,,48 (+21),,BBC 27-48 (+21),,"GOOD FT by BAKER,HUNTER",2
14:47,"GOOD FT by BAKER,HUNTER",28,,48 (+20),,BBC 28-48 (+20),,"GOOD FT by BAKER,HUNTER",2
14:37,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",2
14:36,"STEAL  by STANISLAS,ELIJAH",,,,,,,"STEAL  by STANISLAS,ELIJAH",2
14:27,"MISS JUMPER by MCCONE,SEAN",,,,,,,"MISS JUMPER by MCCONE,SEAN",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
14:25,"FOUL  by STANISLAS,ELIJAH",,,,,,,"FOUL  by STANISLAS,ELIJAH",2
14:18,"SUB IN by PORTER,AUSTIN",,,,,,,"SUB IN by PORTER,AUSTIN",2
14:18,"SUB IN by FLOWERS,TRE",,,,,,,"SUB IN by FLOWERS,TRE",2
14:18,"SUB IN by BAKER,HUNTER",,,,,,,"SUB IN by BAKER,HUNTER",2
14:18,"SUB OUT by STANISLAS,ELIJAH",,,,,,,"SUB OUT by STANISLAS,ELIJAH",2
14:18,"SUB OUT by MCCONE,SEAN",,,,,,,"SUB OUT by MCCONE,SEAN",2
14:18,"SUB OUT by STANTON,GAVIN",,,,,,,"SUB OUT by STANTON,GAVIN",2
14:16,"FOUL  by FLOWERS,TRE",,,,,,,"FOUL  by FLOWERS,TRE",2
14:13,"FOUL  by PORTER,AUSTIN",,,,,,,"FOUL  by PORTER,AUSTIN",2
14:13,"SUB IN by CARTER,STERLING",,,,,,,"SUB IN by CARTER,STERLING",2
14:13,"SUB OUT by FLOWERS,TRE",,,,,,,"SUB OUT by FLOWERS,TRE",2
14:10,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",2
13:56,"MISS JUMPER by MINTON,TRE",,,,,,,"MISS JUMPER by MINTON,TRE",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
13:46,,,,,"TURNOVER  by CRAWFORD,TRACE",,,"TURNOVER  by CRAWFORD,TRACE",2
13:45,"STEAL  by CARTER,STERLING",,,,,,,"STEAL  by CARTER,STERLING",2
13:42,"MISS 3PTR by BAKER,HUNTER",,,,,,,"MISS 3PTR by BAKER,HUNTER",2
--,"REBOUND OFF by MINTON,TRE",,,,,,,"REBOUND OFF by MINTON,TRE",2
13:34,"GOOD LAYUP by MINTON,TRE(in the paint)",30,,48 (+18),,BBC 30-48 (+18),,"GOOD LAYUP by MINTON,TRE(in the paint)",2
13:11,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
13:04,,30,,51 (+21),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 30-51 (+21),,"GOOD 3PTR by STANLEY,SETH",2
13:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:01,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",2
13:01,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",2
12:58,"MISS JUMPER by BAKER,HUNTER",,,,,,,"MISS JUMPER by BAKER,HUNTER",2
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",2
12:54,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",2
12:53,"STEAL  by MINTON,TRE",,,,,,,"STEAL  by MINTON,TRE",2
12:49,"MISS 3PTR by MINTON,TRE",,,,,,,"MISS 3PTR by MINTON,TRE",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
12:42,"SUB IN by MCCONE,SEAN",,,,,,,"SUB IN by MCCONE,SEAN",2
12:42,"SUB OUT by BAKER,HUNTER",,,,,,,"SUB OUT by BAKER,HUNTER",2
12:30,,30,,53 (+23),"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",HENDRIXM 30-53 (+23),,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",2
12:10,"MISS LAYUP by PORTER,AUSTIN",,,,,,,"MISS LAYUP by PORTER,AUSTIN",2
12:10,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
12:04,"FOUL  by PORTER,AUSTIN",,,,,,,"FOUL  by PORTER,AUSTIN",2
12:04,"SUB IN by CARTER,BRANDON",,,,,,,"SUB IN by CARTER,BRANDON",2
12:04,"SUB OUT by PORTER,AUSTIN",,,,,,,"SUB OUT by PORTER,AUSTIN",2
12:01,"FOUL  by MINTON,TRE",,,,,,,"FOUL  by MINTON,TRE",2
12:01,,,,,"MISS 3PTR by II,ROD CUMMINGS",,,"MISS 3PTR by II,ROD CUMMINGS",2
--,"REBOUND DEF by CARTER,BRANDON",,,,,,,"REBOUND DEF by CARTER,BRANDON",2
12:01,"SUB IN by STANTON,GAVIN",,,,,,,"SUB IN by STANTON,GAVIN",2
12:01,"SUB OUT by CARTER,STERLING",,,,,,,"SUB OUT by CARTER,STERLING",2
11:55,"GOOD 3PTR by MINTON,TRE",33,,53 (+20),,BBC 33-53 (+20),,"GOOD 3PTR by MINTON,TRE",2
11:45,,33,,55 (+22),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 33-55 (+22),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",2
11:45,"FOUL  by CARTER,BRANDON",,,,,,,"FOUL  by CARTER,BRANDON",2
11:45,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:45,,33,,56 (+23),"GOOD FT by CONRAD,ALEX",HENDRIXM 33-56 (+23),,"GOOD FT by CONRAD,ALEX",2
11:34,"TURNOVER  by CARTER,BRANDON",,,,,,,"TURNOVER  by CARTER,BRANDON",2
11:33,,,,,"STEAL  by II,ROD CUMMINGS",,,"STEAL  by II,ROD CUMMINGS",2
11:28,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by CARTER,BRANDON",,,,,,,"REBOUND DEF by CARTER,BRANDON",2
11:09,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
10:59,"TURNOVER  by CARTER,BRANDON",,,,,,,"TURNOVER  by CARTER,BRANDON",2
10:52,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
10:52,"SUB IN by FLOWERS,TRE",,,,,,,"SUB IN by FLOWERS,TRE",2
10:52,"SUB OUT by MEINDERS,DAWSOM",,,,,,,"SUB OUT by MEINDERS,DAWSOM",2
10:42,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",2
10:42,"GOOD JUMPER by CARTER,BRANDON",35,,56 (+21),,BBC 35-56 (+21),,"GOOD JUMPER by CARTER,BRANDON",2
--,"ASSIST  by BAKER,HUNTER",,,,,,,"ASSIST  by BAKER,HUNTER",2
10:39,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:35,,35,,58 (+23),"GOOD LAYUP by II,ROD CUMMINGS(fastbreak)(in the paint)",HENDRIXM 35-58 (+23),,"GOOD LAYUP by II,ROD CUMMINGS(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
10:14,"GOOD JUMPER by CARTER,BRANDON",37,,58 (+21),,BBC 37-58 (+21),,"GOOD JUMPER by CARTER,BRANDON",2
--,"ASSIST  by BAKER,HUNTER",,,,,,,"ASSIST  by BAKER,HUNTER",2
10:05,,37,,60 (+23),"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",HENDRIXM 37-60 (+23),,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
10:05,,,,,"FOUL  by CARTWRIGHT,BROOKS",,,"FOUL  by CARTWRIGHT,BROOKS",2
10:05,,37,,61 (+24),"GOOD FT by COMAN,SEAN",HENDRIXM 37-61 (+24),,"GOOD FT by COMAN,SEAN",2
10:05,"SUB IN by CARTER,BRANDON",,,,,,,"SUB IN by CARTER,BRANDON",2
10:05,"SUB IN by MINTON,TRE",,,,,,,"SUB IN by MINTON,TRE",2
10:05,"SUB IN by MEINDERS,DAWSOM",,,,,,,"SUB IN by MEINDERS,DAWSOM",2
10:05,"SUB IN by FLOWERS,TRE",,,,,,,"SUB IN by FLOWERS,TRE",2
10:05,"SUB IN by BAKER,HUNTER",,,,,,,"SUB IN by BAKER,HUNTER",2
10:05,"SUB OUT by CARTER,BRANDON",,,,,,,"SUB OUT by CARTER,BRANDON",2
10:05,"SUB OUT by MINTON,TRE",,,,,,,"SUB OUT by MINTON,TRE",2
10:05,"SUB OUT by MCCONE,SEAN",,,,,,,"SUB OUT by MCCONE,SEAN",2
10:05,"SUB OUT by STANTON,GAVIN",,,,,,,"SUB OUT by STANTON,GAVIN",2
10:05,"SUB OUT by FLOWERS,TRE",,,,,,,"SUB OUT by FLOWERS,TRE",2
09:59,,,,,"FOUL  by PHILLIP,ADAM",,,"FOUL  by PHILLIP,ADAM",2
09:48,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
09:48,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",2
09:45,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",2
09:38,"MISS FT by MEINDERS,DAWSOM",,,,,,,"MISS FT by MEINDERS,DAWSOM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:32,"GOOD FT by MEINDERS,DAWSOM",38,,61 (+23),,BBC 38-61 (+23),,"GOOD FT by MEINDERS,DAWSOM",2
09:32,"GOOD FT by MEINDERS,DAWSOM",39,,61 (+22),,BBC 39-61 (+22),,"GOOD FT by MEINDERS,DAWSOM",2
09:17,,,,,"TURNOVER  by CRAWFORD,TRACE",,,"TURNOVER  by CRAWFORD,TRACE",2
09:17,"STEAL  by MINTON,TRE",,,,,,,"STEAL  by MINTON,TRE",2
08:58,"MISS JUMPER by CARTER,BRANDON",,,,,,,"MISS JUMPER by CARTER,BRANDON",2
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",2
08:48,"FOUL  by CARTER,BRANDON",,,,,,,"FOUL  by CARTER,BRANDON",2
08:48,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:48,,39,,62 (+23),"GOOD FT by FITCH,CARL",HENDRIXM 39-62 (+23),,"GOOD FT by FITCH,CARL",2
08:35,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",2
08:35,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
08:34,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",2
08:34,"GOOD FT by BAKER,HUNTER",40,,62 (+22),,BBC 40-62 (+22),,"GOOD FT by BAKER,HUNTER",2
08:34,"MISS FT by BAKER,HUNTER",,,,,,,"MISS FT by BAKER,HUNTER",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
08:20,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,,,,,"REBOUND OFF by PHILLIP,ADAM",,,"REBOUND OFF by PHILLIP,ADAM",2
08:15,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",2
--,"REBOUND DEF by STANISLAS,ELIJAH",,,,,,,"REBOUND DEF by STANISLAS,ELIJAH",2
08:06,"TURNOVER  by STANISLAS,ELIJAH",,,,,,,"TURNOVER  by STANISLAS,ELIJAH",2
08:02,"FOUL  by BAKER,HUNTER",,,,,,,"FOUL  by BAKER,HUNTER",2
08:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:16,,40,,63 (+23),"GOOD FT by PHILLIP,ADAM",HENDRIXM 40-63 (+23),,"GOOD FT by PHILLIP,ADAM",2
06:14,,40,,64 (+24),"GOOD FT by PHILLIP,ADAM",HENDRIXM 40-64 (+24),,"GOOD FT by PHILLIP,ADAM",2
06:00,"MISS 3PTR by BAKER,HUNTER",,,,,,,"MISS 3PTR by BAKER,HUNTER",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
05:56,,40,,66 (+26),"GOOD LAYUP by CARTWRIGHT,BROOKS(fastbreak)(in the paint)",HENDRIXM 40-66 (+26),,"GOOD LAYUP by CARTWRIGHT,BROOKS(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",2
05:51,"MISS 3PTR by MINTON,TRE",,,,,,,"MISS 3PTR by MINTON,TRE",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
05:42,"FOUL  by MEINDERS,DAWSOM",,,,,,,"FOUL  by MEINDERS,DAWSOM",2
05:42,,40,,67 (+27),"GOOD FT by FITCH,CARL",HENDRIXM 40-67 (+27),,"GOOD FT by FITCH,CARL",2
05:42,,40,,68 (+28),"GOOD FT by FITCH,CARL",HENDRIXM 40-68 (+28),,"GOOD FT by FITCH,CARL",2
05:23,"MISS JUMPER by STANISLAS,ELIJAH",,,,,,,"MISS JUMPER by STANISLAS,ELIJAH",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
05:21,,,,,"MISS 3PTR by PHILLIP,ADAM",,,"MISS 3PTR by PHILLIP,ADAM",2
--,,,,,"REBOUND OFF by CARTWRIGHT,BROOKS",,,"REBOUND OFF by CARTWRIGHT,BROOKS",2
05:21,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",2
--,"REBOUND DEF by FLOWERS,TRE",,,,,,,"REBOUND DEF by FLOWERS,TRE",2
05:18,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
05:18,"GOOD FT by FLOWERS,TRE",41,,68 (+27),,BBC 41-68 (+27),,"GOOD FT by FLOWERS,TRE",2
05:18,"GOOD FT by FLOWERS,TRE",42,,68 (+26),,BBC 42-68 (+26),,"GOOD FT by FLOWERS,TRE",2
05:18,,,,,"TURNOVER  by PHILLIP,ADAM",,,"TURNOVER  by PHILLIP,ADAM",2
05:18,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",2
05:18,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
05:17,"STEAL  by STANISLAS,ELIJAH",,,,,,,"STEAL  by STANISLAS,ELIJAH",2
05:15,"GOOD 3PTR by MINTON,TRE",45,,68 (+23),,BBC 45-68 (+23),,"GOOD 3PTR by MINTON,TRE",2
--,"ASSIST  by FLOWERS,TRE",,,,,,,"ASSIST  by FLOWERS,TRE",2
05:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:09,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
05:09,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND DEF by BAKER,HUNTER",,,,,,,"REBOUND DEF by BAKER,HUNTER",2
05:09,"MISS 3PTR by MEINDERS,DAWSOM",,,,,,,"MISS 3PTR by MEINDERS,DAWSOM",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
05:06,"FOUL  by STANISLAS,ELIJAH",,,,,,,"FOUL  by STANISLAS,ELIJAH",2
05:06,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:06,,45,,69 (+24),"GOOD FT by FITCH,CARL",HENDRIXM 45-69 (+24),,"GOOD FT by FITCH,CARL",2
05:06,"MISS 3PTR by MINTON,TRE",,,,,,,"MISS 3PTR by MINTON,TRE",2
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",2
05:06,,45,,70 (+25),"GOOD FT by COMAN,SEAN",HENDRIXM 45-70 (+25),,"GOOD FT by COMAN,SEAN",2
05:06,,45,,71 (+26),"GOOD FT by COMAN,SEAN",HENDRIXM 45-71 (+26),,"GOOD FT by COMAN,SEAN",2
05:06,"MISS JUMPER by FLOWERS,TRE",,,,,,,"MISS JUMPER by FLOWERS,TRE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:56,"MISS JUMPER by MINTON,TRE",,,,,,,"MISS JUMPER by MINTON,TRE",2
--,,,,,"REBOUND DEF by PHILLIP,ADAM",,,"REBOUND DEF by PHILLIP,ADAM",2
04:46,"FOUL  by STANISLAS,ELIJAH",,,,,,,"FOUL  by STANISLAS,ELIJAH",2
04:46,,45,,72 (+27),"GOOD FT by COMAN,SEAN",HENDRIXM 45-72 (+27),,"GOOD FT by COMAN,SEAN",2
04:46,,45,,73 (+28),"GOOD FT by COMAN,SEAN",HENDRIXM 45-73 (+28),,"GOOD FT by COMAN,SEAN",2
04:46,"SUB IN by PORTER,AUSTIN",,,,,,,"SUB IN by PORTER,AUSTIN",2
04:46,"SUB IN by MCCONE,SEAN",,,,,,,"SUB IN by MCCONE,SEAN",2
04:46,"SUB IN by STANTON,GAVIN",,,,,,,"SUB IN by STANTON,GAVIN",2
04:46,"SUB IN by CARTER,STERLING",,,,,,,"SUB IN by CARTER,STERLING",2
04:46,"SUB OUT by MINTON,TRE",,,,,,,"SUB OUT by MINTON,TRE",2
04:46,"SUB OUT by MEINDERS,DAWSOM",,,,,,,"SUB OUT by MEINDERS,DAWSOM",2
04:46,"SUB OUT by FLOWERS,TRE",,,,,,,"SUB OUT by FLOWERS,TRE",2
04:46,"SUB OUT by BAKER,HUNTER",,,,,,,"SUB OUT by BAKER,HUNTER",2
04:37,"TURNOVER  by CARTER,STERLING",,,,,,,"TURNOVER  by CARTER,STERLING",2
04:37,,,,,"SUB IN by PRINS,ZACHARY",,,"SUB IN by PRINS,ZACHARY",2
04:37,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",2
04:37,,,,,"SUB IN by JOHNSON,DAMECKO",,,"SUB IN by JOHNSON,DAMECKO",2
04:37,,,,,"SUB IN by WARREN,JOSH",,,"SUB IN by WARREN,JOSH",2
04:37,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
