Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
05:51,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
05:51,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
05:51,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
05:51,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",1
05:35,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
05:31,,19,,24 (+5),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIXM 19-24 (+5),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
05:14,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
05:12,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
05:12,,19,,25 (+6),"GOOD FT by FITCH,CARL",HENDRIXM 19-25 (+6),,"GOOD FT by FITCH,CARL",1
05:12,,19,,26 (+7),"GOOD FT by FITCH,CARL",HENDRIXM 19-26 (+7),,"GOOD FT by FITCH,CARL",1
04:46,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
04:46,"GOOD FT by CHILDERS,JOSH",20,,26 (+6),,BSC-M 20-26 (+6),,"GOOD FT by CHILDERS,JOSH",1
04:46,"MISS FT by CHILDERS,JOSH",,,,,,,"MISS FT by CHILDERS,JOSH",1
--,"REBOUND OFF by KANE,DENMAN",,,,,,,"REBOUND OFF by KANE,DENMAN",1
04:46,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
04:46,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
04:46,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
04:46,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
04:45,"MISS JUMPER by KANE,DENMAN",,,,,,,"MISS JUMPER by KANE,DENMAN",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
