Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,SPA,Game Score,Team Indicator,Play,Period
13:42,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
13:42,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
13:42,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
13:42,,,,,"SUB IN by SMITH,TEREZ",,,"SUB IN by SMITH,TEREZ",1
13:42,,,,,"SUB IN by WALLACE,KEITH",,,"SUB IN by WALLACE,KEITH",1
13:42,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
13:42,,,,,"SUB IN by MUMPHREY,OWEN",,,"SUB IN by MUMPHREY,OWEN",1
13:42,,,,,"SUB IN by ELLIS,DOMINIQUE",,,"SUB IN by ELLIS,DOMINIQUE",1
13:42,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
13:42,,,,,"SUB OUT by TRISKO,NICK",,,"SUB OUT by TRISKO,NICK",1
13:42,,,,,"SUB OUT by ROWE,RYLAN",,,"SUB OUT by ROWE,RYLAN",1
13:42,,,,,"SUB OUT by JEANNELAS,MATT",,,"SUB OUT by JEANNELAS,MATT",1
13:42,,,,,"SUB OUT by GOEING,BRANDON",,,"SUB OUT by GOEING,BRANDON",1
13:18,,,,,"MISS 3PTR by TRISKO,NICK",,,"MISS 3PTR by TRISKO,NICK",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
13:05,,,,,"SUB IN by TRISKO,NICK",,,"SUB IN by TRISKO,NICK",1
13:05,,,,,"SUB OUT by SMITH,TEREZ",,,"SUB OUT by SMITH,TEREZ",1
12:59,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",4,,7 (+3),,CEN 4-7 (-3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
12:46,,,,,"MISS 3PTR by ELLIS,DOMINIQUE",,,"MISS 3PTR by ELLIS,DOMINIQUE",1
--,"REBOUND DEF by KIDWELL,BRENT",,,,,,,"REBOUND DEF by KIDWELL,BRENT",1
12:37,"MISS LAYUP by KIDWELL,BRENT",,,,,,,"MISS LAYUP by KIDWELL,BRENT",1
--,,,,,"REBOUND DEF by MUMPHREY,OWEN",,,"REBOUND DEF by MUMPHREY,OWEN",1
12:32,,,,,"MISS JUMPER by ELLIS,DOMINIQUE",,,"MISS JUMPER by ELLIS,DOMINIQUE",1
--,,,,,"REBOUND OFF by TRISKO,NICK",,,"REBOUND OFF by TRISKO,NICK",1
12:25,,,,,"MISS JUMPER by MUMPHREY,OWEN",,,"MISS JUMPER by MUMPHREY,OWEN",1
12:25,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
12:00,,,,,"FOUL  by TRISKO,NICK",,,"FOUL  by TRISKO,NICK",1
12:00,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
12:00,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
12:00,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
12:00,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
12:00,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
12:00,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
12:00,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
12:00,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
12:00,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
12:00,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
12:00,,,,,"SUB IN by SMITH,TEREZ",,,"SUB IN by SMITH,TEREZ",1
12:00,,,,,"SUB OUT by TRISKO,NICK",,,"SUB OUT by TRISKO,NICK",1
11:50,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",6,,7 (+1),,CEN 6-7 (-1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
11:50,,,,,"FOUL  by WALLACE,KEITH",,,"FOUL  by WALLACE,KEITH",1
11:50,"GOOD FT by SCINTA,BLAKE",7,,7,,CEN 7-7 (0),,"GOOD FT by SCINTA,BLAKE",1
11:50,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
11:50,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
11:50,,,,,"SUB IN by COSBY,VICTOR",,,"SUB IN by COSBY,VICTOR",1
11:50,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
11:24,,7,,10 (+3),"GOOD 3PTR by COSBY,VICTOR",SPA 7-10 (-3),,"GOOD 3PTR by COSBY,VICTOR",1
10:55,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
10:54,,,,,"STEAL  by MUMPHREY,OWEN",,,"STEAL  by MUMPHREY,OWEN",1
10:27,,7,,13 (+6),"GOOD 3PTR by ELLIS,DOMINIQUE",SPA 7-13 (-6),,"GOOD 3PTR by ELLIS,DOMINIQUE",1
10:09,,,,,"FOUL  by SMITH,TEREZ",,,"FOUL  by SMITH,TEREZ",1
10:09,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
10:09,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
09:56,"GOOD LAYUP by WESLEY,TYLER(in the paint)",9,,13 (+4),,CEN 9-13 (-4),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
09:56,,,,,"FOUL  by WALLACE,KEITH",,,"FOUL  by WALLACE,KEITH",1
09:56,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by TRISKO,NICK",,,"REBOUND DEF by TRISKO,NICK",1
09:56,,,,,"SUB IN by TRISKO,NICK",,,"SUB IN by TRISKO,NICK",1
09:56,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
09:56,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
09:56,,,,,"SUB IN by ROWE,RYLAN",,,"SUB IN by ROWE,RYLAN",1
09:56,,,,,"SUB IN by GOEING,BRANDON",,,"SUB IN by GOEING,BRANDON",1
09:56,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
09:56,,,,,"SUB OUT by TRISKO,NICK",,,"SUB OUT by TRISKO,NICK",1
09:56,,,,,"SUB OUT by ROWE,RYLAN",,,"SUB OUT by ROWE,RYLAN",1
09:56,,,,,"SUB OUT by JEANNELAS,MATT",,,"SUB OUT by JEANNELAS,MATT",1
09:56,,,,,"SUB OUT by GOEING,BRANDON",,,"SUB OUT by GOEING,BRANDON",1
09:30,,,,,"MISS JUMPER by ROWE,RYLAN",,,"MISS JUMPER by ROWE,RYLAN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
09:20,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by ROWE,RYLAN",,,"REBOUND DEF by ROWE,RYLAN",1
09:01,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,,,,,"REBOUND OFF by ROWE,RYLAN",,,"REBOUND OFF by ROWE,RYLAN",1
08:50,,,,,"MISS 3PTR by ROWE,RYLAN",,,"MISS 3PTR by ROWE,RYLAN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
08:25,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,"REBOUND DEF by TRISKO,NICK",,,"REBOUND DEF by TRISKO,NICK",1
07:54,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
07:44,"TURNOVER  by EBERT,CARSON",,,,,,,"TURNOVER  by EBERT,CARSON",1
07:42,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
07:42,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
07:42,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
07:42,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
07:42,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
07:42,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
07:42,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
07:42,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
07:42,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
07:42,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
07:30,,9,,15 (+6),"GOOD JUMPER by TRISKO,NICK",SPA 9-15 (-6),,"GOOD JUMPER by TRISKO,NICK",1
--,,,,,"ASSIST  by MOORE,AUSTIN",,,"ASSIST  by MOORE,AUSTIN",1
07:13,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
