Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,FC,Game Score,Team Indicator,Play,Period
16:48,"GOOD LAYUP by WESLEY,TYLER(in the paint)",45 (+13),,32,,CENTRE 45-32 (+13),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
16:36,,,,,"MISS LAYUP by BEINEKE,JOHN",,,"MISS LAYUP by BEINEKE,JOHN",2
16:36,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
16:29,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",47 (+15),,32,,CENTRE 47-32 (+15),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
16:22,,,,,TIMEOUT TEAM by TM,,,TIMEOUT TEAM by TM,2
16:17,,,,,"FOUL  by MANN,AARON",,,"FOUL  by MANN,AARON",2
16:17,,,,,"TURNOVER  by MANN,AARON",,,"TURNOVER  by MANN,AARON",2
16:04,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",2
16:04,,,,,"BLOCK  by BEINEKE,JOHN",,,"BLOCK  by BEINEKE,JOHN",2
--,,,,,"REBOUND DEF by MANN,AARON",,,"REBOUND DEF by MANN,AARON",2
15:54,,,,,"MISS LAYUP by NIEHOFF,MATT",,,"MISS LAYUP by NIEHOFF,MATT",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
15:46,,,,,"FOUL  by PRATHER,ROBBIE",,,"FOUL  by PRATHER,ROBBIE",2
15:46,,,,,"SUB IN by MARTINDALE,JOSH",,,"SUB IN by MARTINDALE,JOSH",2
15:46,,,,,"SUB OUT by NIEHOFF,MATT",,,"SUB OUT by NIEHOFF,MATT",2
15:33,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",49 (+17),,32,,CENTRE 49-32 (+17),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
15:18,,49 (+14),,35,"GOOD 3PTR by WASHINGTON,TRAE",FC 49-35 (+14),,"GOOD 3PTR by WASHINGTON,TRAE",2
--,,,,,"ASSIST  by PRATHER,ROBBIE",,,"ASSIST  by PRATHER,ROBBIE",2
14:50,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",2
14:50,,,,,"BLOCK  by BEINEKE,JOHN",,,"BLOCK  by BEINEKE,JOHN",2
--,,,,,"REBOUND DEF by MANN,AARON",,,"REBOUND DEF by MANN,AARON",2
14:40,,49 (+12),,37,"GOOD LAYUP by MANN,AARON(in the paint)",FC 49-37 (+12),,"GOOD LAYUP by MANN,AARON(in the paint)",2
14:25,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
14:25,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
14:25,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
14:25,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
14:25,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
14:09,,49 (+10),,39,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",FC 49-39 (+10),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",2
--,,,,,"ASSIST  by PRATHER,ROBBIE",,,"ASSIST  by PRATHER,ROBBIE",2
13:44,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",2
13:44,"TURNOVER  by SCHMUCKER,ZACH",,,,,,,"TURNOVER  by SCHMUCKER,ZACH",2
13:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:27,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
13:27,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",2
13:27,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",2
13:27,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",2
13:22,,,,,"FOUL  by BEINEKE,JOHN",,,"FOUL  by BEINEKE,JOHN",2
13:22,,,,,"TURNOVER  by BEINEKE,JOHN",,,"TURNOVER  by BEINEKE,JOHN",2
13:22,,,,,"SUB IN by NIEHOFF,MATT",,,"SUB IN by NIEHOFF,MATT",2
13:22,,,,,"SUB OUT by BEINEKE,JOHN",,,"SUB OUT by BEINEKE,JOHN",2
13:10,"TURNOVER  by REPISHTI,BRYAN",,,,,,,"TURNOVER  by REPISHTI,BRYAN",2
13:05,,,,,"STEAL  by MANN,AARON",,,"STEAL  by MANN,AARON",2
13:04,,49 (+8),,41,"GOOD LAYUP by MANN,AARON(fastbreak)(in the paint)",FC 49-41 (+8),,"GOOD LAYUP by MANN,AARON(fastbreak)(in the paint)",2
12:44,,,,,"FOUL  by MARTINDALE,JOSH",,,"FOUL  by MARTINDALE,JOSH",2
12:44,"GOOD FT by WESLEY,TYLER",50 (+9),,41,,CENTRE 50-41 (+9),,"GOOD FT by WESLEY,TYLER",2
12:44,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by MANN,AARON",,,"REBOUND DEF by MANN,AARON",2
12:44,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
12:44,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
12:44,,,,,"SUB IN by BOLES,TREY",,,"SUB IN by BOLES,TREY",2
12:44,,,,,"SUB OUT by MARTINDALE,JOSH",,,"SUB OUT by MARTINDALE,JOSH",2
12:26,,,,,"MISS JUMPER by WASHINGTON,TRAE",,,"MISS JUMPER by WASHINGTON,TRAE",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
12:09,,,,,"FOUL  by NIEHOFF,MATT",,,"FOUL  by NIEHOFF,MATT",2
12:09,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
12:09,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
11:56,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
11:44,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
11:37,,50 (+7),,43,"GOOD LAYUP by MANN,AARON(in the paint)",FC 50-43 (+7),,"GOOD LAYUP by MANN,AARON(in the paint)",2
11:18,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
11:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
11:18,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",2
11:18,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
11:18,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
11:18,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",2
10:52,"FOUL  by EBERT,CARSON",,,,,,,"FOUL  by EBERT,CARSON",2
10:39,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
10:39,,50 (+6),,44,"GOOD FT by MANN,AARON",FC 50-44 (+6),,"GOOD FT by MANN,AARON",2
10:39,,50 (+5),,45,"GOOD FT by MANN,AARON",FC 50-45 (+5),,"GOOD FT by MANN,AARON",2
10:32,,,,,"FOUL  by PRATHER,ROBBIE",,,"FOUL  by PRATHER,ROBBIE",2
10:18,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
10:14,,,,,"FOUL  by BOLES,TREY",,,"FOUL  by BOLES,TREY",2
10:14,"GOOD FT by WESLEY,TYLER",51 (+6),,45,,CENTRE 51-45 (+6),,"GOOD FT by WESLEY,TYLER",2
10:14,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by MCCORY,BRETT",,,"REBOUND DEF by MCCORY,BRETT",2
10:14,,,,,"SUB IN by MCCORY,BRETT",,,"SUB IN by MCCORY,BRETT",2
10:14,,,,,"SUB OUT by BOLES,TREY",,,"SUB OUT by BOLES,TREY",2
09:56,,,,,"MISS 3PTR by WASHINGTON,TRAE",,,"MISS 3PTR by WASHINGTON,TRAE",2
--,"REBOUND DEF by EBERT,CARSON",,,,,,,"REBOUND DEF by EBERT,CARSON",2
09:33,,,,,"FOUL  by MCCORY,BRETT",,,"FOUL  by MCCORY,BRETT",2
09:33,"GOOD FT by SCINTA,BLAKE",52 (+7),,45,,CENTRE 52-45 (+7),,"GOOD FT by SCINTA,BLAKE",2
09:33,"GOOD FT by SCINTA,BLAKE",53 (+8),,45,,CENTRE 53-45 (+8),,"GOOD FT by SCINTA,BLAKE",2
09:33,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
09:33,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
09:25,,,,,"MISS 3PTR by PRATHER,ROBBIE",,,"MISS 3PTR by PRATHER,ROBBIE",2
--,,,,,REBOUND OFF by TM,,,REBOUND OFF by TM,2
09:21,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",2
09:21,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",2
09:17,"GOOD FT by WESLEY,TYLER",54 (+9),,45,,CENTRE 54-45 (+9),,"GOOD FT by WESLEY,TYLER",2
09:17,"GOOD FT by WESLEY,TYLER",55 (+10),,45,,CENTRE 55-45 (+10),,"GOOD FT by WESLEY,TYLER",2
09:17,,,,,"SUB IN by BEINEKE,JOHN",,,"SUB IN by BEINEKE,JOHN",2
09:17,,,,,"SUB OUT by NIEHOFF,MATT",,,"SUB OUT by NIEHOFF,MATT",2
09:16,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
09:16,,55 (+9),,46,"GOOD FT by MANN,AARON",FC 55-46 (+9),,"GOOD FT by MANN,AARON",2
09:16,,,,,"MISS FT by MANN,AARON",,,"MISS FT by MANN,AARON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:10,,,,,"FOUL  by NIEHOFF,MATT",,,"FOUL  by NIEHOFF,MATT",2
09:02,,55 (+6),,49,"GOOD 3PTR by WASHINGTON,TRAE",FC 55-49 (+6),,"GOOD 3PTR by WASHINGTON,TRAE",2
--,,,,,"ASSIST  by BEINEKE,JOHN",,,"ASSIST  by BEINEKE,JOHN",2
08:39,"TURNOVER  by REPISHTI,BRYAN",,,,,,,"TURNOVER  by REPISHTI,BRYAN",2
08:26,,,,,"MISS LAYUP by MANN,AARON",,,"MISS LAYUP by MANN,AARON",2
--,,,,,"REBOUND OFF by MANN,AARON",,,"REBOUND OFF by MANN,AARON",2
08:11,,,,,"MISS JUMPER by MANN,AARON",,,"MISS JUMPER by MANN,AARON",2
08:11,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND OFF by PRATHER,ROBBIE",,,"REBOUND OFF by PRATHER,ROBBIE",2
08:06,,,,,TURNOVER  by TM,,,TURNOVER  by TM,2
07:52,"GOOD JUMPER by SINE,TUCKER",57 (+8),,49,,CENTRE 57-49 (+8),,"GOOD JUMPER by SINE,TUCKER",2
07:34,,,,,"MISS LAYUP by BEINEKE,JOHN",,,"MISS LAYUP by BEINEKE,JOHN",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
07:17,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,REBOUND DEF by TM,,,REBOUND DEF by TM,2
07:14,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
07:14,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
06:58,,57 (+5),,52,"GOOD 3PTR by MANN,AARON",FC 57-52 (+5),,"GOOD 3PTR by MANN,AARON",2
06:37,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by BEINEKE,JOHN",,,"REBOUND DEF by BEINEKE,JOHN",2
06:29,,,,,"MISS LAYUP by MANN,AARON",,,"MISS LAYUP by MANN,AARON",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
06:06,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
06:05,,,,,"STEAL  by BEINEKE,JOHN",,,"STEAL  by BEINEKE,JOHN",2
05:39,,,,,"MISS LAYUP by MCCORY,BRETT",,,"MISS LAYUP by MCCORY,BRETT",2
05:39,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
05:11,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
05:10,,,,,"STEAL  by MANN,AARON",,,"STEAL  by MANN,AARON",2
05:06,"FOUL  by REPISHTI,BRYAN",,,,,,,"FOUL  by REPISHTI,BRYAN",2
05:06,,57 (+4),,53,"GOOD FT by MANN,AARON",FC 57-53 (+4),,"GOOD FT by MANN,AARON",2
05:06,,57 (+3),,54,"GOOD FT by MANN,AARON",FC 57-54 (+3),,"GOOD FT by MANN,AARON",2
05:06,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",2
05:06,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",2
04:49,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",59 (+5),,54,,CENTRE 59-54 (+5),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
04:32,,,,,"TURNOVER  by BEINEKE,JOHN",,,"TURNOVER  by BEINEKE,JOHN",2
04:30,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",2
04:09,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
04:09,,,,,"SUB IN by MARTINDALE,JOSH",,,"SUB IN by MARTINDALE,JOSH",2
04:09,,,,,"SUB OUT by BEINEKE,JOHN",,,"SUB OUT by BEINEKE,JOHN",2
03:57,,59 (+2),,57,"GOOD 3PTR by WASHINGTON,TRAE",FC 59-57 (+2),,"GOOD 3PTR by WASHINGTON,TRAE",2
--,,,,,"ASSIST  by PRATHER,ROBBIE",,,"ASSIST  by PRATHER,ROBBIE",2
03:43,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:43,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",2
03:43,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
03:35,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND DEF by MCCORY,BRETT",,,"REBOUND DEF by MCCORY,BRETT",2
03:07,,,,,"MISS 3PTR by PRATHER,ROBBIE",,,"MISS 3PTR by PRATHER,ROBBIE",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
02:47,,,,,"FOUL  by MARTINDALE,JOSH",,,"FOUL  by MARTINDALE,JOSH",2
02:47,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:47,"GOOD FT by SCINTA,BLAKE",60 (+3),,57,,CENTRE 60-57 (+3),,"GOOD FT by SCINTA,BLAKE",2
02:47,,,,,"SUB IN by BEINEKE,JOHN",,,"SUB IN by BEINEKE,JOHN",2
02:47,,,,,"SUB OUT by MARTINDALE,JOSH",,,"SUB OUT by MARTINDALE,JOSH",2
02:21,,,,,"MISS JUMPER by MANN,AARON",,,"MISS JUMPER by MANN,AARON",2
02:21,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
01:55,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",62 (+5),,57,,CENTRE 62-57 (+5),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by EBERT,CARSON",,,,,,,"ASSIST  by EBERT,CARSON",2
01:55,,,,,"FOUL  by MCCORY,BRETT",,,"FOUL  by MCCORY,BRETT",2
01:55,"GOOD FT by SCINTA,BLAKE",63 (+6),,57,,CENTRE 63-57 (+6),,"GOOD FT by SCINTA,BLAKE",2
01:55,,,,,TIMEOUT TEAM by TM,,,TIMEOUT TEAM by TM,2
01:32,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
01:16,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
01:16,,,,,"MISS FT by MANN,AARON",,,"MISS FT by MANN,AARON",2
--,,,,,REBOUND DEADB by TM,,,REBOUND DEADB by TM,2
01:16,,63 (+5),,58,"GOOD FT by MANN,AARON",FC 63-58 (+5),,"GOOD FT by MANN,AARON",2
01:13,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",65 (+7),,58,,CENTRE 65-58 (+7),,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",2
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",2
00:57,"FOUL  by EBERT,CARSON",,,,,,,"FOUL  by EBERT,CARSON",2
00:57,,65 (+6),,59,"GOOD FT by WASHINGTON,TRAE",FC 65-59 (+6),,"GOOD FT by WASHINGTON,TRAE",2
00:57,,65 (+5),,60,"GOOD FT by WASHINGTON,TRAE",FC 65-60 (+5),,"GOOD FT by WASHINGTON,TRAE",2
00:57,,,,,TIMEOUT TEAM by TM,,,TIMEOUT TEAM by TM,2
00:31,"GOOD JUMPER by REPISHTI,BRYAN",67 (+7),,60,,CENTRE 67-60 (+7),,"GOOD JUMPER by REPISHTI,BRYAN",2
00:27,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:27,,,,,"SUB IN by BOLES,TREY",,,"SUB IN by BOLES,TREY",2
00:27,,,,,"SUB OUT by MCCORY,BRETT",,,"SUB OUT by MCCORY,BRETT",2
00:20,,,,,"MISS JUMPER by PRATHER,ROBBIE",,,"MISS JUMPER by PRATHER,ROBBIE",2
--,"REBOUND DEF by REPISHTI,BRYAN",,,,,,,"REBOUND DEF by REPISHTI,BRYAN",2
00:16,,,,,"FOUL  by MANN,AARON",,,"FOUL  by MANN,AARON",2
00:16,,,,,"FOUL TECH by MANN,AARON",,,"FOUL TECH by MANN,AARON",2
00:16,"GOOD FT by SCINTA,BLAKE",68 (+8),,60,,CENTRE 68-60 (+8),,"GOOD FT by SCINTA,BLAKE",2
00:16,"GOOD FT by SCINTA,BLAKE",69 (+9),,60,,CENTRE 69-60 (+9),,"GOOD FT by SCINTA,BLAKE",2
00:16,"MISS FT by REPISHTI,BRYAN",,,,,,,"MISS FT by REPISHTI,BRYAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:16,"GOOD FT by REPISHTI,BRYAN",70 (+10),,60,,CENTRE 70-60 (+10),,"GOOD FT by REPISHTI,BRYAN",2
00:07,,,,,"MISS 3PTR by PRATHER,ROBBIE",,,"MISS 3PTR by PRATHER,ROBBIE",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
00:07,,,,,"FOUL  by BOLES,TREY",,,"FOUL  by BOLES,TREY",2
00:07,"GOOD FT by SCINTA,BLAKE",71 (+11),,60,,CENTRE 71-60 (+11),,"GOOD FT by SCINTA,BLAKE",2
00:07,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by BEINEKE,JOHN",,,"REBOUND DEF by BEINEKE,JOHN",2
00:07,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",2
00:07,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
00:07,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
00:07,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
00:07,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
00:07,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",2
00:07,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",2
00:07,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
00:02,,,,,"MISS 3PTR by PRATHER,ROBBIE",,,"MISS 3PTR by PRATHER,ROBBIE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
