Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,TRANSYM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by SCHUH,BO",,,"REBOUND OFF by SCHUH,BO",1
00:50,,,,,"MISS 3PTR by GORDON,LOWELL",,,"MISS 3PTR by GORDON,LOWELL",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
00:30,"MISS JUMPER by EBERT,CARSON",,,,,,,"MISS JUMPER by EBERT,CARSON",1
--,,,,,"REBOUND DEF by SCHUH,BO",,,"REBOUND DEF by SCHUH,BO",1
00:02,,,,,"FOUL  by SERGEANT,SAM",,,"FOUL  by SERGEANT,SAM",1
00:02,,,,,"TURNOVER  by SERGEANT,SAM",,,"TURNOVER  by SERGEANT,SAM",1
00:02,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
00:02,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
20:00,,,,,"SUB IN by STAFFORD,MICHAEL",,,"SUB IN by STAFFORD,MICHAEL",2
20:00,,,,,"SUB OUT by DENCE,ROBERT",,,"SUB OUT by DENCE,ROBERT",2
19:49,,,,,"MISS JUMPER by SCHUH,BO",,,"MISS JUMPER by SCHUH,BO",2
--,,,,,"REBOUND OFF by SCHUH,BO",,,"REBOUND OFF by SCHUH,BO",2
19:49,,34 (+11),,23,"GOOD TIPIN by SCHUH,BO(in the paint)",TRANSYM 34-23 (+11),,"GOOD TIPIN by SCHUH,BO(in the paint)",2
19:49,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
19:49,,34 (+10),,24,"GOOD FT by SCHUH,BO",TRANSYM 34-24 (+10),,"GOOD FT by SCHUH,BO",2
19:31,,,,,"FOUL  by SCHUH,BO",,,"FOUL  by SCHUH,BO",2
19:19,,,,,"FOUL  by SCHUH,BO",,,"FOUL  by SCHUH,BO",2
19:19,"GOOD FT by SCINTA,BLAKE",35 (+11),,24,,CENTRE 35-24 (+11),,"GOOD FT by SCINTA,BLAKE",2
19:19,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by THEOBALD,COOPER",,,"REBOUND DEF by THEOBALD,COOPER",2
19:07,,,,,"MISS JUMPER by JONES,ALEX",,,"MISS JUMPER by JONES,ALEX",2
19:07,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND OFF by THEOBALD,COOPER",,,"REBOUND OFF by THEOBALD,COOPER",2
19:01,,,,,"MISS 3PTR by SCHUH,BO",,,"MISS 3PTR by SCHUH,BO",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:48,,,,,"MISS 3PTR by SCHUH,BO",,,"MISS 3PTR by SCHUH,BO",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
18:28,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",2
--,,,,,"REBOUND DEF by STAFFORD,MICHAEL",,,"REBOUND DEF by STAFFORD,MICHAEL",2
