Time Remaining,STE,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
01:18,,,,,"SUB OUT by PERGANDE,QUINN",,,"SUB OUT by PERGANDE,QUINN",2
01:18,,,,,"SUB OUT by MAYFIELD,DEE",,,"SUB OUT by MAYFIELD,DEE",2
01:18,,,,,"SUB OUT by SPRICK,PAUL",,,"SUB OUT by SPRICK,PAUL",2
01:18,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",2
01:18,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",2
00:45,"MISS JUMPER by DAY,CHRIS",,,,,,,"MISS JUMPER by DAY,CHRIS",2
--,"REBOUND OFF by BYRD,MICHAEL",,,,,,,"REBOUND OFF by BYRD,MICHAEL",2
00:45,,,,,"FOUL  by PERGANDE,QUINN",,,"FOUL  by PERGANDE,QUINN",2
00:45,"GOOD FT by BYRD,MICHAEL",52,,73 (+21),,STE 52-73 (+21),,"GOOD FT by BYRD,MICHAEL",2
00:45,"GOOD FT by BYRD,MICHAEL",53,,73 (+20),,STE 53-73 (+20),,"GOOD FT by BYRD,MICHAEL",2
00:23,,,,,"MISS 3PTR by MAYFIELD,DEE",,,"MISS 3PTR by MAYFIELD,DEE",2
--,"REBOUND DEF by DAY,CHRIS",,,,,,,"REBOUND DEF by DAY,CHRIS",2
00:01,"MISS 3PTR by HILL,RYAN",,,,,,,"MISS 3PTR by HILL,RYAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
