Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,TASMBB,Game Score,Team Indicator,Play,Period
16:44,,39 (+1),,38,"GOOD JUMPER by ATKINSON,QUINN",TASMBB 39-38 (+1),,"GOOD JUMPER by ATKINSON,QUINN",2
16:15,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
16:15,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
16:15,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
16:15,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",2
16:15,,,,,"SUB IN by MASON,ROBERT WADE",,,"SUB IN by MASON,ROBERT WADE",2
16:15,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",2
16:15,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
16:15,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
16:15,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",2
15:52,,,,,"MISS JUMPER by MANCUSO,LOGAN",,,"MISS JUMPER by MANCUSO,LOGAN",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
15:34,"GOOD 3PTR by EBERT,CARSON",42 (+4),,38,,CENTRE 42-38 (+4),,"GOOD 3PTR by EBERT,CARSON",2
15:08,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
14:50,,,,,"MISS 3PTR by MASON,ROBERT WADE",,,"MISS 3PTR by MASON,ROBERT WADE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
14:48,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
14:48,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
14:34,,42 (+2),,40,"GOOD JUMPER by ATKINSON,QUINN",TASMBB 42-40 (+2),,"GOOD JUMPER by ATKINSON,QUINN",2
14:34,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
14:34,,42 (+1),,41,"GOOD FT by ATKINSON,QUINN",TASMBB 42-41 (+1),,"GOOD FT by ATKINSON,QUINN",2
14:18,"GOOD 3PTR by SCINTA,BLAKE",45 (+4),,41,,CENTRE 45-41 (+4),,"GOOD 3PTR by SCINTA,BLAKE",2
--,"ASSIST  by EBERT,CARSON",,,,,,,"ASSIST  by EBERT,CARSON",2
14:01,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
14:01,,45 (+3),,42,"GOOD FT by ATKINSON,QUINN",TASMBB 45-42 (+3),,"GOOD FT by ATKINSON,QUINN",2
14:01,,45 (+2),,43,"GOOD FT by ATKINSON,QUINN",TASMBB 45-43 (+2),,"GOOD FT by ATKINSON,QUINN",2
14:01,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
14:01,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
13:40,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",2
13:40,"GOOD FT by SCINTA,BLAKE",46 (+3),,43,,CENTRE 46-43 (+3),,"GOOD FT by SCINTA,BLAKE",2
13:40,"GOOD FT by SCINTA,BLAKE",47 (+4),,43,,CENTRE 47-43 (+4),,"GOOD FT by SCINTA,BLAKE",2
13:20,,,,,"MISS JUMPER by MASON,ROBERT WADE",,,"MISS JUMPER by MASON,ROBERT WADE",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
12:59,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
12:48,,47 (+2),,45,"GOOD JUMPER by MASON,ROBERT WADE",TASMBB 47-45 (+2),,"GOOD JUMPER by MASON,ROBERT WADE",2
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",2
12:29,"TURNOVER  by EBERT,CARSON",,,,,,,"TURNOVER  by EBERT,CARSON",2
12:28,,,,,"STEAL  by MASON,ROBERT WADE",,,"STEAL  by MASON,ROBERT WADE",2
12:21,,47,,47,"GOOD JUMPER by MASON,ROBERT WADE",TASMBB 47-47 (0),,"GOOD JUMPER by MASON,ROBERT WADE",2
--,,,,,"ASSIST  by MANCUSO,LOGAN",,,"ASSIST  by MANCUSO,LOGAN",2
12:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:11,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
12:11,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
12:11,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
12:11,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",2
11:59,"GOOD 3PTR by GRUBER,SAM",50 (+3),,47,,CENTRE 50-47 (+3),,"GOOD 3PTR by GRUBER,SAM",2
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",2
11:39,,,,,"MISS 3PTR by JONES,BLAKE",,,"MISS 3PTR by JONES,BLAKE",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
11:27,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",2
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",2
11:18,"FOUL  by EBERT,CARSON",,,,,,,"FOUL  by EBERT,CARSON",2
11:18,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
11:18,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
11:10,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
11:10,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
10:55,"GOOD 3PTR by GRUBER,SAM",53 (+6),,47,,CENTRE 53-47 (+6),,"GOOD 3PTR by GRUBER,SAM",2
10:35,,,,,"MISS JUMPER by MASON,ROBERT WADE",,,"MISS JUMPER by MASON,ROBERT WADE",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
10:12,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",2
10:12,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",2
--,,,,,"REBOUND DEF by MASON,ROBERT WADE",,,"REBOUND DEF by MASON,ROBERT WADE",2
10:05,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",2
10:03,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",2
09:49,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",2
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",2
09:44,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",55 (+8),,47,,CENTRE 55-47 (+8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
09:44,,,,,"FOUL  by MASON,ROBERT WADE",,,"FOUL  by MASON,ROBERT WADE",2
09:44,"GOOD FT by SCINTA,BLAKE",56 (+9),,47,,CENTRE 56-47 (+9),,"GOOD FT by SCINTA,BLAKE",2
09:44,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
09:44,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
09:44,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
09:44,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",2
09:44,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
09:44,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
09:44,,,,,"SUB OUT by MASON,ROBERT WADE",,,"SUB OUT by MASON,ROBERT WADE",2
09:44,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",2
09:33,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
09:27,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:24,"FOUL  by GRUBER,SAM",,,,,,,"FOUL  by GRUBER,SAM",2
09:20,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
09:19,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
09:19,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
09:19,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
09:19,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",2
09:19,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
08:56,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
08:35,,56 (+7),,49,"GOOD JUMPER by ATKINSON,QUINN",TASMBB 56-49 (+7),,"GOOD JUMPER by ATKINSON,QUINN",2
08:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:22,"GOOD LAYUP by SINE,TUCKER(in the paint)",58 (+9),,49,,CENTRE 58-49 (+9),,"GOOD LAYUP by SINE,TUCKER(in the paint)",2
08:03,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
08:03,,,,,"MISS FT by MARKWITH,TRENT",,,"MISS FT by MARKWITH,TRENT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:03,,58 (+8),,50,"GOOD FT by MARKWITH,TRENT",TASMBB 58-50 (+8),,"GOOD FT by MARKWITH,TRENT",2
08:03,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
08:03,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
07:44,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",2
07:27,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
07:19,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
07:16,,,,,"STEAL  by MARKWITH,TRENT",,,"STEAL  by MARKWITH,TRENT",2
07:14,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
07:14,,58 (+7),,51,"GOOD FT by MARKWITH,TRENT",TASMBB 58-51 (+7),,"GOOD FT by MARKWITH,TRENT",2
07:14,,58 (+6),,52,"GOOD FT by MARKWITH,TRENT",TASMBB 58-52 (+6),,"GOOD FT by MARKWITH,TRENT",2
07:14,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",2
07:14,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",2
07:14,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",2
06:53,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
06:51,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",2
06:48,,58 (+4),,54,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",TASMBB 58-54 (+4),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",2
06:26,,,,,"FOUL  by MASON,ROBERT WADE",,,"FOUL  by MASON,ROBERT WADE",2
06:26,"GOOD FT by WESLEY,TYLER",59 (+5),,54,,CENTRE 59-54 (+5),,"GOOD FT by WESLEY,TYLER",2
06:26,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
06:26,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",2
06:26,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
06:26,,,,,"SUB IN by MASON,ROBERT WADE",,,"SUB IN by MASON,ROBERT WADE",2
06:26,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",2
06:19,,,,,"MISS LAYUP by ROBERTSON,MARC",,,"MISS LAYUP by ROBERTSON,MARC",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:17,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
06:17,,,,,"MISS FT by MARKWITH,TRENT",,,"MISS FT by MARKWITH,TRENT",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
06:17,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
06:17,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
05:56,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",2
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",2
05:46,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:28,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
05:28,,59 (+4),,55,"GOOD FT by GAGEN,BRENNAN",TASMBB 59-55 (+4),,"GOOD FT by GAGEN,BRENNAN",2
05:28,,59 (+3),,56,"GOOD FT by GAGEN,BRENNAN",TASMBB 59-56 (+3),,"GOOD FT by GAGEN,BRENNAN",2
05:28,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
05:28,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
05:28,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",2
05:28,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
05:28,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",2
05:28,,,,,"SUB OUT by MASON,ROBERT WADE",,,"SUB OUT by MASON,ROBERT WADE",2
05:23,"GOOD LAYUP by EBERT,CARSON(fastbreak)(in the paint)",61 (+5),,56,,CENTRE 61-56 (+5),,"GOOD LAYUP by EBERT,CARSON(fastbreak)(in the paint)",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
05:12,,61 (+3),,58,"GOOD JUMPER by ROBERTSON,MARC",TASMBB 61-58 (+3),,"GOOD JUMPER by ROBERTSON,MARC",2
04:47,"TURNOVER  by GRUBER,SAM",,,,,,,"TURNOVER  by GRUBER,SAM",2
04:45,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",2
04:36,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
04:23,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",2
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",2
03:56,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",2
03:54,"STEAL  by GRUBER,SAM",,,,,,,"STEAL  by GRUBER,SAM",2
03:37,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",2
03:37,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
03:13,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
03:13,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:13,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
03:13,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
03:02,"MISS LAYUP by GRUBER,SAM",,,,,,,"MISS LAYUP by GRUBER,SAM",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
02:40,,61 (+1),,60,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",TASMBB 61-60 (+1),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
02:14,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
02:14,"GOOD FT by SINE,TUCKER",62 (+2),,60,,CENTRE 62-60 (+2),,"GOOD FT by SINE,TUCKER",2
02:14,"GOOD FT by SINE,TUCKER",63 (+3),,60,,CENTRE 63-60 (+3),,"GOOD FT by SINE,TUCKER",2
02:14,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
02:14,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",2
02:14,,,,,"SUB IN by MASON,ROBERT WADE",,,"SUB IN by MASON,ROBERT WADE",2
02:14,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
02:04,,63 (+1),,62,"GOOD JUMPER by ATKINSON,QUINN",TASMBB 63-62 (+1),,"GOOD JUMPER by ATKINSON,QUINN",2
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",2
01:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:47,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",65 (+3),,62,,CENTRE 65-62 (+3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
01:26,,65,,65,"GOOD 3PTR by ROBERTSON,MARC",TASMBB 65-65 (0),,"GOOD 3PTR by ROBERTSON,MARC",2
01:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:59,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",2
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",2
00:43,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:39,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
00:39,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
00:16,"GOOD 3PTR by GRUBER,SAM",68 (+3),,65,,CENTRE 68-65 (+3),,"GOOD 3PTR by GRUBER,SAM",2
--,"ASSIST  by EBERT,CARSON",,,,,,,"ASSIST  by EBERT,CARSON",2
00:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:16,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
00:16,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
00:16,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
00:16,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",2
00:09,,68,,68,"GOOD 3PTR by ROBERTSON,MARC",TASMBB 68-68 (0),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",2
00:00,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:00,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",3
05:00,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",3
05:00,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",3
05:00,,,,,"SUB OUT by MASON,ROBERT WADE",,,"SUB OUT by MASON,ROBERT WADE",3
04:34,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",70 (+2),,68,,CENTRE 70-68 (+2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",3
04:33,"GOOD FT by SCINTA,BLAKE",71 (+3),,68,,CENTRE 71-68 (+3),,"GOOD FT by SCINTA,BLAKE",3
04:33,,,,,"SUB IN by MASON,ROBERT WADE",,,"SUB IN by MASON,ROBERT WADE",3
04:33,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",3
04:32,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",3
04:19,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",3
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",3
03:59,"GOOD 3PTR by SINE,TUCKER",74 (+6),,68,,CENTRE 74-68 (+6),,"GOOD 3PTR by SINE,TUCKER",3
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",3
03:38,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",3
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",3
03:09,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",3
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",3
02:46,"GOOD LAYUP by WESLEY,TYLER(in the paint)",76 (+8),,68,,CENTRE 76-68 (+8),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",3
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",3
02:31,,76 (+6),,70,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",TASMBB 76-70 (+6),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",3
02:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
02:08,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",3
--,"REBOUND OFF by EBERT,CARSON",,,,,,,"REBOUND OFF by EBERT,CARSON",3
01:58,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
01:58,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",3
01:58,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",3
01:46,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",78 (+8),,70,,CENTRE 78-70 (+8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",3
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",3
01:30,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",3
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,3
01:28,,,,,"FOUL  by ATKINSON,QUINN",,,"FOUL  by ATKINSON,QUINN",3
01:28,"GOOD FT by SCINTA,BLAKE",79 (+9),,70,,CENTRE 79-70 (+9),,"GOOD FT by SCINTA,BLAKE",3
01:28,"GOOD FT by SCINTA,BLAKE",80 (+10),,70,,CENTRE 80-70 (+10),,"GOOD FT by SCINTA,BLAKE",3
01:28,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",3
01:28,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",3
01:22,,80 (+7),,73,"GOOD 3PTR by ATKINSON,QUINN",TASMBB 80-73 (+7),,"GOOD 3PTR by ATKINSON,QUINN",3
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",3
01:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
01:17,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",3
01:17,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",3
01:17,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",3
01:17,,,,,"SUB OUT by MASON,ROBERT WADE",,,"SUB OUT by MASON,ROBERT WADE",3
00:59,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,3
00:54,,80 (+4),,76,"GOOD 3PTR by ATKINSON,QUINN",TASMBB 80-76 (+4),,"GOOD 3PTR by ATKINSON,QUINN",3
00:40,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,3
00:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:29,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",3
00:29,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",3
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",3
00:23,,80 (+2),,78,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",TASMBB 80-78 (+2),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",3
00:17,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",3
00:17,"GOOD FT by SINE,TUCKER",81 (+3),,78,,CENTRE 81-78 (+3),,"GOOD FT by SINE,TUCKER",3
00:17,"GOOD FT by SINE,TUCKER",82 (+4),,78,,CENTRE 82-78 (+4),,"GOOD FT by SINE,TUCKER",3
00:17,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",3
00:17,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",3
00:12,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",3
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",3
00:07,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",3
