Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
05:07,"FOUL  by GALVIN,DANIEL",,,,,,,"FOUL  by GALVIN,DANIEL",1
05:07,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
05:07,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",1
05:07,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
05:07,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
05:07,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
05:07,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
05:07,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
05:07,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
04:55,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",1
04:55,,13,,23 (+10),"GOOD FT by GRUBER,SAM",CEN 13-23 (+10),,"GOOD FT by GRUBER,SAM",1
04:55,,13,,24 (+11),"GOOD FT by GRUBER,SAM",CEN 13-24 (+11),,"GOOD FT by GRUBER,SAM",1
04:46,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
04:34,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
04:18,"MISS 3PTR by WEIR,JJ",,,,,,,"MISS 3PTR by WEIR,JJ",1
--,"REBOUND OFF by WEIR,JJ",,,,,,,"REBOUND OFF by WEIR,JJ",1
04:07,"MISS 3PTR by BUTTS,KEYSHAWN",,,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
03:50,,13,,26 (+13),"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CEN 13-26 (+13),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
03:29,"MISS 3PTR by GALVIN,DANIEL",,,,,,,"MISS 3PTR by GALVIN,DANIEL",1
--,"REBOUND OFF by SULLIVAN,BRENNAN",,,,,,,"REBOUND OFF by SULLIVAN,BRENNAN",1
03:20,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",15,,26 (+11),,RHO 15-26 (+11),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,"ASSIST  by BUTTS,KEYSHAWN",,,,,,,"ASSIST  by BUTTS,KEYSHAWN",1
