Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
09:35,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1
09:32,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",22 (+15),,7,,CENTREM 22-7 (+15),,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
09:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
09:21,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
09:21,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
09:17,,22 (+12),,10,"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 22-10 (+12),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
08:52,"GOOD 3PTR by WHITESIDE,DONOVAN",25 (+15),,10,,CENTREM 25-10 (+15),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
08:22,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
08:00,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
07:31,,,,,"TURNOVER  by FREBIS,RONNIE",,,"TURNOVER  by FREBIS,RONNIE",1
07:31,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
07:31,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
07:31,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
07:31,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
07:31,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
07:31,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
07:22,"GOOD 3PTR by WHITESIDE,DONOVAN",28 (+18),,10,,CENTREM 28-10 (+18),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,"ASSIST  by MURRAY,RYAN",,,,,,,"ASSIST  by MURRAY,RYAN",1
07:04,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
07:04,,28 (+17),,11,"GOOD FT by BERGER,RYAN",MILLSAPS 28-11 (+17),,"GOOD FT by BERGER,RYAN",1
07:04,,28 (+16),,12,"GOOD FT by BERGER,RYAN",MILLSAPS 28-12 (+16),,"GOOD FT by BERGER,RYAN",1
07:04,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
07:04,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
07:04,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
07:04,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
07:04,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
07:04,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
06:55,"GOOD 3PTR by GEEGAN,MIKE",31 (+19),,12,,CENTREM 31-12 (+19),,"GOOD 3PTR by GEEGAN,MIKE",1
06:30,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
06:20,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",33 (+21),,12,,CENTREM 33-12 (+21),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
06:00,,33 (+18),,15,"GOOD 3PTR by GAGEN,BRENNAN",MILLSAPS 33-15 (+18),,"GOOD 3PTR by GAGEN,BRENNAN",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
05:42,"MISS 3PTR by GEEGAN,MIKE",,,,,,,"MISS 3PTR by GEEGAN,MIKE",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
05:31,,,,,"MISS JUMPER by GAGEN,BRENNAN",,,"MISS JUMPER by GAGEN,BRENNAN",1
--,"REBOUND DEF by MURRAY,RYAN",,,,,,,"REBOUND DEF by MURRAY,RYAN",1
05:24,"MISS LAYUP by MURRAY,RYAN",,,,,,,"MISS LAYUP by MURRAY,RYAN",1
--,"REBOUND OFF by GEEGAN,MIKE",,,,,,,"REBOUND OFF by GEEGAN,MIKE",1
05:21,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
05:21,"GOOD FT by GEEGAN,MIKE",34 (+19),,15,,CENTREM 34-15 (+19),,"GOOD FT by GEEGAN,MIKE",1
05:21,"MISS FT by GEEGAN,MIKE",,,,,,,"MISS FT by GEEGAN,MIKE",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
05:21,,,,,"SUB IN by DEILLIEU,RYAN",,,"SUB IN by DEILLIEU,RYAN",1
05:21,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
05:04,,,,,"TURNOVER  by DEILLIEU,RYAN",,,"TURNOVER  by DEILLIEU,RYAN",1
04:52,"GOOD LAYUP by KARSNER,JOSH(in the paint)",36 (+21),,15,,CENTREM 36-15 (+21),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
04:52,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
04:52,"GOOD FT by KARSNER,JOSH",37 (+22),,15,,CENTREM 37-15 (+22),,"GOOD FT by KARSNER,JOSH",1
04:52,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
04:52,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",1
04:28,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
04:28,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
04:28,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
04:19,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
04:19,,,,,"MISS FT by MCELVEEN,MAC",,,"MISS FT by MCELVEEN,MAC",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
04:19,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
04:19,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
04:14,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",1
04:14,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
04:14,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
04:14,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
04:14,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
04:14,,,,,"SUB OUT by DEILLIEU,RYAN",,,"SUB OUT by DEILLIEU,RYAN",1
04:05,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
04:04,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",1
04:00,,37 (+20),,17,"GOOD JUMPER by ROBERTSON,MARC(fastbreak)(in the paint)",MILLSAPS 37-17 (+20),,"GOOD JUMPER by ROBERTSON,MARC(fastbreak)(in the paint)",1
03:39,"GOOD 3PTR by LOPEZ,COLLIN",40 (+23),,17,,CENTREM 40-17 (+23),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
03:04,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",1
03:04,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:04,,40 (+22),,18,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 40-18 (+22),,"GOOD FT by AUBERT,DUSTIN",1
03:04,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
03:04,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
02:47,"GOOD 3PTR by SCINTA,BLAKE",43 (+25),,18,,CENTREM 43-18 (+25),,"GOOD 3PTR by SCINTA,BLAKE",1
--,"ASSIST  by MURRAY,RYAN",,,,,,,"ASSIST  by MURRAY,RYAN",1
02:35,"FOUL  by MURRAY,RYAN",,,,,,,"FOUL  by MURRAY,RYAN",1
02:35,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:35,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",1
