Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,FC,Game Score,Team Indicator,Play,Period
16:56,,,,,"MISS JUMPER by HOWARD,BAILEY",,,"MISS JUMPER by HOWARD,BAILEY",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
16:40,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",39,,55 (+16),,CENTRE_M 39-55 (+16),,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
16:22,,,,,"MISS JUMPER by PORTER,TROY",,,"MISS JUMPER by PORTER,TROY",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
16:15,"GOOD 3PTR by WHITESIDE,DONOVAN(fastbreak)(in the paint)",42,,55 (+13),,CENTRE_M 42-55 (+13),,"GOOD 3PTR by WHITESIDE,DONOVAN(fastbreak)(in the paint)",2
16:04,,,,,"MISS JUMPER by HOWARD,BAILEY",,,"MISS JUMPER by HOWARD,BAILEY",2
16:04,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",2
--,,,,,"REBOUND OFF by WASHINGTON,TRAE",,,"REBOUND OFF by WASHINGTON,TRAE",2
15:34,,42,,58 (+16),"GOOD 3PTR by HOWARD,BAILEY",FC 42-58 (+16),,"GOOD 3PTR by HOWARD,BAILEY",2
--,,,,,"ASSIST  by WASHINGTON,TRAE",,,"ASSIST  by WASHINGTON,TRAE",2
15:04,"MISS LAYUP by KARSNER,JOSH",,,,,,,"MISS LAYUP by KARSNER,JOSH",2
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",2
14:59,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",44,,58 (+14),,CENTRE_M 44-58 (+14),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
14:54,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
14:40,,,,,"MISS LAYUP by SMITH,DION",,,"MISS LAYUP by SMITH,DION",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:24,"GOOD 3PTR by KARSNER,JOSH",47,,58 (+11),,CENTRE_M 47-58 (+11),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
14:05,,,,,"MISS JUMPER by HOWARD,BAILEY",,,"MISS JUMPER by HOWARD,BAILEY",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
14:05,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",2
14:05,,,,,"SUB IN by PRATHER,ROBBIE",,,"SUB IN by PRATHER,ROBBIE",2
14:05,,,,,"SUB IN by BARTON,JT",,,"SUB IN by BARTON,JT",2
14:05,,,,,"SUB OUT by WASHINGTON,TRAE",,,"SUB OUT by WASHINGTON,TRAE",2
14:05,,,,,"SUB OUT by SARGENT,TERRY",,,"SUB OUT by SARGENT,TERRY",2
14:01,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
14:01,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
13:53,,,,,"MISS 3PTR by PORTER,TROY",,,"MISS 3PTR by PORTER,TROY",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
13:18,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by HOWARD,BAILEY",,,"REBOUND DEF by HOWARD,BAILEY",2
13:10,,,,,"MISS LAYUP by HOWARD,BAILEY",,,"MISS LAYUP by HOWARD,BAILEY",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
13:02,"GOOD 3PTR by GUMP,MATT",50,,58 (+8),,CENTRE_M 50-58 (+8),,"GOOD 3PTR by GUMP,MATT",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
12:46,,,,,TIMEOUT 30SEC by TM,,,TIMEOUT 30SEC by TM,2
12:46,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
12:46,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
12:46,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
12:46,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
12:46,,,,,"SUB IN by SARGENT,TERRY",,,"SUB IN by SARGENT,TERRY",2
12:46,,,,,"SUB OUT by HOWARD,BAILEY",,,"SUB OUT by HOWARD,BAILEY",2
12:20,,,,,TURNOVER  by TM,,,TURNOVER  by TM,2
12:08,"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",52,,58 (+6),,CENTRE_M 52-58 (+6),,"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",2
11:49,"FOUL  by MURRAY,RYAN",,,,,,,"FOUL  by MURRAY,RYAN",2
11:31,,,,,"MISS 3PTR by PRATHER,ROBBIE",,,"MISS 3PTR by PRATHER,ROBBIE",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
11:12,,,,,"FOUL  by BARTON,JT",,,"FOUL  by BARTON,JT",2
11:12,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:12,"GOOD FT by GUMP,MATT",53,,58 (+5),,CENTRE_M 53-58 (+5),,"GOOD FT by GUMP,MATT",2
11:12,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
11:12,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
11:07,,,,,"SUB IN by SELBURG,TREVOR",,,"SUB IN by SELBURG,TREVOR",2
11:07,,,,,"SUB OUT by PORTER,TROY",,,"SUB OUT by PORTER,TROY",2
10:58,,,,,"MISS JUMPER by BARTON,JT",,,"MISS JUMPER by BARTON,JT",2
--,"REBOUND DEF by MURRAY,RYAN",,,,,,,"REBOUND DEF by MURRAY,RYAN",2
10:36,,,,,"FOUL  by SARGENT,TERRY",,,"FOUL  by SARGENT,TERRY",2
10:36,"GOOD FT by STEGGEMAN,ANDREW",54,,58 (+4),,CENTRE_M 54-58 (+4),,"GOOD FT by STEGGEMAN,ANDREW",2
10:36,"GOOD FT by STEGGEMAN,ANDREW",55,,58 (+3),,CENTRE_M 55-58 (+3),,"GOOD FT by STEGGEMAN,ANDREW",2
10:36,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
10:36,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
10:36,,,,,"SUB IN by WASHINGTON,TRAE",,,"SUB IN by WASHINGTON,TRAE",2
10:36,,,,,"SUB IN by HOWARD,BAILEY",,,"SUB IN by HOWARD,BAILEY",2
10:36,,,,,"SUB OUT by SARGENT,TERRY",,,"SUB OUT by SARGENT,TERRY",2
10:36,,,,,"SUB OUT by BARTON,JT",,,"SUB OUT by BARTON,JT",2
10:14,,55,,60 (+5),"GOOD JUMPER by HOWARD,BAILEY(in the paint)",FC 55-60 (+5),,"GOOD JUMPER by HOWARD,BAILEY(in the paint)",2
09:53,"GOOD 3PTR by WHITESIDE,DONOVAN",58,,60 (+2),,CENTRE_M 58-60 (+2),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
09:33,"GOOD DUNK by WESLEY,TYLER(in the paint)",60,,60,,CENTRE_M 60-60 (0),,"GOOD DUNK by WESLEY,TYLER(in the paint)",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
09:12,,,,,"MISS 3PTR by PRATHER,ROBBIE",,,"MISS 3PTR by PRATHER,ROBBIE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:09,,,,,"FOUL  by HOWARD,BAILEY",,,"FOUL  by HOWARD,BAILEY",2
09:04,"MISS DUNK by WHITESIDE,DONOVAN",,,,,,,"MISS DUNK by WHITESIDE,DONOVAN",2
--,,,,,REBOUND DEF by TM,,,REBOUND DEF by TM,2
08:54,,,,,"FOUL  by PORTER,TROY",,,"FOUL  by PORTER,TROY",2
08:54,,,,,"TURNOVER  by PORTER,TROY",,,"TURNOVER  by PORTER,TROY",2
08:40,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
08:38,,,,,"STEAL  by PRATHER,ROBBIE",,,"STEAL  by PRATHER,ROBBIE",2
08:34,,,,,"TURNOVER  by PRATHER,ROBBIE",,,"TURNOVER  by PRATHER,ROBBIE",2
08:32,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",2
08:12,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",2
--,"REBOUND OFF by STEGGEMAN,ANDREW",,,,,,,"REBOUND OFF by STEGGEMAN,ANDREW",2
08:02,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",62 (+2),,60,,CENTRE_M 62-60 (-2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
08:02,,,,,"FOUL  by PORTER,TROY",,,"FOUL  by PORTER,TROY",2
08:02,"GOOD FT by SCINTA,BLAKE",63 (+3),,60,,CENTRE_M 63-60 (-3),,"GOOD FT by SCINTA,BLAKE",2
08:02,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
08:02,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
08:02,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
08:02,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
08:02,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
08:02,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
08:02,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
08:02,,,,,"SUB IN by PORTER,TROY",,,"SUB IN by PORTER,TROY",2
08:02,,,,,"SUB IN by SARGENT,TERRY",,,"SUB IN by SARGENT,TERRY",2
08:02,,,,,"SUB OUT by PRATHER,ROBBIE",,,"SUB OUT by PRATHER,ROBBIE",2
08:02,,,,,"SUB OUT by SELBURG,TREVOR",,,"SUB OUT by SELBURG,TREVOR",2
07:57,,,,,TIMEOUT 30SEC by TM,,,TIMEOUT 30SEC by TM,2
07:45,,,,,"TURNOVER  by HOWARD,BAILEY",,,"TURNOVER  by HOWARD,BAILEY",2
07:43,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
07:40,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",65 (+5),,60,,CENTRE_M 65-60 (-5),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
07:40,,,,,"FOUL  by SARGENT,TERRY",,,"FOUL  by SARGENT,TERRY",2
07:40,,65 (+4),,61,"GOOD FT by SCRUGGS,BRANDON",FC 65-61 (-4),,"GOOD FT by SCRUGGS,BRANDON",2
07:23,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
07:23,,65 (+3),,62,"GOOD FT by SMITH,DION",FC 65-62 (-3),,"GOOD FT by SMITH,DION",2
07:23,,65 (+2),,63,"GOOD FT by SMITH,DION",FC 65-63 (-2),,"GOOD FT by SMITH,DION",2
07:06,,,,,"FOUL  by SARGENT,TERRY",,,"FOUL  by SARGENT,TERRY",2
07:06,"MISS FT by WHITESIDE,DONOVAN",,,,,,,"MISS FT by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by SELBURG,TREVOR",,,"REBOUND DEF by SELBURG,TREVOR",2
07:00,,,,,"MISS JUMPER by HOWARD,BAILEY",,,"MISS JUMPER by HOWARD,BAILEY",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
06:47,,,,,"FOUL  by SELBURG,TREVOR",,,"FOUL  by SELBURG,TREVOR",2
06:47,"GOOD FT by SCINTA,BLAKE",66 (+3),,63,,CENTRE_M 66-63 (-3),,"GOOD FT by SCINTA,BLAKE",2
06:47,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by HOWARD,BAILEY",,,"REBOUND DEF by HOWARD,BAILEY",2
06:47,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
06:47,,,,,"SUB IN by BARTON,JT",,,"SUB IN by BARTON,JT",2
06:47,,,,,"SUB IN by SELBURG,TREVOR",,,"SUB IN by SELBURG,TREVOR",2
06:47,,,,,"SUB OUT by PORTER,TROY",,,"SUB OUT by PORTER,TROY",2
06:47,,,,,"SUB OUT by SARGENT,TERRY",,,"SUB OUT by SARGENT,TERRY",2
06:26,,66 (+1),,65,"GOOD JUMPER by HOWARD,BAILEY(in the paint)",FC 66-65 (-1),,"GOOD JUMPER by HOWARD,BAILEY(in the paint)",2
06:01,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",68 (+3),,65,,CENTRE_M 68-65 (-3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
05:47,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
05:47,,68 (+2),,66,"GOOD FT by SMITH,DION",FC 68-66 (-2),,"GOOD FT by SMITH,DION",2
05:47,,68 (+1),,67,"GOOD FT by SMITH,DION",FC 68-67 (-1),,"GOOD FT by SMITH,DION",2
05:47,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
05:30,"GOOD DUNK by WESLEY,TYLER(in the paint)",70 (+3),,67,,CENTRE_M 70-67 (-3),,"GOOD DUNK by WESLEY,TYLER(in the paint)",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
04:54,,,,,"TURNOVER  by WASHINGTON,TRAE",,,"TURNOVER  by WASHINGTON,TRAE",2
04:49,"GOOD DUNK by WESLEY,TYLER(in the paint)",72 (+5),,67,,CENTRE_M 72-67 (-5),,"GOOD DUNK by WESLEY,TYLER(in the paint)",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
04:39,,72 (+2),,70,"GOOD 3PTR by HOWARD,BAILEY",FC 72-70 (-2),,"GOOD 3PTR by HOWARD,BAILEY",2
--,,,,,"ASSIST  by BARTON,JT",,,"ASSIST  by BARTON,JT",2
04:33,,,,,TIMEOUT 30SEC by TM,,,TIMEOUT 30SEC by TM,2
04:20,"GOOD LAYUP by KARSNER,JOSH(in the paint)",74 (+4),,70,,CENTRE_M 74-70 (-4),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2
04:13,,,,,"MISS LAYUP by BARTON,JT",,,"MISS LAYUP by BARTON,JT",2
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",2
04:01,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by SMITH,DION",,,"REBOUND DEF by SMITH,DION",2
03:47,,74 (+2),,72,"GOOD LAYUP by SMITH,DION(fastbreak)(in the paint)",FC 74-72 (-2),,"GOOD LAYUP by SMITH,DION(fastbreak)(in the paint)",2
03:23,"GOOD 3PTR by MURRAY,RYAN",77 (+5),,72,,CENTRE_M 77-72 (-5),,"GOOD 3PTR by MURRAY,RYAN",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
03:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:14,,,,,"SUB IN by SARGENT,TERRY",,,"SUB IN by SARGENT,TERRY",2
03:14,,,,,"SUB IN by PORTER,TROY",,,"SUB IN by PORTER,TROY",2
03:14,,,,,"SUB OUT by BARTON,JT",,,"SUB OUT by BARTON,JT",2
03:14,,,,,"SUB OUT by SELBURG,TREVOR",,,"SUB OUT by SELBURG,TREVOR",2
02:55,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
02:55,,77 (+4),,73,"GOOD FT by PORTER,TROY",FC 77-73 (-4),,"GOOD FT by PORTER,TROY",2
02:55,,77 (+3),,74,"GOOD FT by PORTER,TROY",FC 77-74 (-3),,"GOOD FT by PORTER,TROY",2
02:55,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
02:55,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
02:36,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",2
02:36,,,,,"BLOCK  by SMITH,DION",,,"BLOCK  by SMITH,DION",2
--,,,,,"REBOUND DEF by PORTER,TROY",,,"REBOUND DEF by PORTER,TROY",2
02:28,,,,,"MISS 3PTR by WASHINGTON,TRAE",,,"MISS 3PTR by WASHINGTON,TRAE",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
02:02,"GOOD JUMPER by SCINTA,BLAKE",79 (+5),,74,,CENTRE_M 79-74 (-5),,"GOOD JUMPER by SCINTA,BLAKE",2
02:02,,,,,"FOUL  by SMITH,DION",,,"FOUL  by SMITH,DION",2
02:02,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by PORTER,TROY",,,"REBOUND DEF by PORTER,TROY",2
01:43,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",2
01:43,,79 (+4),,75,"GOOD FT by WASHINGTON,TRAE",FC 79-75 (-4),,"GOOD FT by WASHINGTON,TRAE",2
01:43,,,,,"MISS FT by WASHINGTON,TRAE",,,"MISS FT by WASHINGTON,TRAE",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
01:26,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
01:26,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
01:26,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
01:09,,79 (+2),,77,"GOOD JUMPER by HOWARD,BAILEY(in the paint)",FC 79-77 (-2),,"GOOD JUMPER by HOWARD,BAILEY(in the paint)",2
00:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:45,,,,,"FOUL  by SMITH,DION",,,"FOUL  by SMITH,DION",2
00:45,"GOOD FT by SCINTA,BLAKE",80 (+3),,77,,CENTRE_M 80-77 (-3),,"GOOD FT by SCINTA,BLAKE",2
00:45,"GOOD FT by SCINTA,BLAKE",81 (+4),,77,,CENTRE_M 81-77 (-4),,"GOOD FT by SCINTA,BLAKE",2
00:38,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",2
00:37,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",2
00:28,"GOOD LAYUP by STEGGEMAN,ANDREW(fastbreak)(in the paint)",83 (+6),,77,,CENTRE_M 83-77 (-6),,"GOOD LAYUP by STEGGEMAN,ANDREW(fastbreak)(in the paint)",2
00:28,,83 (+4),,79,"GOOD JUMPER by SARGENT,TERRY",FC 83-79 (-4),,"GOOD JUMPER by SARGENT,TERRY",2
00:28,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",2
00:28,,83 (+3),,80,"GOOD FT by SARGENT,TERRY",FC 83-80 (-3),,"GOOD FT by SARGENT,TERRY",2
00:28,,,,,TIMEOUT 30SEC by TM,,,TIMEOUT 30SEC by TM,2
00:28,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
00:28,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
00:27,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
00:27,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
00:26,"GOOD FT by STEGGEMAN,ANDREW",84 (+4),,80,,CENTRE_M 84-80 (-4),,"GOOD FT by STEGGEMAN,ANDREW",2
00:26,"GOOD FT by STEGGEMAN,ANDREW",85 (+5),,80,,CENTRE_M 85-80 (-5),,"GOOD FT by STEGGEMAN,ANDREW",2
00:26,,,,,"FOUL  by WASHINGTON,TRAE",,,"FOUL  by WASHINGTON,TRAE",2
00:24,,,,,TIMEOUT 30SEC by TM,,,TIMEOUT 30SEC by TM,2
00:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:24,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
00:24,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
00:22,,85 (+2),,83,"GOOD 3PTR by WASHINGTON,TRAE",FC 85-83 (-2),,"GOOD 3PTR by WASHINGTON,TRAE",2
--,,,,,"ASSIST  by SARGENT,TERRY",,,"ASSIST  by SARGENT,TERRY",2
00:21,,,,,"FOUL  by SMITH,DION",,,"FOUL  by SMITH,DION",2
00:21,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:21,"GOOD FT by SCINTA,BLAKE",86 (+3),,83,,CENTRE_M 86-83 (-3),,"GOOD FT by SCINTA,BLAKE",2
00:21,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
00:21,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
00:21,,,,,"SUB IN by PRATHER,ROBBIE",,,"SUB IN by PRATHER,ROBBIE",2
00:21,,,,,"SUB OUT by SMITH,DION",,,"SUB OUT by SMITH,DION",2
00:18,,,,,TIMEOUT 30SEC by TM,,,TIMEOUT 30SEC by TM,2
00:15,,,,,"MISS 3PTR by HOWARD,BAILEY",,,"MISS 3PTR by HOWARD,BAILEY",2
--,,,,,"REBOUND OFF by WASHINGTON,TRAE",,,"REBOUND OFF by WASHINGTON,TRAE",2
00:08,,86,,86,"GOOD 3PTR by WASHINGTON,TRAE",FC 86-86 (0),,"GOOD 3PTR by WASHINGTON,TRAE",2
00:01,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
00:01,,,,,"STEAL  by HOWARD,BAILEY",,,"STEAL  by HOWARD,BAILEY",2
04:44,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",89 (+2),,87,,CENTRE_M 89-87 (-2),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",3
04:32,,,,,"MISS JUMPER by HOWARD,BAILEY",,,"MISS JUMPER by HOWARD,BAILEY",3
--,,,,,"REBOUND OFF by SELBURG,TREVOR",,,"REBOUND OFF by SELBURG,TREVOR",3
04:26,,89,,90 (+1),"GOOD 3PTR by WASHINGTON,TRAE",FC 89-90 (+1),,"GOOD 3PTR by WASHINGTON,TRAE",3
--,,,,,"ASSIST  by SELBURG,TREVOR",,,"ASSIST  by SELBURG,TREVOR",3
04:16,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",3
--,,,,,"REBOUND DEF by SARGENT,TERRY",,,"REBOUND DEF by SARGENT,TERRY",3
04:07,,,,,"MISS LAYUP by WASHINGTON,TRAE",,,"MISS LAYUP by WASHINGTON,TRAE",3
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",3
03:59,"MISS LAYUP by STEGGEMAN,ANDREW",,,,,,,"MISS LAYUP by STEGGEMAN,ANDREW",3
--,,,,,"REBOUND DEF by WASHINGTON,TRAE",,,"REBOUND DEF by WASHINGTON,TRAE",3
03:56,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",3
03:56,,,,,"MISS FT by WASHINGTON,TRAE",,,"MISS FT by WASHINGTON,TRAE",3
--,,,,,REBOUND DEADB by TM,,,REBOUND DEADB by TM,3
03:56,,89,,91 (+2),"GOOD FT by WASHINGTON,TRAE",FC 89-91 (+2),,"GOOD FT by WASHINGTON,TRAE",3
03:56,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",3
03:56,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",3
03:56,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",3
03:56,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",3
03:56,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",3
03:56,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",3
03:56,,,,,"SUB IN by SELBURG,TREVOR",,,"SUB IN by SELBURG,TREVOR",3
03:56,,,,,"SUB OUT by SMITH,DION",,,"SUB OUT by SMITH,DION",3
03:40,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",91,,91,,CENTRE_M 91-91 (0),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",3
03:24,,,,,"TURNOVER  by HOWARD,BAILEY",,,"TURNOVER  by HOWARD,BAILEY",3
03:21,"STEAL  by MURRAY,RYAN",,,,,,,"STEAL  by MURRAY,RYAN",3
03:10,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",3
--,,,,,"REBOUND DEF by WASHINGTON,TRAE",,,"REBOUND DEF by WASHINGTON,TRAE",3
03:03,,,,,"MISS 3PTR by HOWARD,BAILEY",,,"MISS 3PTR by HOWARD,BAILEY",3
--,,,,,"REBOUND OFF by SELBURG,TREVOR",,,"REBOUND OFF by SELBURG,TREVOR",3
02:38,,91,,93 (+2),"GOOD LAYUP by WASHINGTON,TRAE(in the paint)",FC 91-93 (+2),,"GOOD LAYUP by WASHINGTON,TRAE(in the paint)",3
02:28,"GOOD 3PTR by MURRAY,RYAN",94 (+1),,93,,CENTRE_M 94-93 (-1),,"GOOD 3PTR by MURRAY,RYAN",3
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",3
02:12,,,,,"TURNOVER  by HOWARD,BAILEY",,,"TURNOVER  by HOWARD,BAILEY",3
02:10,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",3
01:48,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",3
