Time Remaining,CCU,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",2
14:26,"FOUL  by HILL,MIKE",,,,,,,"FOUL  by HILL,MIKE",2
14:26,"SUB IN by MASSEE,WILL",,,,,,,"SUB IN by MASSEE,WILL",2
14:26,"SUB OUT by HILL,MIKE",,,,,,,"SUB OUT by HILL,MIKE",2
14:10,,47,,49 (+2),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 47-49 (+2),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
--,,,,,"ASSIST  by LOPEZ,COLLIN",,,"ASSIST  by LOPEZ,COLLIN",2
13:40,"MISS JUMPER by MCCOMMONS,DJ",,,,,,,"MISS JUMPER by MCCOMMONS,DJ",2
13:40,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:40,"SUB IN by SHELTON,DREW",,,,,,,"SUB IN by SHELTON,DREW",2
13:40,"SUB OUT by GAYNOR,KENNY",,,,,,,"SUB OUT by GAYNOR,KENNY",2
13:40,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
13:40,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
13:34,"MISS 3PTR by MCCOMMONS,DJ",,,,,,,"MISS 3PTR by MCCOMMONS,DJ",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
13:23,"FOUL  by MCKINNEY,WILLIE",,,,,,,"FOUL  by MCKINNEY,WILLIE",2
13:23,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",2
13:23,"SUB IN by IRRER,AUSTIN",,,,,,,"SUB IN by IRRER,AUSTIN",2
13:23,"SUB OUT by MCKINNEY,WILLIE",,,,,,,"SUB OUT by MCKINNEY,WILLIE",2
12:56,"GOOD LAYUP by IRRER,AUSTIN(in the paint)",49,,49,,CCU 49-49 (0),,"GOOD LAYUP by IRRER,AUSTIN(in the paint)",2
--,"ASSIST  by MASSEE,WILL",,,,,,,"ASSIST  by MASSEE,WILL",2
12:42,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",2
--,"REBOUND DEF by MASSEE,WILL",,,,,,,"REBOUND DEF by MASSEE,WILL",2
12:37,"TURNOVER  by SEIBERT,NICK",,,,,,,"TURNOVER  by SEIBERT,NICK",2
12:37,"SUB IN by MCLEISH,MITCH",,,,,,,"SUB IN by MCLEISH,MITCH",2
12:37,"SUB OUT by SEIBERT,NICK",,,,,,,"SUB OUT by SEIBERT,NICK",2
12:37,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
12:37,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
12:32,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
12:22,"FOUL  by MASSEE,WILL",,,,,,,"FOUL  by MASSEE,WILL",2
12:11,"FOUL  by IRRER,AUSTIN",,,,,,,"FOUL  by IRRER,AUSTIN",2
12:00,"FOUL  by MCLEISH,MITCH",,,,,,,"FOUL  by MCLEISH,MITCH",2
11:45,,49,,52 (+3),"GOOD 3PTR by GUMP,MATT",CENTRE_M 49-52 (+3),,"GOOD 3PTR by GUMP,MATT",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
11:13,"GOOD LAYUP by MASSEE,WILL(in the paint)",51,,52 (+1),,CCU 51-52 (+1),,"GOOD LAYUP by MASSEE,WILL(in the paint)",2
--,"ASSIST  by MCLEISH,MITCH",,,,,,,"ASSIST  by MCLEISH,MITCH",2
10:59,,51,,55 (+4),"GOOD 3PTR by GUMP,MATT",CENTRE_M 51-55 (+4),,"GOOD 3PTR by GUMP,MATT",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
10:43,"MISS 3PTR by IRRER,AUSTIN",,,,,,,"MISS 3PTR by IRRER,AUSTIN",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
10:33,,51,,58 (+7),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 51-58 (+7),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",2
10:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:15,"SUB IN by MCKINNEY,WILLIE",,,,,,,"SUB IN by MCKINNEY,WILLIE",2
10:15,"SUB IN by GAYNOR,KENNY",,,,,,,"SUB IN by GAYNOR,KENNY",2
10:15,"SUB OUT by SHELTON,DREW",,,,,,,"SUB OUT by SHELTON,DREW",2
10:15,"SUB OUT by IRRER,AUSTIN",,,,,,,"SUB OUT by IRRER,AUSTIN",2
10:15,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",2
10:15,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
10:15,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
10:15,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",2
10:01,"GOOD JUMPER by GAYNOR,KENNY",53,,58 (+5),,CCU 53-58 (+5),,"GOOD JUMPER by GAYNOR,KENNY",2
--,"ASSIST  by MCLEISH,MITCH",,,,,,,"ASSIST  by MCLEISH,MITCH",2
09:40,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:37,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
09:37,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
09:37,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
09:25,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",2
09:25,"GOOD FT by MCLEISH,MITCH",54,,58 (+4),,CCU 54-58 (+4),,"GOOD FT by MCLEISH,MITCH",2
09:25,"GOOD FT by MCLEISH,MITCH",55,,58 (+3),,CCU 55-58 (+3),,"GOOD FT by MCLEISH,MITCH",2
09:05,"FOUL  by MCCOMMONS,DJ",,,,,,,"FOUL  by MCCOMMONS,DJ",2
09:05,,55,,59 (+4),"GOOD FT by WESLEY,TYLER",CENTRE_M 55-59 (+4),,"GOOD FT by WESLEY,TYLER",2
09:05,,55,,60 (+5),"GOOD FT by WESLEY,TYLER",CENTRE_M 55-60 (+5),,"GOOD FT by WESLEY,TYLER",2
08:58,,,,,"FOUL  by STEGGEMAN,ANDREW",,,"FOUL  by STEGGEMAN,ANDREW",2
08:58,"GOOD FT by MCCOMMONS,DJ",56,,60 (+4),,CCU 56-60 (+4),,"GOOD FT by MCCOMMONS,DJ",2
08:58,"GOOD FT by MCCOMMONS,DJ",57,,60 (+3),,CCU 57-60 (+3),,"GOOD FT by MCCOMMONS,DJ",2
08:47,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
08:44,"STEAL  by MCCOMMONS,DJ",,,,,,,"STEAL  by MCCOMMONS,DJ",2
08:40,"MISS LAYUP by MCCOMMONS,DJ",,,,,,,"MISS LAYUP by MCCOMMONS,DJ",2
--,"REBOUND OFF by GAYNOR,KENNY",,,,,,,"REBOUND OFF by GAYNOR,KENNY",2
08:37,"GOOD LAYUP by GAYNOR,KENNY(in the paint)",59,,60 (+1),,CCU 59-60 (+1),,"GOOD LAYUP by GAYNOR,KENNY(in the paint)",2
08:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:17,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:14,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",2
08:14,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
07:43,"GOOD 3PTR by MCLEISH,MITCH",62 (+2),,60,,CCU 62-60 (-2),,"GOOD 3PTR by MCLEISH,MITCH",2
--,"ASSIST  by MCCOMMONS,DJ",,,,,,,"ASSIST  by MCCOMMONS,DJ",2
07:20,"FOUL  by MCLEISH,MITCH",,,,,,,"FOUL  by MCLEISH,MITCH",2
07:20,,62 (+1),,61,"GOOD FT by KARSNER,JOSH",CENTRE_M 62-61 (-1),,"GOOD FT by KARSNER,JOSH",2
07:20,,62,,62,"GOOD FT by KARSNER,JOSH",CENTRE_M 62-62 (0),,"GOOD FT by KARSNER,JOSH",2
07:07,"GOOD JUMPER by MCCOMMONS,DJ",64 (+2),,62,,CCU 64-62 (-2),,"GOOD JUMPER by MCCOMMONS,DJ",2
06:53,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",2
06:53,"BLOCK  by MCKINNEY,WILLIE",,,,,,,"BLOCK  by MCKINNEY,WILLIE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
06:28,"MISS 3PTR by MCLEISH,MITCH",,,,,,,"MISS 3PTR by MCLEISH,MITCH",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
06:16,,64,,64,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 64-64 (0),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",2
06:04,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
06:04,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
05:55,"MISS JUMPER by MCKINNEY,WILLIE",,,,,,,"MISS JUMPER by MCKINNEY,WILLIE",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
05:47,"FOUL  by MCKINNEY,WILLIE",,,,,,,"FOUL  by MCKINNEY,WILLIE",2
05:47,,64,,65 (+1),"GOOD FT by SCINTA,BLAKE",CENTRE_M 64-65 (+1),,"GOOD FT by SCINTA,BLAKE",2
05:47,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",2
--,"REBOUND DEF by HILL,MIKE",,,,,,,"REBOUND DEF by HILL,MIKE",2
05:47,"SUB IN by HILL,MIKE",,,,,,,"SUB IN by HILL,MIKE",2
05:47,"SUB OUT by MASSEE,WILL",,,,,,,"SUB OUT by MASSEE,WILL",2
05:43,"TURNOVER  by HILL,MIKE",,,,,,,"TURNOVER  by HILL,MIKE",2
05:43,,,,,"STEAL  by MURRAY,RYAN",,,"STEAL  by MURRAY,RYAN",2
05:40,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
05:31,"GOOD 3PTR by MCCOMMONS,DJ",67 (+2),,65,,CCU 67-65 (-2),,"GOOD 3PTR by MCCOMMONS,DJ",2
05:06,,67,,67,"GOOD LAYUP by MURRAY,RYAN(in the paint)",CENTRE_M 67-67 (0),,"GOOD LAYUP by MURRAY,RYAN(in the paint)",2
--,,,,,"ASSIST  by LOPEZ,COLLIN",,,"ASSIST  by LOPEZ,COLLIN",2
04:51,"MISS 3PTR by HILL,MIKE",,,,,,,"MISS 3PTR by HILL,MIKE",2
--,,,,,"REBOUND DEF by MURRAY,RYAN",,,"REBOUND DEF by MURRAY,RYAN",2
04:43,,67,,69 (+2),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 67-69 (+2),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
04:20,"MISS JUMPER by MCLEISH,MITCH",,,,,,,"MISS JUMPER by MCLEISH,MITCH",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
04:14,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,"REBOUND DEF by GAYNOR,KENNY",,,,,,,"REBOUND DEF by GAYNOR,KENNY",2
04:04,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
04:04,"MISS FT by GAYNOR,KENNY",,,,,,,"MISS FT by GAYNOR,KENNY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:04,"MISS FT by GAYNOR,KENNY",,,,,,,"MISS FT by GAYNOR,KENNY",2
--,"REBOUND OFF by MCLEISH,MITCH",,,,,,,"REBOUND OFF by MCLEISH,MITCH",2
04:04,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
04:04,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
04:04,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
04:04,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
03:46,"MISS LAYUP by HILL,MIKE",,,,,,,"MISS LAYUP by HILL,MIKE",2
03:46,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by MURRAY,RYAN",,,"REBOUND DEF by MURRAY,RYAN",2
03:22,"FOUL  by GAYNOR,KENNY",,,,,,,"FOUL  by GAYNOR,KENNY",2
03:14,,67,,70 (+3),"GOOD FT by MURRAY,RYAN",CENTRE_M 67-70 (+3),,"GOOD FT by MURRAY,RYAN",2
03:00,,67,,71 (+4),"GOOD FT by MURRAY,RYAN",CENTRE_M 67-71 (+4),,"GOOD FT by MURRAY,RYAN",2
02:44,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:44,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",2
02:44,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",2
02:40,"MISS JUMPER by GAYNOR,KENNY",,,,,,,"MISS JUMPER by GAYNOR,KENNY",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
02:40,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:38,"FOUL  by MCCOMMONS,DJ",,,,,,,"FOUL  by MCCOMMONS,DJ",2
02:38,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:38,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,"REBOUND DEF by GAYNOR,KENNY",,,,,,,"REBOUND DEF by GAYNOR,KENNY",2
02:38,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
02:38,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
02:18,"MISS LAYUP by HILL,MIKE",,,,,,,"MISS LAYUP by HILL,MIKE",2
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",2
02:04,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:49,,67,,74 (+7),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 67-74 (+7),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",2
01:35,"MISS LAYUP by GAYNOR,KENNY",,,,,,,"MISS LAYUP by GAYNOR,KENNY",2
--,"REBOUND OFF by MCKINNEY,WILLIE",,,,,,,"REBOUND OFF by MCKINNEY,WILLIE",2
01:31,"GOOD LAYUP by MCKINNEY,WILLIE(in the paint)",69,,74 (+5),,CCU 69-74 (+5),,"GOOD LAYUP by MCKINNEY,WILLIE(in the paint)",2
01:31,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
01:31,"MISS FT by MCKINNEY,WILLIE",,,,,,,"MISS FT by MCKINNEY,WILLIE",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
01:31,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",2
01:31,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
01:24,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",2
--,"REBOUND DEF by MCLEISH,MITCH",,,,,,,"REBOUND DEF by MCLEISH,MITCH",2
01:17,"MISS LAYUP by MCCOMMONS,DJ",,,,,,,"MISS LAYUP by MCCOMMONS,DJ",2
--,"REBOUND OFF by MCCOMMONS,DJ",,,,,,,"REBOUND OFF by MCCOMMONS,DJ",2
01:11,"MISS LAYUP by MCCOMMONS,DJ",,,,,,,"MISS LAYUP by MCCOMMONS,DJ",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
01:09,"FOUL  by MCCOMMONS,DJ",,,,,,,"FOUL  by MCCOMMONS,DJ",2
01:09,,69,,75 (+6),"GOOD FT by WESLEY,TYLER",CENTRE_M 69-75 (+6),,"GOOD FT by WESLEY,TYLER",2
01:09,,69,,76 (+7),"GOOD FT by WESLEY,TYLER",CENTRE_M 69-76 (+7),,"GOOD FT by WESLEY,TYLER",2
00:59,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
00:59,"GOOD FT by MCLEISH,MITCH",70,,76 (+6),,CCU 70-76 (+6),,"GOOD FT by MCLEISH,MITCH",2
00:59,"GOOD FT by MCLEISH,MITCH",71,,76 (+5),,CCU 71-76 (+5),,"GOOD FT by MCLEISH,MITCH",2
00:59,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:59,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
00:59,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
00:46,"FOUL  by HILL,MIKE",,,,,,,"FOUL  by HILL,MIKE",2
00:46,,71,,77 (+6),"GOOD FT by KARSNER,JOSH",CENTRE_M 71-77 (+6),,"GOOD FT by KARSNER,JOSH",2
00:46,,71,,78 (+7),"GOOD FT by KARSNER,JOSH",CENTRE_M 71-78 (+7),,"GOOD FT by KARSNER,JOSH",2
00:46,"SUB IN by SEIBERT,NICK",,,,,,,"SUB IN by SEIBERT,NICK",2
00:46,"SUB OUT by HILL,MIKE",,,,,,,"SUB OUT by HILL,MIKE",2
00:40,"MISS 3PTR by MCCOMMONS,DJ",,,,,,,"MISS 3PTR by MCCOMMONS,DJ",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
00:36,"FOUL  by MCLEISH,MITCH",,,,,,,"FOUL  by MCLEISH,MITCH",2
00:36,,71,,79 (+8),"GOOD FT by KARSNER,JOSH",CENTRE_M 71-79 (+8),,"GOOD FT by KARSNER,JOSH",2
00:36,,71,,80 (+9),"GOOD FT by KARSNER,JOSH",CENTRE_M 71-80 (+9),,"GOOD FT by KARSNER,JOSH",2
00:36,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
00:36,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",2
00:30,"MISS 3PTR by SEIBERT,NICK",,,,,,,"MISS 3PTR by SEIBERT,NICK",2
--,"REBOUND OFF by MCLEISH,MITCH",,,,,,,"REBOUND OFF by MCLEISH,MITCH",2
00:26,"MISS LAYUP by MCLEISH,MITCH",,,,,,,"MISS LAYUP by MCLEISH,MITCH",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
00:25,"FOUL  by MCKINNEY,WILLIE",,,,,,,"FOUL  by MCKINNEY,WILLIE",2
00:25,,71,,81 (+10),"GOOD FT by KARSNER,JOSH",CENTRE_M 71-81 (+10),,"GOOD FT by KARSNER,JOSH",2
00:25,,71,,82 (+11),"GOOD FT by KARSNER,JOSH",CENTRE_M 71-82 (+11),,"GOOD FT by KARSNER,JOSH",2
00:18,"MISS 3PTR by MCLEISH,MITCH",,,,,,,"MISS 3PTR by MCLEISH,MITCH",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
00:14,"FOUL  by SEIBERT,NICK",,,,,,,"FOUL  by SEIBERT,NICK",2
00:14,,71,,83 (+12),"GOOD FT by KARSNER,JOSH",CENTRE_M 71-83 (+12),,"GOOD FT by KARSNER,JOSH",2
00:14,,71,,84 (+13),"GOOD FT by KARSNER,JOSH",CENTRE_M 71-84 (+13),,"GOOD FT by KARSNER,JOSH",2
00:14,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",2
00:14,,,,,"SUB IN by LOHR,MATT",,,"SUB IN by LOHR,MATT",2
00:14,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
00:14,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
00:14,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
00:14,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
00:09,,,,,"FOUL  by LOHR,MATT",,,"FOUL  by LOHR,MATT",2
00:09,"GOOD FT by MCLEISH,MITCH",72,,84 (+12),,CCU 72-84 (+12),,"GOOD FT by MCLEISH,MITCH",2
00:09,"GOOD FT by MCLEISH,MITCH",73,,84 (+11),,CCU 73-84 (+11),,"GOOD FT by MCLEISH,MITCH",2
00:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:09,"SUB IN by SHELTON,DREW",,,,,,,"SUB IN by SHELTON,DREW",2
00:09,"SUB IN by WILLIAMS,ROBBY",,,,,,,"SUB IN by WILLIAMS,ROBBY",2
00:09,"SUB IN by STRASSER,AIDAN",,,,,,,"SUB IN by STRASSER,AIDAN",2
00:09,"SUB IN by MOTES,AVERY",,,,,,,"SUB IN by MOTES,AVERY",2
00:09,"SUB OUT by MCKINNEY,WILLIE",,,,,,,"SUB OUT by MCKINNEY,WILLIE",2
00:09,"SUB OUT by MCCOMMONS,DJ",,,,,,,"SUB OUT by MCCOMMONS,DJ",2
00:09,"SUB OUT by MCLEISH,MITCH",,,,,,,"SUB OUT by MCLEISH,MITCH",2
00:09,"SUB OUT by GAYNOR,KENNY",,,,,,,"SUB OUT by GAYNOR,KENNY",2
00:09,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",2
00:09,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
