Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
10:37,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",19 (+4),,15,,MILLSAPS 19-15 (-4),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",1
10:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:35,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
10:35,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
10:35,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
10:35,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",1
10:35,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",1
10:35,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
10:26,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
10:26,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
10:22,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
09:44,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",1
09:44,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
09:44,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
09:30,,,,,"MISS JUMPER by MURRAY,RYAN",,,"MISS JUMPER by MURRAY,RYAN",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
09:22,"TURNOVER  by MCELVEEN,MAC",,,,,,,"TURNOVER  by MCELVEEN,MAC",1
09:07,,19 (+2),,17,"GOOD JUMPER by WHITESIDE,DONOVAN",CENTRE_M 19-17 (-2),,"GOOD JUMPER by WHITESIDE,DONOVAN",1
09:01,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
09:01,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
08:38,"TURNOVER  by GERCHOW,ALEX",,,,,,,"TURNOVER  by GERCHOW,ALEX",1
08:21,,19,,20 (+1),"GOOD 3PTR by MURRAY,RYAN",CENTRE_M 19-20 (+1),,"GOOD 3PTR by MURRAY,RYAN",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
07:49,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
07:49,"MISS FT by MCELVEEN,MAC",,,,,,,"MISS FT by MCELVEEN,MAC",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:49,"MISS FT by MCELVEEN,MAC",,,,,,,"MISS FT by MCELVEEN,MAC",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
07:49,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
07:49,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
07:49,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
