Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",2
18:20,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",49,,49,,LCM 49-49 (0),,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",2
17:57,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by BAXTER,DUSTIN",,,,,,,"REBOUND DEF by BAXTER,DUSTIN",2
17:41,"MISS JUMPER by MITCHELL,NICK",,,,,,,"MISS JUMPER by MITCHELL,NICK",2
17:41,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
17:28,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",2
17:27,"STEAL  by MITCHELL,NICK",,,,,,,"STEAL  by MITCHELL,NICK",2
17:24,"GOOD LAYUP by MITCHELL,NICK(fastbreak)(in the paint)",51 (+2),,49,,LCM 51-49 (-2),,"GOOD LAYUP by MITCHELL,NICK(fastbreak)(in the paint)",2
17:24,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
17:24,"GOOD FT by MITCHELL,NICK",52 (+3),,49,,LCM 52-49 (-3),,"GOOD FT by MITCHELL,NICK",2
17:12,,52 (+1),,51,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 52-51 (-1),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
17:03,"GOOD 3PTR by WAGNER,MARK",55 (+4),,51,,LCM 55-51 (-4),,"GOOD 3PTR by WAGNER,MARK",2
--,"ASSIST  by ROBINSON,DENZEL",,,,,,,"ASSIST  by ROBINSON,DENZEL",2
16:47,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",2
16:47,"SUB IN by HOWARD,JEROD",,,,,,,"SUB IN by HOWARD,JEROD",2
16:47,"SUB IN by FORD,BRAXTON",,,,,,,"SUB IN by FORD,BRAXTON",2
16:47,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",2
16:47,"SUB OUT by BAXTER,DUSTIN",,,,,,,"SUB OUT by BAXTER,DUSTIN",2
16:47,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
16:47,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
16:34,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
16:34,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",2
16:34,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
16:34,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
16:20,"MISS JUMPER by HOWARD,JEROD",,,,,,,"MISS JUMPER by HOWARD,JEROD",2
16:20,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:15,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,"REBOUND OFF by DUGGER,PATRICK",,,,,,,"REBOUND OFF by DUGGER,PATRICK",2
16:07,"MISS LAYUP by DUGGER,PATRICK",,,,,,,"MISS LAYUP by DUGGER,PATRICK",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
15:52,,55 (+2),,53,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 55-53 (-2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
15:31,"MISS LAYUP by FORD,BRAXTON",,,,,,,"MISS LAYUP by FORD,BRAXTON",2
15:31,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",2
15:06,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
15:04,"STEAL  by DUGGER,PATRICK",,,,,,,"STEAL  by DUGGER,PATRICK",2
14:59,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
14:59,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
14:59,"GOOD FT by MITCHELL,NICK",56 (+3),,53,,LCM 56-53 (-3),,"GOOD FT by MITCHELL,NICK",2
14:59,"GOOD FT by MITCHELL,NICK",57 (+4),,53,,LCM 57-53 (-4),,"GOOD FT by MITCHELL,NICK",2
14:59,"SUB IN by DANIEL,DONTA",,,,,,,"SUB IN by DANIEL,DONTA",2
14:59,"SUB OUT by FORD,BRAXTON",,,,,,,"SUB OUT by FORD,BRAXTON",2
14:59,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
14:59,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
14:54,"SUB IN by BAXTER,DUSTIN",,,,,,,"SUB IN by BAXTER,DUSTIN",2
14:54,"SUB OUT by HOWARD,JEROD",,,,,,,"SUB OUT by HOWARD,JEROD",2
14:53,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
14:51,"STEAL  by BAXTER,DUSTIN",,,,,,,"STEAL  by BAXTER,DUSTIN",2
14:51,"MISS LAYUP by BAXTER,DUSTIN",,,,,,,"MISS LAYUP by BAXTER,DUSTIN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:11,,57 (+1),,56,"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 57-56 (-1),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"ASSIST  by MURRAY,RYAN",,,"ASSIST  by MURRAY,RYAN",2
13:45,"MISS JUMPER by DUGGER,PATRICK",,,,,,,"MISS JUMPER by DUGGER,PATRICK",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
13:35,"FOUL  by BAXTER,DUSTIN",,,,,,,"FOUL  by BAXTER,DUSTIN",2
13:35,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",2
13:35,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",2
13:25,"FOUL  by DANIEL,DONTA",,,,,,,"FOUL  by DANIEL,DONTA",2
12:55,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,"REBOUND DEF by DANIEL,DONTA",,,,,,,"REBOUND DEF by DANIEL,DONTA",2
12:28,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:13,"GOOD 3PTR by DANIEL,DONTA",60 (+4),,56,,LCM 60-56 (-4),,"GOOD 3PTR by DANIEL,DONTA",2
--,"ASSIST  by MITCHELL,NICK",,,,,,,"ASSIST  by MITCHELL,NICK",2
11:41,,60 (+2),,58,"GOOD JUMPER by STEGGEMAN,ANDREW",CENTRE_M 60-58 (-2),,"GOOD JUMPER by STEGGEMAN,ANDREW",2
11:20,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
11:20,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:20,"GOOD FT by MITCHELL,NICK",61 (+3),,58,,LCM 61-58 (-3),,"GOOD FT by MITCHELL,NICK",2
11:20,"GOOD FT by MITCHELL,NICK",62 (+4),,58,,LCM 62-58 (-4),,"GOOD FT by MITCHELL,NICK",2
11:20,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",2
11:20,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",2
11:20,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
11:20,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
11:15,"FOUL  by BAXTER,DUSTIN",,,,,,,"FOUL  by BAXTER,DUSTIN",2
11:15,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
11:15,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
11:00,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
11:00,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",2
10:43,"MISS LAYUP by ROBINSON,DENZEL",,,,,,,"MISS LAYUP by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
10:25,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",2
10:25,"BLOCK  by DUGGER,PATRICK",,,,,,,"BLOCK  by DUGGER,PATRICK",2
--,"REBOUND DEF by WAGNER,MARK",,,,,,,"REBOUND DEF by WAGNER,MARK",2
10:14,"MISS 3PTR by ROBINSON,DENZEL",,,,,,,"MISS 3PTR by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
09:48,,62 (+1),,61,"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 62-61 (-1),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
09:34,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
09:34,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
09:34,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",2
09:34,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
09:34,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
09:31,"TURNOVER  by WAGNER,MARK",,,,,,,"TURNOVER  by WAGNER,MARK",2
09:31,"SUB IN by HOWARD,JEROD",,,,,,,"SUB IN by HOWARD,JEROD",2
09:31,"SUB OUT by DANIEL,DONTA",,,,,,,"SUB OUT by DANIEL,DONTA",2
09:24,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",2
09:15,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by BAXTER,DUSTIN",,,,,,,"REBOUND DEF by BAXTER,DUSTIN",2
08:53,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,,,,,"REBOUND DEF by MURRAY,RYAN",,,"REBOUND DEF by MURRAY,RYAN",2
08:50,,,,,"TURNOVER  by MURRAY,RYAN",,,"TURNOVER  by MURRAY,RYAN",2
08:42,"TURNOVER  by ROBINSON,DENZEL",,,,,,,"TURNOVER  by ROBINSON,DENZEL",2
08:33,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",2
08:33,"SUB OUT by HOWARD,JEROD",,,,,,,"SUB OUT by HOWARD,JEROD",2
08:33,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
08:33,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
08:19,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",2
07:46,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",2
07:20,"MISS LAYUP by BAXTER,DUSTIN",,,,,,,"MISS LAYUP by BAXTER,DUSTIN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
07:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:12,"SUB IN by HOWARD,JEROD",,,,,,,"SUB IN by HOWARD,JEROD",2
07:12,"SUB OUT by BAXTER,DUSTIN",,,,,,,"SUB OUT by BAXTER,DUSTIN",2
06:53,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",2
06:53,"BLOCK  by DUGGER,PATRICK",,,,,,,"BLOCK  by DUGGER,PATRICK",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:53,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
06:50,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
06:36,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
06:36,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
06:29,,62,,63 (+1),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 62-63 (+1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by MURRAY,RYAN",,,"ASSIST  by MURRAY,RYAN",2
06:29,"FOUL  by DUGGER,PATRICK",,,,,,,"FOUL  by DUGGER,PATRICK",2
06:29,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",2
--,"REBOUND DEF by HOWARD,JEROD",,,,,,,"REBOUND DEF by HOWARD,JEROD",2
06:07,"MISS JUMPER by MITCHELL,NICK",,,,,,,"MISS JUMPER by MITCHELL,NICK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:55,"GOOD 3PTR by HOWARD,JEROD",65 (+2),,63,,LCM 65-63 (-2),,"GOOD 3PTR by HOWARD,JEROD",2
--,"ASSIST  by ROBINSON,DENZEL",,,,,,,"ASSIST  by ROBINSON,DENZEL",2
05:27,,65,,65,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 65-65 (0),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
05:27,"FOUL  by HOWARD,JEROD",,,,,,,"FOUL  by HOWARD,JEROD",2
05:27,,65,,66 (+1),"GOOD FT by SCINTA,BLAKE",CENTRE_M 65-66 (+1),,"GOOD FT by SCINTA,BLAKE",2
05:27,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
05:27,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
05:20,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
05:05,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",67 (+1),,66,,LCM 67-66 (-1),,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",2
04:39,,,,,"TURNOVER  by MURRAY,RYAN",,,"TURNOVER  by MURRAY,RYAN",2
04:38,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
04:35,"TURNOVER  by HOWARD,JEROD",,,,,,,"TURNOVER  by HOWARD,JEROD",2
04:35,"SUB IN by BAXTER,DUSTIN",,,,,,,"SUB IN by BAXTER,DUSTIN",2
04:35,"SUB OUT by HOWARD,JEROD",,,,,,,"SUB OUT by HOWARD,JEROD",2
04:35,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
04:35,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
04:19,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",2
04:19,,67,,67,"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 67-67 (0),,"GOOD FT by WHITESIDE,DONOVAN",2
04:19,,67,,68 (+1),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 67-68 (+1),,"GOOD FT by WHITESIDE,DONOVAN",2
04:19,"SUB IN by DANIEL,DONTA",,,,,,,"SUB IN by DANIEL,DONTA",2
04:19,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",2
04:09,"GOOD LAYUP by MITCHELL,NICK(in the paint)",69 (+1),,68,,LCM 69-68 (-1),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",2
03:40,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
03:39,"STEAL  by MITCHELL,NICK",,,,,,,"STEAL  by MITCHELL,NICK",2
03:35,"MISS LAYUP by BAXTER,DUSTIN",,,,,,,"MISS LAYUP by BAXTER,DUSTIN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
03:10,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",2
02:42,"MISS 3PTR by BAXTER,DUSTIN",,,,,,,"MISS 3PTR by BAXTER,DUSTIN",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
02:31,,69,,71 (+2),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 69-71 (+2),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
02:11,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
01:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:59,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",2
01:59,"SUB OUT by DANIEL,DONTA",,,,,,,"SUB OUT by DANIEL,DONTA",2
01:43,"FOUL  by BAXTER,DUSTIN",,,,,,,"FOUL  by BAXTER,DUSTIN",2
01:43,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
01:40,,69,,72 (+3),"GOOD FT by WESLEY,TYLER",CENTRE_M 69-72 (+3),,"GOOD FT by WESLEY,TYLER",2
01:40,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,"REBOUND DEF by BAXTER,DUSTIN",,,,,,,"REBOUND DEF by BAXTER,DUSTIN",2
01:15,"TURNOVER  by ROBINSON,DENZEL",,,,,,,"TURNOVER  by ROBINSON,DENZEL",2
01:13,,,,,"STEAL  by WESLEY,TYLER",,,"STEAL  by WESLEY,TYLER",2
00:42,,69,,74 (+5),"GOOD JUMPER by WHITESIDE,DONOVAN",CENTRE_M 69-74 (+5),,"GOOD JUMPER by WHITESIDE,DONOVAN",2
00:33,"GOOD JUMPER by WAGNER,MARK",71,,74 (+3),,LCM 71-74 (+3),,"GOOD JUMPER by WAGNER,MARK",2
00:32,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
00:32,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
00:32,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
00:21,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",2
00:21,,71,,75 (+4),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 71-75 (+4),,"GOOD FT by WHITESIDE,DONOVAN",2
00:21,,71,,76 (+5),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 71-76 (+5),,"GOOD FT by WHITESIDE,DONOVAN",2
00:21,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
00:21,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
00:21,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
00:21,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
00:19,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",2
00:19,,71,,77 (+6),"GOOD FT by KARSNER,JOSH",CENTRE_M 71-77 (+6),,"GOOD FT by KARSNER,JOSH",2
00:19,,71,,78 (+7),"GOOD FT by KARSNER,JOSH",CENTRE_M 71-78 (+7),,"GOOD FT by KARSNER,JOSH",2
00:19,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",2
00:19,"SUB IN by FORD,BRAXTON",,,,,,,"SUB IN by FORD,BRAXTON",2
00:19,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",2
00:19,"SUB OUT by DUGGER,PATRICK",,,,,,,"SUB OUT by DUGGER,PATRICK",2
00:19,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
00:19,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",2
00:19,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
00:19,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
00:18,"TURNOVER  by BAXTER,DUSTIN",,,,,,,"TURNOVER  by BAXTER,DUSTIN",2
00:10,"MISS 3PTR by BAXTER,DUSTIN",,,,,,,"MISS 3PTR by BAXTER,DUSTIN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:07,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
00:07,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
00:07,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
00:07,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
