Time Remaining,MVCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",2
19:28,,32,,40 (+8),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 32-40 (+8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
19:15,"GOOD JUMPER by BYRD,JAUMONEE",34,,40 (+6),,MVCM 34-40 (+6),,"GOOD JUMPER by BYRD,JAUMONEE",2
19:00,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",2
--,"REBOUND DEF by BODEWIG,JOEY",,,,,,,"REBOUND DEF by BODEWIG,JOEY",2
18:53,"MISS LAYUP by FORD,CHRISTIAN",,,,,,,"MISS LAYUP by FORD,CHRISTIAN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
18:38,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",2
18:36,"STEAL  by FORD,CHRISTIAN",,,,,,,"STEAL  by FORD,CHRISTIAN",2
18:30,"TURNOVER  by BODEWIG,JOEY",,,,,,,"TURNOVER  by BODEWIG,JOEY",2
18:30,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
18:30,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
18:09,"FOUL  by BUTLER,OSCAR",,,,,,,"FOUL  by BUTLER,OSCAR",2
18:06,"FOUL  by BYRD,JAUMONEE",,,,,,,"FOUL  by BYRD,JAUMONEE",2
17:59,,34,,42 (+8),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 34-42 (+8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
17:59,"FOUL  by BODEWIG,JOEY",,,,,,,"FOUL  by BODEWIG,JOEY",2
17:59,,34,,43 (+9),"GOOD FT by SCINTA,BLAKE",CENTRE_M 34-43 (+9),,"GOOD FT by SCINTA,BLAKE",2
17:46,"GOOD JUMPER by BUTLER,OSCAR",36,,43 (+7),,MVCM 36-43 (+7),,"GOOD JUMPER by BUTLER,OSCAR",2
--,"ASSIST  by FORD,CHRISTIAN",,,,,,,"ASSIST  by FORD,CHRISTIAN",2
17:29,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
17:17,"TURNOVER  by BYRD,JAUMONEE",,,,,,,"TURNOVER  by BYRD,JAUMONEE",2
17:15,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",2
17:12,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",2
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",2
17:09,,36,,45 (+9),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 36-45 (+9),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
16:57,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:42,"GOOD JUMPER by BODEWIG,JOEY",38,,45 (+7),,MVCM 38-45 (+7),,"GOOD JUMPER by BODEWIG,JOEY",2
16:21,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
16:21,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",2
16:21,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
16:21,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
16:04,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
16:04,"GOOD FT by BUTLER,OSCAR",39,,45 (+6),,MVCM 39-45 (+6),,"GOOD FT by BUTLER,OSCAR",2
16:04,"GOOD FT by BUTLER,OSCAR",40,,45 (+5),,MVCM 40-45 (+5),,"GOOD FT by BUTLER,OSCAR",2
15:45,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
15:20,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",2
15:20,"GOOD FT by BUTLER,OSCAR",41,,45 (+4),,MVCM 41-45 (+4),,"GOOD FT by BUTLER,OSCAR",2
15:20,"GOOD FT by BUTLER,OSCAR",42,,45 (+3),,MVCM 42-45 (+3),,"GOOD FT by BUTLER,OSCAR",2
15:20,"SUB IN by JACKSON,ANTONIO",,,,,,,"SUB IN by JACKSON,ANTONIO",2
15:20,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",2
15:20,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",2
15:20,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
15:06,,42,,48 (+6),"GOOD 3PTR by MURRAY,RYAN",CENTRE_M 42-48 (+6),,"GOOD 3PTR by MURRAY,RYAN",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
14:51,"TURNOVER  by BUTLER,OSCAR",,,,,,,"TURNOVER  by BUTLER,OSCAR",2
14:49,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",2
14:47,"FOUL  by SHOFFNER,SPENCER",,,,,,,"FOUL  by SHOFFNER,SPENCER",2
14:47,,,,,"MISS FT by WHITESIDE,DONOVAN",,,"MISS FT by WHITESIDE,DONOVAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:47,,42,,49 (+7),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 42-49 (+7),,"GOOD FT by WHITESIDE,DONOVAN",2
14:47,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
14:47,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
14:14,"MISS 3PTR by SHOFFNER,SPENCER",,,,,,,"MISS 3PTR by SHOFFNER,SPENCER",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
13:39,,42,,52 (+10),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 42-52 (+10),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",2
13:15,"TURNOVER  by JACKSON,ANTONIO",,,,,,,"TURNOVER  by JACKSON,ANTONIO",2
13:13,,,,,"STEAL  by MURRAY,RYAN",,,"STEAL  by MURRAY,RYAN",2
13:09,"FOUL  by JACKSON,ANTONIO",,,,,,,"FOUL  by JACKSON,ANTONIO",2
13:09,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:09,,42,,53 (+11),"GOOD FT by GUMP,MATT",CENTRE_M 42-53 (+11),,"GOOD FT by GUMP,MATT",2
13:09,"SUB IN by BREWER,LOGAN",,,,,,,"SUB IN by BREWER,LOGAN",2
13:09,"SUB IN by RAYE,CRAIG",,,,,,,"SUB IN by RAYE,CRAIG",2
13:09,"SUB IN by BURRIS,JP",,,,,,,"SUB IN by BURRIS,JP",2
13:09,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",2
13:09,"SUB IN by FORD,CHRISTIAN",,,,,,,"SUB IN by FORD,CHRISTIAN",2
13:09,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",2
13:09,"SUB OUT by SHOFFNER,SPENCER",,,,,,,"SUB OUT by SHOFFNER,SPENCER",2
13:09,"SUB OUT by BUTLER,OSCAR",,,,,,,"SUB OUT by BUTLER,OSCAR",2
13:09,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",2
13:09,"SUB OUT by JACKSON,ANTONIO",,,,,,,"SUB OUT by JACKSON,ANTONIO",2
13:09,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",2
13:09,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
12:57,"MISS JUMPER by RAYE,CRAIG",,,,,,,"MISS JUMPER by RAYE,CRAIG",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
12:32,"FOUL  by BURRIS,JP",,,,,,,"FOUL  by BURRIS,JP",2
12:32,,,,,"MISS FT by MURRAY,RYAN",,,"MISS FT by MURRAY,RYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:32,,42,,54 (+12),"GOOD FT by MURRAY,RYAN",CENTRE_M 42-54 (+12),,"GOOD FT by MURRAY,RYAN",2
12:32,"SUB IN by PEAKE,SPENCER",,,,,,,"SUB IN by PEAKE,SPENCER",2
12:32,"SUB OUT by BREWER,LOGAN",,,,,,,"SUB OUT by BREWER,LOGAN",2
12:17,"MISS JUMPER by PEAKE,SPENCER",,,,,,,"MISS JUMPER by PEAKE,SPENCER",2
--,,,,,"REBOUND DEF by GEEGAN,MIKE",,,"REBOUND DEF by GEEGAN,MIKE",2
11:58,,,,,"TURNOVER  by MURRAY,RYAN",,,"TURNOVER  by MURRAY,RYAN",2
11:56,"STEAL  by PEAKE,SPENCER",,,,,,,"STEAL  by PEAKE,SPENCER",2
11:51,"MISS LAYUP by FORD,CHRISTIAN",,,,,,,"MISS LAYUP by FORD,CHRISTIAN",2
11:51,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by MURRAY,RYAN",,,"REBOUND DEF by MURRAY,RYAN",2
11:45,,42,,56 (+14),"GOOD LAYUP by MURRAY,RYAN(in the paint)",CENTRE_M 42-56 (+14),,"GOOD LAYUP by MURRAY,RYAN(in the paint)",2
11:31,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
11:31,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
11:25,"TURNOVER  by PEAKE,SPENCER",,,,,,,"TURNOVER  by PEAKE,SPENCER",2
11:20,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
11:20,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
11:08,,,,,"TURNOVER  by MURRAY,RYAN",,,"TURNOVER  by MURRAY,RYAN",2
11:07,"STEAL  by PEAKE,SPENCER",,,,,,,"STEAL  by PEAKE,SPENCER",2
10:58,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
10:58,"MISS FT by RAYE,CRAIG",,,,,,,"MISS FT by RAYE,CRAIG",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:58,"GOOD FT by RAYE,CRAIG",43,,56 (+13),,MVCM 43-56 (+13),,"GOOD FT by RAYE,CRAIG",2
10:58,"SUB IN by SHOFFNER,SPENCER",,,,,,,"SUB IN by SHOFFNER,SPENCER",2
10:58,"SUB IN by BUTLER,OSCAR",,,,,,,"SUB IN by BUTLER,OSCAR",2
10:58,"SUB OUT by PEAKE,SPENCER",,,,,,,"SUB OUT by PEAKE,SPENCER",2
10:58,"SUB OUT by BURRIS,JP",,,,,,,"SUB OUT by BURRIS,JP",2
10:46,,,,,"MISS LAYUP by MURRAY,RYAN",,,"MISS LAYUP by MURRAY,RYAN",2
--,"REBOUND DEF by BYRD,JAUMONEE",,,,,,,"REBOUND DEF by BYRD,JAUMONEE",2
10:35,"MISS 3PTR by SHOFFNER,SPENCER",,,,,,,"MISS 3PTR by SHOFFNER,SPENCER",2
--,"REBOUND OFF by BYRD,JAUMONEE",,,,,,,"REBOUND OFF by BYRD,JAUMONEE",2
10:31,"GOOD LAYUP by BYRD,JAUMONEE",45,,56 (+11),,MVCM 45-56 (+11),,"GOOD LAYUP by BYRD,JAUMONEE",2
10:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:17,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
10:17,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",2
10:06,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
10:04,"STEAL  by BYRD,JAUMONEE",,,,,,,"STEAL  by BYRD,JAUMONEE",2
10:02,"TURNOVER  by FORD,CHRISTIAN",,,,,,,"TURNOVER  by FORD,CHRISTIAN",2
10:01,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",2
09:57,,,,,"MISS LAYUP by GEEGAN,MIKE",,,"MISS LAYUP by GEEGAN,MIKE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:45,"SUB IN by BODEWIG,JOEY",,,,,,,"SUB IN by BODEWIG,JOEY",2
09:45,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",2
09:45,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
09:45,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",2
09:36,"MISS LAYUP by RAYE,CRAIG",,,,,,,"MISS LAYUP by RAYE,CRAIG",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
09:14,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",2
--,"REBOUND DEF by RAYE,CRAIG",,,,,,,"REBOUND DEF by RAYE,CRAIG",2
09:07,"MISS LAYUP by FORD,CHRISTIAN",,,,,,,"MISS LAYUP by FORD,CHRISTIAN",2
09:07,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
09:05,"MISS 3PTR by BUTLER,OSCAR",,,,,,,"MISS 3PTR by BUTLER,OSCAR",2
--,"REBOUND OFF by GEE,AUSTIN",,,,,,,"REBOUND OFF by GEE,AUSTIN",2
09:05,"SUB IN by GEE,AUSTIN",,,,,,,"SUB IN by GEE,AUSTIN",2
09:05,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",2
09:01,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",2
09:01,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
09:01,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
08:58,"MISS JUMPER by SHOFFNER,SPENCER",,,,,,,"MISS JUMPER by SHOFFNER,SPENCER",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
08:43,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",2
08:43,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",2
08:22,"MISS LAYUP by BUTLER,OSCAR",,,,,,,"MISS LAYUP by BUTLER,OSCAR",2
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",2
08:07,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",2
--,"REBOUND DEF by BODEWIG,JOEY",,,,,,,"REBOUND DEF by BODEWIG,JOEY",2
07:56,"TURNOVER  by BODEWIG,JOEY",,,,,,,"TURNOVER  by BODEWIG,JOEY",2
07:56,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",2
07:56,"SUB OUT by RAYE,CRAIG",,,,,,,"SUB OUT by RAYE,CRAIG",2
07:56,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
07:56,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
07:45,,45,,58 (+13),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 45-58 (+13),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
07:33,"TURNOVER  by GEE,AUSTIN",,,,,,,"TURNOVER  by GEE,AUSTIN",2
07:21,"FOUL  by BODEWIG,JOEY",,,,,,,"FOUL  by BODEWIG,JOEY",2
07:21,,45,,59 (+14),"GOOD FT by SCINTA,BLAKE",CENTRE_M 45-59 (+14),,"GOOD FT by SCINTA,BLAKE",2
07:21,,45,,60 (+15),"GOOD FT by SCINTA,BLAKE",CENTRE_M 45-60 (+15),,"GOOD FT by SCINTA,BLAKE",2
07:21,"SUB IN by FORD,CHRISTIAN",,,,,,,"SUB IN by FORD,CHRISTIAN",2
07:21,"SUB OUT by GEE,AUSTIN",,,,,,,"SUB OUT by GEE,AUSTIN",2
07:04,"MISS JUMPER by BODEWIG,JOEY",,,,,,,"MISS JUMPER by BODEWIG,JOEY",2
--,"REBOUND OFF by BUTLER,OSCAR",,,,,,,"REBOUND OFF by BUTLER,OSCAR",2
07:01,"GOOD LAYUP by BUTLER,OSCAR(in the paint)",47,,60 (+13),,MVCM 47-60 (+13),,"GOOD LAYUP by BUTLER,OSCAR(in the paint)",2
06:37,,,,,"MISS LAYUP by TAYLOR,CHRIS",,,"MISS LAYUP by TAYLOR,CHRIS",2
--,"REBOUND DEF by BODEWIG,JOEY",,,,,,,"REBOUND DEF by BODEWIG,JOEY",2
06:27,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
06:27,"GOOD FT by BYRD,JAUMONEE",48,,60 (+12),,MVCM 48-60 (+12),,"GOOD FT by BYRD,JAUMONEE",2
06:27,"GOOD FT by BYRD,JAUMONEE",49,,60 (+11),,MVCM 49-60 (+11),,"GOOD FT by BYRD,JAUMONEE",2
06:27,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
06:27,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
06:27,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",2
06:27,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
06:27,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
06:27,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
06:23,,49,,62 (+13),"GOOD DUNK by WESLEY,TYLER(in the paint)",CENTRE_M 49-62 (+13),,"GOOD DUNK by WESLEY,TYLER(in the paint)",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
06:06,"MISS JUMPER by BUTLER,OSCAR",,,,,,,"MISS JUMPER by BUTLER,OSCAR",2
--,"REBOUND OFF by BYRD,JAUMONEE",,,,,,,"REBOUND OFF by BYRD,JAUMONEE",2
06:03,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",51,,62 (+11),,MVCM 51-62 (+11),,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",2
05:42,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",2
05:37,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:28,"FOUL  by BYRD,JAUMONEE",,,,,,,"FOUL  by BYRD,JAUMONEE",2
05:28,,51,,63 (+12),"GOOD FT by SCINTA,BLAKE",CENTRE_M 51-63 (+12),,"GOOD FT by SCINTA,BLAKE",2
05:28,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",2
--,"REBOUND DEF by RAYE,CRAIG",,,,,,,"REBOUND DEF by RAYE,CRAIG",2
05:28,"SUB IN by RAYE,CRAIG",,,,,,,"SUB IN by RAYE,CRAIG",2
05:28,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",2
05:12,"GOOD 3PTR by FORD,CHRISTIAN",54,,63 (+9),,MVCM 54-63 (+9),,"GOOD 3PTR by FORD,CHRISTIAN",2
05:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:38,,54,,66 (+12),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 54-66 (+12),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
04:20,"MISS JUMPER by BUTLER,OSCAR",,,,,,,"MISS JUMPER by BUTLER,OSCAR",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
04:13,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
04:10,"STEAL  by BUTLER,OSCAR",,,,,,,"STEAL  by BUTLER,OSCAR",2
04:08,"GOOD LAYUP by BUTLER,OSCAR(in the paint)",56,,66 (+10),,MVCM 56-66 (+10),,"GOOD LAYUP by BUTLER,OSCAR(in the paint)",2
03:45,,,,,"TURNOVER  by MURRAY,RYAN",,,"TURNOVER  by MURRAY,RYAN",2
03:44,"STEAL  by SHOFFNER,SPENCER",,,,,,,"STEAL  by SHOFFNER,SPENCER",2
03:40,"TURNOVER  by RAYE,CRAIG",,,,,,,"TURNOVER  by RAYE,CRAIG",2
03:39,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",2
03:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:39,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
03:39,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
03:39,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",2
03:39,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
03:34,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
03:20,"MISS LAYUP by FORD,CHRISTIAN",,,,,,,"MISS LAYUP by FORD,CHRISTIAN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
02:53,,56,,68 (+12),"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 56-68 (+12),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",2
02:52,"FOUL  by BUTLER,OSCAR",,,,,,,"FOUL  by BUTLER,OSCAR",2
02:52,,56,,69 (+13),"GOOD FT by TAYLOR,CHRIS",CENTRE_M 56-69 (+13),,"GOOD FT by TAYLOR,CHRIS",2
02:52,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",2
02:52,"SUB OUT by RAYE,CRAIG",,,,,,,"SUB OUT by RAYE,CRAIG",2
02:52,"SUB OUT by BUTLER,OSCAR",,,,,,,"SUB OUT by BUTLER,OSCAR",2
02:52,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",2
02:50,"MISS JUMPER by RAYE,CRAIG",,,,,,,"MISS JUMPER by RAYE,CRAIG",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:47,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
02:47,"GOOD FT by RAYE,CRAIG",57,,69 (+12),,MVCM 57-69 (+12),,"GOOD FT by RAYE,CRAIG",2
02:47,"GOOD FT by RAYE,CRAIG",58,,69 (+11),,MVCM 58-69 (+11),,"GOOD FT by RAYE,CRAIG",2
02:47,"SUB IN by BODEWIG,JOEY",,,,,,,"SUB IN by BODEWIG,JOEY",2
02:47,"SUB IN by RAYE,CRAIG",,,,,,,"SUB IN by RAYE,CRAIG",2
02:47,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",2
02:47,"SUB IN by FORD,CHRISTIAN",,,,,,,"SUB IN by FORD,CHRISTIAN",2
02:47,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
02:47,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
02:19,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by BODEWIG,JOEY",,,,,,,"REBOUND DEF by BODEWIG,JOEY",2
01:55,"MISS LAYUP by BODEWIG,JOEY",,,,,,,"MISS LAYUP by BODEWIG,JOEY",2
--,"REBOUND OFF by BYRD,JAUMONEE",,,,,,,"REBOUND OFF by BYRD,JAUMONEE",2
01:51,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",60,,69 (+9),,MVCM 60-69 (+9),,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",2
01:51,"SUB IN by BURRIS,JP",,,,,,,"SUB IN by BURRIS,JP",2
01:51,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",2
01:34,"SUB IN by BODEWIG,JOEY",,,,,,,"SUB IN by BODEWIG,JOEY",2
01:34,"SUB OUT by BURRIS,JP",,,,,,,"SUB OUT by BURRIS,JP",2
01:27,"FOUL  by BODEWIG,JOEY",,,,,,,"FOUL  by BODEWIG,JOEY",2
01:27,,60,,70 (+10),"GOOD FT by KARSNER,JOSH",CENTRE_M 60-70 (+10),,"GOOD FT by KARSNER,JOSH",2
01:27,,60,,71 (+11),"GOOD FT by KARSNER,JOSH",CENTRE_M 60-71 (+11),,"GOOD FT by KARSNER,JOSH",2
01:27,"SUB IN by BUTLER,OSCAR",,,,,,,"SUB IN by BUTLER,OSCAR",2
01:27,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",2
01:27,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
01:27,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
01:20,"MISS LAYUP by BYRD,JAUMONEE",,,,,,,"MISS LAYUP by BYRD,JAUMONEE",2
--,"REBOUND OFF by RAYE,CRAIG",,,,,,,"REBOUND OFF by RAYE,CRAIG",2
01:17,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
01:17,"MISS FT by RAYE,CRAIG",,,,,,,"MISS FT by RAYE,CRAIG",2
--,"REBOUND OFF by BYRD,JAUMONEE",,,,,,,"REBOUND OFF by BYRD,JAUMONEE",2
01:12,"MISS 3PTR by SHOFFNER,SPENCER",,,,,,,"MISS 3PTR by SHOFFNER,SPENCER",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
00:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:59,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
00:59,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
