Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
02:20,,,,,"MISS FT by STEGGEMAN,ANDREW",,,"MISS FT by STEGGEMAN,ANDREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:20,,64,,81 (+17),"GOOD FT by STEGGEMAN,ANDREW",CENTRE_M 64-81 (+17),,"GOOD FT by STEGGEMAN,ANDREW",2
02:20,"SUB IN by MAYS,DREW",,,,,,,"SUB IN by MAYS,DREW",2
02:20,"SUB IN by HAYES,D'CARLO",,,,,,,"SUB IN by HAYES,D'CARLO",2
02:20,"SUB IN by MCGOVNEY,NATE",,,,,,,"SUB IN by MCGOVNEY,NATE",2
02:20,"SUB IN by MUMFORD,DREW",,,,,,,"SUB IN by MUMFORD,DREW",2
02:20,"SUB IN by RICHARD,CHRIS",,,,,,,"SUB IN by RICHARD,CHRIS",2
02:20,"SUB OUT by BERLEKAMP,SPENCER",,,,,,,"SUB OUT by BERLEKAMP,SPENCER",2
02:20,"SUB OUT by PIPES,ELIOT",,,,,,,"SUB OUT by PIPES,ELIOT",2
02:20,"SUB OUT by HOUSLEY,BRANDON",,,,,,,"SUB OUT by HOUSLEY,BRANDON",2
02:20,"SUB OUT by CLARK,JALEN",,,,,,,"SUB OUT by CLARK,JALEN",2
02:20,"SUB OUT by DAVIS,TRAVIS",,,,,,,"SUB OUT by DAVIS,TRAVIS",2
02:20,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
02:20,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
02:20,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
02:20,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
02:11,"MISS LAYUP by HAYES,D'CARLO",,,,,,,"MISS LAYUP by HAYES,D'CARLO",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
01:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:59,"SUB IN by HARGETT,MATT",,,,,,,"SUB IN by HARGETT,MATT",2
01:59,"SUB IN by DAVIS,TRAVIS",,,,,,,"SUB IN by DAVIS,TRAVIS",2
01:59,"SUB IN by MARSHALL,JOSEF",,,,,,,"SUB IN by MARSHALL,JOSEF",2
01:59,"SUB IN by DONOHOE,MICHAEL",,,,,,,"SUB IN by DONOHOE,MICHAEL",2
01:59,"SUB OUT by MAYS,DREW",,,,,,,"SUB OUT by MAYS,DREW",2
01:59,"SUB OUT by HAYES,D'CARLO",,,,,,,"SUB OUT by HAYES,D'CARLO",2
01:59,"SUB OUT by MCGOVNEY,NATE",,,,,,,"SUB OUT by MCGOVNEY,NATE",2
01:59,"SUB OUT by MUMFORD,DREW",,,,,,,"SUB OUT by MUMFORD,DREW",2
01:59,"SUB OUT by RICHARD,CHRIS",,,,,,,"SUB OUT by RICHARD,CHRIS",2
01:59,,,,,"SUB IN by CLARK,TANNER",,,"SUB IN by CLARK,TANNER",2
01:59,,,,,"SUB IN by MILLER,GUNNAR",,,"SUB IN by MILLER,GUNNAR",2
01:59,,,,,"SUB IN by LOHR,MATT",,,"SUB IN by LOHR,MATT",2
01:59,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
01:59,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
01:59,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
01:59,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
01:59,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
01:59,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
01:59,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
01:43,,,,,"MISS LAYUP by LOHR,MATT",,,"MISS LAYUP by LOHR,MATT",2
--,,,,,"REBOUND OFF by ARNETT,MICHAEL",,,"REBOUND OFF by ARNETT,MICHAEL",2
01:39,,64,,83 (+19),"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",CENTRE_M 64-83 (+19),,"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",2
01:26,"MISS 3PTR by DAVIS,TRAVIS",,,,,,,"MISS 3PTR by DAVIS,TRAVIS",2
--,,,,,"REBOUND DEF by LOHR,MATT",,,"REBOUND DEF by LOHR,MATT",2
01:04,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by III,LOUIS WALKER",,,,,,,"REBOUND DEF by III,LOUIS WALKER",2
00:50,"MISS JUMPER by MARSHALL,JOSEF",,,,,,,"MISS JUMPER by MARSHALL,JOSEF",2
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",2
00:39,,64,,85 (+21),"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",CENTRE_M 64-85 (+21),,"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",2
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",2
00:18,,,,,"FOUL  by CLARK,TANNER",,,"FOUL  by CLARK,TANNER",2
00:18,"MISS FT by DONOHOE,MICHAEL",,,,,,,"MISS FT by DONOHOE,MICHAEL",2
--,,,,,"REBOUND DEF by LOHR,MATT",,,"REBOUND DEF by LOHR,MATT",2
00:09,,,,,"MISS JUMPER by CLARK,TANNER",,,"MISS JUMPER by CLARK,TANNER",2
--,,,,,"REBOUND OFF by LOHR,MATT",,,"REBOUND OFF by LOHR,MATT",2
00:05,"FOUL  by DAVIS,TRAVIS",,,,,,,"FOUL  by DAVIS,TRAVIS",2
00:05,,,,,"MISS FT by LOHR,MATT",,,"MISS FT by LOHR,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:05,,,,,"MISS FT by LOHR,MATT",,,"MISS FT by LOHR,MATT",2
--,"REBOUND DEF by MARSHALL,JOSEF",,,,,,,"REBOUND DEF by MARSHALL,JOSEF",2
00:00,"MISS 3PTR by HARGETT,MATT",,,,,,,"MISS 3PTR by HARGETT,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
