Time Remaining,CENTR,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
10:27,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
10:27,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",1
10:27,,,,,"SUB IN by SMITH,TYLER",,,"SUB IN by SMITH,TYLER",1
10:27,,,,,"SUB OUT by LAMB,KYLE",,,"SUB OUT by LAMB,KYLE",1
10:14,"GOOD 3PTR by KARSNER,JOSH",17,,18 (+1),,CENTR 17-18 (-1),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
10:01,,,,,"MISS 3PTR by RICHARDSON,CAM",,,"MISS 3PTR by RICHARDSON,CAM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:47,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by RICHARDSON,CAM",,,"REBOUND DEF by RICHARDSON,CAM",1
09:43,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
09:43,,17,,19 (+2),"GOOD FT by RICHARDSON,CAM",AC 17-19 (-2),,"GOOD FT by RICHARDSON,CAM",1
09:43,,,,,"MISS FT by RICHARDSON,CAM",,,"MISS FT by RICHARDSON,CAM",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
09:29,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
09:27,,,,,"STEAL  by PENNY,CJ",,,"STEAL  by PENNY,CJ",1
09:24,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",1
09:24,,,,,"SUB IN by LAMB,KYLE",,,"SUB IN by LAMB,KYLE",1
09:24,,,,,"SUB OUT by RICHARDSON,CAM",,,"SUB OUT by RICHARDSON,CAM",1
09:20,,,,,"TURNOVER  by LAMB,KYLE",,,"TURNOVER  by LAMB,KYLE",1
09:03,,,,,"FOUL  by SMITH,TYLER",,,"FOUL  by SMITH,TYLER",1
09:03,"GOOD FT by STEGGEMAN,ANDREW",18,,19 (+1),,CENTR 18-19 (-1),,"GOOD FT by STEGGEMAN,ANDREW",1
09:03,"GOOD FT by STEGGEMAN,ANDREW",19,,19,,CENTR 19-19 (0),,"GOOD FT by STEGGEMAN,ANDREW",1
09:03,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
09:03,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
08:38,,,,,"MISS JUMPER by FLANNERY,AUSTIN",,,"MISS JUMPER by FLANNERY,AUSTIN",1
--,,,,,"REBOUND OFF by SMITH,TYLER",,,"REBOUND OFF by SMITH,TYLER",1
08:28,,19,,22 (+3),"GOOD 3PTR by FLANNERY,AUSTIN",AC 19-22 (-3),,"GOOD 3PTR by FLANNERY,AUSTIN",1
--,,,,,"ASSIST  by PENNY,CJ",,,"ASSIST  by PENNY,CJ",1
08:13,"GOOD JUMPER by KARSNER,JOSH(in the paint)",21,,22 (+1),,CENTR 21-22 (-1),,"GOOD JUMPER by KARSNER,JOSH(in the paint)",1
08:13,,,,,"FOUL  by SMITH,TYLER",,,"FOUL  by SMITH,TYLER",1
08:13,"GOOD FT by KARSNER,JOSH",22,,22,,CENTR 22-22 (0),,"GOOD FT by KARSNER,JOSH",1
08:13,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
08:13,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
08:13,,,,,"SUB IN by RICHARDSON,CAM",,,"SUB IN by RICHARDSON,CAM",1
08:13,,,,,"SUB OUT by GILBERT,JORDAN",,,"SUB OUT by GILBERT,JORDAN",1
07:53,,,,,"MISS JUMPER by LAMB,KYLE",,,"MISS JUMPER by LAMB,KYLE",1
--,,,,,"REBOUND OFF by PENNY,CJ",,,"REBOUND OFF by PENNY,CJ",1
07:51,,,,,"MISS JUMPER by PENNY,CJ",,,"MISS JUMPER by PENNY,CJ",1
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",1
07:38,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
