Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by WILLIAMS,JALEN",,,"REBOUND OFF by WILLIAMS,JALEN",1
06:51,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",1
06:51,,14,,28 (+14),"GOOD FT by WILLIAMS,JALEN",Centre 14-28 (-14),,"GOOD FT by WILLIAMS,JALEN",1
06:51,,,,,"SUB OUT by WELLS,GAGE",,,"SUB OUT by WELLS,GAGE",1
06:51,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
06:51,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
06:51,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
06:51,,,,,"MISS FT by WILLIAMS,JALEN",,,"MISS FT by WILLIAMS,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:51,,,,,"FOUL  by MOORE,CHEZ",,,"FOUL  by MOORE,CHEZ",1
06:51,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:51,"FOUL  by WILLIAMS,JAYSON",,,,,,,"FOUL  by WILLIAMS,JAYSON",1
06:51,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
06:51,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
06:51,,14,,29 (+15),"GOOD FT by KNOCHELMANN,PETE",Centre 14-29 (-15),,"GOOD FT by KNOCHELMANN,PETE",1
06:51,,14,,30 (+16),"GOOD FT by KNOCHELMANN,PETE",Centre 14-30 (-16),,"GOOD FT by KNOCHELMANN,PETE",1
06:45,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
06:45,,,,,"SUB IN by WELLS,GAGE",,,"SUB IN by WELLS,GAGE",1
06:45,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
06:45,"SUB IN by COOK,JEREMIAH",,,,,,,"SUB IN by COOK,JEREMIAH",1
06:29,,14,,32 (+18),"GOOD JUMPER by CRUMP,DAWSON(in the paint)",Centre 14-32 (-18),,"GOOD JUMPER by CRUMP,DAWSON(in the paint)",1
--,,,,,"ASSIST  by KNOCHELMANN,PETE",,,"ASSIST  by KNOCHELMANN,PETE",1
06:12,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
06:12,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
06:12,"SUB IN by HIESTER,JACKSON",,,,,,,"SUB IN by HIESTER,JACKSON",1
06:12,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
05:59,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",1
--,"REBOUND OFF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
05:54,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
05:54,"GOOD FT by ESSICK,JALEN",15,,32 (+17),,Rhodes 15-32 (-17),,"GOOD FT by ESSICK,JALEN",1
05:54,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by WILLIAMS,JALEN",,,"REBOUND DEF by WILLIAMS,JALEN",1
05:29,,15,,35 (+20),"GOOD 3PTR by WILLIAMS,JALEN",Centre 15-35 (-20),,"GOOD 3PTR by WILLIAMS,JALEN",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
05:20,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",1
05:20,"GOOD FT by ESSICK,JALEN",16,,35 (+19),,Rhodes 16-35 (-19),,"GOOD FT by ESSICK,JALEN",1
05:20,"GOOD FT by ESSICK,JALEN",17,,35 (+18),,Rhodes 17-35 (-18),,"GOOD FT by ESSICK,JALEN",1
05:20,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
05:20,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
05:11,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
05:04,"TURNOVER  by COOK,JEREMIAH",,,,,,,"TURNOVER  by COOK,JEREMIAH",1
05:04,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
05:04,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
04:47,,,,,"MISS LAYUP by WILSON,DREW(in the paint)",,,"MISS LAYUP by WILSON,DREW(in the paint)",1
04:47,"BLOCK  by WILLIAMS,JAYSON",,,,,,,"BLOCK  by WILLIAMS,JAYSON",1
--,"REBOUND DEF by WILLIAMS,JAYSON",,,,,,,"REBOUND DEF by WILLIAMS,JAYSON",1
04:41,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",1
04:20,"FOUL  by WALKER,JEFFERSON",,,,,,,"FOUL  by WALKER,JEFFERSON",1
04:20,,17,,36 (+19),"GOOD FT by CRUMP,DAWSON",Centre 17-36 (-19),,"GOOD FT by CRUMP,DAWSON",1
04:20,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
04:20,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
