Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
09:42,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
09:42,,,,,"SUB IN by JOHNSON,DAMECKO",,,"SUB IN by JOHNSON,DAMECKO",1
09:42,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
09:42,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
09:42,"SUB OUT by CLAYTON,TJ",,,,,,,"SUB OUT by CLAYTON,TJ",1
09:42,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
09:42,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
09:42,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
09:42,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
09:42,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
09:42,"SUB IN by HIESTER,JACKSON",,,,,,,"SUB IN by HIESTER,JACKSON",1
09:42,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",1
09:33,"MISS LAYUP by HIESTER,JACKSON(in the paint)",,,,,,,"MISS LAYUP by HIESTER,JACKSON(in the paint)",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
09:18,,,,,"TURNOVER  by II,CRAIG",,,"TURNOVER  by II,CRAIG",1
09:18,"STEAL  by WALKER,JEFFERSON",,,,,,,"STEAL  by WALKER,JEFFERSON",1
09:08,"GOOD 3PTR by WALKER,JEFFERSON",16,,17 (+1),,Rhodes 16-17 (-1),,"GOOD 3PTR by WALKER,JEFFERSON",1
--,"ASSIST  by LAMEY,HAYDEN",,,,,,,"ASSIST  by LAMEY,HAYDEN",1
08:55,,,,,"MISS JUMPER by II,CRAIG(in the paint)",,,"MISS JUMPER by II,CRAIG(in the paint)",1
--,"REBOUND DEF by WALKER,JEFFERSON",,,,,,,"REBOUND DEF by WALKER,JEFFERSON",1
08:53,,,,,"FOUL  by II,CRAIG",,,"FOUL  by II,CRAIG",1
08:53,,,,,"SUB OUT by II,CRAIG",,,"SUB OUT by II,CRAIG",1
08:53,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
08:53,,,,,"SUB IN by CUMMINGS II,ROD",,,"SUB IN by CUMMINGS II,ROD",1
08:53,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
08:42,"MISS 3PTR by LAMEY,HAYDEN",,,,,,,"MISS 3PTR by LAMEY,HAYDEN",1
--,,,,,"REBOUND DEF by PHILLIP,ADAM",,,"REBOUND DEF by PHILLIP,ADAM",1
08:30,,,,,"MISS 3PTR by JOHNSON,DAMECKO",,,"MISS 3PTR by JOHNSON,DAMECKO",1
--,"REBOUND DEF by HIESTER,JACKSON",,,,,,,"REBOUND DEF by HIESTER,JACKSON",1
08:18,"FOUL  by HIESTER,JACKSON",,,,,,,"FOUL  by HIESTER,JACKSON",1
08:18,"TURNOVER  by HIESTER,JACKSON",,,,,,,"TURNOVER  by HIESTER,JACKSON",1
08:18,"SUB OUT by HIESTER,JACKSON",,,,,,,"SUB OUT by HIESTER,JACKSON",1
08:18,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
07:56,,,,,"FOUL  by CUMMINGS II,ROD",,,"FOUL  by CUMMINGS II,ROD",1
07:56,,,,,"TURNOVER  by CUMMINGS II,ROD",,,"TURNOVER  by CUMMINGS II,ROD",1
07:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:25,"GOOD 3PTR by SHEN,KEVIN",19 (+2),,17,,Rhodes 19-17 (+2),,"GOOD 3PTR by SHEN,KEVIN",1
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",1
07:05,,,,,"TURNOVER  by JOHNSON,DAMECKO",,,"TURNOVER  by JOHNSON,DAMECKO",1
07:05,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
07:05,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
07:05,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",1
07:05,"SUB IN by COOK,JEREMIAH",,,,,,,"SUB IN by COOK,JEREMIAH",1
07:05,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
07:05,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
07:05,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
07:05,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
06:50,"GOOD JUMPER by ESSICK,JALEN",21 (+4),,17,,Rhodes 21-17 (+4),,"GOOD JUMPER by ESSICK,JALEN",1
06:34,,21 (+2),,19,"GOOD JUMPER by CUMMINGS II,ROD",Hend 21-19 (+2),,"GOOD JUMPER by CUMMINGS II,ROD",1
06:14,"MISS 3PTR by WALKER,JEFFERSON",,,,,,,"MISS 3PTR by WALKER,JEFFERSON",1
--,,,,,"REBOUND DEF by JOHNSON,DAMECKO",,,"REBOUND DEF by JOHNSON,DAMECKO",1
06:03,,,,,"TURNOVER  by CUMMINGS II,ROD",,,"TURNOVER  by CUMMINGS II,ROD",1
06:03,"STEAL  by GEORGETOWN II,ARNESS",,,,,,,"STEAL  by GEORGETOWN II,ARNESS",1
05:57,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
05:57,"GOOD FT by COOK,JEREMIAH(fastbreak)",22 (+3),,19,,Rhodes 22-19 (+3),,"GOOD FT by COOK,JEREMIAH(fastbreak)",1
05:57,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
05:57,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
05:57,"MISS FT by COOK,JEREMIAH(fastbreak)",,,,,,,"MISS FT by COOK,JEREMIAH(fastbreak)",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:44,,,,,"MISS 3PTR by JOHNSON,DAMECKO",,,"MISS 3PTR by JOHNSON,DAMECKO",1
--,"REBOUND DEF by COOK,JEREMIAH",,,,,,,"REBOUND DEF by COOK,JEREMIAH",1
05:34,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:26,,,,,"TURNOVER  by JOHNSON,DAMECKO",,,"TURNOVER  by JOHNSON,DAMECKO",1
05:26,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",1
05:26,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
05:26,"SUB OUT by CLAYTON,TJ",,,,,,,"SUB OUT by CLAYTON,TJ",1
05:26,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
05:12,"MISS JUMPER by GEORGETOWN II,ARNESS",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
04:58,"FOUL  by SHEN,KEVIN",,,,,,,"FOUL  by SHEN,KEVIN",1
04:58,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
04:58,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
04:47,,22,,22,"GOOD 3PTR by JOHNSON,DAMECKO",Hend 22-22 (0),,"GOOD 3PTR by JOHNSON,DAMECKO",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
04:37,"GOOD 3PTR by CLAYTON,TJ(fastbreak)",25 (+3),,22,,Rhodes 25-22 (+3),,"GOOD 3PTR by CLAYTON,TJ(fastbreak)",1
--,"ASSIST  by COOK,JEREMIAH",,,,,,,"ASSIST  by COOK,JEREMIAH",1
04:24,,25,,25,"GOOD 3PTR by JOHNSON,DAMECKO",Hend 25-25 (0),,"GOOD 3PTR by JOHNSON,DAMECKO",1
--,,,,,"ASSIST  by CUMMINGS II,ROD",,,"ASSIST  by CUMMINGS II,ROD",1
04:04,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
04:04,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:04,"SUB OUT by COOK,JEREMIAH",,,,,,,"SUB OUT by COOK,JEREMIAH",1
04:04,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
04:04,"GOOD FT by ESSICK,JALEN",26 (+1),,25,,Rhodes 26-25 (+1),,"GOOD FT by ESSICK,JALEN",1
03:45,,,,,"TURNOVER  by CUMMINGS II,ROD",,,"TURNOVER  by CUMMINGS II,ROD",1
03:45,"STEAL  by WILEY,KOKI",,,,,,,"STEAL  by WILEY,KOKI",1
03:40,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
03:40,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
03:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:31,,,,,"SUB OUT by CUMMINGS II,ROD",,,"SUB OUT by CUMMINGS II,ROD",1
03:31,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
03:31,,,,,"SUB IN by II,CRAIG",,,"SUB IN by II,CRAIG",1
03:31,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
03:26,,26,,27 (+1),"GOOD JUMPER by STANLEY,SETH(in the paint)",Hend 26-27 (-1),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
--,,,,,"ASSIST  by II,CRAIG",,,"ASSIST  by II,CRAIG",1
03:11,"MISS 3PTR by CLAYTON,TJ",,,,,,,"MISS 3PTR by CLAYTON,TJ",1
--,,,,,"REBOUND DEF by II,CRAIG",,,"REBOUND DEF by II,CRAIG",1
03:00,,,,,"MISS 3PTR by JOHNSON,DAMECKO",,,"MISS 3PTR by JOHNSON,DAMECKO",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
02:41,"MISS JUMPER by WILEY,KOKI",,,,,,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND OFF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
02:36,"TURNOVER  by GEORGETOWN II,ARNESS",,,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",1
02:36,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",1
02:29,,26,,29 (+3),"GOOD JUMPER by STANLEY,SETH",Hend 26-29 (-3),,"GOOD JUMPER by STANLEY,SETH",1
02:11,"GOOD 3PTR by JAMES,MAC",29,,29,,Rhodes 29-29 (0),,"GOOD 3PTR by JAMES,MAC",1
--,"ASSIST  by CLAYTON,TJ",,,,,,,"ASSIST  by CLAYTON,TJ",1
01:48,,29,,31 (+2),"GOOD JUMPER by II,CRAIG(in the paint)",Hend 29-31 (-2),,"GOOD JUMPER by II,CRAIG(in the paint)",1
01:32,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
01:32,,,,,"STEAL  by JOHNSON,DAMECKO",,,"STEAL  by JOHNSON,DAMECKO",1
01:27,,29,,33 (+4),"GOOD LAYUP by JOHNSON,DAMECKO(fastbreak)(in the paint)",Hend 29-33 (-4),,"GOOD LAYUP by JOHNSON,DAMECKO(fastbreak)(in the paint)",1
01:10,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"REBOUND DEF by II,CRAIG",,,"REBOUND DEF by II,CRAIG",1
01:04,,29,,36 (+7),"GOOD 3PTR by JOHNSON,DAMECKO(fastbreak)",Hend 29-36 (-7),,"GOOD 3PTR by JOHNSON,DAMECKO(fastbreak)",1
--,,,,,"ASSIST  by II,CRAIG",,,"ASSIST  by II,CRAIG",1
01:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:01,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
01:01,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
01:01,"SUB IN by COOK,JEREMIAH",,,,,,,"SUB IN by COOK,JEREMIAH",1
01:01,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
00:41,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,"REBOUND OFF by JAMES,MAC",,,,,,,"REBOUND OFF by JAMES,MAC",1
00:36,"MISS 3PTR by COOK,JEREMIAH",,,,,,,"MISS 3PTR by COOK,JEREMIAH",1
--,"REBOUND OFF by JAMES,MAC",,,,,,,"REBOUND OFF by JAMES,MAC",1
00:28,"MISS JUMPER by JAMES,MAC(in the paint)",,,,,,,"MISS JUMPER by JAMES,MAC(in the paint)",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
00:22,,,,,"MISS LAYUP by STANLEY,SETH(in the paint)",,,"MISS LAYUP by STANLEY,SETH(in the paint)",1
00:22,"BLOCK  by ESSICK,JALEN",,,,,,,"BLOCK  by ESSICK,JALEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:22,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:02,,,,,"TURNOVER  by JOHNSON,DAMECKO",,,"TURNOVER  by JOHNSON,DAMECKO",1
00:02,"STEAL  by WILLIAMS,JAYSON",,,,,,,"STEAL  by WILLIAMS,JAYSON",1
00:00,"MISS LAYUP by JAMES,MAC(in the paint)",,,,,,,"MISS LAYUP by JAMES,MAC(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by II,CRAIG",,,"SUB OUT by II,CRAIG",2
20:00,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",2
20:00,,,,,"SUB IN by CUMMINGS II,ROD",,,"SUB IN by CUMMINGS II,ROD",2
20:00,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
20:00,"SUB OUT by COOK,JEREMIAH",,,,,,,"SUB OUT by COOK,JEREMIAH",2
20:00,"SUB OUT by CLAYTON,TJ",,,,,,,"SUB OUT by CLAYTON,TJ",2
20:00,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",2
20:00,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",2
19:47,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",2
19:47,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,2
19:47,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:47,,29,,37 (+8),"GOOD FT by STANLEY,SETH",Hend 29-37 (-8),,"GOOD FT by STANLEY,SETH",2
19:47,,29,,38 (+9),"GOOD FT by STANLEY,SETH",Hend 29-38 (-9),,"GOOD FT by STANLEY,SETH",2
