Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
09:19,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",1
09:19,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",1
09:19,,,,,"SUB IN by AESCHLIMAN,SETH",,,"SUB IN by AESCHLIMAN,SETH",1
09:19,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
09:06,"GOOD 3PTR by HONROTH,OWEN",26 (+20),,6,,Berry 26-6 (-20),,"GOOD 3PTR by HONROTH,OWEN",1
--,"ASSIST  by COSTAS,RILEY",,,,,,,"ASSIST  by COSTAS,RILEY",1
08:53,,,,,"MISS LAYUP by FITZGERALD,DAVID(in the paint)",,,"MISS LAYUP by FITZGERALD,DAVID(in the paint)",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
08:46,"TURNOVER  by HONROTH,OWEN",,,,,,,"TURNOVER  by HONROTH,OWEN",1
08:46,,,,,"SUB OUT by FITZGERALD,DAVID",,,"SUB OUT by FITZGERALD,DAVID",1
08:46,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
08:33,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",1
08:24,"FOUL  by JOHNSON,MICHAEL",,,,,,,"FOUL  by JOHNSON,MICHAEL",1
08:24,,,,,"MISS FT by JAMES,MAC",,,"MISS FT by JAMES,MAC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:23,,,,,"MISS FT by JAMES,MAC",,,"MISS FT by JAMES,MAC",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
08:06,"GOOD JUMPER by HONROTH,OWEN(in the paint)",28 (+22),,6,,Berry 28-6 (-22),,"GOOD JUMPER by HONROTH,OWEN(in the paint)",1
07:50,,28 (+20),,8,"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 28-8 (-20),,"GOOD JUMPER by WILEY,KOKI(in the paint)",1
07:39,"MISS JUMPER by HONROTH,OWEN",,,,,,,"MISS JUMPER by HONROTH,OWEN",1
--,,,,,"REBOUND DEF by AESCHLIMAN,SETH",,,"REBOUND DEF by AESCHLIMAN,SETH",1
07:38,"FOUL  by BROOKS,AUSTIN",,,,,,,"FOUL  by BROOKS,AUSTIN",1
07:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:38,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
07:38,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
07:38,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
07:38,"SUB IN by SEGALL,RYAN",,,,,,,"SUB IN by SEGALL,RYAN",1
07:25,,,,,"TURNOVER  by LAMEY,HAYDEN",,,"TURNOVER  by LAMEY,HAYDEN",1
07:25,"STEAL  by SEGALL,RYAN",,,,,,,"STEAL  by SEGALL,RYAN",1
07:11,"MISS 3PTR by COSTAS,RILEY",,,,,,,"MISS 3PTR by COSTAS,RILEY",1
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",1
06:57,,28 (+18),,10,"GOOD JUMPER by AESCHLIMAN,SETH",Rhodes 28-10 (-18),,"GOOD JUMPER by AESCHLIMAN,SETH",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
06:43,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",,,,,,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",1
--,"REBOUND OFF by HONROTH,OWEN",,,,,,,"REBOUND OFF by HONROTH,OWEN",1
06:37,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",1
06:37,"SUB IN by BENHAM,BRAXTON",,,,,,,"SUB IN by BENHAM,BRAXTON",1
06:25,"GOOD 3PTR by HONROTH,OWEN",31 (+21),,10,,Berry 31-10 (-21),,"GOOD 3PTR by HONROTH,OWEN",1
--,"ASSIST  by BENHAM,BRAXTON",,,,,,,"ASSIST  by BENHAM,BRAXTON",1
06:11,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND DEF by BENHAM,BRAXTON",,,,,,,"REBOUND DEF by BENHAM,BRAXTON",1
06:06,"GOOD DUNK by ELLIS,CHASE(fastbreak)(in the paint)",33 (+23),,10,,Berry 33-10 (-23),,"GOOD DUNK by ELLIS,CHASE(fastbreak)(in the paint)",1
--,"ASSIST  by BENHAM,BRAXTON",,,,,,,"ASSIST  by BENHAM,BRAXTON",1
05:47,,,,,"TURNOVER  by LAMEY,HAYDEN",,,"TURNOVER  by LAMEY,HAYDEN",1
05:47,"STEAL  by ELLIS,CHASE",,,,,,,"STEAL  by ELLIS,CHASE",1
05:42,"GOOD LAYUP by BENHAM,BRAXTON(fastbreak)(in the paint)",35 (+25),,10,,Berry 35-10 (-25),,"GOOD LAYUP by BENHAM,BRAXTON(fastbreak)(in the paint)",1
--,"ASSIST  by ELLIS,CHASE",,,,,,,"ASSIST  by ELLIS,CHASE",1
05:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:40,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",1
05:40,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
05:19,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by SEGALL,RYAN",,,,,,,"REBOUND DEF by SEGALL,RYAN",1
05:11,"GOOD 3PTR by ELLIS,CHASE",38 (+28),,10,,Berry 38-10 (-28),,"GOOD 3PTR by ELLIS,CHASE",1
--,"ASSIST  by BENHAM,BRAXTON",,,,,,,"ASSIST  by BENHAM,BRAXTON",1
04:53,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,"REBOUND DEF by SEGALL,RYAN",,,,,,,"REBOUND DEF by SEGALL,RYAN",1
04:45,,,,,"FOUL  by SHEN,KEVIN",,,"FOUL  by SHEN,KEVIN",1
04:45,,,,,"SUB OUT by AESCHLIMAN,SETH",,,"SUB OUT by AESCHLIMAN,SETH",1
04:45,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
04:45,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
04:45,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
04:44,"GOOD LAYUP by SEGALL,RYAN(in the paint)",40 (+30),,10,,Berry 40-10 (-30),,"GOOD LAYUP by SEGALL,RYAN(in the paint)",1
--,"ASSIST  by COSTAS,RILEY",,,,,,,"ASSIST  by COSTAS,RILEY",1
04:30,"FOUL  by HONROTH,OWEN",,,,,,,"FOUL  by HONROTH,OWEN",1
04:30,,40 (+29),,11,"GOOD FT by SHEN,KEVIN",Rhodes 40-11 (-29),,"GOOD FT by SHEN,KEVIN",1
04:30,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
04:30,"SUB IN by CAMPBELL,BLAKE",,,,,,,"SUB IN by CAMPBELL,BLAKE",1
04:30,,40 (+28),,12,"GOOD FT by SHEN,KEVIN",Rhodes 40-12 (-28),,"GOOD FT by SHEN,KEVIN",1
04:03,"GOOD LAYUP by COSTAS,RILEY(in the paint)",42 (+30),,12,,Berry 42-12 (-30),,"GOOD LAYUP by COSTAS,RILEY(in the paint)",1
--,"ASSIST  by SEGALL,RYAN",,,,,,,"ASSIST  by SEGALL,RYAN",1
03:45,,42 (+28),,14,"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 42-14 (-28),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
03:25,"MISS 3PTR by CAMPBELL,BLAKE",,,,,,,"MISS 3PTR by CAMPBELL,BLAKE",1
