Time Remaining,WU,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
17:30,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",2
17:30,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",2
17:30,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",2
17:30,"SUB OUT by DAVET,KEVIN",,,,,,,"SUB OUT by DAVET,KEVIN",2
17:30,"SUB IN by WOLF,JAKE",,,,,,,"SUB IN by WOLF,JAKE",2
17:04,,,,,"MISS LAYUP by CLAYTON,TJ(in the paint)",,,"MISS LAYUP by CLAYTON,TJ(in the paint)",2
--,"REBOUND DEF by DOYLE,HAYDEN",,,,,,,"REBOUND DEF by DOYLE,HAYDEN",2
16:55,,,,,"FOUL  by CLAYTON,TJ",,,"FOUL  by CLAYTON,TJ",2
16:55,"GOOD FT by JACOB,CHARLIE",42 (+19),,23,,WU 42-23 (-19),,"GOOD FT by JACOB,CHARLIE",2
16:55,"SUB OUT by DOYLE,HAYDEN",,,,,,,"SUB OUT by DOYLE,HAYDEN",2
16:55,"SUB IN by GONZALO,MATT",,,,,,,"SUB IN by GONZALO,MATT",2
16:55,"GOOD FT by JACOB,CHARLIE",43 (+20),,23,,WU 43-23 (-20),,"GOOD FT by JACOB,CHARLIE",2
16:44,,43 (+18),,25,"GOOD JUMPER by JAMES,MAC",Rhodes 43-25 (-18),,"GOOD JUMPER by JAMES,MAC",2
16:14,"MISS 3PTR by NOLAN,JACK",,,,,,,"MISS 3PTR by NOLAN,JACK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:03,"FOUL  by HARDY,JUSTIN",,,,,,,"FOUL  by HARDY,JUSTIN",2
16:03,"TURNOVER  by HARDY,JUSTIN",,,,,,,"TURNOVER  by HARDY,JUSTIN",2
16:03,"SUB OUT by HARDY,JUSTIN",,,,,,,"SUB OUT by HARDY,JUSTIN",2
16:03,"SUB IN by MACK,KAMERON",,,,,,,"SUB IN by MACK,KAMERON",2
15:49,,,,,"TURNOVER  by CLAYTON,TJ",,,"TURNOVER  by CLAYTON,TJ",2
15:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:49,"SUB OUT by JACOB,CHARLIE",,,,,,,"SUB OUT by JACOB,CHARLIE",2
15:49,"SUB IN by WINDLEY,DAVID",,,,,,,"SUB IN by WINDLEY,DAVID",2
15:34,"TURNOVER  by WINDLEY,DAVID",,,,,,,"TURNOVER  by WINDLEY,DAVID",2
15:21,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",2
15:21,"BLOCK  by WOLF,JAKE",,,,,,,"BLOCK  by WOLF,JAKE",2
--,"REBOUND DEF by NOLAN,JACK",,,,,,,"REBOUND DEF by NOLAN,JACK",2
15:12,"FOUL  by WOLF,JAKE",,,,,,,"FOUL  by WOLF,JAKE",2
15:12,"TURNOVER  by WOLF,JAKE",,,,,,,"TURNOVER  by WOLF,JAKE",2
14:56,,43 (+16),,27,"GOOD JUMPER by WILEY,KOKI",Rhodes 43-27 (-16),,"GOOD JUMPER by WILEY,KOKI",2
14:43,"GOOD 3PTR by WOLF,JAKE",46 (+19),,27,,WU 46-27 (-19),,"GOOD 3PTR by WOLF,JAKE",2
--,"ASSIST  by WINDLEY,DAVID",,,,,,,"ASSIST  by WINDLEY,DAVID",2
14:16,,,,,"MISS LAYUP by CLAYTON,TJ(in the paint)",,,"MISS LAYUP by CLAYTON,TJ(in the paint)",2
--,"REBOUND DEF by MACK,KAMERON",,,,,,,"REBOUND DEF by MACK,KAMERON",2
13:56,"GOOD JUMPER by NOLAN,JACK",48 (+21),,27,,WU 48-27 (-21),,"GOOD JUMPER by NOLAN,JACK",2
13:40,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",2
--,"REBOUND DEF by MACK,KAMERON",,,,,,,"REBOUND DEF by MACK,KAMERON",2
13:21,"TURNOVER  by WOLF,JAKE",,,,,,,"TURNOVER  by WOLF,JAKE",2
13:21,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",2
13:21,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",2
13:21,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",2
13:21,,,,,"SUB IN by WILLIAMS,JAYSON",,,"SUB IN by WILLIAMS,JAYSON",2
13:21,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",2
13:21,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",2
13:05,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",2
--,,,,,"REBOUND OFF by WILLIAMS,JAYSON",,,"REBOUND OFF by WILLIAMS,JAYSON",2
12:53,,48 (+19),,29,"GOOD JUMPER by JAMES,MAC",Rhodes 48-29 (-19),,"GOOD JUMPER by JAMES,MAC",2
12:34,"FOUL  by WOLF,JAKE",,,,,,,"FOUL  by WOLF,JAKE",2
12:34,"TURNOVER  by WOLF,JAKE",,,,,,,"TURNOVER  by WOLF,JAKE",2
12:34,"SUB OUT by MACK,KAMERON",,,,,,,"SUB OUT by MACK,KAMERON",2
12:34,"SUB OUT by WOLF,JAKE",,,,,,,"SUB OUT by WOLF,JAKE",2
12:34,"SUB IN by HARDY,JUSTIN",,,,,,,"SUB IN by HARDY,JUSTIN",2
12:34,"SUB IN by DAVET,KEVIN",,,,,,,"SUB IN by DAVET,KEVIN",2
12:34,"SUB OUT by GONZALO,MATT",,,,,,,"SUB OUT by GONZALO,MATT",2
12:34,"SUB IN by DOYLE,HAYDEN",,,,,,,"SUB IN by DOYLE,HAYDEN",2
12:24,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",2
--,"REBOUND DEF by DOYLE,HAYDEN",,,,,,,"REBOUND DEF by DOYLE,HAYDEN",2
12:10,"MISS 3PTR by NOLAN,JACK",,,,,,,"MISS 3PTR by NOLAN,JACK",2
--,"REBOUND OFF by WINDLEY,DAVID",,,,,,,"REBOUND OFF by WINDLEY,DAVID",2
11:51,"MISS LAYUP by DOYLE,HAYDEN(in the paint)",,,,,,,"MISS LAYUP by DOYLE,HAYDEN(in the paint)",2
--,,,,,"REBOUND DEF by JAMES,MAC",,,"REBOUND DEF by JAMES,MAC",2
11:37,,,,,"MISS 3PTR by JAMES,MAC",,,"MISS 3PTR by JAMES,MAC",2
--,"REBOUND DEF by DOYLE,HAYDEN",,,,,,,"REBOUND DEF by DOYLE,HAYDEN",2
11:32,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",2
11:32,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:17,"GOOD JUMPER by HARDY,JUSTIN(in the paint)",50 (+21),,29,,WU 50-29 (-21),,"GOOD JUMPER by HARDY,JUSTIN(in the paint)",2
11:03,,,,,"MISS 3PTR by JAMES,MAC",,,"MISS 3PTR by JAMES,MAC",2
--,"REBOUND DEF by HARDY,JUSTIN",,,,,,,"REBOUND DEF by HARDY,JUSTIN",2
10:39,"MISS LAYUP by WINDLEY,DAVID(in the paint)",,,,,,,"MISS LAYUP by WINDLEY,DAVID(in the paint)",2
10:39,,,,,"BLOCK  by ESSICK,JALEN",,,"BLOCK  by ESSICK,JALEN",2
--,,,,,"REBOUND DEF by JAMES,MAC",,,"REBOUND DEF by JAMES,MAC",2
10:34,,50 (+19),,31,"GOOD LAYUP by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",Rhodes 50-31 (-19),,"GOOD LAYUP by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by ESSICK,JALEN",,,"ASSIST  by ESSICK,JALEN",2
10:21,"GOOD 3PTR by DOYLE,HAYDEN",53 (+22),,31,,WU 53-31 (-22),,"GOOD 3PTR by DOYLE,HAYDEN",2
--,"ASSIST  by HARDY,JUSTIN",,,,,,,"ASSIST  by HARDY,JUSTIN",2
10:02,,53 (+19),,34,"GOOD 3PTR by WILEY,KOKI",Rhodes 53-34 (-19),,"GOOD 3PTR by WILEY,KOKI",2
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",2
10:01,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",2
10:01,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",2
10:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:01,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:01,"SUB OUT by WINDLEY,DAVID",,,,,,,"SUB OUT by WINDLEY,DAVID",2
10:01,"SUB IN by JACOB,CHARLIE",,,,,,,"SUB IN by JACOB,CHARLIE",2
09:38,"GOOD LAYUP by HARDY,JUSTIN(in the paint)",55 (+21),,34,,WU 55-34 (-21),,"GOOD LAYUP by HARDY,JUSTIN(in the paint)",2
09:21,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",2
09:21,"BLOCK  by DAVET,KEVIN",,,,,,,"BLOCK  by DAVET,KEVIN",2
--,,,,,"REBOUND OFF by SHEN,KEVIN",,,"REBOUND OFF by SHEN,KEVIN",2
09:14,,,,,"MISS LAYUP by WILLIAMS,JAYSON(in the paint)",,,"MISS LAYUP by WILLIAMS,JAYSON(in the paint)",2
09:14,"BLOCK  by DAVET,KEVIN",,,,,,,"BLOCK  by DAVET,KEVIN",2
--,"REBOUND DEF by HARDY,JUSTIN",,,,,,,"REBOUND DEF by HARDY,JUSTIN",2
09:04,"GOOD 3PTR by DOYLE,HAYDEN",58 (+24),,34,,WU 58-34 (-24),,"GOOD 3PTR by DOYLE,HAYDEN",2
--,"ASSIST  by NOLAN,JACK",,,,,,,"ASSIST  by NOLAN,JACK",2
08:50,,58 (+22),,36,"GOOD JUMPER by JAMES,MAC(in the paint)",Rhodes 58-36 (-22),,"GOOD JUMPER by JAMES,MAC(in the paint)",2
08:33,"GOOD 3PTR by NOLAN,JACK",61 (+25),,36,,WU 61-36 (-25),,"GOOD 3PTR by NOLAN,JACK",2
--,"ASSIST  by HARDY,JUSTIN",,,,,,,"ASSIST  by HARDY,JUSTIN",2
08:13,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
08:13,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",2
08:13,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",2
08:13,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",2
08:13,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",2
07:52,"GOOD 3PTR by HARDY,JUSTIN",64 (+28),,36,,WU 64-36 (-28),,"GOOD 3PTR by HARDY,JUSTIN",2
--,"ASSIST  by JACOB,CHARLIE",,,,,,,"ASSIST  by JACOB,CHARLIE",2
07:28,,,,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:27,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:27,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",2
07:27,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",2
07:27,"SUB OUT by NOLAN,JACK",,,,,,,"SUB OUT by NOLAN,JACK",2
07:27,"SUB OUT by DAVET,KEVIN",,,,,,,"SUB OUT by DAVET,KEVIN",2
07:27,"SUB IN by CARLSON,TYLER",,,,,,,"SUB IN by CARLSON,TYLER",2
07:27,"SUB IN by KINDSVATER,DRAKE",,,,,,,"SUB IN by KINDSVATER,DRAKE",2
07:26,"MISS 3PTR by DOYLE,HAYDEN",,,,,,,"MISS 3PTR by DOYLE,HAYDEN",2
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",2
07:09,"FOUL  by CARLSON,TYLER",,,,,,,"FOUL  by CARLSON,TYLER",2
07:09,,64 (+27),,37,"GOOD FT by WALKER,JEFFERSON",Rhodes 64-37 (-27),,"GOOD FT by WALKER,JEFFERSON",2
07:09,,,,,"MISS FT by WALKER,JEFFERSON",,,"MISS FT by WALKER,JEFFERSON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:09,,64 (+26),,38,"GOOD FT by WALKER,JEFFERSON",Rhodes 64-38 (-26),,"GOOD FT by WALKER,JEFFERSON",2
07:09,"FOUL  by DOYLE,HAYDEN",,,,,,,"FOUL  by DOYLE,HAYDEN",2
07:09,"TURNOVER  by DOYLE,HAYDEN",,,,,,,"TURNOVER  by DOYLE,HAYDEN",2
07:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:09,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",2
07:09,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",2
06:51,,64 (+24),,40,"GOOD JUMPER by WILLIAMS,ZAVIEN",Rhodes 64-40 (-24),,"GOOD JUMPER by WILLIAMS,ZAVIEN",2
06:29,"GOOD 3PTR by CARLSON,TYLER",67 (+27),,40,,WU 67-40 (-27),,"GOOD 3PTR by CARLSON,TYLER",2
--,"ASSIST  by DOYLE,HAYDEN",,,,,,,"ASSIST  by DOYLE,HAYDEN",2
06:21,"FOUL  by CARLSON,TYLER",,,,,,,"FOUL  by CARLSON,TYLER",2
06:21,"SUB OUT by DOYLE,HAYDEN",,,,,,,"SUB OUT by DOYLE,HAYDEN",2
06:21,"SUB IN by NOLAN,JACK",,,,,,,"SUB IN by NOLAN,JACK",2
06:14,,67 (+25),,42,"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 67-42 (-25),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",2
06:01,"TURNOVER  by CARLSON,TYLER",,,,,,,"TURNOVER  by CARLSON,TYLER",2
06:01,"SUB OUT by CARLSON,TYLER",,,,,,,"SUB OUT by CARLSON,TYLER",2
06:01,"SUB IN by GONZALO,MATT",,,,,,,"SUB IN by GONZALO,MATT",2
05:44,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",2
05:44,"STEAL  by KINDSVATER,DRAKE",,,,,,,"STEAL  by KINDSVATER,DRAKE",2
05:40,"TURNOVER  by NOLAN,JACK",,,,,,,"TURNOVER  by NOLAN,JACK",2
05:29,,67 (+22),,45,"GOOD 3PTR by WILEY,KOKI",Rhodes 67-45 (-22),,"GOOD 3PTR by WILEY,KOKI",2
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",2
05:05,"GOOD 3PTR by GONZALO,MATT",70 (+25),,45,,WU 70-45 (-25),,"GOOD 3PTR by GONZALO,MATT",2
--,"ASSIST  by HARDY,JUSTIN",,,,,,,"ASSIST  by HARDY,JUSTIN",2
04:46,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",2
--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",2
04:40,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",2
04:40,"STEAL  by HARDY,JUSTIN",,,,,,,"STEAL  by HARDY,JUSTIN",2
04:40,"SUB OUT by GONZALO,MATT",,,,,,,"SUB OUT by GONZALO,MATT",2
04:40,"SUB IN by DOYLE,HAYDEN",,,,,,,"SUB IN by DOYLE,HAYDEN",2
04:27,"GOOD 3PTR by NOLAN,JACK",73 (+28),,45,,WU 73-45 (-28),,"GOOD 3PTR by NOLAN,JACK",2
--,"ASSIST  by HARDY,JUSTIN",,,,,,,"ASSIST  by HARDY,JUSTIN",2
04:06,,73 (+26),,47,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",Rhodes 73-47 (-26),,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
03:49,"GOOD LAYUP by KINDSVATER,DRAKE(in the paint)",75 (+28),,47,,WU 75-47 (-28),,"GOOD LAYUP by KINDSVATER,DRAKE(in the paint)",2
--,"ASSIST  by HARDY,JUSTIN",,,,,,,"ASSIST  by HARDY,JUSTIN",2
03:37,,75 (+25),,50,"GOOD 3PTR by WILLIAMS,ZAVIEN",Rhodes 75-50 (-25),,"GOOD 3PTR by WILLIAMS,ZAVIEN",2
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",2
03:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:36,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",2
03:36,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",2
03:36,"SUB OUT by KINDSVATER,DRAKE",,,,,,,"SUB OUT by KINDSVATER,DRAKE",2
03:36,"SUB IN by MACK,KAMERON",,,,,,,"SUB IN by MACK,KAMERON",2
03:21,,,,,"FOUL  by SHEN,KEVIN",,,"FOUL  by SHEN,KEVIN",2
03:21,"MISS FT by DOYLE,HAYDEN",,,,,,,"MISS FT by DOYLE,HAYDEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:21,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",2
03:21,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",2
03:21,"SUB OUT by JACOB,CHARLIE",,,,,,,"SUB OUT by JACOB,CHARLIE",2
03:21,"SUB IN by CHIPHE,JABARI",,,,,,,"SUB IN by CHIPHE,JABARI",2
03:21,"GOOD FT by DOYLE,HAYDEN",76 (+26),,50,,WU 76-50 (-26),,"GOOD FT by DOYLE,HAYDEN",2
03:10,"SUB OUT by HARDY,JUSTIN",,,,,,,"SUB OUT by HARDY,JUSTIN",2
03:10,"SUB OUT by NOLAN,JACK",,,,,,,"SUB OUT by NOLAN,JACK",2
03:10,"SUB IN by CARLSON,TYLER",,,,,,,"SUB IN by CARLSON,TYLER",2
03:10,"SUB IN by KINDSVATER,DRAKE",,,,,,,"SUB IN by KINDSVATER,DRAKE",2
03:04,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",2
03:04,"BLOCK  by KINDSVATER,DRAKE",,,,,,,"BLOCK  by KINDSVATER,DRAKE",2
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",2
03:02,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
02:48,"MISS 3PTR by CHIPHE,JABARI",,,,,,,"MISS 3PTR by CHIPHE,JABARI",2
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",2
02:34,,76 (+24),,52,"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 76-52 (-24),,"GOOD JUMPER by WILEY,KOKI(in the paint)",2
02:34,"FOUL  by DOYLE,HAYDEN",,,,,,,"FOUL  by DOYLE,HAYDEN",2
02:34,"SUB OUT by DOYLE,HAYDEN",,,,,,,"SUB OUT by DOYLE,HAYDEN",2
02:34,"SUB IN by BAIRD,TANNER",,,,,,,"SUB IN by BAIRD,TANNER",2
02:34,,76 (+23),,53,"GOOD FT by WILEY,KOKI",Rhodes 76-53 (-23),,"GOOD FT by WILEY,KOKI",2
02:29,"TURNOVER  by CARLSON,TYLER",,,,,,,"TURNOVER  by CARLSON,TYLER",2
02:29,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",2
02:26,,76 (+21),,55,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",Rhodes 76-55 (-21),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",2
--,,,,,"ASSIST  by ESSICK,JALEN",,,"ASSIST  by ESSICK,JALEN",2
02:23,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:23,"SUB OUT by CARLSON,TYLER",,,,,,,"SUB OUT by CARLSON,TYLER",2
02:23,"SUB IN by DOYLE,HAYDEN",,,,,,,"SUB IN by DOYLE,HAYDEN",2
02:13,"TURNOVER  by BAIRD,TANNER",,,,,,,"TURNOVER  by BAIRD,TANNER",2
02:04,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",2
--,"REBOUND DEF by CHIPHE,JABARI",,,,,,,"REBOUND DEF by CHIPHE,JABARI",2
01:57,"GOOD DUNK by KINDSVATER,DRAKE(fastbreak)(in the paint)",78 (+23),,55,,WU 78-55 (-23),,"GOOD DUNK by KINDSVATER,DRAKE(fastbreak)(in the paint)",2
--,"ASSIST  by CHIPHE,JABARI",,,,,,,"ASSIST  by CHIPHE,JABARI",2
01:44,,78 (+21),,57,"GOOD JUMPER by LAMEY,HAYDEN(in the paint)",Rhodes 78-57 (-21),,"GOOD JUMPER by LAMEY,HAYDEN(in the paint)",2
01:36,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",2
01:08,"MISS LAYUP by BAIRD,TANNER(in the paint)",,,,,,,"MISS LAYUP by BAIRD,TANNER(in the paint)",2
01:08,,,,,"BLOCK  by ESSICK,JALEN",,,"BLOCK  by ESSICK,JALEN",2
01:05,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
01:05,"SUB OUT by MACK,KAMERON",,,,,,,"SUB OUT by MACK,KAMERON",2
01:05,"SUB OUT by DOYLE,HAYDEN",,,,,,,"SUB OUT by DOYLE,HAYDEN",2
01:05,"SUB IN by VAN EEKEREN,TYLER",,,,,,,"SUB IN by VAN EEKEREN,TYLER",2
01:05,"SUB IN by BEEDON,KYLE",,,,,,,"SUB IN by BEEDON,KYLE",2
--,"REBOUND OFF by BAIRD,TANNER",,,,,,,"REBOUND OFF by BAIRD,TANNER",2
00:56,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",2
--,"REBOUND DEF by KINDSVATER,DRAKE",,,,,,,"REBOUND DEF by KINDSVATER,DRAKE",2
00:45,"TURNOVER  by BAIRD,TANNER",,,,,,,"TURNOVER  by BAIRD,TANNER",2
00:45,,,,,"STEAL  by WILEY,KOKI",,,"STEAL  by WILEY,KOKI",2
00:35,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",2
--,"REBOUND DEF by VAN EEKEREN,TYLER",,,,,,,"REBOUND DEF by VAN EEKEREN,TYLER",2
00:15,"MISS JUMPER by BEEDON,KYLE",,,,,,,"MISS JUMPER by BEEDON,KYLE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
