Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by PRANGE,JONATHAN",,,"REBOUND DEF by PRANGE,JONATHAN",2
00:36,,,,,"MISS LAYUP by CLAYTON,TJ(in the paint)",,,"MISS LAYUP by CLAYTON,TJ(in the paint)",2
--,,,,,"REBOUND OFF by CLAYTON,TJ",,,"REBOUND OFF by CLAYTON,TJ",2
00:33,"FOUL  by HOPKINS,DILLAN",,,,,,,"FOUL  by HOPKINS,DILLAN",2
00:33,,,,,"MISS FT by CLAYTON,TJ",,,"MISS FT by CLAYTON,TJ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:33,,50,,71 (+21),"GOOD FT by CLAYTON,TJ",Rhodes 50-71 (+21),,"GOOD FT by CLAYTON,TJ",2
00:26,,,,,"FOUL  by O'BRIEN,KRIS",,,"FOUL  by O'BRIEN,KRIS",2
00:26,"GOOD FT by BARNES,EUGENE(fastbreak)",51,,71 (+20),,UO 51-71 (+20),,"GOOD FT by BARNES,EUGENE(fastbreak)",2
00:26,"GOOD FT by BARNES,EUGENE(fastbreak)",52,,71 (+19),,UO 52-71 (+19),,"GOOD FT by BARNES,EUGENE(fastbreak)",2
00:05,,,,,"TURNOVER  by WHITE,ELIJAH",,,"TURNOVER  by WHITE,ELIJAH",2
00:05,"STEAL  by HOPKINS,DILLAN",,,,,,,"STEAL  by HOPKINS,DILLAN",2
00:01,"MISS 3PTR by HOPKINS,DILLAN",,,,,,,"MISS 3PTR by HOPKINS,DILLAN",2
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",2
