Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
04:54,"GOOD JUMPER by SHEN,KEVIN(fastbreak)(in the paint)",27 (+1),,26,,Rhodes 27-26 (+1),,"GOOD JUMPER by SHEN,KEVIN(fastbreak)(in the paint)",1
04:36,,27,,28 (+1),"GOOD JUMPER by CHATMAN,PARKER(in the paint)",SU 27-28 (-1),,"GOOD JUMPER by CHATMAN,PARKER(in the paint)",1
04:28,"MISS JUMPER by SHEN,KEVIN(in the paint)",,,,,,,"MISS JUMPER by SHEN,KEVIN(in the paint)",1
--,"REBOUND OFF by SHEN,KEVIN",,,,,,,"REBOUND OFF by SHEN,KEVIN",1
04:15,"TURNOVER  by WILLIAMS,ZAVIEN",,,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",1
04:15,,,,,"STEAL  by HENSON,JONATHAN",,,"STEAL  by HENSON,JONATHAN",1
04:10,,,,,"SUB OUT by CHATMAN,PARKER",,,"SUB OUT by CHATMAN,PARKER",1
04:10,,,,,"SUB OUT by CAMPBELL,MAXTON",,,"SUB OUT by CAMPBELL,MAXTON",1
04:10,,,,,"SUB IN by LOCKARD,ISIAH",,,"SUB IN by LOCKARD,ISIAH",1
04:10,,,,,"SUB IN by AMANOR,TROY",,,"SUB IN by AMANOR,TROY",1
04:10,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
04:10,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
04:10,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
04:10,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
04:10,,,,,"FOUL  by HENSON,JONATHAN",,,"FOUL  by HENSON,JONATHAN",1
04:10,,,,,"TURNOVER  by HENSON,JONATHAN",,,"TURNOVER  by HENSON,JONATHAN",1
03:42,"TURNOVER  by WALKER,JEFFERSON",,,,,,,"TURNOVER  by WALKER,JEFFERSON",1
03:42,,,,,"STEAL  by HENSON,JONATHAN",,,"STEAL  by HENSON,JONATHAN",1
03:34,,27,,30 (+3),"GOOD JUMPER by AMANOR,TROY",SU 27-30 (-3),,"GOOD JUMPER by AMANOR,TROY",1
03:21,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
03:03,,,,,"MISS FT by LOCKARD,ISIAH",,,"MISS FT by LOCKARD,ISIAH",1
