Time Remaining,PIEDMONT,Away Team Score,Play Team Indicator,Home Team Score,CENTREM,Game Score,Team Indicator,Play,Period
13:32,"MISS 3PTR by CRANFORD,LOGAN",,,,,,,"MISS 3PTR by CRANFORD,LOGAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:27,"SUB IN by PALMER,AARON",,,,,,,"SUB IN by PALMER,AARON",1
13:27,"SUB OUT by BEAGLE,GARRETT",,,,,,,"SUB OUT by BEAGLE,GARRETT",1
13:27,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
13:27,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
13:25,"GOOD JUMPER by RICHTER,WILL",13 (+3),,10,,PIEDMONT 13-10 (-3),,"GOOD JUMPER by RICHTER,WILL",1
--,"ASSIST  by CRANFORD,LOGAN",,,,,,,"ASSIST  by CRANFORD,LOGAN",1
13:25,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
13:25,"GOOD FT by RICHTER,WILL",14 (+4),,10,,PIEDMONT 14-10 (-4),,"GOOD FT by RICHTER,WILL",1
13:14,,,,,"MISS LAYUP by KNOCHELMANN,PETE",,,"MISS LAYUP by KNOCHELMANN,PETE",1
13:14,"BLOCK  by PALMER,AARON",,,,,,,"BLOCK  by PALMER,AARON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:10,"SUB IN by STIMPSON,ANDREW",,,,,,,"SUB IN by STIMPSON,ANDREW",1
13:10,"SUB OUT by QUICK,JUSTIN",,,,,,,"SUB OUT by QUICK,JUSTIN",1
13:10,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
13:10,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
13:10,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
13:10,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
12:56,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND OFF by BANKS,JAXSON",,,"REBOUND OFF by BANKS,JAXSON",1
12:53,"FOUL  by HELENBROOK,JOE",,,,,,,"FOUL  by HELENBROOK,JOE",1
12:53,,,,,"MISS FT by BANKS,JAXSON",,,"MISS FT by BANKS,JAXSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:53,,14 (+3),,11,"GOOD FT by BANKS,JAXSON",CENTREM 14-11 (-3),,"GOOD FT by BANKS,JAXSON",1
12:34,"MISS LAYUP by PALMER,AARON",,,,,,,"MISS LAYUP by PALMER,AARON",1
12:34,,,,,"BLOCK  by KNOCHELMANN,PETE",,,"BLOCK  by KNOCHELMANN,PETE",1
--,"REBOUND OFF by PALMER,AARON",,,,,,,"REBOUND OFF by PALMER,AARON",1
12:32,"GOOD LAYUP by PALMER,AARON(in the paint)",16 (+5),,11,,PIEDMONT 16-11 (-5),,"GOOD LAYUP by PALMER,AARON(in the paint)",1
12:17,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,"REBOUND DEF by STIMPSON,ANDREW",,,,,,,"REBOUND DEF by STIMPSON,ANDREW",1
11:56,"TURNOVER  by CRANFORD,LOGAN",,,,,,,"TURNOVER  by CRANFORD,LOGAN",1
11:55,,,,,"STEAL  by BANKS,JAXSON",,,"STEAL  by BANKS,JAXSON",1
11:47,,,,,"MISS LAYUP by SMITH,RJ",,,"MISS LAYUP by SMITH,RJ",1
11:47,"BLOCK  by HELENBROOK,JOE",,,,,,,"BLOCK  by HELENBROOK,JOE",1
--,"REBOUND DEF by HELENBROOK,JOE",,,,,,,"REBOUND DEF by HELENBROOK,JOE",1
11:45,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:45,"SUB IN by QUICK,JUSTIN",,,,,,,"SUB IN by QUICK,JUSTIN",1
11:45,"SUB OUT by CRANFORD,LOGAN",,,,,,,"SUB OUT by CRANFORD,LOGAN",1
11:45,,,,,"SUB IN by WOOLDRIDGE,CARSON",,,"SUB IN by WOOLDRIDGE,CARSON",1
11:45,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
11:45,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
11:45,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
11:21,"MISS 3PTR by HELENBROOK,JOE",,,,,,,"MISS 3PTR by HELENBROOK,JOE",1
