Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,WEBSTR,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by MOORE,KARL",,,"REBOUND DEF by MOORE,KARL",2
16:00,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
16:00,"SUB IN by WELLMAN,JARED",,,,,,,"SUB IN by WELLMAN,JARED",2
15:44,,,,,"MISS JUMPER by BECTON,MARKUS",,,"MISS JUMPER by BECTON,MARKUS",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
15:21,"GOOD LAYUP by RING,NOAH(in the paint)",44 (+7),,37,,Centre 44-37 (+7),,"GOOD LAYUP by RING,NOAH(in the paint)",2
--,"ASSIST  by SMITH,RJ",,,,,,,"ASSIST  by SMITH,RJ",2
15:18,,,,,"SUB OUT by MOORE,KARL",,,"SUB OUT by MOORE,KARL",2
15:18,,,,,"SUB IN by JONES,NATE",,,"SUB IN by JONES,NATE",2
15:04,,,,,"MISS JUMPER by BROWN, JR,.,WYNNE",,,"MISS JUMPER by BROWN, JR,.,WYNNE",2
--,,,,,"REBOUND OFF by WOOLRIDGE,BRYCE",,,"REBOUND OFF by WOOLRIDGE,BRYCE",2
14:47,,,,,"FOUL  by BECTON,MARKUS",,,"FOUL  by BECTON,MARKUS",2
14:47,"GOOD FT by SMITH,RJ",45 (+8),,37,,Centre 45-37 (+8),,"GOOD FT by SMITH,RJ",2
14:47,,,,,"SUB OUT by WOOLRIDGE,BRYCE",,,"SUB OUT by WOOLRIDGE,BRYCE",2
14:47,,,,,"SUB IN by WITASCHEK,JACOB",,,"SUB IN by WITASCHEK,JACOB",2
14:47,"GOOD FT by SMITH,RJ",46 (+9),,37,,Centre 46-37 (+9),,"GOOD FT by SMITH,RJ",2
14:28,,,,,"MISS 3PTR by WITASCHEK,JACOB",,,"MISS 3PTR by WITASCHEK,JACOB",2
--,,,,,"REBOUND OFF by JONES,NATE",,,"REBOUND OFF by JONES,NATE",2
14:18,,,,,"MISS JUMPER by WITASCHEK,JACOB(in the paint)",,,"MISS JUMPER by WITASCHEK,JACOB(in the paint)",2
--,"REBOUND DEF by WELLMAN,JARED",,,,,,,"REBOUND DEF by WELLMAN,JARED",2
13:50,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",,,,,,,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",2
--,,,,,"REBOUND DEF by BECTON,MARKUS",,,"REBOUND DEF by BECTON,MARKUS",2
13:40,,46 (+7),,39,"GOOD JUMPER by BECTON,MARKUS(in the paint)",WEBSTR 46-39 (+7),,"GOOD JUMPER by BECTON,MARKUS(in the paint)",2
--,,,,,"ASSIST  by BROWN, JR,.,WYNNE",,,"ASSIST  by BROWN, JR,.,WYNNE",2
13:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:31,,,,,"SUB OUT by MOORE,MARK",,,"SUB OUT by MOORE,MARK",2
13:31,,,,,"SUB IN by COLEMAN,JASON",,,"SUB IN by COLEMAN,JASON",2
13:31,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",2
13:31,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",2
13:19,"MISS LAYUP by GERALD,DUSTIN(in the paint)",,,,,,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",2
--,,,,,"REBOUND DEF by COLEMAN,JASON",,,"REBOUND DEF by COLEMAN,JASON",2
13:11,,46 (+5),,41,"GOOD LAYUP by JONES,NATE(fastbreak)(in the paint)",WEBSTR 46-41 (+5),,"GOOD LAYUP by JONES,NATE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by COLEMAN,JASON",,,"ASSIST  by COLEMAN,JASON",2
12:52,,,,,"FOUL  by WITASCHEK,JACOB",,,"FOUL  by WITASCHEK,JACOB",2
12:52,,,,,"SUB OUT by BECTON,MARKUS",,,"SUB OUT by BECTON,MARKUS",2
12:52,,,,,"SUB IN by MOORE,KARL",,,"SUB IN by MOORE,KARL",2
12:52,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
12:52,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
12:36,"MISS LAYUP by GERALD,DUSTIN(in the paint)",,,,,,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",2
--,"REBOUND OFF by GERALD,DUSTIN",,,,,,,"REBOUND OFF by GERALD,DUSTIN",2
12:33,,,,,"FOUL  by JONES,NATE",,,"FOUL  by JONES,NATE",2
12:33,"MISS FT by GERALD,DUSTIN",,,,,,,"MISS FT by GERALD,DUSTIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:33,"GOOD FT by GERALD,DUSTIN",47 (+6),,41,,Centre 47-41 (+6),,"GOOD FT by GERALD,DUSTIN",2
12:33,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",2
12:33,"SUB OUT by WELLMAN,JARED",,,,,,,"SUB OUT by WELLMAN,JARED",2
12:33,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",2
12:33,"SUB IN by BANKS,JAXSON",,,,,,,"SUB IN by BANKS,JAXSON",2
12:14,,,,,"TURNOVER  by COLEMAN,JASON",,,"TURNOVER  by COLEMAN,JASON",2
11:57,"GOOD DUNK by SMITH,RJ(in the paint)",49 (+8),,41,,Centre 49-41 (+8),,"GOOD DUNK by SMITH,RJ(in the paint)",2
11:35,,,,,"MISS 3PTR by WITASCHEK,JACOB",,,"MISS 3PTR by WITASCHEK,JACOB",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
11:26,"GOOD 3PTR by GERALD,DUSTIN",52 (+11),,41,,Centre 52-41 (+11),,"GOOD 3PTR by GERALD,DUSTIN",2
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",2
11:22,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:22,,,,,"SUB OUT by BROWN, JR,.,WYNNE",,,"SUB OUT by BROWN, JR,.,WYNNE",2
11:22,,,,,"SUB OUT by JONES,NATE",,,"SUB OUT by JONES,NATE",2
11:22,,,,,"SUB IN by MOORE,MARK",,,"SUB IN by MOORE,MARK",2
11:22,,,,,"SUB IN by HAWKINS,STEPHEN",,,"SUB IN by HAWKINS,STEPHEN",2
11:22,,,,,"SUB IN by BECTON,MARKUS",,,"SUB IN by BECTON,MARKUS",2
11:22,,,,,"SUB OUT by WITASCHEK,JACOB",,,"SUB OUT by WITASCHEK,JACOB",2
11:04,,,,,"TURNOVER  by MOORE,MARK",,,"TURNOVER  by MOORE,MARK",2
10:38,"GOOD 3PTR by RING,NOAH",55 (+14),,41,,Centre 55-41 (+14),,"GOOD 3PTR by RING,NOAH",2
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",2
10:27,,55 (+12),,43,"GOOD LAYUP by MOORE,KARL(in the paint)",WEBSTR 55-43 (+12),,"GOOD LAYUP by MOORE,KARL(in the paint)",2
--,,,,,"ASSIST  by HAWKINS,STEPHEN",,,"ASSIST  by HAWKINS,STEPHEN",2
10:27,"FOUL  by GERALD,DUSTIN",,,,,,,"FOUL  by GERALD,DUSTIN",2
10:27,,,,,"MISS FT by MOORE,KARL",,,"MISS FT by MOORE,KARL",2
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",2
09:59,,,,,"FOUL  by BECTON,MARKUS",,,"FOUL  by BECTON,MARKUS",2
09:51,"GOOD JUMPER by GERALD,DUSTIN",57 (+14),,43,,Centre 57-43 (+14),,"GOOD JUMPER by GERALD,DUSTIN",2
--,"ASSIST  by BANKS,JAXSON",,,,,,,"ASSIST  by BANKS,JAXSON",2
09:30,,57 (+12),,45,"GOOD JUMPER by COLEMAN,JASON(in the paint)",WEBSTR 57-45 (+12),,"GOOD JUMPER by COLEMAN,JASON(in the paint)",2
09:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:20,"SUB OUT by BANKS,JAXSON",,,,,,,"SUB OUT by BANKS,JAXSON",2
09:20,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",2
09:20,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
09:20,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
09:07,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",2
--,,,,,"REBOUND DEF by BECTON,MARKUS",,,"REBOUND DEF by BECTON,MARKUS",2
09:07,,57 (+9),,48,"GOOD 3PTR by HAWKINS,STEPHEN(fastbreak)",WEBSTR 57-48 (+9),,"GOOD 3PTR by HAWKINS,STEPHEN(fastbreak)",2
--,,,,,"ASSIST  by MOORE,MARK",,,"ASSIST  by MOORE,MARK",2
08:42,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",2
--,,,,,"REBOUND DEF by MOORE,MARK",,,"REBOUND DEF by MOORE,MARK",2
08:16,,57 (+7),,50,"GOOD LAYUP by COLEMAN,JASON(in the paint)",WEBSTR 57-50 (+7),,"GOOD LAYUP by COLEMAN,JASON(in the paint)",2
08:01,"GOOD 3PTR by WILLIAMS,JALEN",60 (+10),,50,,Centre 60-50 (+10),,"GOOD 3PTR by WILLIAMS,JALEN",2
--,"ASSIST  by SMITH,RJ",,,,,,,"ASSIST  by SMITH,RJ",2
07:45,,60 (+8),,52,"GOOD JUMPER by BECTON,MARKUS",WEBSTR 60-52 (+8),,"GOOD JUMPER by BECTON,MARKUS",2
--,,,,,"ASSIST  by HAWKINS,STEPHEN",,,"ASSIST  by HAWKINS,STEPHEN",2
07:27,,,,,"FOUL  by BECTON,MARKUS",,,"FOUL  by BECTON,MARKUS",2
07:27,"GOOD FT by SMITH,RJ",61 (+9),,52,,Centre 61-52 (+9),,"GOOD FT by SMITH,RJ",2
07:27,,,,,"SUB OUT by COLEMAN,JASON",,,"SUB OUT by COLEMAN,JASON",2
07:27,,,,,"SUB OUT by BECTON,MARKUS",,,"SUB OUT by BECTON,MARKUS",2
07:27,,,,,"SUB IN by BROWN, JR,.,WYNNE",,,"SUB IN by BROWN, JR,.,WYNNE",2
07:27,,,,,"SUB IN by WOOLRIDGE,BRYCE",,,"SUB IN by WOOLRIDGE,BRYCE",2
07:27,"GOOD FT by SMITH,RJ",62 (+10),,52,,Centre 62-52 (+10),,"GOOD FT by SMITH,RJ",2
07:11,,62 (+8),,54,"GOOD JUMPER by HAWKINS,STEPHEN",WEBSTR 62-54 (+8),,"GOOD JUMPER by HAWKINS,STEPHEN",2
--,,,,,"ASSIST  by BROWN, JR,.,WYNNE",,,"ASSIST  by BROWN, JR,.,WYNNE",2
06:42,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",2
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",2
06:38,"MISS LAYUP by SMITH,RJ(in the paint)",,,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",2
--,,,,,"REBOUND DEF by WOOLRIDGE,BRYCE",,,"REBOUND DEF by WOOLRIDGE,BRYCE",2
06:36,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",2
06:23,,,,,"MISS LAYUP by HAWKINS,STEPHEN(in the paint)",,,"MISS LAYUP by HAWKINS,STEPHEN(in the paint)",2
--,,,,,"REBOUND OFF by MOORE,KARL",,,"REBOUND OFF by MOORE,KARL",2
06:20,,,,,"MISS LAYUP by MOORE,KARL(in the paint)",,,"MISS LAYUP by MOORE,KARL(in the paint)",2
06:20,"BLOCK  by RING,NOAH",,,,,,,"BLOCK  by RING,NOAH",2
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",2
06:20,,,,,"FOUL  by HAWKINS,STEPHEN",,,"FOUL  by HAWKINS,STEPHEN",2
06:20,"GOOD FT by RING,NOAH(fastbreak)",63 (+9),,54,,Centre 63-54 (+9),,"GOOD FT by RING,NOAH(fastbreak)",2
06:20,"MISS FT by RING,NOAH(fastbreak)",,,,,,,"MISS FT by RING,NOAH(fastbreak)",2
--,,,,,"REBOUND DEF by MOORE,KARL",,,"REBOUND DEF by MOORE,KARL",2
06:01,,,,,"TURNOVER  by WOOLRIDGE,BRYCE",,,"TURNOVER  by WOOLRIDGE,BRYCE",2
06:01,"STEAL  by RING,NOAH",,,,,,,"STEAL  by RING,NOAH",2
05:41,"GOOD 3PTR by WILLIAMS,JALEN",66 (+12),,54,,Centre 66-54 (+12),,"GOOD 3PTR by WILLIAMS,JALEN",2
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",2
05:30,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",2
05:30,,,,,"SUB OUT by MOORE,KARL",,,"SUB OUT by MOORE,KARL",2
05:30,,,,,"SUB IN by JONES,NATE",,,"SUB IN by JONES,NATE",2
05:14,"FOUL  by GERALD,DUSTIN",,,,,,,"FOUL  by GERALD,DUSTIN",2
05:14,,,,,"MISS FT by JONES,NATE",,,"MISS FT by JONES,NATE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:14,,66 (+11),,55,"GOOD FT by JONES,NATE",WEBSTR 66-55 (+11),,"GOOD FT by JONES,NATE",2
04:57,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",,,,,,,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",2
--,"REBOUND OFF by WILLIAMS,JALEN",,,,,,,"REBOUND OFF by WILLIAMS,JALEN",2
04:53,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",,,,,,,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",2
04:53,,,,,"BLOCK  by WOOLRIDGE,BRYCE",,,"BLOCK  by WOOLRIDGE,BRYCE",2
--,,,,,"REBOUND DEF by BROWN, JR,.,WYNNE",,,"REBOUND DEF by BROWN, JR,.,WYNNE",2
04:43,,,,,"MISS 3PTR by HAWKINS,STEPHEN",,,"MISS 3PTR by HAWKINS,STEPHEN",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
04:19,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",2
04:19,,,,,"STEAL  by WOOLRIDGE,BRYCE",,,"STEAL  by WOOLRIDGE,BRYCE",2
04:09,,,,,"MISS LAYUP by BROWN, JR,.,WYNNE(in the paint)",,,"MISS LAYUP by BROWN, JR,.,WYNNE(in the paint)",2
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",2
03:49,"GOOD 3PTR by BAUGHMAN,CARTER",69 (+14),,55,,Centre 69-55 (+14),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by SMITH,RJ",,,,,,,"ASSIST  by SMITH,RJ",2
03:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:36,,,,,"MISS 3PTR by MOORE,MARK",,,"MISS 3PTR by MOORE,MARK",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
03:11,"TURNOVER  by RING,NOAH",,,,,,,"TURNOVER  by RING,NOAH",2
03:11,,,,,"SUB OUT by JONES,NATE",,,"SUB OUT by JONES,NATE",2
03:11,,,,,"SUB IN by MOORE,KARL",,,"SUB IN by MOORE,KARL",2
02:52,,,,,"MISS LAYUP by MOORE,KARL(in the paint)",,,"MISS LAYUP by MOORE,KARL(in the paint)",2
02:52,"BLOCK  by GERALD,DUSTIN",,,,,,,"BLOCK  by GERALD,DUSTIN",2
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",2
02:28,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",2
02:28,,,,,"STEAL  by WOOLRIDGE,BRYCE",,,"STEAL  by WOOLRIDGE,BRYCE",2
02:22,,,,,"MISS JUMPER by WOOLRIDGE,BRYCE",,,"MISS JUMPER by WOOLRIDGE,BRYCE",2
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",2
01:56,"GOOD 3PTR by WILLIAMS,JALEN",72 (+17),,55,,Centre 72-55 (+17),,"GOOD 3PTR by WILLIAMS,JALEN",2
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",2
01:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:56,,,,,"SUB OUT by HAWKINS,STEPHEN",,,"SUB OUT by HAWKINS,STEPHEN",2
01:56,,,,,"SUB IN by COLEMAN,JASON",,,"SUB IN by COLEMAN,JASON",2
01:49,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",2
01:49,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",2
01:33,,,,,"MISS 3PTR by WOOLRIDGE,BRYCE",,,"MISS 3PTR by WOOLRIDGE,BRYCE",2
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",2
01:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:10,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
01:10,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",2
01:10,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
01:10,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
01:10,"SUB IN by STEWART,BLAKE",,,,,,,"SUB IN by STEWART,BLAKE",2
01:10,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",2
01:04,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by MOORE,KARL",,,"REBOUND DEF by MOORE,KARL",2
00:55,,72 (+15),,57,"GOOD JUMPER by BROWN, JR,.,WYNNE(in the paint)",WEBSTR 72-57 (+15),,"GOOD JUMPER by BROWN, JR,.,WYNNE(in the paint)",2
00:48,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
00:48,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
00:48,"SUB IN by BUSH,TYLER",,,,,,,"SUB IN by BUSH,TYLER",2
00:48,"SUB IN by WOOLDRIDGE,CARSON",,,,,,,"SUB IN by WOOLDRIDGE,CARSON",2
00:46,"TURNOVER  by WOOLDRIDGE,CARSON",,,,,,,"TURNOVER  by WOOLDRIDGE,CARSON",2
00:33,,,,,"MISS 3PTR by BROWN, JR,.,WYNNE",,,"MISS 3PTR by BROWN, JR,.,WYNNE",2
--,,,,,"REBOUND OFF by MOORE,MARK",,,"REBOUND OFF by MOORE,MARK",2
00:27,,72 (+13),,59,"GOOD LAYUP by MOORE,MARK(in the paint)",WEBSTR 72-59 (+13),,"GOOD LAYUP by MOORE,MARK(in the paint)",2
