Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,WestKy,Game Score,Team Indicator,Play,Period
07:32,,,,,"BLOCK  by SHARP,JAMARION",,,"BLOCK  by SHARP,JAMARION",1
07:24,,4,,34 (+30),"GOOD JUMPER by ANDERSON,JOSH(fastbreak)(in the paint)",WestKy 4-34 (-30),,"GOOD JUMPER by ANDERSON,JOSH(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MCKNIGHT,DAYVION",,,"ASSIST  by MCKNIGHT,DAYVION",1
07:07,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by HAMILTON,JAIRUS",,,"REBOUND DEF by HAMILTON,JAIRUS",1
06:53,,,,,"TURNOVER  by FRAMPTON,LUKE",,,"TURNOVER  by FRAMPTON,LUKE",1
06:53,"STEAL  by MOORE,CHEZ",,,,,,,"STEAL  by MOORE,CHEZ",1
06:35,"MISS JUMPER by BAUGHMAN,CARTER",,,,,,,"MISS JUMPER by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by HAMILTON,JAIRUS",,,"REBOUND DEF by HAMILTON,JAIRUS",1
06:18,,4,,37 (+33),"GOOD 3PTR by FRAMPTON,LUKE",WestKy 4-37 (-33),,"GOOD 3PTR by FRAMPTON,LUKE",1
--,,,,,"ASSIST  by ANDERSON,JOSH",,,"ASSIST  by ANDERSON,JOSH",1
06:06,"TURNOVER  by BAUGHMAN,CARTER",,,,,,,"TURNOVER  by BAUGHMAN,CARTER",1
06:06,,,,,"STEAL  by ANDERSON,JOSH",,,"STEAL  by ANDERSON,JOSH",1
06:01,,,,,"MISS JUMPER by ANDERSON,JOSH(in the paint)",,,"MISS JUMPER by ANDERSON,JOSH(in the paint)",1
--,,,,,"REBOUND OFF by MCKNIGHT,DAYVION",,,"REBOUND OFF by MCKNIGHT,DAYVION",1
05:50,,,,,"MISS 3PTR by ANDERSON,JOSH",,,"MISS 3PTR by ANDERSON,JOSH",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
05:42,"GOOD 3PTR by WILLIAMS,JALEN(fastbreak)",7,,37 (+30),,Centre 7-37 (-30),,"GOOD 3PTR by WILLIAMS,JALEN(fastbreak)",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
05:26,,7,,39 (+32),"GOOD LAYUP by ANDERSON,JOSH(in the paint)",WestKy 7-39 (-32),,"GOOD LAYUP by ANDERSON,JOSH(in the paint)",1
--,,,,,"ASSIST  by MCKNIGHT,DAYVION",,,"ASSIST  by MCKNIGHT,DAYVION",1
05:10,"GOOD 3PTR by GERALD,DUSTIN",10,,39 (+29),,Centre 10-39 (-29),,"GOOD 3PTR by GERALD,DUSTIN",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
04:50,,,,,"MISS 3PTR by FRAMPTON,LUKE",,,"MISS 3PTR by FRAMPTON,LUKE",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
04:40,,,,,"SUB OUT by ANDERSON,JOSH",,,"SUB OUT by ANDERSON,JOSH",1
