Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
10:29,,11,,14 (+3),"GOOD LAYUP by JONES,MYLES(in the paint)",CCM 11-14 (-3),,"GOOD LAYUP by JONES,MYLES(in the paint)",1
10:08,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",1
10:08,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
10:08,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
10:08,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
10:08,,,,,"SUB IN by PALMER,BRADY",,,"SUB IN by PALMER,BRADY",1
10:08,,,,,"SUB OUT by FITZGERALD,JACKSON",,,"SUB OUT by FITZGERALD,JACKSON",1
09:59,,,,,"TURNOVER  by PALMER,BRADY",,,"TURNOVER  by PALMER,BRADY",1
09:58,"STEAL  by SMITH,RJ",,,,,,,"STEAL  by SMITH,RJ",1
09:55,"GOOD 3PTR by WILLIAMS,JALEN",14,,14,,CENTRE 14-14 (0),,"GOOD 3PTR by WILLIAMS,JALEN",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
09:38,,,,,"MISS 3PTR by PALMER,BRADY",,,"MISS 3PTR by PALMER,BRADY",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
09:12,"MISS JUMPER by WILLIAMS,JALEN",,,,,,,"MISS JUMPER by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by CRUMLY,WILL",,,"REBOUND DEF by CRUMLY,WILL",1
09:00,,14,,16 (+2),"GOOD LAYUP by BARNETTE,CHRIS(in the paint)",CCM 14-16 (-2),,"GOOD LAYUP by BARNETTE,CHRIS(in the paint)",1
08:30,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",16,,16,,CENTRE 16-16 (0),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
08:16,,,,,"TURNOVER  by CRUMLY,WILL",,,"TURNOVER  by CRUMLY,WILL",1
08:15,"STEAL  by WILLIAMS,JALEN",,,,,,,"STEAL  by WILLIAMS,JALEN",1
08:02,,,,,"FOUL  by JONES,MYLES",,,"FOUL  by JONES,MYLES",1
08:02,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
08:02,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
08:02,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
08:02,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
08:02,"SUB OUT by BANKS,JAXSON",,,,,,,"SUB OUT by BANKS,JAXSON",1
08:02,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
08:02,,,,,"SUB IN by KINARD,JESSE",,,"SUB IN by KINARD,JESSE",1
08:02,,,,,"SUB IN by FITZGERALD,JACKSON",,,"SUB IN by FITZGERALD,JACKSON",1
08:02,,,,,"SUB OUT by JONES,MYLES",,,"SUB OUT by JONES,MYLES",1
08:02,,,,,"SUB OUT by BARNETTE,CHRIS",,,"SUB OUT by BARNETTE,CHRIS",1
07:54,"MISS JUMPER by GERALD,DUSTIN",,,,,,,"MISS JUMPER by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by GERNATT,JONATHAN",,,"REBOUND DEF by GERNATT,JONATHAN",1
07:39,,,,,"MISS LAYUP by PALMER,BRADY",,,"MISS LAYUP by PALMER,BRADY",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
07:19,"TURNOVER  by WILLIAMS,JALEN",,,,,,,"TURNOVER  by WILLIAMS,JALEN",1
07:18,,,,,"STEAL  by PALMER,BRADY",,,"STEAL  by PALMER,BRADY",1
07:15,,16,,18 (+2),"GOOD LAYUP by PALMER,BRADY(fastbreak)(in the paint)",CCM 16-18 (-2),,"GOOD LAYUP by PALMER,BRADY(fastbreak)(in the paint)",1
07:03,"TURNOVER  by WILLIAMS,JALEN",,,,,,,"TURNOVER  by WILLIAMS,JALEN",1
07:02,,,,,"STEAL  by FITZGERALD,JACKSON",,,"STEAL  by FITZGERALD,JACKSON",1
06:56,,,,,"MISS 3PTR by GERNATT,JONATHAN",,,"MISS 3PTR by GERNATT,JONATHAN",1
--,,,,,"REBOUND OFF by CRUMLY,WILL",,,"REBOUND OFF by CRUMLY,WILL",1
