Time Remaining,Wabash,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",1
00:03,"SUB OUT by BEAVER,AVERY",,,,,,,"SUB OUT by BEAVER,AVERY",1
00:03,"SUB IN by MCCORKLE,CHAMP",,,,,,,"SUB IN by MCCORKLE,CHAMP",1
00:00,,31,,34 (+3),"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 31-34 (+3),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
20:00,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
20:00,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
20:00,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
20:00,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",2
20:00,"SUB OUT by CHADD,CAM",,,,,,,"SUB OUT by CHADD,CAM",2
20:00,"SUB OUT by MCCORKLE,CHAMP",,,,,,,"SUB OUT by MCCORKLE,CHAMP",2
20:00,"SUB IN by DAVIDSON,JACK",,,,,,,"SUB IN by DAVIDSON,JACK",2
20:00,"SUB IN by JONES,AHMONI",,,,,,,"SUB IN by JONES,AHMONI",2
19:43,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",2
19:27,"GOOD FT by SCHREIBER,KELLEN(fastbreak)",32,,34 (+2),,Wabash 32-34 (+2),,"GOOD FT by SCHREIBER,KELLEN(fastbreak)",2
19:17,"GOOD FT by SCHREIBER,KELLEN(fastbreak)",33,,34 (+1),,Wabash 33-34 (+1),,"GOOD FT by SCHREIBER,KELLEN(fastbreak)",2
19:17,,33,,37 (+4),"GOOD 3PTR by BANKS,JAXSON",Centre 33-37 (+4),,"GOOD 3PTR by BANKS,JAXSON",2
19:10,"MISS JUMPER by DAVIDSON,JACK(in the paint)",,,,,,,"MISS JUMPER by DAVIDSON,JACK(in the paint)",2
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",2
18:56,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",2
--,,,,,"REBOUND OFF by BAUGHMAN,CARTER",,,"REBOUND OFF by BAUGHMAN,CARTER",2
18:46,,33,,40 (+7),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 33-40 (+7),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,,,,,"ASSIST  by RING,NOAH",,,"ASSIST  by RING,NOAH",2
18:43,"FOUL  by DAVIDSON,JACK",,,,,,,"FOUL  by DAVIDSON,JACK",2
18:43,"TURNOVER  by DAVIDSON,JACK",,,,,,,"TURNOVER  by DAVIDSON,JACK",2
18:43,"MISS LAYUP by JONES,AHMONI(in the paint)",,,,,,,"MISS LAYUP by JONES,AHMONI(in the paint)",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
18:39,,33,,42 (+9),"GOOD JUMPER by BANKS,JAXSON",Centre 33-42 (+9),,"GOOD JUMPER by BANKS,JAXSON",2
17:41,,,,,"TURNOVER  by BANKS,JAXSON",,,"TURNOVER  by BANKS,JAXSON",2
17:41,"STEAL  by THOMAS,REIS",,,,,,,"STEAL  by THOMAS,REIS",2
17:30,,33,,44 (+11),"GOOD JUMPER by GERALD,DUSTIN(in the paint)",Centre 33-44 (+11),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",2
17:30,"MISS 3PTR by DAVIDSON,JACK",,,,,,,"MISS 3PTR by DAVIDSON,JACK",2
--,"REBOUND OFF by BEAVER,AVERY",,,,,,,"REBOUND OFF by BEAVER,AVERY",2
17:30,"MISS 3PTR by BEAVER,AVERY",,,,,,,"MISS 3PTR by BEAVER,AVERY",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
16:23,,33,,47 (+14),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 33-47 (+14),,"GOOD 3PTR by BAUGHMAN,CARTER",2
16:19,,,,,"FOUL  by BANKS,JAXSON",,,"FOUL  by BANKS,JAXSON",2
16:19,"GOOD FT by WATSON,TYLER",34,,47 (+13),,Wabash 34-47 (+13),,"GOOD FT by WATSON,TYLER",2
16:19,"GOOD FT by WATSON,TYLER",35,,47 (+12),,Wabash 35-47 (+12),,"GOOD FT by WATSON,TYLER",2
16:10,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:05,"GOOD JUMPER by SCHREIBER,KELLEN(fastbreak)",37,,47 (+10),,Wabash 37-47 (+10),,"GOOD JUMPER by SCHREIBER,KELLEN(fastbreak)",2
--,"ASSIST  by REDMOND,EDREECE",,,,,,,"ASSIST  by REDMOND,EDREECE",2
16:05,"SUB IN by REDMOND,EDREECE",,,,,,,"SUB IN by REDMOND,EDREECE",2
16:05,"SUB OUT by THOMAS,REIS",,,,,,,"SUB OUT by THOMAS,REIS",2
15:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:38,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
15:38,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
15:38,"SUB OUT by DAVIDSON,JACK",,,,,,,"SUB OUT by DAVIDSON,JACK",2
15:38,"SUB OUT by JONES,AHMONI",,,,,,,"SUB OUT by JONES,AHMONI",2
15:38,"SUB IN by REDMOND,EDREECE",,,,,,,"SUB IN by REDMOND,EDREECE",2
15:38,"SUB IN by BEAVER,AVERY",,,,,,,"SUB IN by BEAVER,AVERY",2
15:37,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",2
15:37,"STEAL  by WATSON,TYLER",,,,,,,"STEAL  by WATSON,TYLER",2
15:27,"GOOD 3PTR by WATSON,TYLER",40,,47 (+7),,Wabash 40-47 (+7),,"GOOD 3PTR by WATSON,TYLER",2
--,"ASSIST  by REDMOND,EDREECE",,,,,,,"ASSIST  by REDMOND,EDREECE",2
15:14,,40,,49 (+9),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 40-49 (+9),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
--,,,,,"ASSIST  by BANKS,JAXSON",,,"ASSIST  by BANKS,JAXSON",2
14:55,"MISS 3PTR by WATSON,TYLER",,,,,,,"MISS 3PTR by WATSON,TYLER",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
14:26,"FOUL  by REDMOND,EDREECE",,,,,,,"FOUL  by REDMOND,EDREECE",2
14:26,,40,,50 (+10),"GOOD FT by BAUGHMAN,CARTER",Centre 40-50 (+10),,"GOOD FT by BAUGHMAN,CARTER",2
14:26,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",2
14:26,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
14:26,,40,,51 (+11),"GOOD FT by BAUGHMAN,CARTER",Centre 40-51 (+11),,"GOOD FT by BAUGHMAN,CARTER",2
14:26,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
14:26,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
14:09,"MISS JUMPER by REDMOND,EDREECE(in the paint)",,,,,,,"MISS JUMPER by REDMOND,EDREECE(in the paint)",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
13:56,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
13:38,"FOUL  by SCHREIBER,KELLEN",,,,,,,"FOUL  by SCHREIBER,KELLEN",2
13:25,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,"REBOUND DEF by WATSON,TYLER",,,,,,,"REBOUND DEF by WATSON,TYLER",2
13:14,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",2
12:59,"GOOD FT by WATSON,TYLER",41,,51 (+10),,Wabash 41-51 (+10),,"GOOD FT by WATSON,TYLER",2
12:57,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",2
12:57,,,,,"SUB IN by WELLMAN,JARED",,,"SUB IN by WELLMAN,JARED",2
12:57,"GOOD FT by WATSON,TYLER",42,,51 (+9),,Wabash 42-51 (+9),,"GOOD FT by WATSON,TYLER",2
12:56,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",2
12:56,"FOUL  by SCHREIBER,KELLEN",,,,,,,"FOUL  by SCHREIBER,KELLEN",2
12:56,,42,,52 (+10),"GOOD FT by MOORE,CHEZ",Centre 42-52 (+10),,"GOOD FT by MOORE,CHEZ",2
12:56,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",2
12:56,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",2
12:56,"SUB OUT by SCHREIBER,KELLEN",,,,,,,"SUB OUT by SCHREIBER,KELLEN",2
12:56,"SUB OUT by BEAVER,AVERY",,,,,,,"SUB OUT by BEAVER,AVERY",2
12:56,"SUB IN by DAVIDSON,JACK",,,,,,,"SUB IN by DAVIDSON,JACK",2
12:56,"SUB IN by HALL,JESSE",,,,,,,"SUB IN by HALL,JESSE",2
12:56,,42,,53 (+11),"GOOD FT by MOORE,CHEZ",Centre 42-53 (+11),,"GOOD FT by MOORE,CHEZ",2
12:56,"GOOD 3PTR by WATSON,TYLER",45,,53 (+8),,Wabash 45-53 (+8),,"GOOD 3PTR by WATSON,TYLER",2
--,"ASSIST  by HALL,JESSE",,,,,,,"ASSIST  by HALL,JESSE",2
12:18,,,,,"MISS 3PTR by WELLMAN,JARED",,,"MISS 3PTR by WELLMAN,JARED",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
12:10,,,,,"MISS DUNK by MOORE,CHEZ(in the paint)",,,"MISS DUNK by MOORE,CHEZ(in the paint)",2
--,"REBOUND DEF by DAVIDSON,JACK",,,,,,,"REBOUND DEF by DAVIDSON,JACK",2
12:06,"GOOD LAYUP by WATSON,TYLER(in the paint)",47,,53 (+6),,Wabash 47-53 (+6),,"GOOD LAYUP by WATSON,TYLER(in the paint)",2
11:47,,,,,"TURNOVER  by BANKS,JAXSON",,,"TURNOVER  by BANKS,JAXSON",2
11:47,"STEAL  by HALL,JESSE",,,,,,,"STEAL  by HALL,JESSE",2
11:34,"MISS 3PTR by DAVIDSON,JACK",,,,,,,"MISS 3PTR by DAVIDSON,JACK",2
11:34,"FOUL  by THOMAS,REIS",,,,,,,"FOUL  by THOMAS,REIS",2
11:33,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:32,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
11:32,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
11:32,,,,,"SUB OUT by WELLMAN,JARED",,,"SUB OUT by WELLMAN,JARED",2
11:32,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",2
11:32,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
11:32,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",2
11:14,,47,,55 (+8),"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",Centre 47-55 (+8),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",2
11:05,"MISS JUMPER by THOMAS,REIS",,,,,,,"MISS JUMPER by THOMAS,REIS",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
10:56,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
10:49,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,"REBOUND DEF by REDMOND,EDREECE",,,,,,,"REBOUND DEF by REDMOND,EDREECE",2
10:46,"MISS 3PTR by DAVIDSON,JACK",,,,,,,"MISS 3PTR by DAVIDSON,JACK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
10:35,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",2
10:35,"STEAL  by REDMOND,EDREECE",,,,,,,"STEAL  by REDMOND,EDREECE",2
10:27,"GOOD LAYUP by REDMOND,EDREECE(fastbreak)(in the paint)",49,,55 (+6),,Wabash 49-55 (+6),,"GOOD LAYUP by REDMOND,EDREECE(fastbreak)(in the paint)",2
10:12,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,"REBOUND DEF by HALL,JESSE",,,,,,,"REBOUND DEF by HALL,JESSE",2
09:58,"GOOD 3PTR by REDMOND,EDREECE",52,,55 (+3),,Wabash 52-55 (+3),,"GOOD 3PTR by REDMOND,EDREECE",2
--,"ASSIST  by DAVIDSON,JACK",,,,,,,"ASSIST  by DAVIDSON,JACK",2
09:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:49,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
09:49,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
09:49,"SUB OUT by THOMAS,REIS",,,,,,,"SUB OUT by THOMAS,REIS",2
09:49,"SUB IN by JONES,AHMONI",,,,,,,"SUB IN by JONES,AHMONI",2
09:40,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",2
09:40,"STEAL  by REDMOND,EDREECE",,,,,,,"STEAL  by REDMOND,EDREECE",2
09:31,"TURNOVER  by DAVIDSON,JACK",,,,,,,"TURNOVER  by DAVIDSON,JACK",2
09:31,,,,,"STEAL  by BANKS,JAXSON",,,"STEAL  by BANKS,JAXSON",2
09:24,,52,,57 (+5),"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",Centre 52-57 (+5),,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",2
09:12,"GOOD JUMPER by WATSON,TYLER(in the paint)",54,,57 (+3),,Wabash 54-57 (+3),,"GOOD JUMPER by WATSON,TYLER(in the paint)",2
08:47,,54,,59 (+5),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 54-59 (+5),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
08:23,"GOOD 3PTR by REDMOND,EDREECE",57,,59 (+2),,Wabash 57-59 (+2),,"GOOD 3PTR by REDMOND,EDREECE",2
--,"ASSIST  by WATSON,TYLER",,,,,,,"ASSIST  by WATSON,TYLER",2
08:23,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",2
08:23,"GOOD FT by REDMOND,EDREECE",58,,59 (+1),,Wabash 58-59 (+1),,"GOOD FT by REDMOND,EDREECE",2
08:23,"SUB OUT by REDMOND,EDREECE",,,,,,,"SUB OUT by REDMOND,EDREECE",2
08:23,"SUB IN by CHADD,CAM",,,,,,,"SUB IN by CHADD,CAM",2
08:05,,58,,61 (+3),"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 58-61 (+3),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",2
07:46,"MISS 3PTR by WATSON,TYLER",,,,,,,"MISS 3PTR by WATSON,TYLER",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
07:19,,,,,"MISS 3PTR by GERALD,DUSTIN",,,"MISS 3PTR by GERALD,DUSTIN",2
--,"REBOUND DEF by DAVIDSON,JACK",,,,,,,"REBOUND DEF by DAVIDSON,JACK",2
07:07,"GOOD JUMPER by HALL,JESSE",60,,61 (+1),,Wabash 60-61 (+1),,"GOOD JUMPER by HALL,JESSE",2
--,"ASSIST  by WATSON,TYLER",,,,,,,"ASSIST  by WATSON,TYLER",2
06:42,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",2
--,"REBOUND DEF by JONES,AHMONI",,,,,,,"REBOUND DEF by JONES,AHMONI",2
06:34,"MISS JUMPER by WATSON,TYLER",,,,,,,"MISS JUMPER by WATSON,TYLER",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
06:18,,,,,"MISS JUMPER by BAUGHMAN,CARTER",,,"MISS JUMPER by BAUGHMAN,CARTER",2
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",2
06:10,,60,,63 (+3),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 60-63 (+3),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
05:53,"MISS 3PTR by JONES,AHMONI",,,,,,,"MISS 3PTR by JONES,AHMONI",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
05:37,,,,,"TURNOVER  by BANKS,JAXSON",,,"TURNOVER  by BANKS,JAXSON",2
05:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
05:37,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",2
05:37,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
05:37,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
05:37,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
05:37,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
05:37,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
05:37,"SUB OUT by HALL,JESSE",,,,,,,"SUB OUT by HALL,JESSE",2
05:37,"SUB IN by SCHREIBER,KELLEN",,,,,,,"SUB IN by SCHREIBER,KELLEN",2
05:27,"MISS 3PTR by JONES,AHMONI",,,,,,,"MISS 3PTR by JONES,AHMONI",2
--,"REBOUND OFF by WATSON,TYLER",,,,,,,"REBOUND OFF by WATSON,TYLER",2
05:17,"MISS LAYUP by WATSON,TYLER(in the paint)",,,,,,,"MISS LAYUP by WATSON,TYLER(in the paint)",2
05:17,,,,,"BLOCK  by MOORE,CHEZ",,,"BLOCK  by MOORE,CHEZ",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:06,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",62,,63 (+1),,Wabash 62-63 (+1),,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",2
05:06,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",2
05:06,"GOOD FT by SCHREIBER,KELLEN",63,,63,,Wabash 63-63 (0),,"GOOD FT by SCHREIBER,KELLEN",2
05:06,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
05:06,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",2
05:06,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",2
05:06,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
04:58,,63,,65 (+2),"GOOD JUMPER by BAUGHMAN,CARTER",Centre 63-65 (+2),,"GOOD JUMPER by BAUGHMAN,CARTER",2
04:38,"FOUL  by SCHREIBER,KELLEN",,,,,,,"FOUL  by SCHREIBER,KELLEN",2
04:38,"TURNOVER  by SCHREIBER,KELLEN",,,,,,,"TURNOVER  by SCHREIBER,KELLEN",2
04:38,"SUB OUT by CHADD,CAM",,,,,,,"SUB OUT by CHADD,CAM",2
04:38,"SUB IN by REDMOND,EDREECE",,,,,,,"SUB IN by REDMOND,EDREECE",2
04:38,"SUB OUT by SCHREIBER,KELLEN",,,,,,,"SUB OUT by SCHREIBER,KELLEN",2
04:38,"SUB IN by HALL,JESSE",,,,,,,"SUB IN by HALL,JESSE",2
04:14,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
04:14,"BLOCK  by HALL,JESSE",,,,,,,"BLOCK  by HALL,JESSE",2
--,"REBOUND DEF by HALL,JESSE",,,,,,,"REBOUND DEF by HALL,JESSE",2
03:51,"MISS JUMPER by WATSON,TYLER",,,,,,,"MISS JUMPER by WATSON,TYLER",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
03:35,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",2
03:35,"STEAL  by WATSON,TYLER",,,,,,,"STEAL  by WATSON,TYLER",2
03:35,"SUB OUT by HALL,JESSE",,,,,,,"SUB OUT by HALL,JESSE",2
03:35,"SUB IN by SCHREIBER,KELLEN",,,,,,,"SUB IN by SCHREIBER,KELLEN",2
03:35,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",65,,65,,Wabash 65-65 (0),,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",2
--,"ASSIST  by WATSON,TYLER",,,,,,,"ASSIST  by WATSON,TYLER",2
03:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:35,"SUB OUT by SCHREIBER,KELLEN",,,,,,,"SUB OUT by SCHREIBER,KELLEN",2
03:35,"SUB IN by HALL,JESSE",,,,,,,"SUB IN by HALL,JESSE",2
03:35,,65,,67 (+2),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 65-67 (+2),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",2
03:24,"GOOD 3PTR by DAVIDSON,JACK",68 (+1),,67,,Wabash 68-67 (-1),,"GOOD 3PTR by DAVIDSON,JACK",2
02:59,,,,,"MISS JUMPER by SMITH,RJ",,,"MISS JUMPER by SMITH,RJ",2
--,"REBOUND DEF by HALL,JESSE",,,,,,,"REBOUND DEF by HALL,JESSE",2
02:40,"GOOD LAYUP by WATSON,TYLER(in the paint)",70 (+3),,67,,Wabash 70-67 (-3),,"GOOD LAYUP by WATSON,TYLER(in the paint)",2
02:31,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:21,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",2
02:21,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",2
02:12,,,,,"MISS 3PTR by GERALD,DUSTIN",,,"MISS 3PTR by GERALD,DUSTIN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:00,"FOUL  by JONES,AHMONI",,,,,,,"FOUL  by JONES,AHMONI",2
02:00,,70 (+2),,68,"GOOD FT by BAUGHMAN,CARTER",Centre 70-68 (-2),,"GOOD FT by BAUGHMAN,CARTER",2
02:00,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",2
02:00,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
02:00,"SUB OUT by HALL,JESSE",,,,,,,"SUB OUT by HALL,JESSE",2
02:00,"SUB IN by SCHREIBER,KELLEN",,,,,,,"SUB IN by SCHREIBER,KELLEN",2
02:00,,,,,"MISS FT by BAUGHMAN,CARTER",,,"MISS FT by BAUGHMAN,CARTER",2
--,"REBOUND DEF by REDMOND,EDREECE",,,,,,,"REBOUND DEF by REDMOND,EDREECE",2
01:48,"MISS 3PTR by WATSON,TYLER",,,,,,,"MISS 3PTR by WATSON,TYLER",2
--,"REBOUND OFF by REDMOND,EDREECE",,,,,,,"REBOUND OFF by REDMOND,EDREECE",2
01:43,"GOOD JUMPER by REDMOND,EDREECE(in the paint)",72 (+4),,68,,Wabash 72-68 (-4),,"GOOD JUMPER by REDMOND,EDREECE(in the paint)",2
01:19,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND DEF by DAVIDSON,JACK",,,,,,,"REBOUND DEF by DAVIDSON,JACK",2
01:08,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",2
01:08,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",2
01:08,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",2
00:59,"MISS 3PTR by REDMOND,EDREECE",,,,,,,"MISS 3PTR by REDMOND,EDREECE",2
--,"REBOUND OFF by WATSON,TYLER",,,,,,,"REBOUND OFF by WATSON,TYLER",2
00:39,"MISS JUMPER by WATSON,TYLER(in the paint)",,,,,,,"MISS JUMPER by WATSON,TYLER(in the paint)",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
00:23,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",2
--,"REBOUND DEF by SCHREIBER,KELLEN",,,,,,,"REBOUND DEF by SCHREIBER,KELLEN",2
00:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:09,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",2
00:09,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
00:09,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
00:09,"GOOD FT by JONES,AHMONI",73 (+5),,68,,Wabash 73-68 (-5),,"GOOD FT by JONES,AHMONI",2
00:09,"GOOD FT by JONES,AHMONI",74 (+6),,68,,Wabash 74-68 (-6),,"GOOD FT by JONES,AHMONI",2
00:02,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",2
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",2
00:02,,74 (+4),,70,"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 74-70 (-4),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
00:02,"FOUL  by JONES,AHMONI",,,,,,,"FOUL  by JONES,AHMONI",2
00:02,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
00:02,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
00:02,"SUB OUT by JONES,AHMONI",,,,,,,"SUB OUT by JONES,AHMONI",2
00:02,"SUB IN by THOMAS,REIS",,,,,,,"SUB IN by THOMAS,REIS",2
00:02,,,,,"MISS FT by SMITH,RJ",,,"MISS FT by SMITH,RJ",2
--,"REBOUND DEF by DAVIDSON,JACK",,,,,,,"REBOUND DEF by DAVIDSON,JACK",2
