Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
13:10,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",1
13:10,,,,,"SUB IN by O'HARA,ROSS",,,"SUB IN by O'HARA,ROSS",1
13:10,,,,,"SUB IN by MUNCH,PETER",,,"SUB IN by MUNCH,PETER",1
13:10,,,,,"SUB OUT by POWER,AARON",,,"SUB OUT by POWER,AARON",1
13:10,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",1
13:10,,,,,"SUB OUT by ANDERKAVICH,JOEY",,,"SUB OUT by ANDERKAVICH,JOEY",1
13:10,,,,,"SUB OUT by ROBINSON,DENZEL",,,"SUB OUT by ROBINSON,DENZEL",1
13:10,,,,,"SUB OUT by MITCHELL,NICK",,,"SUB OUT by MITCHELL,NICK",1
12:38,,10,,15 (+5),"GOOD JUMPER by HOWARD,JEROD",LCM 10-15 (-5),,"GOOD JUMPER by HOWARD,JEROD",1
--,,,,,"ASSIST  by ANDERSON,KYRON",,,"ASSIST  by ANDERSON,KYRON",1
12:38,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",1
12:38,,10,,16 (+6),"GOOD FT by HOWARD,JEROD",LCM 10-16 (-6),,"GOOD FT by HOWARD,JEROD",1
12:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:27,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",1
12:27,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
12:27,,,,,"STEAL  by VAUGHN,MARCUS",,,"STEAL  by VAUGHN,MARCUS",1
12:27,,,,,"MISS LAYUP by VAUGHN,MARCUS",,,"MISS LAYUP by VAUGHN,MARCUS",1
--,,,,,"REBOUND OFF by MUNCH,PETER",,,"REBOUND OFF by MUNCH,PETER",1
12:27,,,,,"MISS 3PTR by HOWARD,JEROD",,,"MISS 3PTR by HOWARD,JEROD",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:27,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
12:27,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
12:27,,,,,"SUB IN by ANDERKAVICH,JOEY",,,"SUB IN by ANDERKAVICH,JOEY",1
12:27,,,,,"SUB IN by MITCHELL,NICK",,,"SUB IN by MITCHELL,NICK",1
12:27,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",1
12:27,,,,,"SUB IN by ROBINSON,DENZEL",,,"SUB IN by ROBINSON,DENZEL",1
12:27,,,,,"SUB IN by POWER,AARON",,,"SUB IN by POWER,AARON",1
12:27,,,,,"SUB OUT by ANDERSON,KYRON",,,"SUB OUT by ANDERSON,KYRON",1
12:27,,,,,"SUB OUT by HOWARD,JEROD",,,"SUB OUT by HOWARD,JEROD",1
